time,Atlanta,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. P. Millsap (K. Bazemore gains possession),,,,Jump ball: S. Adams vs. P. Millsap (K. Bazemore gains possession)
11:39.0,D. Schroder makes 2-pt shot from 16 ft,2,2-0,,
11:11.0,,,2-0,,A. Roberson misses 2-pt shot from 3 ft
11:11.0,Defensive rebound by P. Millsap,,2-0,,
10:54.0,Turnover by T. Sefolosha (bad pass),,2-0,,
10:40.0,,,2-0,,Turnover by D. Sabonis (traveling)
10:31.0,Turnover by D. Schroder (bad pass; steal by S. Adams),,2-0,,
10:26.0,,,2-0,,R. Westbrook misses 2-pt shot from 2 ft
10:25.0,,,2-0,,Offensive rebound by S. Adams
10:25.0,,,2-0,,S. Adams misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by Team,,2-0,,
10:13.0,K. Korver misses 2-pt shot from 19 ft,,2-0,,
10:13.0,,,2-0,,Defensive rebound by S. Adams
9:53.0,,,2-2,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
9:39.0,D. Schroder makes 2-pt shot from 8 ft,2,4-2,,
9:24.0,,,4-4,2,A. Morrow makes 2-pt shot from 14 ft (assist by R. Westbrook)
9:09.0,P. Millsap makes 3-pt shot from 25 ft (assist by K. Bazemore),3,7-4,,
8:56.0,,,7-4,,Shooting foul by P. Millsap (drawn by R. Westbrook)
8:56.0,,,7-4,,R. Westbrook misses free throw 1 of 2
8:56.0,,,7-4,,Offensive rebound by Team
8:56.0,,,7-5,1,R. Westbrook makes free throw 2 of 2
8:42.0,K. Bazemore misses 2-pt shot from 2 ft,,7-5,,
8:41.0,,,7-5,,Defensive rebound by R. Westbrook
8:35.0,,,7-5,,A. Roberson misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by T. Sefolosha,,7-5,,
8:19.0,Shooting foul by D. Sabonis (drawn by D. Schroder),,7-5,,
8:19.0,D. Schroder makes free throw 1 of 2,1,8-5,,
8:19.0,D. Schroder makes free throw 2 of 2,1,9-5,,
7:55.0,,,9-5,,R. Westbrook misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by K. Bazemore,,9-5,,
7:49.0,K. Bazemore misses 2-pt shot from 15 ft,,9-5,,
7:47.0,,,9-5,,Defensive rebound by R. Westbrook
7:36.0,,,9-7,2,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Morrow)
7:27.0,,,9-7,,Personal foul by A. Morrow (drawn by D. Schroder)
7:17.0,D. Schroder misses 2-pt shot from 1 ft,,9-7,,
7:16.0,,,9-7,,Defensive rebound by R. Westbrook
7:10.0,,,9-7,,A. Morrow misses 3-pt shot from 23 ft
7:09.0,,,9-7,,Offensive rebound by A. Roberson
6:55.0,,,9-7,,Turnover by D. Sabonis (lost ball; steal by K. Bazemore)
6:45.0,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder),2,11-7,,
