time,Oklahoma City,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Mozgov (J. Randle gains possession),,,,Jump ball: S. Adams vs. T. Mozgov (J. Randle gains possession)
11:47.0,,,0-2,2,L. Deng makes 2-pt shot from 21 ft (assist by T. Mozgov)
11:28.0,A. Roberson misses 3-pt shot from 24 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by J. Randle
11:19.0,,,0-2,,J. Randle misses 2-pt shot from 6 ft (block by A. Roberson)
11:16.0,Defensive rebound by D. Sabonis,,0-2,,
11:12.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-2,,
10:49.0,,,2-4,2,T. Mozgov makes 2-pt shot from 11 ft
10:26.0,A. Roberson misses 3-pt shot from 26 ft,,2-4,,
10:24.0,,,2-4,,Defensive rebound by J. Randle
10:07.0,,,2-4,,Turnover by J. Randle (traveling)
9:49.0,S. Adams misses 2-pt shot from 9 ft,,2-4,,
9:46.0,,,2-4,,Defensive rebound by T. Mozgov
9:36.0,,,2-4,,L. Deng misses 2-pt shot from 9 ft
9:36.0,Defensive rebound by Team,,2-4,,
9:10.0,V. Oladipo makes 2-pt shot from 18 ft,2,4-4,,
8:55.0,,,4-4,,Turnover by J. Calderon (lost ball; steal by R. Westbrook)
8:54.0,,,4-4,,Personal foul by T. Mozgov (drawn by R. Westbrook)
8:42.0,D. Sabonis misses 3-pt shot from 25 ft,,4-4,,
8:41.0,,,4-4,,Defensive rebound by J. Calderon
8:30.0,,,4-6,2,L. Deng makes 2-pt shot from 2 ft (assist by J. Calderon)
8:25.0,Offensive foul by S. Adams,,4-6,,
8:25.0,Turnover by S. Adams (offensive foul),,4-6,,
8:14.0,,,4-6,,Turnover by N. Young (lost ball; steal by V. Oladipo)
8:07.0,V. Oladipo makes 2-pt shot from 2 ft,2,6-6,,
7:47.0,,,6-6,,Turnover by J. Calderon (bad pass; steal by V. Oladipo)
7:42.0,R. Westbrook makes 2-pt shot from 2 ft (assist by V. Oladipo),2,8-6,,
7:20.0,,,8-6,,J. Randle misses 2-pt shot from 16 ft
7:19.0,Defensive rebound by V. Oladipo,,8-6,,
7:10.0,R. Westbrook makes 2-pt shot from 2 ft,2,10-6,,
7:09.0,,,10-6,,LA Lakers full timeout
7:09.0,E. Kanter enters the game for D. Sabonis,,10-6,,
6:56.0,,,10-9,3,J. Calderon makes 3-pt shot from 23 ft (assist by J. Randle)
6:43.0,E. Kanter misses 2-pt shot from 18 ft,,10-9,,
6:43.0,Offensive rebound by Team,,10-9,,
6:43.0,,,10-9,,Loose ball foul by T. Mozgov (drawn by S. Adams)
6:32.0,R. Westbrook misses 2-pt shot from 10 ft,,10-9,,
6:29.0,,,10-9,,Defensive rebound by J. Calderon
6:26.0,Personal foul by E. Kanter (drawn by T. Mozgov),,10-9,,
6:18.0,,,10-9,,Turnover by J. Randle (bad pass)
5:58.0,V. Oladipo misses 3-pt shot from 25 ft,,10-9,,
5:57.0,,,10-9,,Defensive rebound by J. Randle
5:52.0,,,10-11,2,T. Mozgov makes 2-pt shot at rim (assist by J. Randle)
5:38.0,R. Westbrook misses 2-pt shot from 1 ft (block by T. Mozgov),,10-11,,
5:35.0,Offensive rebound by R. Westbrook,,10-11,,
5:35.0,R. Westbrook misses 2-pt shot from 2 ft (block by N. Young),,10-11,,
5:31.0,Offensive rebound by R. Westbrook,,10-11,,
5:29.0,R. Westbrook misses 2-pt shot from 5 ft,,10-11,,
5:27.0,,,10-11,,Defensive rebound by J. Randle
5:22.0,,,10-11,,T. Mozgov misses 2-pt shot from 18 ft
5:21.0,Defensive rebound by R. Westbrook,,10-11,,
5:18.0,Turnover by V. Oladipo (bad pass; steal by J. Calderon),,10-11,,
5:11.0,,,10-14,3,N. Young makes 3-pt shot from 24 ft (assist by J. Calderon)
4:48.0,S. Adams misses 2-pt shot from 9 ft,,10-14,,
4:48.0,Offensive rebound by Team,,10-14,,
4:48.0,,,10-14,,Loose ball foul by L. Deng (drawn by E. Kanter)
4:48.0,,,10-14,,T. Black enters the game for L. Deng
4:48.0,,,10-14,,L. Nance enters the game for J. Randle
4:48.0,,,10-14,,B. Ingram enters the game for T. Mozgov
4:48.0,,,10-14,,J. Clarkson enters the game for J. Calderon
4:48.0,D. Sabonis enters the game for S. Adams,,10-14,,
4:48.0,J. Grant enters the game for A. Roberson,,10-14,,
4:48.0,A. Abrines enters the game for V. Oladipo,,10-14,,
4:37.0,Shooting foul by N. Young (drawn by E. Kanter),,10-14,,
4:37.0,E. Kanter makes free throw 1 of 2,1,11-14,,
4:37.0,E. Kanter makes free throw 2 of 2,1,12-14,,
4:23.0,,,12-14,,Shooting foul by J. Grant (drawn by N. Young)
4:23.0,,,12-14,,N. Young misses free throw 1 of 2
4:23.0,,,12-14,,Offensive rebound by Team
4:23.0,,,12-15,1,N. Young makes free throw 2 of 2
4:07.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,14-15,,
3:48.0,,,14-15,,B. Ingram misses 2-pt shot from 12 ft
3:45.0,Defensive rebound by D. Sabonis,,14-15,,
3:37.0,R. Westbrook misses 3-pt shot from 25 ft,,14-15,,
3:36.0,,,14-15,,Defensive rebound by B. Ingram
3:19.0,,,14-18,3,B. Ingram makes 3-pt shot from 25 ft (assist by L. Nance)
3:05.0,Turnover by R. Westbrook (bad pass; steal by J. Clarkson),,14-18,,
2:58.0,,,14-18,,N. Young misses 3-pt shot from 26 ft
2:56.0,,,14-18,,Offensive rebound by T. Black
2:51.0,,,14-18,,T. Black misses 2-pt shot from 4 ft
2:46.0,,,14-18,,Offensive rebound by T. Black
2:40.0,,,14-21,3,N. Young makes 3-pt shot from 24 ft (assist by J. Clarkson)
2:40.0,Oklahoma City full timeout,,14-21,,
2:40.0,,,14-21,,L. Williams enters the game for N. Young
2:40.0,S. Christon enters the game for R. Westbrook,,14-21,,
2:26.0,A. Abrines misses 3-pt shot from 27 ft,,14-21,,
2:25.0,,,14-21,,Defensive rebound by B. Ingram
2:12.0,,,14-21,,J. Clarkson misses 2-pt shot at rim (block by A. Abrines)
2:07.0,Defensive rebound by E. Kanter,,14-21,,
2:04.0,Turnover by D. Sabonis (bad pass; steal by J. Clarkson),,14-21,,
2:00.0,,,14-23,2,J. Clarkson makes 2-pt shot from 1 ft
1:36.0,S. Christon misses 2-pt shot from 11 ft,,14-23,,
1:33.0,,,14-23,,Defensive rebound by L. Nance
1:25.0,J. Lauvergne enters the game for D. Sabonis,,14-23,,
1:13.0,,,14-25,2,B. Ingram makes 2-pt shot from 10 ft (assist by L. Nance)
0:58.0,S. Christon misses 3-pt shot from 25 ft,,14-25,,
0:57.0,Offensive rebound by Team,,14-25,,
0:51.0,E. Kanter makes 2-pt shot from 8 ft (assist by A. Abrines),2,16-25,,
0:40.0,,,16-25,,L. Williams misses 2-pt shot from 11 ft
0:38.0,,,16-25,,Offensive rebound by L. Nance
