time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. Valanciunas (T. Young gains possession),,,,Jump ball: M. Turner vs. J. Valanciunas (T. Young gains possession)
11:42.0,J. Teague misses 3-pt shot from 26 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Valanciunas
11:20.0,,,0-0,,C. Joseph misses 2-pt shot from 5 ft
11:20.0,Defensive rebound by P. George,,0-0,,
11:11.0,P. George makes 2-pt shot from 19 ft,2,2-0,,
10:53.0,,,2-2,2,D. DeRozan makes 2-pt shot from 18 ft (assist by C. Joseph)
10:35.0,T. Young makes 2-pt shot from 4 ft (assist by J. Teague),2,4-2,,
10:19.0,,,4-2,,D. Carroll misses 2-pt shot from 21 ft
10:19.0,,,4-2,,Offensive rebound by Team
10:15.0,,,4-4,2,D. DeRozan makes 2-pt shot from 7 ft (assist by C. Joseph)
10:03.0,P. George misses 2-pt shot from 4 ft (block by J. Valanciunas),,4-4,,
10:02.0,,,4-4,,Defensive rebound by J. Valanciunas
9:55.0,,,4-4,,Offensive charge foul by D. DeRozan
9:55.0,,,4-4,,Turnover by D. DeRozan (offensive foul)
9:43.0,C. Miles misses 2-pt shot from 20 ft,,4-4,,
9:43.0,Offensive rebound by T. Young,,4-4,,
9:35.0,M. Turner misses 3-pt shot from 25 ft,,4-4,,
9:35.0,,,4-4,,Defensive rebound by J. Valanciunas
9:26.0,,,4-7,3,D. Carroll makes 3-pt shot from 25 ft (assist by C. Joseph)
9:10.0,T. Young makes 3-pt shot from 23 ft (assist by J. Teague),3,7-7,,
8:54.0,,,7-7,,Turnover by D. DeRozan (lost ball; steal by P. George)
8:48.0,C. Miles makes 2-pt shot from 1 ft,2,9-7,,
8:34.0,,,9-7,,Offensive charge foul by D. Carroll
8:34.0,,,9-7,,Turnover by D. Carroll (offensive foul)
8:15.0,C. Miles makes 3-pt shot from 26 ft (assist by M. Turner),3,12-7,,
8:02.0,,,12-7,,Shooting foul by T. Young (drawn by J. Valanciunas)
8:02.0,,,12-8,1,J. Valanciunas makes free throw 1 of 2
8:02.0,,,12-8,,J. Valanciunas misses free throw 2 of 2
8:01.0,Defensive rebound by M. Turner,,12-8,,
7:52.0,P. George misses 3-pt shot from 25 ft,,12-8,,
7:51.0,,,12-8,,Defensive rebound by D. Carroll
7:45.0,,,12-10,2,S. Ibaka makes 2-pt shot from 1 ft (assist by D. Carroll)
7:33.0,Shooting foul by C. Joseph (drawn by J. Teague),,12-10,,
7:33.0,J. Teague makes free throw 1 of 2,1,13-10,,
7:33.0,J. Teague makes free throw 2 of 2,1,14-10,,
7:19.0,,,14-10,,C. Joseph misses 2-pt shot from 10 ft
7:19.0,,,14-10,,Offensive rebound by J. Valanciunas
7:18.0,,,14-10,,J. Valanciunas misses 2-pt shot from 1 ft
7:18.0,,,14-10,,Offensive rebound by J. Valanciunas
7:17.0,,,14-10,,J. Valanciunas misses 2-pt shot from 1 ft
7:16.0,,,14-10,,Offensive rebound by J. Valanciunas
7:16.0,,,14-12,2,J. Valanciunas makes 2-pt shot at rim
7:07.0,Offensive foul by M. Turner,,14-12,,
7:07.0,Turnover by M. Turner (offensive foul),,14-12,,
6:51.0,,,14-15,3,S. Ibaka makes 3-pt shot from 26 ft (assist by C. Joseph)
6:30.0,J. Teague misses 2-pt shot from 2 ft,,14-15,,
6:29.0,,,14-15,,Defensive rebound by D. Carroll
6:23.0,,,14-18,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. Carroll)
6:13.0,Indiana full timeout,,14-18,,
6:03.0,C. Miles misses 3-pt shot from 23 ft,,14-18,,
6:03.0,,,14-18,,Defensive rebound by J. Valanciunas
5:49.0,,,14-18,,Turnover by C. Joseph (bad pass)
5:39.0,P. George makes 2-pt shot from 19 ft (assist by J. Teague),2,16-18,,
5:21.0,,,16-18,,D. DeRozan misses 2-pt shot at rim
5:21.0,,,16-18,,Offensive rebound by D. Carroll
5:14.0,,,16-18,,D. Carroll misses 2-pt shot from 3 ft (block by C. Miles)
5:13.0,Defensive rebound by P. George,,16-18,,
