time,Brooklyn,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. B. Lopez (B. McLemore gains possession),,,,Jump ball: K. Koufos vs. B. Lopez (B. McLemore gains possession)
11:38.0,,,0-0,,D. Collison misses 2-pt shot from 5 ft
11:37.0,Defensive rebound by C. LeVert,,0-0,,
11:22.0,J. Lin makes 3-pt shot from 26 ft,3,3-0,,
10:57.0,,,3-0,,K. Koufos misses 2-pt shot from 10 ft
10:57.0,Defensive rebound by J. Lin,,3-0,,
10:42.0,B. Lopez makes 2-pt shot from 4 ft (assist by J. Lin),2,5-0,,
10:23.0,,,5-0,,B. McLemore misses 2-pt shot from 2 ft
10:22.0,Defensive rebound by C. LeVert,,5-0,,
10:14.0,R. Foye makes 3-pt shot from 25 ft (assist by C. LeVert),3,8-0,,
9:57.0,,,8-2,2,A. Afflalo makes 2-pt shot from 11 ft
9:48.0,J. Lin misses 2-pt shot from 5 ft,,8-2,,
9:47.0,Offensive rebound by B. Lopez,,8-2,,
9:45.0,B. Lopez makes 2-pt shot from 2 ft,2,10-2,,
9:25.0,,,10-4,2,B. McLemore makes 2-pt shot from 4 ft
9:11.0,,,10-4,,Personal foul by B. McLemore (drawn by B. Lopez)
8:59.0,B. Lopez makes 3-pt shot from 24 ft (assist by J. Lin),3,13-4,,
8:47.0,,,13-4,,S. Labissiere misses 2-pt shot from 5 ft (block by B. Lopez)
8:46.0,,,13-4,,Offensive rebound by S. Labissiere
8:44.0,,,13-4,,Turnover by S. Labissiere (bad pass; steal by C. LeVert)
8:39.0,Shooting foul by D. Collison (drawn by R. Hollis-Jefferson),,13-4,,
8:39.0,,,13-4,,Sacramento full timeout
8:39.0,R. Hollis-Jefferson makes free throw 1 of 2,1,14-4,,
8:39.0,R. Hollis-Jefferson misses free throw 2 of 2,,14-4,,
8:37.0,,,14-4,,Defensive rebound by A. Afflalo
8:17.0,,,14-4,,A. Afflalo misses 2-pt shot from 15 ft
8:16.0,,,14-4,,Offensive rebound by S. Labissiere
8:08.0,,,14-4,,D. Collison misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by R. Hollis-Jefferson,,14-4,,
7:55.0,Turnover by J. Lin (bad pass; steal by A. Afflalo),,14-4,,
7:50.0,,,14-6,2,A. Afflalo makes 2-pt shot from 3 ft
7:43.0,,,14-6,,Personal foul by K. Koufos (drawn by B. Lopez)
7:36.0,J. Lin makes 2-pt shot from 12 ft,2,16-6,,
7:23.0,,,16-6,,B. McLemore misses 2-pt shot from 18 ft
7:23.0,Defensive rebound by Team,,16-6,,
7:23.0,,,16-6,,Loose ball foul by S. Labissiere (drawn by C. LeVert)
7:23.0,S. Dinwiddie enters the game for J. Lin,,16-6,,
7:13.0,C. LeVert makes 2-pt shot from 13 ft (assist by R. Foye),2,18-6,,
7:03.0,Personal foul by R. Foye (drawn by S. Labissiere),,18-6,,
6:55.0,,,18-6,,Turnover by S. Labissiere (lost ball; steal by R. Hollis-Jefferson)
6:48.0,C. LeVert makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,21-6,,
6:21.0,,,21-6,,K. Koufos misses 2-pt shot from 11 ft
6:21.0,,,21-6,,Offensive rebound by S. Labissiere
6:16.0,,,21-8,2,S. Labissiere makes 2-pt shot from 5 ft
5:59.0,B. Lopez misses 3-pt shot from 27 ft,,21-8,,
5:59.0,,,21-8,,Defensive rebound by S. Labissiere
5:47.0,,,21-10,2,S. Labissiere makes 2-pt shot from 19 ft (assist by D. Collison)
5:29.0,R. Hollis-Jefferson makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,24-10,,
5:29.0,,,24-10,,Sacramento full timeout
5:29.0,,,24-10,,T. Lawson enters the game for S. Labissiere
5:29.0,,,24-10,,A. Tolliver enters the game for B. McLemore
5:29.0,S. Kilpatrick enters the game for R. Foye,,24-10,,
5:29.0,J. Harris enters the game for C. LeVert,,24-10,,
5:15.0,,,24-10,,T. Lawson misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by S. Kilpatrick,,24-10,,
5:05.0,S. Kilpatrick misses 3-pt shot from 24 ft,,24-10,,
5:05.0,,,24-10,,Defensive rebound by A. Afflalo
4:56.0,,,24-12,2,D. Collison makes 2-pt shot from 16 ft
4:50.0,Shooting foul by T. Lawson (drawn by S. Dinwiddie),,24-12,,
4:50.0,S. Dinwiddie makes free throw 1 of 2,1,25-12,,
4:50.0,S. Dinwiddie makes free throw 2 of 2,1,26-12,,
4:50.0,T. Booker enters the game for R. Hollis-Jefferson,,25-12,,
4:50.0,,,25-12,,W. Cauley-Stein enters the game for K. Koufos
4:24.0,,,26-12,,W. Cauley-Stein misses 2-pt shot from 19 ft
4:23.0,,,26-12,,Offensive rebound by T. Lawson
4:18.0,,,26-15,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
4:08.0,B. Lopez makes 2-pt shot from 5 ft,2,28-15,,
4:08.0,Shooting foul by A. Tolliver (drawn by B. Lopez),,28-15,,
4:08.0,B. Lopez misses free throw 1 of 1,,28-15,,
4:06.0,Offensive rebound by B. Lopez,,28-15,,
4:05.0,B. Lopez misses 2-pt shot from 11 ft,,28-15,,
4:04.0,,,28-15,,Defensive rebound by D. Collison
4:04.0,,,28-15,,Sacramento full timeout
4:04.0,J. Hamilton enters the game for B. Lopez,,28-15,,
3:53.0,,,28-18,3,D. Collison makes 3-pt shot from 26 ft
3:43.0,J. Harris misses 3-pt shot from 26 ft,,28-18,,
3:42.0,,,28-18,,Defensive rebound by A. Tolliver
3:29.0,,,28-20,2,T. Lawson makes 2-pt shot from 3 ft
3:16.0,J. Hamilton misses 3-pt shot from 26 ft,,28-20,,
3:15.0,Offensive rebound by T. Booker,,28-20,,
3:14.0,T. Booker makes 2-pt shot from 2 ft,2,30-20,,
2:58.0,,,30-23,3,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson)
2:42.0,T. Booker misses 2-pt shot from 17 ft,,30-23,,
2:41.0,,,30-23,,Defensive rebound by D. Collison
2:36.0,I. Whitehead enters the game for S. Dinwiddie,,30-23,,
2:36.0,,,30-23,,B. Hield enters the game for A. Afflalo
2:17.0,,,30-23,,W. Cauley-Stein misses 2-pt shot from 15 ft
2:16.0,Defensive rebound by T. Booker,,30-23,,
2:07.0,Turnover by I. Whitehead (bad pass; steal by W. Cauley-Stein),,30-23,,
1:49.0,,,30-26,3,B. Hield makes 3-pt shot from 24 ft (assist by T. Lawson)
1:49.0,Brooklyn full timeout,,30-26,,
1:33.0,I. Whitehead misses 3-pt shot from 24 ft,,30-26,,
1:33.0,,,30-26,,Defensive rebound by D. Collison
1:19.0,,,30-29,3,B. Hield makes 3-pt shot from 23 ft (assist by D. Collison)
1:02.0,I. Whitehead makes 3-pt shot from 25 ft,3,33-29,,
0:48.0,,,33-29,,Shooting foul by J. Hamilton (drawn by W. Cauley-Stein)
0:48.0,,,33-30,1,W. Cauley-Stein makes free throw 1 of 2
0:48.0,,,33-31,1,W. Cauley-Stein makes free throw 2 of 2
0:41.0,J. Harris misses 3-pt shot from 26 ft,,33-31,,
0:41.0,,,33-31,,Defensive rebound by D. Collison
0:33.0,,,33-31,,D. Collison misses 2-pt shot from 15 ft
0:32.0,Defensive rebound by I. Whitehead,,33-31,,
0:28.0,,,33-31,,Shooting block foul by A. Tolliver (drawn by I. Whitehead)
0:28.0,I. Whitehead makes free throw 1 of 2,1,34-31,,
0:28.0,I. Whitehead makes free throw 2 of 2,1,35-31,,
0:28.0,S. Dinwiddie enters the game for S. Kilpatrick,,34-31,,
0:10.0,,,35-31,,Turnover by T. Lawson (bad pass; steal by T. Booker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Harris misses 3-pt shot from 25 ft,,35-31,,
11:47.0,,,35-31,,Defensive rebound by A. Tolliver
