time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (S. Ibaka gains possession)
11:47.0,,,0-0,,Turnover by J. Green (bad pass)
11:24.0,T. Gibson makes 2-pt shot from 4 ft,2,2-0,,
11:02.0,,,2-0,,J. Green misses 2-pt shot from 2 ft
11:00.0,Defensive rebound by T. Gibson,,2-0,,
10:46.0,D. Wade misses 2-pt shot from 9 ft,,2-0,,
10:44.0,,,2-0,,Defensive rebound by J. Green
10:38.0,,,2-2,2,S. Ibaka makes 2-pt shot at rim (assist by A. Gordon)
10:14.0,T. Gibson misses 2-pt shot from 16 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by N. Vucevic
9:56.0,,,2-2,,Turnover by N. Vucevic (bad pass; steal by T. Gibson)
9:47.0,D. Wade misses 2-pt shot from 14 ft,,2-2,,
9:46.0,,,2-2,,Defensive rebound by J. Green
9:39.0,,,2-2,,E. Payton misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by J. Grant,,2-2,,
9:31.0,J. Butler misses 2-pt shot from 15 ft,,2-2,,
9:31.0,,,2-2,,Defensive rebound by Team
9:12.0,,,2-2,,N. Vucevic misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by D. Wade,,2-2,,
8:55.0,J. Grant misses 3-pt shot from 26 ft,,2-2,,
8:54.0,,,2-2,,Defensive rebound by A. Gordon
8:46.0,,,2-4,2,N. Vucevic makes 2-pt shot from 4 ft
8:22.0,D. Wade misses 2-pt shot from 14 ft,,2-4,,
8:21.0,,,2-4,,Defensive rebound by S. Ibaka
8:11.0,,,2-4,,Turnover by E. Payton (bad pass; steal by D. Wade)
8:08.0,Turnover by J. Grant (bad pass; steal by S. Ibaka),,2-4,,
8:02.0,,,2-7,3,S. Ibaka makes 3-pt shot from 26 ft (assist by J. Green)
8:01.0,Chicago full timeout,,2-7,,
7:44.0,Turnover by T. Gibson (lost ball; steal by S. Ibaka),,2-7,,
7:29.0,Def 3 sec tech foul by T. Gibson,,2-7,,
7:29.0,,,2-8,1,J. Green makes technical free throw
7:22.0,,,2-8,,E. Payton misses 3-pt shot from 25 ft
7:21.0,,,2-8,,Offensive rebound by S. Ibaka
7:11.0,,,2-8,,S. Ibaka misses 2-pt shot from 18 ft
7:10.0,Defensive rebound by J. Butler,,2-8,,
6:50.0,R. Lopez makes 2-pt shot from 16 ft (assist by J. Butler),2,4-8,,
6:35.0,,,4-8,,A. Gordon misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by J. Grant,,4-8,,
6:14.0,D. Wade misses 2-pt shot from 11 ft,,4-8,,
6:13.0,,,4-8,,Defensive rebound by J. Green
6:04.0,,,4-8,,Turnover by E. Payton (bad pass; steal by D. Wade)
5:55.0,J. Butler makes 2-pt shot from 2 ft,2,6-8,,
5:47.0,,,6-10,2,E. Payton makes 2-pt shot from 1 ft
5:35.0,D. Wade misses 2-pt shot from 1 ft,,6-10,,
5:34.0,,,6-10,,Defensive rebound by N. Vucevic
5:25.0,,,6-12,2,S. Ibaka makes 2-pt shot at rim (assist by E. Payton)
5:08.0,Turnover by J. Grant (bad pass),,6-12,,
5:08.0,P. Zipser enters the game for D. Wade,,6-12,,
5:08.0,,,6-12,,C. Watson enters the game for J. Green
5:00.0,Personal foul by J. Grant (drawn by E. Payton),,6-12,,
4:56.0,,,6-14,2,A. Gordon makes 2-pt shot from 13 ft (assist by C. Watson)
4:39.0,J. Butler misses 2-pt shot from 15 ft,,6-14,,
4:38.0,Offensive rebound by J. Butler,,6-14,,
4:17.0,T. Gibson makes 2-pt shot from 5 ft,2,8-14,,
4:01.0,,,8-16,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
3:42.0,Shooting foul by N. Vucevic (drawn by J. Grant),,8-16,,
3:42.0,J. Grant misses free throw 1 of 2,,8-16,,
3:42.0,Offensive rebound by Team,,8-16,,
3:42.0,J. Grant makes free throw 2 of 2,1,9-16,,
3:42.0,N. Mirotic enters the game for T. Gibson,,8-16,,
3:34.0,,,9-16,,Turnover by E. Payton (bad pass; steal by J. Butler)
3:34.0,,,9-16,,Personal foul by C. Watson (drawn by J. Butler)
3:34.0,R. Rondo enters the game for J. Grant,,9-16,,
3:22.0,Shooting foul by A. Gordon (drawn by J. Butler),,9-16,,
3:22.0,J. Butler makes free throw 1 of 2,1,10-16,,
3:22.0,J. Butler makes free throw 2 of 2,1,11-16,,
3:13.0,Personal foul by R. Lopez (drawn by N. Vucevic),,11-16,,
3:13.0,,,11-16,,Orlando full timeout
3:01.0,,,11-16,,S. Ibaka misses 2-pt shot from 15 ft
3:00.0,Defensive rebound by J. Butler,,11-16,,
2:45.0,Shooting foul by A. Gordon (drawn by J. Butler),,11-16,,
2:45.0,J. Butler makes free throw 1 of 2,1,12-16,,
2:45.0,J. Butler makes free throw 2 of 2,1,13-16,,
2:45.0,,,12-16,,B. Biyombo enters the game for N. Vucevic
2:45.0,C. Felicio enters the game for R. Lopez,,12-16,,
2:45.0,,,12-16,,J. Green enters the game for A. Gordon
2:31.0,,,13-18,2,C. Watson makes 2-pt shot at rim
2:30.0,,,13-18,,Violation by Team (jump ball)
2:10.0,P. Zipser makes 3-pt shot from 23 ft (assist by R. Rondo),3,16-18,,
1:56.0,,,16-18,,S. Ibaka misses 2-pt shot from 12 ft
1:55.0,Defensive rebound by C. Felicio,,16-18,,
1:32.0,R. Rondo makes 2-pt shot from 3 ft (assist by J. Butler),2,18-18,,
1:10.0,,,18-18,,J. Green misses 2-pt shot from 14 ft
1:08.0,Defensive rebound by C. Felicio,,18-18,,
1:03.0,Shooting foul by C. Watson (drawn by P. Zipser),,18-18,,
1:03.0,P. Zipser makes free throw 1 of 2,1,19-18,,
1:03.0,P. Zipser makes free throw 2 of 2,1,20-18,,
1:03.0,,,19-18,,D. Rudez enters the game for S. Ibaka
1:03.0,,,19-18,,M. Hezonja enters the game for E. Payton
0:42.0,,,20-18,,M. Hezonja misses 2-pt shot from 17 ft
0:41.0,Defensive rebound by N. Mirotic,,20-18,,
0:27.0,P. Zipser misses 3-pt shot from 27 ft,,20-18,,
0:25.0,,,20-18,,Defensive rebound by B. Biyombo
0:08.0,Personal take foul by R. Rondo (drawn by C. Watson),,20-18,,
0:04.0,,,20-20,2,C. Watson makes 2-pt shot from 15 ft
0:02.0,Turnover by N. Mirotic (bad pass; steal by J. Green),,20-20,,
0:01.0,,,20-22,2,J. Green makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,P. Zipser misses 3-pt shot from 24 ft,,20-22,,
11:40.0,,,20-22,,Defensive rebound by J. Green
11:35.0,,,20-25,3,D. Rudez makes 3-pt shot from 26 ft (assist by C. Watson)
11:25.0,Shooting foul by M. Hezonja (drawn by C. Felicio),,20-25,,
11:25.0,C. Felicio makes free throw 1 of 2,1,21-25,,
11:25.0,C. Felicio makes free throw 2 of 2,1,22-25,,
11:08.0,,,22-27,2,J. Green makes 2-pt shot from 19 ft
10:44.0,C. Felicio makes 2-pt shot from 2 ft,2,24-27,,
10:24.0,,,24-27,,Turnover by D. Rudez (traveling)
10:24.0,Violation by Team (jump ball),,24-27,,
10:11.0,N. Mirotic makes 2-pt shot from 7 ft,2,26-27,,
9:51.0,,,26-29,2,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja)
9:27.0,P. Zipser misses 2-pt shot from 2 ft,,26-29,,
9:25.0,,,26-29,,Defensive rebound by B. Biyombo
9:21.0,Personal block foul by P. Zipser (drawn by C. Watson),,26-29,,
9:21.0,D. Wade enters the game for P. Zipser,,26-29,,
9:14.0,,,26-29,,B. Biyombo misses 2-pt shot from 5 ft
9:13.0,Defensive rebound by C. Felicio,,26-29,,
9:01.0,D. McDermott makes 3-pt shot from 23 ft (assist by R. Rondo),3,29-29,,
8:54.0,Personal block foul by N. Mirotic (drawn by C. Watson),,29-29,,
8:54.0,Official timeout,,29-29,,
8:46.0,,,29-29,,C. Watson misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by D. Wade,,29-29,,
8:33.0,D. McDermott makes 3-pt shot from 24 ft (assist by R. Rondo),3,32-29,,
8:17.0,,,32-32,3,D. Rudez makes 3-pt shot from 26 ft (assist by C. Watson)
7:57.0,N. Mirotic misses 3-pt shot from 24 ft,,32-32,,
7:55.0,,,32-32,,Defensive rebound by M. Hezonja
7:41.0,,,32-35,3,M. Hezonja makes 3-pt shot from 25 ft (assist by C. Watson)
7:29.0,Shooting foul by B. Biyombo (drawn by N. Mirotic),,32-35,,
7:29.0,N. Mirotic makes free throw 1 of 2,1,33-35,,
7:29.0,N. Mirotic makes free throw 2 of 2,1,34-35,,
7:29.0,J. Butler enters the game for R. Rondo,,33-35,,
7:29.0,,,33-35,,A. Gordon enters the game for M. Hezonja
7:12.0,,,34-35,,J. Green misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by N. Mirotic,,34-35,,
6:46.0,C. Felicio makes 2-pt shot from 18 ft,2,36-35,,
6:18.0,,,36-35,,J. Green misses 2-pt shot from 16 ft
6:17.0,Defensive rebound by C. Felicio,,36-35,,
6:06.0,Shooting foul by J. Green (drawn by D. Wade),,36-35,,
6:06.0,D. Wade makes free throw 1 of 2,1,37-35,,
6:06.0,,,37-35,,Orlando full timeout
6:06.0,D. Wade makes free throw 2 of 2,1,38-35,,
6:06.0,,,37-35,,S. Ibaka enters the game for C. Watson
