time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Jordan (J. Dudley gains possession),,,,Jump ball: T. Chandler vs. D. Jordan (J. Dudley gains possession)
11:42.0,B. Knight makes 2-pt shot from 18 ft,2,2-0,,
11:25.0,,,2-2,2,C. Paul makes 2-pt shot from 12 ft
11:17.0,Turnover by J. Dudley (traveling),,2-2,,
11:05.0,,,2-2,,J. Redick misses 2-pt shot from 20 ft
11:03.0,Defensive rebound by J. Dudley,,2-2,,
10:40.0,E. Bledsoe misses 2-pt shot from 12 ft,,2-2,,
10:39.0,Offensive rebound by J. Dudley,,2-2,,
10:27.0,B. Knight makes 3-pt shot from 24 ft,3,5-2,,
10:24.0,Personal foul by J. Dudley (drawn by B. Griffin),,5-2,,
10:16.0,,,5-4,2,J. Redick makes 2-pt shot from 21 ft (assist by D. Jordan)
9:56.0,T. Chandler misses 2-pt shot from 19 ft,,5-4,,
9:55.0,,,5-4,,Defensive rebound by B. Griffin
9:47.0,,,5-4,,B. Griffin misses 2-pt shot from 2 ft
9:46.0,,,5-4,,Offensive rebound by D. Jordan
9:46.0,,,5-6,2,D. Jordan makes 2-pt shot from 1 ft
9:29.0,T. Warren misses 2-pt shot from 21 ft,,5-6,,
9:28.0,,,5-6,,Defensive rebound by B. Griffin
9:21.0,,,5-6,,C. Paul misses 2-pt shot from 16 ft
9:19.0,Defensive rebound by E. Bledsoe,,5-6,,
9:10.0,T. Warren misses 3-pt shot from 24 ft,,5-6,,
9:10.0,,,5-6,,Defensive rebound by J. Redick
9:01.0,,,5-6,,J. Redick misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by T. Chandler,,5-6,,
8:51.0,J. Dudley misses 3-pt shot from 25 ft,,5-6,,
8:50.0,,,5-6,,Defensive rebound by Team
8:43.0,,,5-6,,L. Mbah a Moute misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by T. Chandler,,5-6,,
8:18.0,E. Bledsoe misses 2-pt shot from 20 ft,,5-6,,
8:16.0,,,5-6,,Defensive rebound by C. Paul
8:12.0,,,5-6,,D. Jordan misses 2-pt shot at rim
8:10.0,Defensive rebound by E. Bledsoe,,5-6,,
8:10.0,,,5-6,,Personal foul by C. Paul (drawn by E. Bledsoe)
8:00.0,B. Knight makes 2-pt shot from 17 ft (assist by T. Chandler),2,7-6,,
7:42.0,,,7-6,,B. Griffin misses 2-pt shot from 18 ft
7:39.0,,,7-6,,Offensive rebound by D. Jordan
7:39.0,,,7-8,2,D. Jordan makes 2-pt shot from 2 ft
7:17.0,T. Warren makes 2-pt shot from 12 ft (assist by J. Dudley),2,9-8,,
7:03.0,,,9-8,,C. Paul misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by E. Bledsoe,,9-8,,
6:55.0,E. Bledsoe misses 2-pt shot from 17 ft,,9-8,,
6:54.0,,,9-8,,Defensive rebound by B. Griffin
6:51.0,Personal foul by T. Chandler (drawn by B. Griffin),,9-8,,
6:51.0,,,9-9,1,B. Griffin makes free throw 1 of 2
6:51.0,,,9-10,1,B. Griffin makes free throw 2 of 2
6:51.0,A. Len enters the game for T. Chandler,,9-9,,
6:51.0,T. Ulis enters the game for E. Bledsoe,,9-9,,
6:31.0,A. Len misses 2-pt shot from 10 ft,,9-10,,
6:28.0,,,9-10,,Defensive rebound by B. Griffin
6:28.0,Personal foul by A. Len (drawn by D. Jordan),,9-10,,
6:19.0,,,9-12,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:57.0,B. Knight misses 3-pt shot from 25 ft,,9-12,,
5:56.0,,,9-12,,Defensive rebound by L. Mbah a Moute
5:44.0,,,9-15,3,B. Griffin makes 3-pt shot from 24 ft (assist by C. Paul)
5:41.0,Phoenix full timeout,,9-15,,
5:41.0,M. Chriss enters the game for T. Warren,,9-15,,
5:41.0,P. Tucker enters the game for J. Dudley,,9-15,,
5:35.0,A. Len makes 2-pt shot from 14 ft (assist by T. Ulis),2,11-15,,
5:12.0,,,11-15,,C. Paul misses 2-pt shot from 14 ft
5:11.0,Defensive rebound by Team,,11-15,,
5:03.0,T. Ulis misses 3-pt shot from 24 ft,,11-15,,
5:03.0,,,11-15,,Defensive rebound by Team
4:54.0,,,11-15,,Turnover by B. Griffin (bad pass; steal by P. Tucker)
4:44.0,B. Knight misses 2-pt shot from 10 ft,,11-15,,
4:44.0,,,11-15,,Defensive rebound by B. Griffin
4:39.0,Personal block foul by T. Ulis (drawn by C. Paul),,11-15,,
4:39.0,T. Warren enters the game for B. Knight,,11-15,,
4:39.0,,,11-15,,A. Rivers enters the game for J. Redick
4:31.0,,,11-15,,Turnover by B. Griffin (lost ball; steal by M. Chriss)
4:25.0,Turnover by A. Len (bad pass; steal by L. Mbah a Moute),,11-15,,
4:12.0,,,11-15,,Turnover by B. Griffin (bad pass; steal by T. Ulis)
4:05.0,M. Chriss makes 2-pt shot from 2 ft (assist by T. Ulis),2,13-15,,
3:44.0,,,13-17,2,C. Paul makes 2-pt shot from 9 ft
3:34.0,A. Len makes 2-pt shot from 18 ft (assist by T. Ulis),2,15-17,,
3:09.0,,,15-17,,L. Mbah a Moute misses 3-pt shot from 24 ft
3:09.0,,,15-17,,Offensive rebound by Team
3:09.0,Loose ball foul by M. Chriss (drawn by B. Griffin),,15-17,,
3:09.0,,,15-18,1,B. Griffin makes free throw 1 of 2
3:09.0,,,15-19,1,B. Griffin makes free throw 2 of 2
3:09.0,,,15-18,,J. Crawford enters the game for L. Mbah a Moute
3:09.0,,,15-18,,M. Speights enters the game for D. Jordan
3:09.0,,,15-18,,R. Felton enters the game for C. Paul
2:50.0,A. Len makes 2-pt shot at rim (assist by T. Warren),2,17-19,,
2:31.0,,,17-19,,A. Rivers misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by M. Chriss,,17-19,,
2:22.0,T. Warren makes 2-pt shot from 13 ft (assist by T. Ulis),2,19-19,,
2:07.0,,,19-19,,Turnover by J. Crawford (bad pass; steal by T. Warren)
2:02.0,T. Ulis misses 2-pt shot from 2 ft (block by R. Felton),,19-19,,
2:02.0,Offensive rebound by Team,,19-19,,
2:02.0,,,19-19,,LA Clippers full timeout
2:02.0,L. Barbosa enters the game for T. Warren,,19-19,,
2:02.0,,,19-19,,W. Johnson enters the game for B. Griffin
1:56.0,L. Barbosa makes 2-pt shot from 2 ft,2,21-19,,
1:46.0,Personal foul by T. Ulis (drawn by R. Felton),,21-19,,
1:46.0,,,21-19,,R. Felton misses free throw 1 of 2
1:46.0,,,21-19,,Offensive rebound by Team
1:46.0,,,21-20,1,R. Felton makes free throw 2 of 2
1:31.0,M. Chriss misses 3-pt shot from 23 ft,,21-20,,
1:31.0,,,21-20,,Defensive rebound by J. Crawford
1:22.0,,,21-22,2,J. Crawford makes 2-pt shot from 15 ft
1:11.0,Turnover by T. Ulis (traveling),,21-22,,
0:56.0,,,21-22,,Turnover by M. Speights (bad pass; steal by T. Ulis)
0:50.0,L. Barbosa makes 3-pt shot from 24 ft (assist by T. Ulis),3,24-22,,
0:39.0,,,24-24,2,A. Rivers makes 2-pt shot from 1 ft
0:21.0,Turnover by M. Chriss (lost ball),,24-24,,
0:03.0,,,24-24,,M. Speights misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by P. Tucker,,24-24,,
0:00.0,P. Tucker misses 3-pt shot from 38 ft,,24-24,,
0:00.0,Offensive rebound by Team,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-26,2,M. Speights makes 2-pt shot from 2 ft (assist by J. Crawford)
11:26.0,Offensive foul by M. Chriss,,24-26,,
11:26.0,Turnover by M. Chriss (offensive foul),,24-26,,
11:04.0,,,24-26,,M. Speights misses 2-pt shot from 1 ft
11:03.0,Defensive rebound by L. Barbosa,,24-26,,
10:59.0,Shooting foul by W. Johnson (drawn by M. Chriss),,24-26,,
10:59.0,M. Chriss makes free throw 1 of 2,1,25-26,,
10:59.0,M. Chriss makes free throw 2 of 2,1,26-26,,
10:46.0,,,26-28,2,A. Rivers makes 2-pt shot from 1 ft
10:38.0,A. Len misses 2-pt shot from 19 ft,,26-28,,
10:37.0,,,26-28,,Defensive rebound by W. Johnson
10:25.0,,,26-28,,J. Crawford misses 2-pt shot from 19 ft
