time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (M. Morris gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (M. Morris gains possession)
11:45.0,M. Gortat misses 2-pt shot from 14 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by S. Ibaka
11:21.0,,,0-0,,C. Joseph misses 3-pt shot from 27 ft
11:21.0,,,0-0,,Offensive rebound by Team
11:21.0,,,0-0,,Turnover by Team (shot clock)
11:05.0,M. Morris makes 2-pt shot from 19 ft (assist by B. Beal),2,2-0,,
10:51.0,,,2-0,,S. Ibaka misses 2-pt shot from 6 ft
10:50.0,Defensive rebound by M. Gortat,,2-0,,
10:41.0,J. Wall makes 2-pt shot from 16 ft,2,4-0,,
10:18.0,,,4-2,2,C. Joseph makes 2-pt shot from 10 ft
9:53.0,B. Beal makes 2-pt shot from 18 ft (assist by M. Morris),2,6-2,,
9:30.0,,,6-2,,D. DeRozan misses 2-pt shot from 22 ft
9:29.0,,,6-2,,Offensive rebound by S. Ibaka
9:28.0,,,6-2,,Shooting foul by O. Porter (drawn by S. Ibaka)
9:28.0,,,6-3,1,S. Ibaka makes free throw 1 of 2
9:28.0,,,6-4,1,S. Ibaka makes free throw 2 of 2
9:16.0,M. Morris misses 2-pt shot from 20 ft,,6-4,,
9:16.0,,,6-4,,Defensive rebound by J. Valanciunas
9:05.0,,,6-4,,Shooting foul by M. Gortat (drawn by D. DeRozan)
9:05.0,,,6-5,1,D. DeRozan makes free throw 1 of 2
9:05.0,,,6-6,1,D. DeRozan makes free throw 2 of 2
8:49.0,B. Beal makes 2-pt shot from 10 ft (assist by J. Wall),2,8-6,,
8:23.0,,,8-6,,J. Valanciunas misses 2-pt shot from 19 ft
8:22.0,Defensive rebound by M. Morris,,8-6,,
8:12.0,M. Morris misses 2-pt shot from 3 ft,,8-6,,
8:11.0,Offensive rebound by M. Morris,,8-6,,
