time,Washington,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: M. Gortat vs. A. Len (E. Bledsoe gains possession)
11:36.0,,,0-0,,T. Warren misses 2-pt shot from 12 ft
11:32.0,Defensive rebound by M. Gortat,,0-0,,
11:17.0,M. Gortat makes 2-pt shot from 6 ft,2,2-0,,
11:07.0,,,2-0,,E. Bledsoe misses 2-pt shot from 11 ft
11:04.0,Defensive rebound by M. Morris,,2-0,,
11:00.0,M. Gortat misses 2-pt shot from 2 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by T. Warren
10:53.0,,,2-0,,D. Booker misses 2-pt shot from 18 ft
10:47.0,Defensive rebound by M. Gortat,,2-0,,
10:32.0,B. Beal makes 2-pt shot from 18 ft,2,4-0,,
10:15.0,,,4-2,2,E. Bledsoe makes 2-pt shot from 21 ft
10:09.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,6-2,,
10:01.0,,,6-2,,E. Bledsoe misses 2-pt shot from 7 ft
10:01.0,Defensive rebound by Team,,6-2,,
9:48.0,M. Morris misses 2-pt shot from 18 ft,,6-2,,
9:46.0,,,6-2,,Defensive rebound by T. Warren
9:32.0,,,6-5,3,D. Booker makes 3-pt shot from 26 ft (assist by E. Bledsoe)
9:14.0,B. Beal misses 2-pt shot from 8 ft,,6-5,,
9:10.0,,,6-5,,Defensive rebound by A. Len
9:07.0,,,6-5,,Shooting foul by M. Gortat (drawn by E. Bledsoe)
9:07.0,,,6-6,1,E. Bledsoe makes free throw 1 of 2
9:07.0,,,6-7,1,E. Bledsoe makes free throw 2 of 2
8:54.0,Turnover by J. Wall (traveling),,6-7,,
8:44.0,,,6-10,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
8:28.0,M. Gortat misses 2-pt shot from 14 ft,,6-10,,
8:26.0,Offensive rebound by O. Porter,,6-10,,
8:23.0,O. Porter misses 2-pt shot from 7 ft,,6-10,,
8:21.0,,,6-10,,Defensive rebound by M. Chriss
8:19.0,,,6-10,,Turnover by E. Bledsoe (bad pass; steal by O. Porter)
8:03.0,J. Wall makes 2-pt shot at rim,2,8-10,,
7:53.0,Shooting block foul by M. Gortat (drawn by A. Len),,8-10,,
7:53.0,,,8-11,1,A. Len makes free throw 1 of 2
7:53.0,,,8-12,1,A. Len makes free throw 2 of 2
