time,Indiana,pts.away,score,pts.home,Dallas
5:45.0,M. Turner misses 2-pt shot from 5 ft,,10-9,,
5:44.0,,,10-9,,Defensive rebound by D. Finney-Smith
5:36.0,,,10-9,,D. Williams misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by T. Young,,10-9,,
5:25.0,P. George misses 2-pt shot from 12 ft,,10-9,,
5:25.0,,,10-9,,Defensive rebound by D. Finney-Smith
5:25.0,,,10-9,,Dallas full timeout
5:25.0,,,10-9,,D. Harris enters the game for H. Barnes
5:25.0,,,10-9,,S. Curry enters the game for D. Williams
5:10.0,,,10-12,3,W. Matthews makes 3-pt shot from 25 ft
4:53.0,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis),2,12-12,,
4:33.0,,,12-14,2,D. Finney-Smith makes 2-pt shot from 4 ft (assist by D. Harris)
4:19.0,P. George makes 3-pt shot from 23 ft (assist by J. Teague),3,15-14,,
3:59.0,,,15-14,,W. Matthews misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by M. Turner,,15-14,,
3:47.0,Turnover by T. Young (bad pass; steal by S. Curry),,15-14,,
3:32.0,,,15-16,2,S. Curry makes 2-pt shot from 3 ft
3:25.0,Indiana full timeout,,15-16,,
3:25.0,C. Miles enters the game for T. Young,,15-16,,
3:25.0,A. Jefferson enters the game for M. Turner,,15-16,,
3:25.0,R. Stuckey enters the game for M. Ellis,,15-16,,
3:13.0,P. George makes 2-pt shot from 1 ft,2,17-16,,
3:00.0,Personal foul by R. Stuckey (drawn by D. Harris),,17-16,,
2:52.0,,,17-16,,S. Curry misses 2-pt shot from 18 ft
2:52.0,Defensive rebound by R. Stuckey,,17-16,,
2:45.0,P. George makes 3-pt shot from 24 ft (assist by R. Stuckey),3,20-16,,
2:23.0,,,20-16,,Shooting foul by P. George (drawn by W. Matthews)
2:23.0,,,20-17,1,W. Matthews makes free throw 1 of 2
2:23.0,,,20-18,1,W. Matthews makes free throw 2 of 2
2:23.0,A. Brooks enters the game for J. Teague,,20-17,,
2:01.0,P. George misses 2-pt shot from 8 ft,,20-18,,
2:00.0,Offensive rebound by A. Jefferson,,20-18,,
1:54.0,P. George makes 2-pt shot from 9 ft,2,22-18,,
1:36.0,,,22-21,3,D. Harris makes 3-pt shot from 25 ft (assist by W. Matthews)
1:17.0,A. Jefferson misses 2-pt shot from 9 ft,,22-21,,
1:16.0,,,22-21,,Defensive rebound by D. Finney-Smith
1:10.0,,,22-23,2,D. Finney-Smith makes 2-pt shot at rim (assist by S. Curry)
0:55.0,P. George misses 2-pt shot from 12 ft,,22-23,,
0:54.0,,,22-23,,Defensive rebound by D. Finney-Smith
0:47.0,,,22-23,,S. Curry misses 2-pt shot from 22 ft
0:46.0,Defensive rebound by R. Stuckey,,22-23,,
0:37.0,,,22-23,,Shooting block foul by D. Powell (drawn by R. Stuckey)
0:37.0,R. Stuckey makes free throw 1 of 2,1,23-23,,
0:37.0,R. Stuckey makes free throw 2 of 2,1,24-23,,
0:37.0,G. Robinson enters the game for P. George,,23-23,,
0:37.0,,,23-23,,H. Barnes enters the game for D. Finney-Smith
0:37.0,,,23-23,,N. Brussino enters the game for W. Matthews
0:32.0,,,24-23,,D. Harris misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by C. Miles,,24-23,,
0:12.0,G. Robinson makes 3-pt shot from 23 ft (assist by A. Brooks),3,27-23,,
0:03.0,,,27-23,,D. Harris misses 2-pt shot from 4 ft (block by A. Jefferson)
0:01.0,,,27-23,,Offensive rebound by D. Powell
0:01.0,,,27-25,2,D. Powell makes 2-pt shot at rim
0:01.0,G. Robinson misses 3-pt shot from 37 ft,,27-25,,
0:00.0,Offensive rebound by Team,,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,C. Miles makes 3-pt shot from 26 ft (assist by R. Stuckey),3,30-25,,
11:23.0,,,30-27,2,H. Barnes makes 2-pt shot from 6 ft
11:05.0,A. Jefferson misses 2-pt shot from 2 ft,,30-27,,
11:04.0,,,30-27,,Defensive rebound by Team
10:54.0,,,30-30,3,N. Brussino makes 3-pt shot from 24 ft (assist by D. Williams)
10:36.0,C. Miles makes 3-pt shot from 23 ft (assist by A. Brooks),3,33-30,,
10:22.0,Personal foul by A. Brooks (drawn by H. Barnes),,33-30,,
10:14.0,,,33-30,,N. Brussino misses 2-pt shot from 20 ft
10:13.0,Defensive rebound by A. Brooks,,33-30,,
10:00.0,A. Brooks misses 2-pt shot from 7 ft,,33-30,,
9:59.0,,,33-30,,Defensive rebound by N. Brussino
9:45.0,,,33-32,2,D. Williams makes 2-pt shot from 18 ft
9:32.0,C. Miles makes 3-pt shot from 24 ft (assist by R. Stuckey),3,36-32,,
9:13.0,,,36-34,2,H. Barnes makes 2-pt shot from 11 ft
8:48.0,R. Stuckey misses 3-pt shot from 24 ft,,36-34,,
8:46.0,,,36-34,,Defensive rebound by N. Brussino
8:38.0,,,36-34,,Shooting foul by R. Stuckey (drawn by D. Williams)
8:38.0,Official timeout,,36-34,,
8:38.0,,,36-35,1,D. Williams makes free throw 1 of 2
8:38.0,,,36-36,1,D. Williams makes free throw 2 of 2
8:38.0,,,36-34,,D. Harris enters the game for S. Curry
8:23.0,A. Brooks makes 3-pt shot from 26 ft (assist by R. Stuckey),3,39-36,,
8:02.0,,,39-36,,D. Harris misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by Team,,39-36,,
8:00.0,M. Ellis enters the game for G. Robinson,,39-36,,
8:00.0,P. George enters the game for A. Brooks,,39-36,,
7:49.0,A. Jefferson misses 2-pt shot from 2 ft,,39-36,,
7:48.0,,,39-36,,Defensive rebound by H. Barnes
7:38.0,,,39-38,2,S. Mejri makes 2-pt shot at rim (assist by D. Williams)
7:24.0,Offensive foul by A. Jefferson,,39-38,,
7:24.0,Turnover by A. Jefferson (offensive foul),,39-38,,
7:24.0,,,39-38,,W. Matthews enters the game for N. Brussino
7:24.0,M. Turner enters the game for A. Jefferson,,39-38,,
7:11.0,,,39-38,,H. Barnes misses 2-pt shot from 18 ft
7:10.0,Defensive rebound by M. Ellis,,39-38,,
7:04.0,,,39-38,,Personal foul by D. Williams (drawn by C. Miles)
7:04.0,,,39-38,,S. Curry enters the game for D. Williams
6:54.0,R. Stuckey makes 2-pt shot from 16 ft,2,41-38,,
6:32.0,,,41-38,,W. Matthews misses 2-pt shot from 13 ft
6:30.0,Defensive rebound by C. Miles,,41-38,,
6:19.0,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey),3,44-38,,
6:18.0,,,44-38,,Dallas full timeout
6:18.0,,,44-38,,D. Powell enters the game for H. Barnes
6:18.0,,,44-38,,D. Finney-Smith enters the game for S. Mejri
6:18.0,J. Teague enters the game for R. Stuckey,,44-38,,
5:57.0,,,44-38,,Turnover by S. Curry (bad pass; steal by P. George)
5:53.0,P. George makes 2-pt shot at rim (assist by J. Teague),2,46-38,,
5:37.0,,,46-40,2,D. Harris makes 2-pt shot from 1 ft
5:18.0,Shooting foul by D. Powell (drawn by M. Turner),,46-40,,
5:18.0,M. Turner makes free throw 1 of 2,1,47-40,,
5:18.0,M. Turner makes free throw 2 of 2,1,48-40,,
5:18.0,,,47-40,,S. Mejri enters the game for D. Powell
5:03.0,,,48-42,2,S. Curry makes 2-pt shot from 20 ft
4:47.0,J. Teague makes 2-pt shot from 6 ft,2,50-42,,
4:28.0,,,50-42,,S. Curry misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by J. Teague,,50-42,,
4:19.0,Turnover by J. Teague (bad pass; steal by S. Mejri),,50-42,,
4:06.0,,,50-42,,Shooting foul by M. Ellis (drawn by W. Matthews)
4:06.0,,,50-42,,W. Matthews misses free throw 1 of 3
4:06.0,,,50-42,,Offensive rebound by Team
4:06.0,,,50-43,1,W. Matthews makes free throw 2 of 3
4:06.0,,,50-44,1,W. Matthews makes free throw 3 of 3
4:06.0,,,50-43,,D. Williams enters the game for D. Harris
4:06.0,,,50-43,,H. Barnes enters the game for D. Finney-Smith
