time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Hernangomez vs. R. Holmes (M. Ndour gains possession),,,,Jump ball: W. Hernangomez vs. R. Holmes (M. Ndour gains possession)
11:40.0,,,0-0,,C. Anthony misses 2-pt shot from 13 ft
11:39.0,Defensive rebound by R. Holmes,,0-0,,
11:19.0,Shooting foul by C. Anthony (drawn by J. Anderson),,0-0,,
11:19.0,J. Anderson misses free throw 1 of 2,,0-0,,
11:19.0,Offensive rebound by Team,,0-0,,
11:19.0,J. Anderson makes free throw 2 of 2,1,1-0,,
11:08.0,,,1-0,,W. Hernangomez misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by A. Poythress,,1-0,,
10:47.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell),2,3-0,,
10:24.0,,,3-0,,Shooting foul by R. Holmes (drawn by C. Lee)
10:24.0,,,3-1,1,C. Lee makes free throw 1 of 2
10:24.0,,,3-1,,C. Lee misses free throw 2 of 2
10:23.0,Defensive rebound by R. Holmes,,3-1,,
10:10.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by A. Poythress),3,6-1,,
9:54.0,,,6-1,,M. Ndour misses 2-pt shot from 5 ft
9:53.0,,,6-1,,Offensive rebound by W. Hernangomez
9:52.0,,,6-1,,Turnover by M. Ndour (lost ball)
9:39.0,Offensive foul by T. Luwawu-Cabarrot,,6-1,,
9:39.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,6-1,,
9:20.0,,,6-3,2,C. Anthony makes 2-pt shot from 11 ft
9:05.0,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell),2,8-3,,
8:52.0,,,8-5,2,C. Lee makes 2-pt shot from 18 ft
8:52.0,,,8-5,,Shooting foul by T. Luwawu-Cabarrot (drawn by C. Lee)
8:52.0,,,8-5,,C. Lee misses free throw 1 of 1
8:51.0,Defensive rebound by T. McConnell,,8-5,,
8:45.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,8-5,,
8:44.0,,,8-5,,Defensive rebound by W. Hernangomez
8:30.0,,,8-5,,Shooting foul by A. Poythress (drawn by M. Ndour)
8:30.0,,,8-6,1,M. Ndour makes free throw 1 of 2
8:30.0,,,8-6,,M. Ndour misses free throw 2 of 2
8:30.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,8-6,,
8:29.0,Defensive rebound by J. Anderson,,8-6,,
8:12.0,T. McConnell misses 2-pt shot from 2 ft,,8-6,,
8:12.0,,,8-6,,Defensive rebound by C. Anthony
7:54.0,,,8-6,,C. Anthony misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by R. Holmes,,8-6,,
7:44.0,T. McConnell misses 2-pt shot from 1 ft,,8-6,,
7:44.0,,,8-6,,Defensive rebound by W. Hernangomez
7:37.0,,,8-6,,C. Lee misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by Team,,8-6,,
7:18.0,J. Anderson makes 2-pt shot at rim,2,10-6,,
7:01.0,,,10-6,,C. Anthony misses 2-pt shot from 10 ft
7:00.0,Defensive rebound by Team,,10-6,,
6:39.0,T. McConnell makes 2-pt shot from 1 ft,2,12-6,,
6:23.0,,,12-6,,Turnover by W. Hernangomez (bad pass)
6:13.0,R. Holmes makes 2-pt shot from 20 ft (assist by T. McConnell),2,14-6,,
5:52.0,,,14-6,,Shooting foul by T. McConnell (drawn by R. Baker)
5:52.0,,,14-6,,New York full timeout
5:52.0,,,14-6,,R. Baker misses free throw 1 of 2
5:52.0,,,14-6,,Offensive rebound by Team
5:52.0,,,14-7,1,R. Baker makes free throw 2 of 2
5:52.0,N. Stauskas enters the game for J. Anderson,,14-6,,
5:52.0,S. Long enters the game for R. Holmes,,14-6,,
5:52.0,,,14-6,,M. Kuzminskas enters the game for M. Ndour
5:38.0,A. Poythress misses 3-pt shot from 25 ft,,14-7,,
5:37.0,Offensive rebound by S. Long,,14-7,,
5:31.0,N. Stauskas misses 3-pt shot from 25 ft,,14-7,,
5:30.0,,,14-7,,Defensive rebound by W. Hernangomez
5:17.0,,,14-7,,Shooting foul by S. Long (drawn by C. Lee)
5:17.0,,,14-8,1,C. Lee makes free throw 1 of 2
5:17.0,,,14-9,1,C. Lee makes free throw 2 of 2
5:17.0,T. Luwawu-Cabarrot enters the game for T. McConnell,,14-8,,
5:05.0,S. Long misses 3-pt shot from 25 ft,,14-9,,
5:04.0,,,14-9,,Defensive rebound by W. Hernangomez
4:57.0,,,14-9,,Shooting foul by S. Long (drawn by M. Kuzminskas)
4:57.0,,,14-10,1,M. Kuzminskas makes free throw 1 of 2
4:57.0,,,14-11,1,M. Kuzminskas makes free throw 2 of 2
4:57.0,T. Splitter enters the game for S. Long,,14-10,,
4:57.0,,,14-10,,C. Randle enters the game for W. Hernangomez
4:57.0,,,14-10,,M. Plumlee enters the game for R. Baker
4:37.0,N. Stauskas misses 2-pt shot from 23 ft,,14-11,,
4:36.0,Offensive rebound by A. Poythress,,14-11,,
4:35.0,A. Poythress makes 2-pt shot from 1 ft,2,16-11,,
4:07.0,,,16-13,2,C. Anthony makes 2-pt shot from 10 ft
3:57.0,Turnover by G. Henderson (lost ball; steal by C. Anthony),,16-13,,
3:48.0,,,16-13,,C. Randle misses 2-pt shot from 2 ft
3:47.0,Defensive rebound by Team,,16-13,,
3:47.0,,,16-13,,Loose ball foul by M. Plumlee (drawn by T. Luwawu-Cabarrot)
3:47.0,,,16-13,,J. Holiday enters the game for C. Lee
3:38.0,Turnover by N. Stauskas (bad pass; steal by J. Holiday),,16-13,,
