time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Howard (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. D. Howard (R. Jackson gains possession)
11:42.0,T. Harris makes 2-pt shot from 14 ft,2,2-0,,
11:24.0,,,2-0,,Turnover by D. Schroder (lost ball)
11:11.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by K. Bazemore),,2-0,,
11:08.0,,,2-0,,Defensive rebound by T. Sefolosha
10:58.0,,,2-0,,P. Millsap misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by T. Harris,,2-0,,
10:49.0,R. Jackson misses 2-pt shot from 8 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by D. Howard
10:41.0,,,2-0,,T. Sefolosha misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by T. Harris,,2-0,,
10:27.0,R. Jackson misses 2-pt shot from 11 ft (block by D. Howard),,2-0,,
10:25.0,Offensive rebound by R. Jackson,,2-0,,
10:24.0,Offensive foul by R. Jackson,,2-0,,
10:24.0,Turnover by R. Jackson (offensive foul),,2-0,,
10:13.0,,,2-0,,K. Bazemore misses 2-pt shot from 19 ft
10:11.0,Defensive rebound by J. Leuer,,2-0,,
10:01.0,R. Jackson misses 2-pt shot from 11 ft,,2-0,,
10:00.0,,,2-0,,Defensive rebound by D. Howard
9:45.0,,,2-2,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Howard)
9:26.0,Turnover by K. Caldwell-Pope (lost ball; steal by K. Bazemore),,2-2,,
9:19.0,,,2-2,,Turnover by P. Millsap (bad pass)
9:08.0,Turnover by R. Jackson (bad pass; steal by P. Millsap),,2-2,,
9:04.0,,,2-4,2,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap)
8:51.0,R. Jackson makes 2-pt shot from 12 ft,2,4-4,,
8:43.0,,,4-4,,Turnover by D. Schroder (bad pass; steal by J. Leuer)
8:37.0,,,4-4,,Personal foul by P. Millsap (drawn by A. Drummond)
8:27.0,A. Drummond misses 2-pt shot from 1 ft,,4-4,,
8:26.0,,,4-4,,Defensive rebound by D. Howard
8:17.0,,,4-4,,D. Howard misses 2-pt shot from 20 ft
8:16.0,Defensive rebound by A. Drummond,,4-4,,
8:10.0,J. Leuer makes 2-pt shot at rim (assist by R. Jackson),2,6-4,,
7:55.0,,,6-6,2,D. Schroder makes 2-pt shot from 1 ft
7:43.0,R. Jackson misses 3-pt shot from 25 ft,,6-6,,
7:40.0,,,6-6,,Defensive rebound by D. Howard
7:28.0,,,6-6,,D. Howard misses 2-pt shot from 5 ft
7:25.0,Defensive rebound by J. Leuer,,6-6,,
7:17.0,Shooting foul by T. Sefolosha (drawn by A. Drummond),,6-6,,
7:17.0,A. Drummond makes free throw 1 of 2,1,7-6,,
7:17.0,A. Drummond misses free throw 2 of 2,,7-6,,
7:16.0,,,7-6,,Defensive rebound by D. Howard
6:54.0,,,7-6,,D. Howard misses 2-pt shot from 7 ft
6:53.0,Defensive rebound by T. Harris,,7-6,,
6:45.0,Turnover by A. Drummond (traveling),,7-6,,
6:37.0,,,7-6,,P. Millsap misses 2-pt shot from 6 ft
6:37.0,Defensive rebound by Team,,7-6,,
6:37.0,,,7-6,,Loose ball foul by D. Howard (drawn by J. Leuer)
6:20.0,T. Harris misses 2-pt shot from 15 ft,,7-6,,
6:17.0,Offensive rebound by A. Drummond,,7-6,,
6:17.0,A. Drummond misses 2-pt shot from 1 ft,,7-6,,
6:14.0,Offensive rebound by J. Leuer,,7-6,,
6:14.0,J. Leuer makes 2-pt shot from 1 ft,2,9-6,,
5:55.0,,,9-6,,P. Millsap misses 2-pt shot from 10 ft
5:52.0,Defensive rebound by A. Drummond,,9-6,,
5:45.0,R. Jackson misses 3-pt shot from 25 ft,,9-6,,
5:44.0,,,9-6,,Defensive rebound by T. Sefolosha
5:27.0,,,9-8,2,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder)
5:12.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,9-8,,
5:09.0,,,9-8,,Defensive rebound by P. Millsap
5:00.0,,,9-8,,Turnover by K. Bazemore (bad pass; steal by J. Leuer)
4:53.0,J. Leuer makes 2-pt shot from 1 ft (assist by R. Jackson),2,11-8,,
4:53.0,,,11-8,,Atlanta full timeout
4:53.0,S. Johnson enters the game for T. Harris,,11-8,,
4:53.0,I. Smith enters the game for R. Jackson,,11-8,,
4:53.0,,,11-8,,K. Korver enters the game for T. Sefolosha
4:53.0,,,11-8,,M. Muscala enters the game for D. Howard
4:39.0,,,11-8,,D. Schroder misses 2-pt shot from 4 ft (block by A. Drummond)
4:37.0,Defensive rebound by I. Smith,,11-8,,
4:28.0,A. Drummond misses 2-pt shot from 13 ft,,11-8,,
4:26.0,,,11-8,,Defensive rebound by M. Muscala
4:16.0,,,11-11,3,M. Muscala makes 3-pt shot from 25 ft (assist by D. Schroder)
4:00.0,J. Leuer misses 3-pt shot from 24 ft,,11-11,,
3:58.0,Offensive rebound by Team,,11-11,,
3:58.0,,,11-11,,T. Hardaway enters the game for K. Bazemore
3:52.0,,,11-11,,Violation by D. Schroder (kicked ball)
3:43.0,J. Leuer misses 2-pt shot from 13 ft,,11-11,,
3:41.0,Offensive rebound by A. Drummond,,11-11,,
3:41.0,A. Drummond makes 2-pt shot at rim,2,13-11,,
3:29.0,,,13-13,2,D. Schroder makes 2-pt shot from 2 ft
3:16.0,I. Smith misses 2-pt shot from 13 ft,,13-13,,
3:14.0,Offensive rebound by A. Drummond,,13-13,,
3:13.0,Turnover by A. Drummond (bad pass; steal by M. Muscala),,13-13,,
3:08.0,,,13-13,,Turnover by P. Millsap (bad pass; steal by K. Caldwell-Pope)
2:57.0,A. Drummond misses 2-pt shot from 1 ft,,13-13,,
2:56.0,,,13-13,,Defensive rebound by M. Muscala
2:47.0,Personal foul by S. Johnson (drawn by P. Millsap),,13-13,,
2:47.0,Detroit full timeout,,13-13,,
2:47.0,A. Baynes enters the game for A. Drummond,,13-13,,
2:41.0,,,13-15,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
2:25.0,Turnover by K. Caldwell-Pope (bad pass; steal by M. Muscala),,13-15,,
2:17.0,,,13-15,,Turnover by M. Muscala (bad pass; steal by K. Caldwell-Pope)
2:12.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,13-15,,
2:11.0,,,13-15,,Defensive rebound by D. Schroder
2:05.0,,,13-15,,K. Korver misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by J. Leuer,,13-15,,
1:50.0,S. Johnson misses 3-pt shot from 26 ft,,13-15,,
1:49.0,,,13-15,,Defensive rebound by K. Korver
1:41.0,,,13-15,,T. Hardaway misses 3-pt shot from 25 ft
1:40.0,,,13-15,,Offensive rebound by P. Millsap
1:32.0,,,13-17,2,P. Millsap makes 2-pt shot from 6 ft (assist by M. Muscala)
1:32.0,,,13-17,,Shooting foul by J. Leuer (drawn by P. Millsap)
1:32.0,,,13-18,1,P. Millsap makes free throw 1 of 1
1:32.0,,,13-17,,M. Delaney enters the game for D. Schroder
1:32.0,,,13-17,,K. Humphries enters the game for M. Muscala
1:16.0,K. Caldwell-Pope makes 2-pt shot from 13 ft (assist by A. Baynes),2,15-18,,
1:04.0,,,15-18,,K. Korver misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by S. Johnson,,15-18,,
0:48.0,S. Johnson makes 2-pt shot from 2 ft,2,17-18,,
0:31.0,,,17-18,,P. Millsap misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by S. Johnson,,17-18,,
0:17.0,J. Leuer makes 2-pt shot from 14 ft (assist by S. Johnson),2,19-18,,
0:01.0,Shooting block foul by A. Baynes (drawn by P. Millsap),,19-18,,
0:01.0,,,19-18,,P. Millsap misses free throw 1 of 2
0:01.0,,,19-18,,Offensive rebound by Team
0:01.0,,,19-19,1,P. Millsap makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,19-21,2,T. Hardaway makes 2-pt shot from 9 ft (assist by K. Korver)
11:20.0,T. Harris misses 3-pt shot from 25 ft,,19-21,,
11:19.0,,,19-21,,Defensive rebound by M. Delaney
11:14.0,,,19-21,,T. Hardaway misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by I. Smith,,19-21,,
11:07.0,R. Jackson misses 3-pt shot from 25 ft,,19-21,,
11:05.0,Offensive rebound by T. Harris,,19-21,,
11:05.0,T. Harris makes 2-pt shot from 1 ft,2,21-21,,
10:50.0,,,21-21,,Shooting foul by R. Jackson (drawn by K. Korver)
10:50.0,,,21-22,1,K. Korver makes free throw 1 of 3
10:50.0,,,21-23,1,K. Korver makes free throw 2 of 3
10:50.0,,,21-24,1,K. Korver makes free throw 3 of 3
10:28.0,A. Baynes misses 2-pt shot from 6 ft,,21-24,,
10:27.0,,,21-24,,Defensive rebound by K. Korver
10:15.0,,,21-24,,Turnover by M. Delaney (palming)
10:03.0,T. Harris misses 3-pt shot from 25 ft,,21-24,,
10:02.0,,,21-24,,Defensive rebound by M. Delaney
9:57.0,Personal foul by A. Baynes (drawn by K. Humphries),,21-24,,
9:52.0,,,21-26,2,K. Korver makes 2-pt shot from 20 ft (assist by M. Delaney)
9:31.0,A. Baynes makes 2-pt shot from 20 ft (assist by R. Jackson),2,23-26,,
9:19.0,,,23-29,3,K. Humphries makes 3-pt shot from 25 ft (assist by M. Delaney)
9:03.0,Shooting foul by M. Muscala (drawn by T. Harris),,23-29,,
9:03.0,T. Harris makes free throw 1 of 2,1,24-29,,
9:03.0,T. Harris makes free throw 2 of 2,1,25-29,,
8:47.0,,,25-31,2,K. Korver makes 2-pt shot from 16 ft (assist by K. Humphries)
8:33.0,R. Jackson makes 2-pt shot from 1 ft,2,27-31,,
8:23.0,,,27-31,,M. Delaney misses 3-pt shot from 25 ft
8:22.0,,,27-31,,Offensive rebound by K. Humphries
8:21.0,,,27-31,,K. Humphries misses 2-pt shot from 1 ft (block by A. Baynes)
8:21.0,Defensive rebound by Team,,27-31,,
8:21.0,Official timeout,,27-31,,
8:21.0,,,27-31,,D. Howard enters the game for K. Humphries
8:21.0,A. Drummond enters the game for A. Baynes,,27-31,,
8:06.0,I. Smith misses 3-pt shot from 25 ft,,27-31,,
8:06.0,,,27-31,,Defensive rebound by Team
7:53.0,,,27-33,2,T. Hardaway makes 2-pt shot from 15 ft
7:36.0,Offensive charge foul by R. Jackson,,27-33,,
7:36.0,Turnover by R. Jackson (offensive foul),,27-33,,
7:36.0,K. Caldwell-Pope enters the game for R. Jackson,,27-33,,
7:29.0,,,27-33,,Turnover by M. Delaney (bad pass; steal by S. Johnson)
7:13.0,A. Drummond makes 2-pt shot from 4 ft (assist by S. Johnson),2,29-33,,
7:02.0,,,29-33,,Turnover by T. Hardaway (bad pass; steal by I. Smith)
6:54.0,S. Johnson misses 3-pt shot from 25 ft,,29-33,,
6:53.0,,,29-33,,Defensive rebound by M. Muscala
6:32.0,,,29-35,2,K. Korver makes 2-pt shot from 9 ft (assist by M. Muscala)
6:16.0,T. Harris makes 2-pt shot from 18 ft (assist by S. Johnson),2,31-35,,
6:03.0,,,31-35,,Shooting foul by S. Johnson (drawn by D. Howard)
6:03.0,,,31-37,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Delaney)
6:03.0,,,31-38,1,D. Howard makes free throw 1 of 1
6:03.0,,,31-37,,P. Millsap enters the game for M. Muscala
6:03.0,,,31-37,,K. Bazemore enters the game for T. Hardaway
6:03.0,,,31-37,,D. Schroder enters the game for M. Delaney
5:42.0,I. Smith makes 3-pt shot from 22 ft (assist by S. Johnson),3,34-38,,
5:28.0,,,34-38,,K. Korver misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by Team,,34-38,,
5:27.0,,,34-38,,Atlanta full timeout
5:27.0,J. Leuer enters the game for S. Johnson,,34-38,,
5:27.0,,,34-38,,T. Sefolosha enters the game for K. Korver
5:09.0,Turnover by A. Drummond (3 sec),,34-38,,
4:52.0,,,34-38,,P. Millsap misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by A. Drummond,,34-38,,
4:44.0,J. Leuer makes 3-pt shot from 25 ft (assist by I. Smith),3,37-38,,
4:27.0,,,37-38,,T. Sefolosha misses 2-pt shot from 22 ft
4:26.0,,,37-38,,Offensive rebound by D. Howard
