time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. D. Powell (S. Curry gains possession),,,,Jump ball: Z. Pachulia vs. D. Powell (S. Curry gains possession)
11:39.0,,,0-0,,D. Green misses 2-pt shot from 10 ft
11:39.0,,,0-0,,Offensive rebound by Team
11:39.0,Loose ball foul by D. Powell (drawn by D. Green),,0-0,,
11:32.0,,,0-2,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
11:19.0,H. Barnes misses 2-pt shot from 11 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by D. Green
11:03.0,,,0-4,2,K. Thompson makes 2-pt shot from 17 ft (assist by Z. Pachulia)
10:44.0,S. Curry misses 3-pt shot from 27 ft,,0-4,,
10:43.0,,,0-4,,Defensive rebound by D. Green
10:38.0,,,0-4,,S. Curry misses 3-pt shot from 28 ft
10:38.0,Defensive rebound by D. Finney-Smith,,0-4,,
10:24.0,D. Powell makes 2-pt shot from 18 ft (assist by S. Curry),2,2-4,,
10:13.0,,,2-4,,Turnover by K. Durant (bad pass; steal by D. Powell)
10:10.0,,,2-4,,Personal foul by D. Green (drawn by S. Curry)
9:55.0,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry),2,4-4,,
9:42.0,,,4-7,3,D. Green makes 3-pt shot from 27 ft (assist by Z. Pachulia)
9:18.0,J. Anderson misses 3-pt shot from 29 ft,,4-7,,
9:17.0,Offensive rebound by H. Barnes,,4-7,,
9:13.0,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes),3,7-7,,
8:49.0,,,7-9,2,K. Durant makes 2-pt shot from 13 ft
8:32.0,H. Barnes misses 2-pt shot from 17 ft,,7-9,,
8:31.0,,,7-9,,Defensive rebound by Z. Pachulia
8:17.0,,,7-9,,D. Green misses 2-pt shot from 3 ft (block by S. Curry)
8:15.0,Defensive rebound by D. Powell,,7-9,,
8:00.0,S. Curry misses 2-pt shot from 1 ft (block by D. Green),,7-9,,
7:58.0,,,7-9,,Defensive rebound by Z. Pachulia
7:52.0,,,7-9,,Offensive foul by Z. Pachulia
7:52.0,,,7-9,,Turnover by Z. Pachulia (offensive foul)
7:42.0,H. Barnes misses 3-pt shot from 26 ft,,7-9,,
7:42.0,,,7-9,,Defensive rebound by K. Durant
7:31.0,,,7-11,2,K. Thompson makes 2-pt shot from 11 ft (assist by Z. Pachulia)
7:06.0,J. Anderson misses 2-pt shot from 7 ft,,7-11,,
7:06.0,,,7-11,,Defensive rebound by K. Durant
6:54.0,,,7-11,,Z. Pachulia misses 2-pt shot from 3 ft
6:52.0,Defensive rebound by D. Powell,,7-11,,
6:36.0,Shooting foul by K. Thompson (drawn by H. Barnes),,7-11,,
6:36.0,H. Barnes makes free throw 1 of 2,1,8-11,,
6:36.0,,,8-11,,Golden State full timeout
6:36.0,H. Barnes makes free throw 2 of 2,1,9-11,,
6:19.0,,,9-14,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
5:57.0,D. Finney-Smith misses 3-pt shot from 22 ft (block by D. Green),,9-14,,
5:57.0,Offensive rebound by Team,,9-14,,
5:50.0,D. Powell misses 3-pt shot from 24 ft,,9-14,,
5:50.0,,,9-14,,Defensive rebound by D. Green
5:44.0,,,9-14,,Turnover by K. Durant (bad pass; steal by D. Powell)
5:32.0,H. Barnes misses 2-pt shot from 12 ft,,9-14,,
5:29.0,,,9-14,,Defensive rebound by Z. Pachulia
5:23.0,,,9-17,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
5:22.0,Dallas full timeout,,9-17,,
5:22.0,,,9-17,,A. Iguodala enters the game for K. Durant
5:22.0,S. Mejri enters the game for S. Curry,,9-17,,
5:22.0,N. Brussino enters the game for D. Powell,,9-17,,
4:56.0,J. Anderson makes 2-pt shot from 4 ft,2,11-17,,
4:41.0,,,11-20,3,K. Thompson makes 3-pt shot from 27 ft (assist by Z. Pachulia)
4:14.0,H. Barnes makes 2-pt shot from 11 ft,2,13-20,,
4:04.0,,,13-23,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
4:03.0,Dallas full timeout,,13-23,,
4:03.0,,,13-23,,K. Durant enters the game for Z. Pachulia
4:03.0,,,13-23,,S. Livingston enters the game for S. Curry
3:49.0,J. Anderson misses 2-pt shot from 17 ft,,13-23,,
3:48.0,,,13-23,,Defensive rebound by D. Green
3:32.0,Personal foul by D. Finney-Smith (drawn by K. Thompson),,13-23,,
3:32.0,Q. Acy enters the game for H. Barnes,,13-23,,
3:32.0,S. Curry enters the game for D. Finney-Smith,,13-23,,
3:22.0,,,13-23,,K. Thompson misses 3-pt shot from 29 ft
3:22.0,,,13-23,,Offensive rebound by A. Iguodala
3:17.0,,,13-26,3,D. Green makes 3-pt shot from 28 ft (assist by A. Iguodala)
3:03.0,Turnover by N. Brussino (bad pass),,13-26,,
2:52.0,,,13-26,,D. Green misses 3-pt shot from 27 ft
2:52.0,Defensive rebound by J. Anderson,,13-26,,
2:39.0,S. Curry misses 3-pt shot from 28 ft,,13-26,,
2:38.0,Offensive rebound by N. Brussino,,13-26,,
2:26.0,Q. Acy makes 2-pt shot from 15 ft,2,15-26,,
2:15.0,,,15-28,2,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson)
2:15.0,,,15-28,,Shooting foul by S. Curry (drawn by D. Green)
2:15.0,,,15-28,,D. Green misses free throw 1 of 1
2:13.0,Defensive rebound by Q. Acy,,15-28,,
1:50.0,Q. Acy misses 3-pt shot from 23 ft,,15-28,,
1:50.0,,,15-28,,Defensive rebound by D. Green
1:41.0,,,15-31,3,K. Durant makes 3-pt shot from 26 ft (assist by D. Green)
1:24.0,J. Anderson misses 3-pt shot from 26 ft,,15-31,,
1:22.0,Offensive rebound by Q. Acy,,15-31,,
1:16.0,Turnover by N. Brussino (bad pass; steal by A. Iguodala),,15-31,,
1:15.0,Personal foul by Q. Acy (drawn by A. Iguodala),,15-31,,
1:15.0,,,15-31,,D. West enters the game for D. Green
1:05.0,,,15-31,,S. Livingston misses 2-pt shot from 12 ft
1:04.0,Defensive rebound by S. Mejri,,15-31,,
0:50.0,Q. Acy misses 3-pt shot from 25 ft,,15-31,,
0:49.0,,,15-31,,Defensive rebound by A. Iguodala
0:43.0,,,15-34,3,K. Durant makes 3-pt shot from 27 ft (assist by A. Iguodala)
0:22.0,J. Anderson misses 2-pt shot from 3 ft,,15-34,,
0:21.0,,,15-34,,Defensive rebound by K. Durant
0:05.0,,,15-34,,Turnover by K. Durant (bad pass; steal by N. Brussino)
0:01.0,S. Curry misses 3-pt shot from 29 ft,,15-34,,
0:00.0,Offensive rebound by Team,,15-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,H. Barnes misses 2-pt shot from 14 ft,,15-34,,
11:42.0,,,15-34,,Defensive rebound by Team
11:26.0,,,15-34,,A. Iguodala misses 3-pt shot from 27 ft
11:26.0,Defensive rebound by S. Mejri,,15-34,,
11:07.0,S. Curry makes 2-pt shot from 22 ft,2,17-34,,
10:48.0,,,17-34,,Shooting foul by S. Curry (drawn by K. Durant)
10:48.0,,,17-35,1,K. Durant makes free throw 1 of 2
10:48.0,,,17-35,,K. Durant misses free throw 2 of 2
10:47.0,Defensive rebound by Q. Acy,,17-35,,
10:29.0,Turnover by S. Curry (bad pass),,17-35,,
