time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (S. Mack gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (S. Mack gains possession)
11:35.0,,,0-0,,B. Diaw misses 2-pt shot from 15 ft
11:34.0,Defensive rebound by K. Durant,,0-0,,
11:13.0,K. Durant misses 2-pt shot from 18 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by J. Ingles
11:00.0,,,0-0,,J. Ingles misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by Z. Pachulia,,0-0,,
10:43.0,Turnover by K. Durant (bad pass; steal by B. Diaw),,0-0,,
10:37.0,,,0-0,,B. Diaw misses 2-pt shot from 3 ft (block by Z. Pachulia)
10:37.0,,,0-0,,Offensive rebound by Team
10:29.0,,,0-0,,Turnover by J. Ingles (step out of bounds)
10:14.0,S. Curry misses 2-pt shot from 12 ft,,0-0,,
10:12.0,Offensive rebound by Z. Pachulia,,0-0,,
10:08.0,S. Curry makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,2-0,,
9:54.0,,,2-0,,Shooting foul by D. Green (drawn by R. Gobert)
9:54.0,,,2-0,,R. Gobert misses free throw 1 of 2
9:54.0,,,2-0,,Offensive rebound by Team
9:54.0,,,2-1,1,R. Gobert makes free throw 2 of 2
9:46.0,Shooting foul by S. Mack (drawn by K. Thompson),,2-1,,
9:46.0,K. Thompson makes free throw 1 of 2,1,3-1,,
9:46.0,K. Thompson makes free throw 2 of 2,1,4-1,,
9:28.0,,,4-1,,G. Hayward misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by D. Green,,4-1,,
9:20.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant),2,6-1,,
8:59.0,,,6-3,2,B. Diaw makes 2-pt shot from 2 ft (assist by S. Mack)
8:45.0,D. Green misses 3-pt shot from 25 ft,,6-3,,
8:44.0,,,6-3,,Defensive rebound by R. Gobert
