time,Orlando,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Vucevic (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Vucevic (C. Paul gains possession)
11:41.0,,,0-0,,D. Jordan misses 2-pt shot from 3 ft (block by N. Vucevic)
11:36.0,Defensive rebound by N. Vucevic,,0-0,,
11:26.0,Turnover by E. Fournier (lost ball; steal by D. Jordan),,0-0,,
11:10.0,,,0-2,2,C. Paul makes 2-pt shot from 17 ft
10:55.0,N. Vucevic misses 2-pt shot from 13 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by D. Jordan
10:42.0,Personal foul by A. Gordon (drawn by D. Jordan),,0-2,,
10:27.0,,,0-2,,J. Redick misses 2-pt shot from 21 ft
10:24.0,Defensive rebound by E. Payton,,0-2,,
10:23.0,Turnover by E. Payton (lost ball; steal by C. Paul),,0-2,,
10:20.0,,,0-2,,C. Paul misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by E. Fournier,,0-2,,
10:10.0,Shooting foul by J. Redick (drawn by A. Gordon),,0-2,,
10:10.0,A. Gordon misses free throw 1 of 2,,0-2,,
10:10.0,Offensive rebound by Team,,0-2,,
10:10.0,A. Gordon makes free throw 2 of 2,1,1-2,,
9:48.0,,,1-2,,J. Redick misses 3-pt shot from 27 ft
9:47.0,,,1-2,,Offensive rebound by D. Jordan
9:45.0,,,1-2,,Shooting foul by J. Green (drawn by D. Jordan)
9:45.0,,,1-3,1,D. Jordan makes free throw 1 of 2
9:45.0,,,1-3,,D. Jordan misses free throw 2 of 2
9:44.0,Defensive rebound by J. Green,,1-3,,
9:34.0,E. Fournier misses 2-pt shot from 3 ft (block by D. Jordan),,1-3,,
9:32.0,Offensive rebound by J. Green,,1-3,,
9:27.0,E. Payton makes 2-pt shot from 11 ft,2,3-3,,
9:26.0,,,3-3,,Turnover by C. Paul (traveling)
9:19.0,J. Green misses 3-pt shot from 27 ft,,3-3,,
9:18.0,,,3-3,,Defensive rebound by D. Jordan
9:13.0,Personal foul by J. Green (drawn by C. Paul),,3-3,,
9:13.0,J. Meeks enters the game for J. Green,,3-3,,
9:03.0,,,3-6,3,A. Rivers makes 3-pt shot from 26 ft (assist by C. Paul)
8:51.0,E. Payton misses 2-pt shot from 3 ft,,3-6,,
8:50.0,,,3-6,,Defensive rebound by D. Jordan
8:42.0,,,3-6,,D. Jordan misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by N. Vucevic,,3-6,,
8:33.0,A. Gordon makes 2-pt shot from 14 ft (assist by E. Payton),2,5-6,,
8:16.0,,,5-8,2,J. Redick makes 2-pt shot from 20 ft (assist by A. Rivers)
7:58.0,Shooting foul by L. Mbah a Moute (drawn by E. Fournier),,5-8,,
7:58.0,E. Fournier makes free throw 1 of 2,1,6-8,,
7:58.0,E. Fournier makes free throw 2 of 2,1,7-8,,
7:45.0,,,7-8,,Shooting foul by J. Meeks (drawn by J. Redick)
7:45.0,,,7-9,1,J. Redick makes free throw 1 of 2
7:45.0,,,7-10,1,J. Redick makes free throw 2 of 2
7:37.0,,,7-10,,Def 3 sec tech foul by L. Mbah a Moute
7:37.0,E. Fournier misses technical free throw,,7-10,,
7:37.0,Offensive rebound by Team,,7-10,,
7:29.0,N. Vucevic makes 2-pt shot from 16 ft,2,9-10,,
7:15.0,,,9-12,2,C. Paul makes 2-pt shot from 15 ft
7:04.0,E. Payton misses 2-pt shot from 17 ft,,9-12,,
7:02.0,,,9-12,,Defensive rebound by J. Redick
6:45.0,,,9-14,2,J. Redick makes 2-pt shot from 22 ft
6:26.0,J. Meeks misses 3-pt shot from 25 ft,,9-14,,
6:26.0,Offensive rebound by Team,,9-14,,
6:21.0,A. Gordon makes 2-pt shot from 4 ft,2,11-14,,
6:21.0,Shooting foul by L. Mbah a Moute (drawn by A. Gordon),,11-14,,
6:21.0,A. Gordon makes free throw 1 of 1,1,12-14,,
6:07.0,,,12-14,,Turnover by L. Mbah a Moute (bad pass; steal by N. Vucevic)
6:01.0,J. Meeks misses 3-pt shot from 26 ft,,12-14,,
5:57.0,,,12-14,,Defensive rebound by C. Paul
5:45.0,,,12-14,,A. Rivers misses 3-pt shot from 27 ft
5:44.0,Defensive rebound by J. Meeks,,12-14,,
5:39.0,A. Gordon makes 2-pt shot at rim (assist by J. Meeks),2,14-14,,
5:18.0,,,14-17,3,J. Redick makes 3-pt shot from 26 ft (assist by A. Rivers)
5:00.0,N. Vucevic misses 2-pt shot from 9 ft,,14-17,,
