time,Milwaukee,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Harrell vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: M. Harrell vs. J. Henson (G. Antetokounmpo gains possession)
11:34.0,M. Brogdon misses 2-pt shot from 19 ft,,0-0,,
11:33.0,Offensive rebound by M. Brogdon,,0-0,,
11:31.0,M. Brogdon makes 2-pt shot from 1 ft,2,2-0,,
11:10.0,,,2-0,,M. Harrell misses 2-pt shot from 8 ft (block by J. Henson)
11:09.0,,,2-0,,Offensive rebound by M. Harrell
11:07.0,,,2-0,,C. Brewer misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
11:05.0,Defensive rebound by T. Snell,,2-0,,
10:53.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Snell),2,4-0,,
10:38.0,,,4-0,,C. Brewer misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by J. Henson,,4-0,,
10:22.0,G. Antetokounmpo misses 2-pt shot from 15 ft (block by C. Brewer),,4-0,,
10:20.0,,,4-0,,Defensive rebound by C. Brewer
10:16.0,,,4-0,,J. Harden misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by J. Henson,,4-0,,
10:10.0,,,4-0,,Personal foul by C. Brewer (drawn by G. Antetokounmpo)
10:06.0,T. Snell makes 2-pt shot from 2 ft (assist by J. Parker),2,6-0,,
9:52.0,,,6-2,2,M. Harrell makes 2-pt shot at rim (assist by P. Beverley)
9:29.0,T. Snell misses 2-pt shot from 3 ft (block by M. Harrell),,6-2,,
9:28.0,,,6-2,,Defensive rebound by J. Harden
9:09.0,,,6-4,2,M. Harrell makes 2-pt shot at rim (assist by T. Ariza)
8:54.0,J. Parker misses 3-pt shot from 24 ft,,6-4,,
8:51.0,Offensive rebound by M. Brogdon,,6-4,,
8:51.0,,,6-4,,Personal foul by C. Brewer (drawn by M. Brogdon)
8:46.0,J. Parker misses 2-pt shot from 3 ft (block by J. Harden),,6-4,,
8:44.0,Offensive rebound by J. Parker,,6-4,,
8:44.0,J. Parker misses 2-pt shot from 2 ft (block by M. Harrell),,6-4,,
8:42.0,Offensive rebound by Team,,6-4,,
8:42.0,Turnover by T. Snell (bad pass; steal by C. Brewer),,6-4,,
8:35.0,,,6-4,,Turnover by P. Beverley (lost ball; steal by J. Henson)
8:28.0,T. Snell misses 2-pt shot from 17 ft,,6-4,,
8:26.0,,,6-4,,Defensive rebound by T. Ariza
8:20.0,,,6-4,,J. Harden misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by J. Henson,,6-4,,
8:02.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,8-4,,
7:46.0,,,8-4,,T. Ariza misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by G. Antetokounmpo,,8-4,,
7:21.0,J. Henson makes 2-pt shot from 6 ft (assist by M. Brogdon),2,10-4,,
6:59.0,,,10-4,,C. Brewer misses 2-pt shot from 1 ft
6:57.0,Defensive rebound by M. Brogdon,,10-4,,
6:51.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by M. Brogdon),2,12-4,,
6:49.0,,,12-4,,Houston full timeout
6:49.0,,,12-4,,E. Gordon enters the game for C. Brewer
6:36.0,,,12-6,2,J. Harden makes 2-pt shot at rim (assist by M. Harrell)
6:15.0,M. Brogdon misses 2-pt shot from 7 ft,,12-6,,
6:13.0,,,12-6,,Defensive rebound by J. Harden
6:02.0,,,12-6,,E. Gordon misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by G. Antetokounmpo,,12-6,,
5:54.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,12-6,,
5:54.0,Offensive rebound by Team,,12-6,,
5:54.0,,,12-6,,Loose ball foul by J. Harden (drawn by J. Henson)
5:45.0,J. Henson makes 2-pt shot from 2 ft (assist by J. Parker),2,14-6,,
5:34.0,,,14-6,,T. Ariza misses 3-pt shot from 26 ft
5:32.0,,,14-6,,Offensive rebound by M. Harrell
5:25.0,,,14-6,,Shooting foul by J. Henson (drawn by J. Harden)
5:25.0,,,14-7,1,J. Harden makes free throw 1 of 2
5:25.0,,,14-8,1,J. Harden makes free throw 2 of 2
5:25.0,M. Beasley enters the game for G. Antetokounmpo,,14-7,,
5:25.0,G. Monroe enters the game for J. Henson,,14-7,,
5:25.0,,,14-7,,N. Hilario enters the game for M. Harrell
5:25.0,,,14-7,,S. Dekker enters the game for P. Beverley
5:13.0,Turnover by J. Parker (bad pass),,14-8,,
5:05.0,,,14-10,2,J. Harden makes 2-pt shot from 1 ft
4:44.0,Turnover by G. Monroe (lost ball; steal by N. Hilario),,14-10,,
4:42.0,,,14-10,,Shooting foul by T. Snell (drawn by S. Dekker)
4:42.0,,,14-11,1,S. Dekker makes free throw 1 of 2
4:42.0,,,14-11,,S. Dekker misses free throw 2 of 2
4:42.0,M. Dellavedova enters the game for M. Brogdon,,14-11,,
4:41.0,,,14-11,,Offensive rebound by Team
4:34.0,,,14-11,,Shooting foul by M. Beasley (drawn by N. Hilario)
