time,Houston,pts.away,score,pts.home,Chicago
8:00.0,E. Gordon misses 3-pt shot from 25 ft,,36-38,,
8:00.0,,,36-38,,Defensive rebound by C. Payne
7:48.0,,,36-38,,Turnover by C. Payne (bad pass; steal by L. Williams)
7:46.0,Shooting foul by P. Zipser (drawn by S. Dekker),,36-38,,
7:46.0,S. Dekker misses free throw 1 of 2,,36-38,,
7:46.0,Offensive rebound by Team,,36-38,,
7:46.0,S. Dekker misses free throw 2 of 2,,36-38,,
7:44.0,,,36-38,,Defensive rebound by R. Rondo
7:40.0,,,36-40,2,D. Wade makes 2-pt shot from 2 ft (assist by R. Rondo)
7:31.0,Shooting foul by P. Zipser (drawn by L. Williams),,36-40,,
7:31.0,L. Williams makes free throw 1 of 3,1,37-40,,
7:31.0,L. Williams makes free throw 2 of 3,1,38-40,,
7:31.0,L. Williams makes free throw 3 of 3,1,39-40,,
7:18.0,,,39-42,2,D. Wade makes 2-pt shot from 1 ft
7:03.0,E. Gordon misses 2-pt shot from 1 ft,,39-42,,
7:02.0,Offensive rebound by C. Capela,,39-42,,
7:02.0,C. Capela makes 2-pt shot from 2 ft,2,41-42,,
7:02.0,Shooting foul by D. Wade (drawn by C. Capela),,41-42,,
7:02.0,C. Capela misses free throw 1 of 1,,41-42,,
7:02.0,,,41-42,,J. Butler enters the game for C. Payne
7:02.0,,,41-42,,R. Lopez enters the game for C. Felicio
7:00.0,,,41-42,,Defensive rebound by Team
6:47.0,,,41-42,,D. Wade misses 2-pt shot from 9 ft
6:45.0,,,41-42,,Offensive rebound by D. Wade
6:44.0,,,41-42,,D. Wade misses 2-pt shot from 2 ft
6:43.0,,,41-42,,Offensive rebound by D. Wade
6:43.0,,,41-42,,D. Wade misses 2-pt shot from 2 ft
6:41.0,,,41-42,,Offensive rebound by J. Butler
6:38.0,,,41-42,,P. Zipser misses 3-pt shot from 25 ft
6:36.0,,,41-42,,Offensive rebound by R. Lopez
6:36.0,,,41-42,,R. Lopez misses 2-pt shot from 2 ft
6:35.0,Defensive rebound by L. Williams,,41-42,,
6:29.0,E. Gordon misses 3-pt shot from 27 ft,,41-42,,
6:26.0,Offensive rebound by S. Dekker,,41-42,,
6:22.0,L. Williams misses 3-pt shot from 25 ft,,41-42,,
6:22.0,Offensive rebound by P. Beverley,,41-42,,
6:22.0,P. Beverley misses 2-pt shot from 1 ft (block by R. Lopez),,41-42,,
6:22.0,Offensive rebound by Team,,41-42,,
6:16.0,E. Gordon misses 3-pt shot from 25 ft,,41-42,,
6:16.0,Offensive rebound by C. Capela,,41-42,,
6:14.0,Turnover by S. Dekker (traveling),,41-42,,
5:57.0,,,41-42,,Turnover by D. Wade (lost ball; steal by P. Beverley)
5:50.0,Turnover by L. Williams (bad pass),,41-42,,
5:50.0,,,41-42,,Chicago full timeout
5:50.0,,,41-42,,Technical foul by D. Wade
5:50.0,Technical foul by P. Beverley,,41-42,,
5:50.0,T. Ariza enters the game for C. Capela,,41-42,,
5:50.0,J. Harden enters the game for E. Gordon,,41-42,,
5:50.0,N. Hilario enters the game for P. Beverley,,41-42,,
5:50.0,R. Anderson enters the game for S. Dekker,,41-42,,
5:38.0,Jump ball: N. Hilario vs. R. Lopez (J. Harden gains possession),,,,Jump ball: N. Hilario vs. R. Lopez (J. Harden gains possession)
5:38.0,,,41-42,,Turnover by P. Zipser (lost ball; steal by T. Ariza)
5:33.0,Turnover by L. Williams (bad pass; steal by J. Butler),,41-42,,
5:30.0,,,41-42,,Turnover by D. Wade (offensive foul)
5:30.0,,,41-42,,Offensive charge foul by D. Wade
