time,Houston,pts.away,score,pts.home,Chicago
7:55.0,,,101-75,,D. Valentine misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by C. Capela,,101-75,,
7:41.0,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley),2,103-75,,
7:14.0,,,103-75,,R. Rondo misses 3-pt shot from 23 ft (block by E. Gordon)
7:12.0,Defensive rebound by E. Gordon,,103-75,,
7:12.0,Turnover by C. Capela (traveling),,103-75,,
7:12.0,,,103-75,,Chicago full timeout
7:12.0,,,103-75,,J. Grant enters the game for R. Rondo
6:56.0,,,103-75,,C. Payne misses 2-pt shot from 18 ft
6:53.0,Defensive rebound by L. Williams,,103-75,,
6:38.0,S. Dekker misses 2-pt shot from 2 ft,,103-75,,
6:37.0,,,103-75,,Defensive rebound by C. Felicio
6:29.0,,,103-78,3,C. Payne makes 3-pt shot from 27 ft (assist by D. Valentine)
6:09.0,Turnover by P. Beverley (bad pass; steal by C. Payne),,103-78,,
6:04.0,,,103-80,2,C. Felicio makes 2-pt shot at rim (assist by C. Payne)
5:47.0,E. Gordon misses 3-pt shot from 26 ft,,103-80,,
5:46.0,,,103-80,,Defensive rebound by C. Felicio
5:40.0,,,103-80,,Chicago full timeout
5:40.0,T. Ariza enters the game for C. Capela,,103-80,,
5:40.0,R. Anderson enters the game for P. Beverley,,103-80,,
5:40.0,M. Harrell enters the game for E. Gordon,,103-80,,
5:40.0,J. Harden enters the game for S. Dekker,,103-80,,
5:36.0,,,103-83,3,C. Payne makes 3-pt shot from 26 ft (assist by J. Grant)
5:22.0,L. Williams misses 3-pt shot from 23 ft,,103-83,,
5:20.0,,,103-83,,Defensive rebound by B. Portis
5:07.0,,,103-85,2,D. Valentine makes 2-pt shot from 6 ft (assist by C. Payne)
4:50.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,106-85,,
4:40.0,,,106-85,,Shooting foul by L. Williams (drawn by C. Payne)
4:40.0,,,106-85,,C. Payne misses free throw 1 of 2
4:40.0,,,106-85,,Offensive rebound by Team
4:40.0,,,106-86,1,C. Payne makes free throw 2 of 2
4:20.0,L. Williams misses 2-pt shot from 11 ft,,106-86,,
4:20.0,,,106-86,,Defensive rebound by Team
4:04.0,,,106-86,,C. Payne misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by T. Ariza,,106-86,,
3:52.0,J. Harden misses 3-pt shot from 25 ft,,106-86,,
3:51.0,,,106-86,,Defensive rebound by B. Portis
3:41.0,,,106-86,,D. Valentine misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by T. Ariza,,106-86,,
3:29.0,L. Williams misses 3-pt shot from 28 ft,,106-86,,
3:28.0,Offensive rebound by T. Ariza,,106-86,,
3:25.0,J. Harden misses 3-pt shot from 27 ft,,106-86,,
3:24.0,,,106-86,,Defensive rebound by B. Portis
3:15.0,,,106-88,2,C. Felicio makes 2-pt shot at rim (assist by J. Grant)
3:02.0,T. Ariza misses 3-pt shot from 27 ft,,106-88,,
3:01.0,,,106-88,,Defensive rebound by C. Felicio
2:51.0,,,106-88,,B. Portis misses 2-pt shot from 20 ft
2:50.0,Defensive rebound by M. Harrell,,106-88,,
2:41.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,109-88,,
2:28.0,,,109-90,2,B. Portis makes 2-pt shot at rim (assist by J. Grant)
2:12.0,Shooting foul by J. Grant (drawn by T. Ariza),,109-90,,
2:12.0,Houston full timeout,,109-90,,
2:12.0,T. Ariza makes free throw 1 of 2,1,110-90,,
2:12.0,T. Ariza makes free throw 2 of 2,1,111-90,,
2:12.0,B. Brown enters the game for R. Anderson,,109-90,,
2:12.0,S. Dekker enters the game for J. Harden,,109-90,,
2:12.0,,,109-90,,J. Lauvergne enters the game for C. Felicio
2:04.0,Personal take foul by T. Ariza (drawn by D. Valentine),,111-90,,
2:04.0,K. Wiltjer enters the game for T. Ariza,,111-90,,
1:56.0,,,111-90,,B. Portis misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by K. Wiltjer,,111-90,,
1:44.0,M. Harrell makes 2-pt shot at rim,2,113-90,,
1:29.0,,,113-92,2,B. Portis makes 2-pt shot from 16 ft (assist by D. Valentine)
1:22.0,B. Brown makes 2-pt shot from 11 ft,2,115-92,,
1:08.0,,,115-92,,C. Payne misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by M. Harrell,,115-92,,
1:02.0,Turnover by K. Wiltjer (bad pass),,115-92,,
0:49.0,,,115-92,,B. Portis misses 2-pt shot from 8 ft
0:47.0,Defensive rebound by M. Harrell,,115-92,,
0:33.0,L. Williams misses 2-pt shot from 17 ft,,115-92,,
0:32.0,,,115-92,,Defensive rebound by B. Portis
0:16.0,,,115-92,,J. Grant misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by L. Williams,,115-92,,
0:14.0,Turnover by L. Williams (lost ball; steal by B. Portis),,115-92,,
0:12.0,,,115-94,2,B. Portis makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
