time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (K. Love gains possession),,,,Jump ball: T. Thompson vs. M. Turner (K. Love gains possession)
11:44.0,,,0-0,,Shooting foul by T. Young (drawn by K. Love)
11:44.0,,,0-1,1,K. Love makes free throw 1 of 2
11:44.0,,,0-2,1,K. Love makes free throw 2 of 2
11:25.0,T. Young misses 3-pt shot from 24 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by Team
11:11.0,,,0-2,,Turnover by K. Love (bad pass; steal by M. Turner)
11:02.0,P. George misses 2-pt shot from 19 ft,,0-2,,
11:02.0,Offensive rebound by T. Young,,0-2,,
10:57.0,P. George makes 3-pt shot from 25 ft (assist by T. Young),3,3-2,,
10:36.0,,,3-5,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
10:17.0,M. Turner makes 2-pt shot from 16 ft (assist by T. Young),2,5-5,,
10:05.0,,,5-7,2,K. Love makes 2-pt shot from 9 ft (assist by K. Irving)
9:50.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,7-7,,
9:29.0,,,7-9,2,K. Irving makes 2-pt shot from 19 ft
9:18.0,J. Teague misses 2-pt shot from 17 ft,,7-9,,
9:18.0,,,7-9,,Defensive rebound by L. James
9:10.0,,,7-9,,K. Irving misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by T. Young,,7-9,,
8:54.0,T. Young makes 2-pt shot from 1 ft (assist by M. Ellis),2,9-9,,
8:32.0,,,9-9,,T. Thompson misses 2-pt shot from 10 ft
8:31.0,Defensive rebound by M. Turner,,9-9,,
8:20.0,Shooting foul by K. Irving (drawn by T. Young),,9-9,,
8:20.0,T. Young makes free throw 1 of 2,1,10-9,,
8:20.0,T. Young makes free throw 2 of 2,1,11-9,,
8:09.0,,,11-11,2,K. Irving makes 2-pt shot from 1 ft
7:53.0,M. Turner misses 2-pt shot from 3 ft (block by K. Love),,11-11,,
7:52.0,,,11-11,,Defensive rebound by J. Smith
7:39.0,,,11-11,,K. Irving misses 3-pt shot from 26 ft
7:39.0,,,11-11,,Offensive rebound by T. Thompson
7:30.0,,,11-11,,Shooting foul by J. Teague (drawn by T. Thompson)
7:30.0,,,11-13,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
7:30.0,,,11-13,,T. Thompson misses free throw 1 of 1
7:29.0,Defensive rebound by T. Young,,11-13,,
7:13.0,M. Ellis makes 2-pt shot at rim,2,13-13,,
6:54.0,,,13-16,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
6:41.0,,,13-16,,Shooting block foul by K. Love (drawn by J. Teague)
6:41.0,J. Teague makes free throw 1 of 2,1,14-16,,
6:41.0,J. Teague makes free throw 2 of 2,1,15-16,,
6:27.0,,,15-18,2,J. Smith makes 2-pt shot from 21 ft (assist by L. James)
6:13.0,Turnover by T. Young (bad pass),,15-18,,
6:10.0,,,15-18,,Turnover by L. James (bad pass; steal by P. George)
6:04.0,P. George makes 3-pt shot from 25 ft,3,18-18,,
5:55.0,,,18-18,,K. Irving misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by M. Turner,,18-18,,
5:43.0,J. Teague misses 2-pt shot from 15 ft,,18-18,,
5:42.0,Offensive rebound by T. Young,,18-18,,
5:37.0,Turnover by P. George (lost ball),,18-18,,
5:37.0,,,18-18,,Cleveland full timeout
