time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. C. Zeller (J. Richardson gains possession),,,,Jump ball: H. Whiteside vs. C. Zeller (J. Richardson gains possession)
11:34.0,G. Dragic misses 2-pt shot from 1 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by C. Zeller
11:31.0,Personal foul by J. Richardson (drawn by K. Walker),,0-0,,
11:23.0,,,0-0,,C. Zeller misses 2-pt shot from 2 ft
11:21.0,,,0-0,,Offensive rebound by M. Williams
11:12.0,,,0-0,,K. Walker misses 2-pt shot from 2 ft (block by R. McGruder)
11:10.0,Defensive rebound by J. Richardson,,0-0,,
10:55.0,J. Johnson makes 2-pt shot from 2 ft,2,2-0,,
10:41.0,,,2-0,,Shooting foul by R. McGruder (drawn by N. Batum)
10:41.0,,,2-1,1,N. Batum makes free throw 1 of 2
10:41.0,,,2-2,1,N. Batum makes free throw 2 of 2
10:32.0,G. Dragic makes 2-pt shot from 2 ft,2,4-2,,
10:13.0,,,4-4,2,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by C. Zeller)
9:48.0,J. Richardson misses 2-pt shot from 12 ft,,4-4,,
9:47.0,,,4-4,,Defensive rebound by N. Batum
9:40.0,,,4-6,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
9:29.0,G. Dragic makes 3-pt shot from 25 ft,3,7-6,,
9:19.0,,,7-6,,K. Walker misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by H. Whiteside,,7-6,,
9:04.0,H. Whiteside misses 2-pt shot from 2 ft,,7-6,,
9:03.0,,,7-6,,Defensive rebound by M. Kidd-Gilchrist
8:53.0,,,7-8,2,N. Batum makes 2-pt shot from 1 ft (assist by C. Zeller)
8:33.0,Jump ball: M. Kidd-Gilchrist vs. R. McGruder (G. Dragic gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. R. McGruder (G. Dragic gains possession)
8:23.0,G. Dragic makes 3-pt shot from 27 ft,3,10-8,,
8:06.0,,,10-8,,M. Williams misses 2-pt shot from 6 ft (block by J. Richardson)
8:04.0,Defensive rebound by H. Whiteside,,10-8,,
7:55.0,J. Richardson misses 2-pt shot from 11 ft,,10-8,,
7:54.0,,,10-8,,Defensive rebound by M. Williams
7:44.0,,,10-8,,Turnover by K. Walker (bad pass; steal by G. Dragic)
7:34.0,G. Dragic misses 3-pt shot from 26 ft,,10-8,,
7:33.0,,,10-8,,Defensive rebound by C. Zeller
