time,Detroit,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Len (T. Harris gains possession),,,,Jump ball: A. Drummond vs. A. Len (T. Harris gains possession)
11:46.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by M. Chriss
11:33.0,,,0-2,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
11:14.0,T. Harris misses 2-pt shot from 3 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by A. Len
11:01.0,,,0-4,2,E. Bledsoe makes 2-pt shot from 17 ft (assist by D. Booker)
10:44.0,M. Morris makes 2-pt shot from 14 ft,2,2-4,,
10:28.0,Violation by I. Smith (kicked ball),,2-4,,
10:22.0,,,2-4,,D. Booker misses 2-pt shot from 18 ft
10:20.0,Defensive rebound by K. Caldwell-Pope,,2-4,,
10:12.0,A. Drummond makes 2-pt shot from 11 ft,2,4-4,,
9:48.0,,,4-6,2,A. Len makes 2-pt shot from 19 ft
9:32.0,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by A. Drummond),2,6-6,,
9:09.0,,,6-8,2,T. Warren makes 2-pt shot from 7 ft
8:57.0,T. Harris makes 2-pt shot from 17 ft,2,8-8,,
8:35.0,,,8-10,2,T. Warren makes 2-pt shot from 18 ft (assist by M. Chriss)
8:19.0,Shooting foul by E. Bledsoe (drawn by M. Morris),,8-10,,
8:19.0,M. Morris makes free throw 1 of 2,1,9-10,,
8:19.0,M. Morris makes free throw 2 of 2,1,10-10,,
8:14.0,Shooting block foul by I. Smith (drawn by E. Bledsoe),,10-10,,
8:14.0,,,10-11,1,E. Bledsoe makes free throw 1 of 2
8:14.0,,,10-12,1,E. Bledsoe makes free throw 2 of 2
8:00.0,T. Harris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,13-12,,
7:45.0,,,13-12,,M. Chriss misses 3-pt shot from 22 ft
7:43.0,Defensive rebound by K. Caldwell-Pope,,13-12,,
7:35.0,A. Drummond makes 2-pt shot from 2 ft (assist by I. Smith),2,15-12,,
7:23.0,,,15-12,,M. Chriss misses 2-pt shot from 6 ft
7:20.0,Defensive rebound by T. Harris,,15-12,,
7:13.0,A. Drummond misses 2-pt shot from 7 ft,,15-12,,
7:10.0,,,15-12,,Defensive rebound by E. Bledsoe
7:06.0,,,15-14,2,T. Warren makes 2-pt shot from 15 ft (assist by E. Bledsoe)
6:50.0,K. Caldwell-Pope misses 2-pt shot from 8 ft,,15-14,,
6:44.0,,,15-14,,Defensive rebound by E. Bledsoe
6:43.0,,,15-14,,Turnover by E. Bledsoe (bad pass; steal by A. Drummond)
6:41.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by A. Drummond),2,17-14,,
6:21.0,,,17-14,,M. Chriss misses 2-pt shot from 6 ft (block by I. Smith)
6:19.0,Defensive rebound by M. Morris,,17-14,,
6:16.0,T. Harris makes 2-pt shot at rim (assist by I. Smith),2,19-14,,
6:16.0,,,19-14,,Phoenix full timeout
6:16.0,,,19-14,,P. Tucker enters the game for M. Chriss
6:16.0,J. Leuer enters the game for M. Morris,,19-14,,
6:05.0,,,19-14,,T. Warren misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by A. Drummond,,19-14,,
5:55.0,I. Smith misses 2-pt shot from 3 ft,,19-14,,
5:53.0,Offensive rebound by I. Smith,,19-14,,
5:47.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by I. Smith),3,22-14,,
5:32.0,,,22-14,,A. Len misses 2-pt shot from 16 ft
5:30.0,,,22-14,,Offensive rebound by P. Tucker
5:28.0,,,22-14,,P. Tucker misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by I. Smith,,22-14,,
5:20.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,22-14,,
5:15.0,Offensive rebound by J. Leuer,,22-14,,
5:15.0,J. Leuer misses 2-pt shot from 4 ft (block by T. Warren),,22-14,,
5:13.0,,,22-14,,Defensive rebound by E. Bledsoe
5:07.0,,,22-14,,Shooting foul by J. Leuer (drawn by P. Tucker)
5:07.0,,,22-14,,P. Tucker misses free throw 1 of 2
5:07.0,,,22-14,,Offensive rebound by Team
5:07.0,,,22-15,1,P. Tucker makes free throw 2 of 2
5:07.0,,,22-14,,B. Knight enters the game for E. Bledsoe
4:49.0,A. Drummond misses 2-pt shot from 8 ft,,22-15,,
4:46.0,,,22-15,,Defensive rebound by P. Tucker
4:40.0,,,22-15,,Shooting foul by A. Drummond (drawn by A. Len)
4:40.0,,,22-16,1,A. Len makes free throw 1 of 2
4:40.0,,,22-16,,A. Len misses free throw 2 of 2
4:38.0,Defensive rebound by A. Drummond,,22-16,,
4:17.0,Shooting foul by P. Tucker (drawn by A. Drummond),,22-16,,
4:17.0,A. Drummond makes free throw 1 of 2,1,23-16,,
4:17.0,A. Drummond makes free throw 2 of 2,1,24-16,,
4:05.0,,,24-16,,B. Knight misses 2-pt shot from 14 ft
4:05.0,,,24-16,,Offensive rebound by P. Tucker
4:05.0,,,24-16,,P. Tucker misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by Team,,24-16,,
3:53.0,Turnover by A. Drummond (lost ball),,24-16,,
3:40.0,,,24-16,,T. Warren misses 3-pt shot from 24 ft
3:38.0,,,24-16,,Offensive rebound by A. Len
3:38.0,,,24-16,,A. Len misses 2-pt shot from 2 ft
3:36.0,,,24-16,,Offensive rebound by P. Tucker
3:33.0,,,24-16,,P. Tucker misses 2-pt shot from 3 ft
3:31.0,,,24-16,,Offensive rebound by T. Warren
3:30.0,,,24-16,,T. Warren misses 2-pt shot from 2 ft
3:28.0,Defensive rebound by J. Leuer,,24-16,,
3:19.0,Turnover by I. Smith (bad pass; steal by A. Len),,24-16,,
2:58.0,,,24-16,,A. Len misses 2-pt shot from 18 ft
2:56.0,Defensive rebound by J. Leuer,,24-16,,
