time,Atlanta,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Howard (J. Holiday gains possession),,,,Jump ball: A. Davis vs. D. Howard (J. Holiday gains possession)
11:42.0,Violation by D. Schroder (kicked ball),,0-0,,
11:33.0,,,0-0,,J. Holiday misses 2-pt shot from 5 ft
11:32.0,,,0-0,,Offensive rebound by A. Davis
11:21.0,,,0-2,2,D. Cunningham makes 2-pt shot at rim (assist by A. Davis)
11:03.0,Turnover by P. Millsap (bad pass; steal by B. Hield),,0-2,,
10:58.0,,,0-4,2,A. Davis makes 2-pt shot at rim (assist by D. Cunningham)
10:46.0,Shooting foul by A. Davis (drawn by D. Howard),,0-4,,
10:46.0,D. Howard makes free throw 1 of 2,1,1-4,,
10:46.0,D. Howard misses free throw 2 of 2,,1-4,,
10:45.0,,,1-4,,Defensive rebound by A. Davis
10:34.0,,,1-4,,A. Davis misses 2-pt shot from 16 ft
10:33.0,Defensive rebound by P. Millsap,,1-4,,
10:27.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,3-4,,
10:12.0,,,3-4,,S. Hill misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by D. Howard,,3-4,,
10:06.0,D. Schroder misses 3-pt shot from 27 ft,,3-4,,
10:05.0,,,3-4,,Defensive rebound by D. Cunningham
9:55.0,,,3-4,,J. Holiday misses 2-pt shot from 15 ft
9:54.0,Defensive rebound by T. Sefolosha,,3-4,,
9:35.0,P. Millsap misses 3-pt shot from 25 ft,,3-4,,
9:33.0,,,3-4,,Defensive rebound by B. Hield
9:24.0,,,3-4,,B. Hield misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by D. Howard,,3-4,,
9:13.0,D. Schroder makes 2-pt shot from 2 ft,2,5-4,,
9:02.0,,,5-4,,Shooting foul by P. Millsap (drawn by A. Davis)
9:02.0,,,5-5,1,A. Davis makes free throw 1 of 2
9:02.0,,,5-6,1,A. Davis makes free throw 2 of 2
8:51.0,K. Bazemore misses 2-pt shot from 16 ft,,5-6,,
8:50.0,,,5-6,,Defensive rebound by B. Hield
8:39.0,,,5-6,,B. Hield misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by D. Howard,,5-6,,
8:29.0,P. Millsap makes 2-pt shot from 12 ft,2,7-6,,
8:14.0,,,7-6,,A. Davis misses 2-pt shot from 14 ft
8:14.0,Defensive rebound by P. Millsap,,7-6,,
7:50.0,P. Millsap misses 2-pt shot from 14 ft,,7-6,,
7:48.0,Offensive rebound by D. Howard,,7-6,,
7:48.0,D. Howard makes 2-pt shot at rim,2,9-6,,
7:41.0,,,9-6,,Shooting foul by D. Schroder (drawn by J. Holiday)
7:41.0,,,9-7,1,J. Holiday makes free throw 1 of 2
7:41.0,,,9-8,1,J. Holiday makes free throw 2 of 2
7:28.0,Turnover by D. Schroder (bad pass; steal by A. Davis),,9-8,,
7:25.0,,,9-8,,Offensive foul by J. Holiday
7:25.0,,,9-8,,Turnover by J. Holiday (offensive foul)
7:25.0,,,9-8,,T. Jones enters the game for D. Cunningham
7:16.0,,,9-8,,Violation by J. Holiday (kicked ball)
7:08.0,D. Schroder misses 2-pt shot from 1 ft (block by T. Jones),,9-8,,
7:06.0,Offensive rebound by D. Howard,,9-8,,
7:06.0,D. Howard makes 2-pt shot from 2 ft,2,11-8,,
6:56.0,,,11-8,,Shooting foul by T. Sefolosha (drawn by J. Holiday)
6:56.0,,,11-9,1,J. Holiday makes free throw 1 of 2
6:56.0,,,11-10,1,J. Holiday makes free throw 2 of 2
6:41.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder),2,13-10,,
6:32.0,,,13-13,3,J. Holiday makes 3-pt shot from 26 ft
6:18.0,D. Schroder makes 2-pt shot from 2 ft (assist by D. Howard),2,15-13,,
6:04.0,,,15-15,2,T. Jones makes 2-pt shot from 5 ft (assist by B. Hield)
5:48.0,P. Millsap misses 2-pt shot from 11 ft,,15-15,,
5:48.0,,,15-15,,Defensive rebound by A. Davis
5:42.0,,,15-15,,Turnover by J. Holiday (bad pass; steal by P. Millsap)
5:32.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by D. Schroder),3,18-15,,
5:15.0,,,18-15,,A. Davis misses 2-pt shot from 14 ft
5:14.0,Defensive rebound by K. Bazemore,,18-15,,
5:00.0,Shooting foul by B. Hield (drawn by D. Howard),,18-15,,
5:00.0,,,18-15,,New Orleans full timeout
5:00.0,D. Howard misses free throw 1 of 2,,18-15,,
5:00.0,Offensive rebound by Team,,18-15,,
5:00.0,D. Howard makes free throw 2 of 2,1,19-15,,
5:00.0,M. Muscala enters the game for K. Bazemore,,18-15,,
5:00.0,T. Hardaway enters the game for P. Millsap,,18-15,,
5:00.0,,,18-15,,E. Moore enters the game for B. Hield
4:37.0,,,19-15,,S. Hill misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by T. Sefolosha,,19-15,,
4:25.0,D. Howard misses 2-pt shot from 5 ft,,19-15,,
4:22.0,,,19-15,,Defensive rebound by S. Hill
4:18.0,,,19-15,,A. Davis misses 2-pt shot from 2 ft
4:18.0,Defensive rebound by D. Schroder,,19-15,,
4:13.0,T. Sefolosha misses 3-pt shot from 23 ft,,19-15,,
4:10.0,Offensive rebound by M. Muscala,,19-15,,
4:09.0,M. Muscala makes 2-pt shot from 2 ft,2,21-15,,
4:00.0,,,21-18,3,J. Holiday makes 3-pt shot from 26 ft
3:39.0,Offensive foul by D. Howard,,21-18,,
3:39.0,Turnover by D. Howard (offensive foul),,21-18,,
3:39.0,,,21-18,,L. Galloway enters the game for S. Hill
3:39.0,P. Millsap enters the game for D. Howard,,21-18,,
3:31.0,,,21-18,,L. Galloway misses 3-pt shot from 26 ft
3:30.0,Defensive rebound by T. Hardaway,,21-18,,
3:20.0,,,21-18,,Personal foul by A. Davis (drawn by P. Millsap)
3:20.0,M. Delaney enters the game for D. Schroder,,21-18,,
3:20.0,D. Bembry enters the game for T. Sefolosha,,21-18,,
3:20.0,,,21-18,,D. Cunningham enters the game for A. Davis
3:13.0,P. Millsap misses 2-pt shot from 10 ft,,21-18,,
3:11.0,,,21-18,,Defensive rebound by Team
3:11.0,Loose ball foul by M. Muscala (drawn by T. Jones),,21-18,,
2:56.0,,,21-18,,T. Jones misses 2-pt shot from 2 ft (block by P. Millsap)
2:55.0,Defensive rebound by P. Millsap,,21-18,,
2:41.0,P. Millsap misses 2-pt shot from 14 ft,,21-18,,
2:40.0,,,21-18,,Defensive rebound by D. Cunningham
2:31.0,,,21-18,,Turnover by T. Jones (lost ball)
2:31.0,Atlanta full timeout,,21-18,,
2:31.0,,,21-18,,T. Evans enters the game for J. Holiday
2:19.0,Turnover by P. Millsap (lost ball; steal by D. Cunningham),,21-18,,
2:13.0,,,21-18,,Turnover by T. Evans (bad pass)
2:02.0,P. Millsap misses 2-pt shot from 2 ft,,21-18,,
2:01.0,,,21-18,,Defensive rebound by D. Cunningham
1:55.0,,,21-18,,E. Moore misses 2-pt shot from 2 ft
1:53.0,Defensive rebound by M. Delaney,,21-18,,
1:46.0,D. Bembry makes 2-pt shot from 1 ft (assist by M. Delaney),2,23-18,,
1:26.0,,,23-21,3,D. Cunningham makes 3-pt shot from 24 ft (assist by T. Evans)
1:06.0,M. Delaney misses 3-pt shot from 26 ft,,23-21,,
1:04.0,Offensive rebound by M. Muscala,,23-21,,
0:53.0,Turnover by M. Delaney (lost ball; steal by T. Jones),,23-21,,
0:49.0,,,23-23,2,T. Jones makes 2-pt shot at rim (assist by L. Galloway)
0:37.0,M. Muscala misses 2-pt shot from 15 ft,,23-23,,
0:37.0,,,23-23,,Defensive rebound by T. Evans
0:37.0,,,23-25,2,T. Evans makes 2-pt shot from 2 ft
0:24.0,M. Muscala misses 2-pt shot from 5 ft,,23-25,,
0:23.0,Offensive rebound by M. Muscala,,23-25,,
0:05.0,T. Hardaway misses 2-pt shot from 2 ft,,23-25,,
0:04.0,,,23-25,,Defensive rebound by E. Moore
0:00.0,,,23-28,3,T. Evans makes 3-pt shot from 34 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Bembry misses 3-pt shot from 25 ft,,23-28,,
11:40.0,,,23-28,,Defensive rebound by Team
11:39.0,Loose ball foul by K. Humphries (drawn by T. Jones),,23-28,,
11:17.0,,,23-28,,T. Jones misses 2-pt shot from 5 ft
11:15.0,Defensive rebound by D. Bembry,,23-28,,
11:00.0,T. Hardaway misses 3-pt shot from 27 ft,,23-28,,
10:59.0,Offensive rebound by M. Muscala,,23-28,,
10:58.0,M. Muscala misses 2-pt shot from 1 ft,,23-28,,
10:57.0,,,23-28,,Defensive rebound by D. Cunningham
10:47.0,,,23-28,,T. Evans misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by K. Humphries,,23-28,,
10:23.0,K. Humphries misses 2-pt shot from 15 ft,,23-28,,
10:22.0,,,23-28,,Defensive rebound by T. Jones
10:12.0,,,23-28,,Turnover by D. Cunningham (bad pass; steal by M. Delaney)
10:09.0,M. Delaney makes 2-pt shot at rim,2,25-28,,
9:54.0,,,25-31,3,L. Galloway makes 3-pt shot from 26 ft (assist by T. Evans)
9:39.0,T. Hardaway makes 3-pt shot from 26 ft (assist by M. Delaney),3,28-31,,
9:27.0,,,28-31,,Turnover by E. Moore (step out of bounds)
9:15.0,T. Hardaway misses 2-pt shot from 15 ft,,28-31,,
9:15.0,Offensive rebound by Team,,28-31,,
9:14.0,M. Muscala misses 2-pt shot from 4 ft,,28-31,,
9:13.0,,,28-31,,Defensive rebound by T. Jones
9:03.0,,,28-31,,Turnover by T. Evans (bad pass; steal by T. Hardaway)
9:01.0,,,28-31,,Personal foul by E. Moore (drawn by T. Hardaway)
8:48.0,K. Humphries misses 2-pt shot from 19 ft,,28-31,,
8:47.0,,,28-31,,Defensive rebound by T. Jones
8:24.0,,,28-31,,T. Evans misses 2-pt shot from 2 ft
8:23.0,Defensive rebound by M. Muscala,,28-31,,
8:19.0,,,28-31,,Personal foul by L. Galloway (drawn by M. Delaney)
8:19.0,Official timeout,,28-31,,
8:19.0,D. Schroder enters the game for T. Hardaway,,28-31,,
8:19.0,T. Sefolosha enters the game for M. Muscala,,28-31,,
8:04.0,Shooting foul by D. Cunningham (drawn by D. Schroder),,28-31,,
8:04.0,D. Schroder makes free throw 1 of 2,1,29-31,,
8:04.0,D. Schroder misses free throw 2 of 2,,29-31,,
8:04.0,,,29-31,,A. Davis enters the game for T. Jones
8:04.0,D. Howard enters the game for K. Humphries,,29-31,,
8:03.0,,,29-31,,Defensive rebound by D. Cunningham
7:42.0,,,29-33,2,T. Evans makes 2-pt shot from 23 ft
7:21.0,M. Delaney misses 2-pt shot from 16 ft,,29-33,,
7:20.0,,,29-33,,Defensive rebound by L. Galloway
7:05.0,,,29-33,,L. Galloway misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by D. Schroder,,29-33,,
6:56.0,D. Schroder makes 2-pt shot from 2 ft,2,31-33,,
6:36.0,Personal foul by D. Bembry,,31-33,,
6:36.0,,,31-33,,T. Jones enters the game for D. Cunningham
6:36.0,K. Bazemore enters the game for D. Bembry,,31-33,,
6:29.0,,,31-36,3,E. Moore makes 3-pt shot from 26 ft (assist by T. Evans)
6:04.0,P. Millsap enters the game for M. Delaney,,31-36,,
6:04.0,,,31-36,,J. Holiday enters the game for T. Evans
5:59.0,P. Millsap misses 2-pt shot from 7 ft,,31-36,,
5:59.0,,,31-36,,Defensive rebound by T. Jones
5:50.0,,,31-36,,E. Moore misses 2-pt shot from 1 ft (block by T. Sefolosha)
5:49.0,,,31-36,,Offensive rebound by E. Moore
5:48.0,,,31-38,2,E. Moore makes 2-pt shot from 1 ft
5:46.0,Atlanta full timeout,,31-38,,
5:46.0,,,31-38,,B. Hield enters the game for E. Moore
5:34.0,Turnover by T. Sefolosha (bad pass; steal by A. Davis),,31-38,,
5:17.0,Personal foul by D. Howard (drawn by A. Davis),,31-38,,
5:06.0,,,31-38,,B. Hield misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by P. Millsap,,31-38,,
4:51.0,T. Sefolosha misses 2-pt shot from 8 ft (block by T. Jones),,31-38,,
4:50.0,,,31-38,,Defensive rebound by J. Holiday
4:41.0,,,31-38,,B. Hield misses 2-pt shot from 2 ft
4:40.0,,,31-38,,Offensive rebound by T. Jones
4:40.0,,,31-40,2,T. Jones makes 2-pt shot from 2 ft
4:21.0,D. Schroder misses 3-pt shot from 25 ft,,31-40,,
4:19.0,Offensive rebound by D. Schroder,,31-40,,
4:15.0,D. Howard misses 2-pt shot from 2 ft (block by T. Jones),,31-40,,
4:14.0,,,31-40,,Defensive rebound by B. Hield
4:04.0,,,31-43,3,B. Hield makes 3-pt shot from 25 ft (assist by A. Davis)
3:53.0,Atlanta full timeout,,31-43,,
3:50.0,Jump ball: J. Holiday vs. D. Schroder (T. Jones gains possession),,,,Jump ball: J. Holiday vs. D. Schroder (T. Jones gains possession)
3:50.0,Turnover by D. Schroder (lost ball; steal by J. Holiday),,31-43,,
3:46.0,,,31-43,,Turnover by T. Jones (bad pass)
3:31.0,P. Millsap makes 2-pt shot from 1 ft,2,33-43,,
