time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Koufos (D. Cousins gains possession),,,,Jump ball: M. Gasol vs. K. Koufos (D. Cousins gains possession)
11:34.0,D. Cousins makes 3-pt shot from 26 ft (assist by D. Collison),3,3-0,,
11:08.0,,,3-0,,M. Gasol misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by D. Cousins,,3-0,,
11:02.0,,,3-0,,Personal foul by T. Allen (drawn by D. Collison)
10:47.0,K. Koufos misses 2-pt shot from 13 ft,,3-0,,
10:47.0,,,3-0,,Defensive rebound by T. Allen
10:33.0,,,3-0,,J. Green misses 3-pt shot from 22 ft
10:32.0,Defensive rebound by D. Collison,,3-0,,
10:20.0,K. Koufos makes 2-pt shot from 1 ft (assist by G. Temple),2,5-0,,
10:06.0,,,5-0,,M. Gasol misses 2-pt shot from 1 ft
10:04.0,,,5-0,,Offensive rebound by M. Gasol
10:04.0,Jump ball: M. Gasol vs. G. Temple (M. Conley gains possession),,,,Jump ball: M. Gasol vs. G. Temple (M. Conley gains possession)
9:50.0,,,5-0,,M. Conley misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by D. Cousins,,5-0,,
9:31.0,D. Cousins makes 2-pt shot from 21 ft,2,7-0,,
9:13.0,,,7-0,,J. Ennis misses 2-pt shot from 3 ft (block by G. Temple)
9:11.0,Defensive rebound by G. Temple,,7-0,,
9:08.0,D. Collison makes 2-pt shot from 2 ft (assist by G. Temple),2,9-0,,
8:51.0,,,9-2,2,M. Gasol makes 2-pt shot from 11 ft
8:36.0,A. Afflalo misses 3-pt shot from 26 ft,,9-2,,
8:36.0,,,9-2,,Defensive rebound by M. Conley
8:23.0,,,9-2,,J. Green misses 3-pt shot from 23 ft
8:22.0,Defensive rebound by A. Afflalo,,9-2,,
8:02.0,G. Temple misses 2-pt shot from 1 ft (block by J. Ennis),,9-2,,
8:00.0,,,9-2,,Defensive rebound by M. Gasol
7:48.0,,,9-4,2,M. Conley makes 2-pt shot from 7 ft
7:48.0,,,9-4,,Shooting foul by K. Koufos (drawn by M. Conley)
7:48.0,,,9-5,1,M. Conley makes free throw 1 of 1
7:37.0,,,9-5,,Personal foul by J. Green (drawn by D. Cousins)
7:27.0,D. Cousins misses 3-pt shot from 26 ft,,9-5,,
7:27.0,,,9-5,,Defensive rebound by T. Allen
