time,Phoenix,pts.away,score,pts.home,Houston
2:58.0,,,13-33,1,J. Harden makes free throw 1 of 2
2:58.0,,,13-34,1,J. Harden makes free throw 2 of 2
2:52.0,D. Booker makes 2-pt shot from 1 ft (assist by T. Ulis),2,15-34,,
2:40.0,,,15-34,,J. Harden misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by M. Chriss,,15-34,,
2:35.0,P. Tucker misses 2-pt shot from 2 ft,,15-34,,
2:34.0,,,15-34,,Defensive rebound by N. Hilario
2:27.0,,,15-34,,Turnover by R. Anderson (lost ball; steal by T. Ulis)
2:22.0,J. Dudley makes 2-pt shot at rim (assist by T. Ulis),2,17-34,,
2:22.0,,,17-34,,Houston full timeout
2:10.0,,,17-37,3,J. Harden makes 3-pt shot from 26 ft (assist by N. Hilario)
1:59.0,J. Dudley makes 3-pt shot from 25 ft (assist by P. Tucker),3,20-37,,
1:39.0,,,20-37,,J. Harden misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by J. Dudley,,20-37,,
1:27.0,D. Booker makes 2-pt shot from 1 ft (assist by T. Ulis),2,22-37,,
1:21.0,,,22-37,,R. Anderson misses 3-pt shot from 27 ft
1:20.0,Defensive rebound by M. Chriss,,22-37,,
1:13.0,J. Dudley makes 2-pt shot from 22 ft (assist by D. Booker),2,24-37,,
0:53.0,,,24-37,,J. Harden misses 3-pt shot from 25 ft
0:53.0,,,24-37,,Offensive rebound by N. Hilario
0:48.0,,,24-37,,Shooting foul by J. Dudley (drawn by J. Harden)
0:48.0,,,24-38,1,J. Harden makes free throw 1 of 2
0:48.0,,,24-38,,J. Harden misses free throw 2 of 2
0:48.0,Defensive rebound by J. Dudley,,24-38,,
0:29.0,T. Ulis misses 2-pt shot from 19 ft,,24-38,,
0:29.0,Jump ball: M. Chriss vs. N. Hilario,,,,Jump ball: M. Chriss vs. N. Hilario
0:29.0,Offensive rebound by Team,,24-38,,
0:27.0,,,24-38,,Loose ball foul by N. Hilario (drawn by M. Chriss)
0:27.0,,,24-38,,M. Harrell enters the game for N. Hilario
0:05.0,D. Booker misses 2-pt shot at rim (block by R. Anderson),,24-38,,
0:05.0,Offensive rebound by Team,,24-38,,
0:03.0,D. Booker misses 2-pt shot from 18 ft,,24-38,,
0:02.0,,,24-38,,Defensive rebound by J. Harden
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Offensive foul by A. Williams,,24-38,,
11:48.0,Turnover by A. Williams (offensive foul),,24-38,,
11:34.0,,,24-38,,T. Ariza misses 2-pt shot from 17 ft
11:33.0,Defensive rebound by P. Tucker,,24-38,,
11:18.0,L. Barbosa misses 3-pt shot from 23 ft,,24-38,,
11:17.0,,,24-38,,Defensive rebound by M. Harrell
11:06.0,,,24-41,3,P. Beverley makes 3-pt shot from 25 ft (assist by S. Dekker)
10:54.0,Shooting foul by T. Ariza (drawn by A. Williams),,24-41,,
10:54.0,A. Williams makes free throw 1 of 2,1,25-41,,
10:54.0,A. Williams makes free throw 2 of 2,1,26-41,,
10:47.0,Personal foul by P. Tucker (drawn by M. Harrell),,26-41,,
10:47.0,T. Warren enters the game for P. Tucker,,26-41,,
10:33.0,,,26-43,2,C. Brewer makes 2-pt shot from 2 ft (assist by P. Beverley)
10:24.0,L. Barbosa misses 2-pt shot from 3 ft (block by S. Dekker),,26-43,,
10:21.0,,,26-43,,Defensive rebound by C. Brewer
10:18.0,,,26-46,3,P. Beverley makes 3-pt shot from 25 ft (assist by C. Brewer)
9:58.0,,,26-46,,Personal foul by P. Beverley (drawn by A. Williams)
9:48.0,T. Warren makes 2-pt shot from 14 ft (assist by T. Ulis),2,28-46,,
9:26.0,,,28-46,,P. Beverley misses 2-pt shot from 12 ft
9:25.0,,,28-46,,Offensive rebound by S. Dekker
9:25.0,,,28-46,,Shooting foul by J. Dudley (drawn by S. Dekker)
9:25.0,,,28-47,1,S. Dekker makes free throw 1 of 2
9:25.0,,,28-48,1,S. Dekker makes free throw 2 of 2
9:25.0,M. Chriss enters the game for J. Dudley,,28-47,,
9:14.0,L. Barbosa makes 2-pt shot from 2 ft (assist by M. Chriss),2,30-48,,
9:02.0,,,30-48,,M. Harrell misses 2-pt shot from 1 ft
9:01.0,,,30-48,,Offensive rebound by S. Dekker
9:01.0,,,30-50,2,S. Dekker makes 2-pt shot from 2 ft
9:01.0,,,30-50,,Shooting foul by T. Ulis (drawn by S. Dekker)
9:01.0,,,30-50,,S. Dekker misses free throw 1 of 1
9:01.0,Defensive rebound by M. Chriss,,30-50,,
8:48.0,Offensive foul by A. Williams,,30-50,,
8:48.0,Turnover by A. Williams (offensive foul),,30-50,,
8:48.0,,,30-50,,Houston full timeout
8:48.0,A. Len enters the game for A. Williams,,30-50,,
8:27.0,,,30-50,,T. Ariza misses 3-pt shot from 25 ft
8:26.0,,,30-50,,Offensive rebound by P. Beverley
8:14.0,,,30-50,,Shooting foul by M. Chriss (drawn by M. Harrell)
8:14.0,,,30-51,1,M. Harrell makes free throw 1 of 2
8:14.0,,,30-52,1,M. Harrell makes free throw 2 of 2
7:51.0,T. Warren misses 2-pt shot from 12 ft,,30-52,,
7:50.0,Offensive rebound by A. Len,,30-52,,
7:47.0,A. Len misses 2-pt shot from 2 ft,,30-52,,
7:46.0,Offensive rebound by T. Warren,,30-52,,
7:46.0,T. Warren makes 2-pt shot from 1 ft,2,32-52,,
7:35.0,,,32-52,,M. Harrell misses 2-pt shot from 18 ft
7:35.0,,,32-52,,Offensive rebound by S. Dekker
7:34.0,,,32-54,2,S. Dekker makes 2-pt shot from 2 ft
7:11.0,T. Ulis misses 3-pt shot from 24 ft,,32-54,,
7:11.0,,,32-54,,Defensive rebound by Team
7:11.0,Loose ball foul by A. Len (drawn by M. Harrell),,32-54,,
7:11.0,,,32-55,1,M. Harrell makes free throw 1 of 2
7:11.0,,,32-56,1,M. Harrell makes free throw 2 of 2
7:11.0,B. Knight enters the game for T. Ulis,,32-55,,
7:11.0,D. Booker enters the game for L. Barbosa,,32-55,,
6:54.0,A. Len makes 2-pt shot from 5 ft (assist by M. Chriss),2,34-56,,
6:40.0,,,34-56,,Turnover by P. Beverley (lost ball)
6:40.0,,,34-56,,C. Capela enters the game for M. Harrell
6:20.0,Turnover by B. Knight (step out of bounds),,34-56,,
6:04.0,,,34-56,,T. Ariza misses 2-pt shot from 3 ft
6:03.0,,,34-56,,Offensive rebound by C. Capela
6:03.0,,,34-58,2,C. Capela makes 2-pt shot at rim
5:52.0,T. Warren makes 3-pt shot from 23 ft,3,37-58,,
5:34.0,,,37-61,3,C. Brewer makes 3-pt shot from 24 ft (assist by C. Capela)
