time,Phoenix,pts.away,score,pts.home,Houston
8:36.0,A. Len misses 2-pt shot from 6 ft,,84-120,,
8:36.0,Offensive rebound by A. Len,,84-120,,
8:36.0,Shooting foul by R. Anderson (drawn by A. Len),,84-120,,
8:36.0,A. Len makes free throw 1 of 2,1,85-120,,
8:36.0,A. Len makes free throw 2 of 2,1,86-120,,
8:17.0,,,86-120,,M. Harrell misses 2-pt shot at rim (block by A. Len)
8:13.0,Defensive rebound by T. Warren,,86-120,,
8:10.0,Turnover by T. Warren (lost ball),,86-120,,
7:52.0,,,86-120,,C. Brewer misses 2-pt shot from 3 ft
7:51.0,Defensive rebound by A. Len,,86-120,,
7:36.0,T. Warren misses 2-pt shot from 3 ft,,86-120,,
7:36.0,,,86-120,,Defensive rebound by P. Beverley
7:36.0,Personal foul by T. Warren,,86-120,,
7:23.0,,,86-120,,P. Beverley misses 2-pt shot from 12 ft
7:22.0,Defensive rebound by T. Warren,,86-120,,
7:08.0,T. Ulis makes 2-pt shot from 19 ft (assist by J. Dudley),2,88-120,,
6:53.0,,,88-120,,Turnover by R. Anderson (3 sec)
6:42.0,Turnover by A. Len (bad pass),,88-120,,
6:42.0,Loose ball foul by A. Len (drawn by P. Beverley),,88-120,,
6:42.0,M. Chriss enters the game for A. Len,,88-120,,
6:30.0,,,88-120,,Turnover by C. Brewer (bad pass)
6:22.0,T. Ulis makes 2-pt shot from 21 ft,2,90-120,,
6:08.0,,,90-120,,R. Anderson misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by J. Dudley,,90-120,,
6:01.0,M. Chriss misses 3-pt shot from 24 ft,,90-120,,
6:00.0,,,90-120,,Defensive rebound by P. Beverley
5:51.0,,,90-120,,P. Beverley misses 2-pt shot from 22 ft
5:50.0,Defensive rebound by L. Barbosa,,90-120,,
5:43.0,T. Warren misses 2-pt shot from 20 ft,,90-120,,
5:43.0,,,90-120,,Defensive rebound by R. Anderson
5:28.0,,,90-122,2,S. Dekker makes 2-pt shot from 20 ft (assist by P. Beverley)
5:15.0,T. Ulis misses 3-pt shot from 25 ft,,90-122,,
5:14.0,,,90-122,,Defensive rebound by P. Beverley
5:02.0,,,90-122,,S. Dekker misses 2-pt shot from 2 ft
5:01.0,,,90-122,,Offensive rebound by M. Harrell
5:01.0,,,90-124,2,M. Harrell makes 2-pt shot from 2 ft
4:43.0,Shooting foul by P. Beverley (drawn by T. Ulis),,90-124,,
4:43.0,,,90-124,,Houston full timeout
4:43.0,T. Ulis makes free throw 1 of 2,1,91-124,,
4:43.0,T. Ulis makes free throw 2 of 2,1,92-124,,
4:43.0,R. Price enters the game for T. Warren,,90-124,,
4:43.0,D. Jones enters the game for L. Barbosa,,90-124,,
4:43.0,,,90-124,,T. Ennis enters the game for R. Anderson
4:43.0,,,90-124,,K. McDaniels enters the game for P. Beverley
4:43.0,,,90-124,,B. Brown enters the game for C. Brewer
4:26.0,,,92-127,3,K. McDaniels makes 3-pt shot from 26 ft (assist by T. Ennis)
4:04.0,M. Chriss misses 2-pt shot from 14 ft,,92-127,,
4:04.0,,,92-127,,Defensive rebound by T. Ennis
3:56.0,,,92-129,2,M. Harrell makes 2-pt shot from 6 ft (assist by T. Ennis)
3:56.0,,,92-129,,Shooting foul by J. Dudley (drawn by M. Harrell)
3:56.0,,,92-129,,M. Harrell misses free throw 1 of 1
3:56.0,Defensive rebound by M. Chriss,,92-129,,
3:40.0,D. Jones misses 2-pt shot from 7 ft,,92-129,,
3:39.0,Offensive rebound by D. Jones,,92-129,,
3:39.0,D. Jones makes 2-pt shot from 1 ft,2,94-129,,
3:26.0,,,94-129,,K. McDaniels misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by J. Dudley,,94-129,,
3:16.0,M. Chriss misses 3-pt shot from 23 ft,,94-129,,
3:15.0,,,94-129,,Defensive rebound by T. Ennis
3:12.0,,,94-129,,Offensive charge foul by T. Ennis
3:12.0,,,94-129,,Turnover by T. Ennis (offensive foul)
3:00.0,M. Chriss makes 2-pt shot from 2 ft (assist by J. Dudley),2,96-129,,
3:00.0,Shooting foul by M. Harrell (drawn by M. Chriss),,96-129,,
3:00.0,M. Chriss makes free throw 1 of 1,1,97-129,,
2:44.0,,,97-129,,T. Ennis misses 2-pt shot from 2 ft
2:43.0,Defensive rebound by J. Dudley,,97-129,,
2:29.0,Shooting foul by T. Ennis (drawn by J. Dudley),,97-129,,
2:29.0,Phoenix full timeout,,97-129,,
2:29.0,J. Dudley makes free throw 1 of 2,1,98-129,,
2:29.0,J. Dudley makes free throw 2 of 2,1,99-129,,
2:15.0,,,99-129,,Turnover by B. Brown (traveling)
1:58.0,T. Ulis misses 2-pt shot from 4 ft,,99-129,,
1:58.0,,,99-129,,Defensive rebound by M. Harrell
1:46.0,,,99-129,,M. Harrell misses 2-pt shot from 4 ft
1:46.0,,,99-129,,Offensive rebound by M. Harrell
1:43.0,,,99-129,,Turnover by M. Harrell (bad pass; steal by R. Price)
1:37.0,Turnover by R. Price (lost ball),,99-129,,
1:31.0,,,99-129,,Turnover by S. Dekker (bad pass)
1:23.0,T. Ulis misses 2-pt shot from 20 ft,,99-129,,
1:22.0,,,99-129,,Defensive rebound by S. Dekker
1:10.0,,,99-129,,B. Brown misses 2-pt shot from 23 ft
1:09.0,,,99-129,,Offensive rebound by K. McDaniels
0:56.0,,,99-131,2,B. Brown makes 2-pt shot from 2 ft
0:43.0,Turnover by J. Dudley (bad pass),,99-131,,
0:26.0,,,99-131,,K. McDaniels misses 2-pt shot from 3 ft
0:25.0,,,99-131,,Offensive rebound by K. McDaniels
0:25.0,,,99-133,2,K. McDaniels makes 2-pt shot from 3 ft
0:14.0,R. Price makes 3-pt shot from 25 ft (assist by D. Jones),3,102-133,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
