time,San Antonio,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (K. Leonard gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (K. Leonard gains possession)
11:46.0,,,0-0,,Violation by J. Calderon (kicked ball)
11:36.0,P. Gasol misses 2-pt shot from 14 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by J. Randle
11:22.0,,,0-0,,L. Deng misses 2-pt shot from 19 ft
11:21.0,,,0-0,,Offensive rebound by L. Deng
11:15.0,,,0-0,,N. Young misses 3-pt shot from 23 ft
11:14.0,Defensive rebound by D. Green,,0-0,,
11:03.0,K. Leonard makes 2-pt shot from 14 ft (assist by D. Green),2,2-0,,
10:46.0,,,2-0,,J. Randle misses 2-pt shot from 13 ft
10:44.0,Defensive rebound by D. Green,,2-0,,
10:32.0,Turnover by D. Green (step out of bounds),,2-0,,
10:14.0,,,2-0,,Turnover by N. Young (step out of bounds)
10:02.0,,,2-0,,Personal foul by J. Randle (drawn by P. Gasol)
9:59.0,T. Parker misses 2-pt shot from 10 ft,,2-0,,
9:56.0,,,2-0,,Defensive rebound by J. Randle
9:46.0,,,2-0,,T. Mozgov misses 2-pt shot from 15 ft
9:45.0,Defensive rebound by P. Gasol,,2-0,,
9:32.0,P. Gasol makes 2-pt shot from 16 ft (assist by D. Green),2,4-0,,
9:18.0,,,4-0,,J. Calderon misses 2-pt shot from 16 ft
9:16.0,,,4-0,,Offensive rebound by T. Mozgov
9:05.0,,,4-0,,J. Randle misses 2-pt shot from 5 ft
9:04.0,Defensive rebound by K. Leonard,,4-0,,
8:59.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,7-0,,
8:58.0,,,7-0,,LA Lakers full timeout
8:41.0,,,7-0,,N. Young misses 3-pt shot from 26 ft
8:40.0,Defensive rebound by T. Parker,,7-0,,
8:27.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,9-0,,
8:03.0,,,9-2,2,J. Randle makes 2-pt shot from 17 ft (assist by J. Calderon)
7:49.0,K. Leonard misses 3-pt shot from 25 ft,,9-2,,
7:48.0,,,9-2,,Defensive rebound by N. Young
7:33.0,,,9-5,3,N. Young makes 3-pt shot from 26 ft (assist by J. Randle)
7:33.0,,,9-5,,Shooting foul by T. Parker (drawn by N. Young)
7:33.0,,,9-6,1,N. Young makes free throw 1 of 1
7:13.0,L. Aldridge misses 2-pt shot from 16 ft,,9-6,,
7:10.0,,,9-6,,Defensive rebound by L. Deng
7:05.0,,,9-6,,Turnover by J. Randle (bad pass; steal by L. Aldridge)
6:57.0,K. Leonard misses 3-pt shot from 23 ft,,9-6,,
6:53.0,,,9-6,,Defensive rebound by J. Randle
6:47.0,,,9-8,2,L. Deng makes 2-pt shot from 16 ft (assist by J. Calderon)
6:36.0,D. Green makes 2-pt shot from 1 ft (assist by T. Parker),2,11-8,,
6:23.0,,,11-8,,J. Randle misses 2-pt shot from 4 ft
6:22.0,,,11-8,,Offensive rebound by T. Mozgov
6:18.0,,,11-8,,L. Deng misses 2-pt shot from 18 ft
6:17.0,,,11-8,,Offensive rebound by N. Young
6:16.0,Personal foul by D. Green (drawn by N. Young),,11-8,,
6:10.0,,,11-8,,J. Calderon misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by K. Leonard,,11-8,,
5:55.0,K. Leonard misses 2-pt shot from 17 ft,,11-8,,
5:53.0,,,11-8,,Defensive rebound by L. Deng
5:39.0,,,11-8,,J. Randle misses 2-pt shot from 3 ft (block by P. Gasol)
5:36.0,Defensive rebound by K. Leonard,,11-8,,
5:32.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,14-8,,
5:10.0,,,14-8,,Shooting foul by T. Parker (drawn by N. Young)
5:10.0,,,14-9,1,N. Young makes free throw 1 of 2
5:10.0,,,14-9,,N. Young misses free throw 2 of 2
5:10.0,Defensive rebound by K. Leonard,,14-9,,
5:10.0,P. Mills enters the game for T. Parker,,14-9,,
5:10.0,D. Lee enters the game for L. Aldridge,,14-9,,
5:10.0,,,14-9,,B. Ingram enters the game for L. Deng
5:10.0,,,14-9,,L. Williams enters the game for J. Calderon
4:51.0,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard),3,17-9,,
4:36.0,,,17-9,,Turnover by B. Ingram (step out of bounds)
4:36.0,M. Ginobili enters the game for D. Green,,17-9,,
4:36.0,,,17-9,,L. Nance enters the game for T. Mozgov
4:36.0,,,17-9,,J. Clarkson enters the game for N. Young
4:25.0,M. Ginobili makes 2-pt shot from 12 ft (assist by P. Mills),2,19-9,,
4:12.0,,,19-12,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Clarkson)
4:01.0,Turnover by K. Leonard (bad pass),,19-12,,
3:37.0,,,19-12,,J. Clarkson misses 2-pt shot from 7 ft
3:34.0,Defensive rebound by P. Gasol,,19-12,,
3:29.0,P. Mills misses 3-pt shot from 26 ft,,19-12,,
3:27.0,Offensive rebound by D. Lee,,19-12,,
3:18.0,,,19-12,,Personal foul by L. Williams
3:18.0,,,19-12,,T. Black enters the game for J. Randle
3:06.0,K. Leonard misses 2-pt shot from 7 ft,,19-12,,
3:03.0,,,19-12,,Defensive rebound by L. Nance
2:49.0,,,19-12,,Turnover by J. Clarkson (bad pass; steal by K. Leonard)
2:42.0,P. Mills makes 2-pt shot from 1 ft (assist by K. Leonard),2,21-12,,
2:30.0,,,21-14,2,L. Williams makes 2-pt shot from 16 ft
2:17.0,P. Gasol misses 2-pt shot from 20 ft,,21-14,,
2:16.0,,,21-14,,Defensive rebound by B. Ingram
2:07.0,,,21-14,,B. Ingram misses 2-pt shot from 11 ft
2:06.0,Defensive rebound by P. Gasol,,21-14,,
2:02.0,San Antonio full timeout,,21-14,,
2:02.0,L. Aldridge enters the game for K. Leonard,,21-14,,
2:02.0,K. Anderson enters the game for P. Gasol,,21-14,,
1:51.0,M. Ginobili misses 3-pt shot from 25 ft,,21-14,,
1:49.0,,,21-14,,Defensive rebound by B. Ingram
1:27.0,,,21-14,,J. Clarkson misses 3-pt shot from 24 ft (block by M. Ginobili)
1:26.0,,,21-14,,Offensive rebound by Team
1:26.0,,,21-14,,Turnover by Team (shot clock)
1:13.0,L. Aldridge makes 3-pt shot from 24 ft (assist by M. Ginobili),3,24-14,,
0:50.0,,,24-14,,J. Clarkson misses 2-pt shot from 18 ft
0:48.0,Defensive rebound by L. Aldridge,,24-14,,
0:38.0,Turnover by P. Mills (bad pass; steal by L. Williams),,24-14,,
0:35.0,,,24-16,2,J. Clarkson makes 2-pt shot at rim (assist by L. Williams)
0:17.0,P. Mills makes 2-pt shot from 18 ft,2,26-16,,
0:07.0,Personal take foul by P. Mills,,26-16,,
0:02.0,,,26-16,,B. Ingram misses 3-pt shot from 25 ft
0:00.0,,,26-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,26-16,,B. Ingram misses 2-pt shot from 6 ft (block by L. Aldridge)
11:36.0,,,26-16,,Offensive rebound by B. Ingram
11:33.0,,,26-16,,L. Nance misses 2-pt shot from 14 ft
11:32.0,Defensive rebound by D. Lee,,26-16,,
11:24.0,P. Mills makes 2-pt shot from 19 ft,2,28-16,,
11:16.0,,,28-18,2,T. Black makes 2-pt shot at rim (assist by L. Williams)
