time,Atlanta,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. D. Howard (P. Mills gains possession),,,,Jump ball: D. Dedmon vs. D. Howard (P. Mills gains possession)
11:46.0,,,0-0,,Turnover by D. Dedmon (bad pass; steal by P. Millsap)
11:34.0,Turnover by P. Millsap (bad pass; steal by P. Mills),,0-0,,
11:28.0,,,0-2,2,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills)
11:04.0,P. Millsap makes 2-pt shot from 19 ft (assist by D. Schroder),2,2-2,,
10:50.0,,,2-2,,Turnover by K. Leonard (bad pass; steal by T. Sefolosha)
10:44.0,D. Schroder makes 2-pt shot from 9 ft (assist by T. Sefolosha),2,4-2,,
10:26.0,,,4-2,,K. Leonard misses 2-pt shot from 10 ft
10:25.0,Defensive rebound by D. Howard,,4-2,,
10:09.0,P. Millsap misses 2-pt shot from 18 ft,,4-2,,
10:08.0,,,4-2,,Defensive rebound by K. Leonard
9:55.0,,,4-2,,D. Green misses 2-pt shot from 16 ft
9:54.0,Defensive rebound by T. Sefolosha,,4-2,,
9:42.0,Shooting foul by D. Dedmon (drawn by T. Sefolosha),,4-2,,
9:42.0,T. Sefolosha makes free throw 1 of 2,1,5-2,,
9:42.0,T. Sefolosha makes free throw 2 of 2,1,6-2,,
9:27.0,,,6-2,,P. Mills misses 2-pt shot from 19 ft
9:26.0,Defensive rebound by D. Howard,,6-2,,
9:11.0,T. Sefolosha misses 2-pt shot from 20 ft,,6-2,,
9:10.0,,,6-2,,Defensive rebound by Team
9:10.0,Loose ball foul by D. Howard (drawn by D. Dedmon),,6-2,,
9:01.0,,,6-2,,Turnover by D. Lee (bad pass)
8:48.0,Shooting foul by D. Green (drawn by D. Howard),,6-2,,
8:48.0,D. Howard misses free throw 1 of 2,,6-2,,
8:48.0,Offensive rebound by Team,,6-2,,
8:48.0,D. Howard misses free throw 2 of 2,,6-2,,
8:48.0,,,6-2,,Defensive rebound by D. Dedmon
8:29.0,,,6-2,,D. Green misses 2-pt shot from 19 ft
8:28.0,Defensive rebound by T. Sefolosha,,6-2,,
8:15.0,D. Schroder makes 2-pt shot from 2 ft,2,8-2,,
8:15.0,,,8-2,,San Antonio full timeout
7:57.0,,,8-4,2,D. Lee makes 2-pt shot from 2 ft (assist by D. Dedmon)
7:38.0,D. Howard misses 2-pt shot from 2 ft (block by D. Green),,8-4,,
7:38.0,,,8-4,,Defensive rebound by D. Green
7:28.0,,,8-4,,K. Leonard misses 3-pt shot from 25 ft
7:27.0,,,8-4,,Offensive rebound by Team
7:24.0,,,8-6,2,K. Leonard makes 2-pt shot from 17 ft (assist by P. Mills)
7:03.0,T. Sefolosha makes 2-pt shot from 16 ft,2,10-6,,
6:43.0,,,10-6,,Turnover by D. Green (lost ball; steal by D. Howard)
6:38.0,Turnover by T. Sefolosha (bad pass; steal by P. Mills),,10-6,,
6:32.0,,,10-9,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Lee)
6:21.0,Turnover by P. Millsap (lost ball; steal by D. Green),,10-9,,
6:17.0,,,10-11,2,P. Mills makes 2-pt shot from 1 ft
6:17.0,,,10-11,,Shooting foul by K. Bazemore
6:17.0,,,10-11,,P. Mills misses free throw 1 of 1
6:17.0,,,10-11,,P. Gasol enters the game for D. Dedmon
6:16.0,Defensive rebound by D. Howard,,10-11,,
