time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez (J. Wall gains possession),,,,Jump ball: M. Gortat vs. R. Lopez (J. Wall gains possession)
11:44.0,M. Morris misses 2-pt shot from 8 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by R. Rondo
11:20.0,,,0-2,2,T. Gibson makes 2-pt shot from 7 ft
11:03.0,M. Gortat misses 2-pt shot from 6 ft (block by T. Gibson),,0-2,,
11:01.0,,,0-2,,Defensive rebound by J. Butler
10:57.0,,,0-2,,D. Wade misses 2-pt shot from 3 ft
10:54.0,Defensive rebound by M. Gortat,,0-2,,
10:53.0,Turnover by M. Gortat (bad pass),,0-2,,
10:38.0,,,0-2,,R. Rondo misses 2-pt shot from 1 ft
10:35.0,,,0-2,,Offensive rebound by R. Lopez
10:30.0,,,0-2,,Turnover by D. Wade (lost ball; steal by B. Beal)
10:25.0,B. Beal makes 2-pt shot from 3 ft,2,2-2,,
10:09.0,,,2-2,,D. Wade misses 2-pt shot from 22 ft
10:08.0,Defensive rebound by M. Gortat,,2-2,,
10:00.0,M. Gortat makes 2-pt shot from 5 ft (assist by B. Beal),2,4-2,,
9:36.0,,,4-2,,J. Butler misses 3-pt shot from 25 ft
9:35.0,,,4-2,,Offensive rebound by T. Gibson
9:30.0,,,4-4,2,T. Gibson makes 2-pt shot from 12 ft
9:23.0,B. Beal misses 3-pt shot from 26 ft,,4-4,,
9:22.0,,,4-4,,Defensive rebound by T. Gibson
9:16.0,,,4-4,,Turnover by J. Butler (bad pass; steal by J. Wall)
9:10.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,7-4,,
8:50.0,,,7-6,2,R. Lopez makes 2-pt shot from 17 ft (assist by D. Wade)
8:31.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,9-6,,
8:18.0,,,9-8,2,J. Butler makes 2-pt shot from 21 ft (assist by T. Gibson)
8:01.0,B. Beal misses 2-pt shot from 2 ft (block by R. Lopez),,9-8,,
7:59.0,,,9-8,,Defensive rebound by R. Lopez
7:53.0,,,9-10,2,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo)
7:35.0,Turnover by J. Wall (bad pass; steal by R. Lopez),,9-10,,
7:31.0,Personal foul by M. Gortat (drawn by R. Rondo),,9-10,,
7:20.0,,,9-10,,R. Lopez misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by O. Porter,,9-10,,
7:00.0,B. Beal makes 2-pt shot from 23 ft (assist by J. Wall),2,11-10,,
6:51.0,,,11-10,,Turnover by R. Rondo (bad pass)
6:31.0,M. Gortat misses 2-pt shot from 12 ft,,11-10,,
6:30.0,,,11-10,,Defensive rebound by D. Wade
6:25.0,,,11-12,2,D. Wade makes 2-pt shot from 1 ft
6:04.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,13-12,,
5:50.0,,,13-15,3,R. Rondo makes 3-pt shot from 25 ft (assist by J. Butler)
