time,Oklahoma City,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Johnson (A. Roberson gains possession),,,,Jump ball: S. Adams vs. A. Johnson (A. Roberson gains possession)
11:44.0,Turnover by A. Roberson (bad pass; steal by A. Johnson),,0-0,,
11:29.0,,,0-0,,J. Crowder misses 3-pt shot from 26 ft
11:28.0,Defensive rebound by Team,,0-0,,
11:28.0,,,0-0,,Loose ball foul by A. Horford (drawn by S. Adams)
11:11.0,S. Adams misses 2-pt shot from 6 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by A. Horford
11:04.0,,,0-0,,I. Thomas misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by R. Westbrook,,0-0,,
10:53.0,D. Sabonis makes 2-pt shot from 2 ft (assist by R. Westbrook),2,2-0,,
10:32.0,,,2-0,,A. Horford misses 3-pt shot from 26 ft
10:30.0,,,2-0,,Offensive rebound by A. Johnson
10:29.0,,,2-2,2,A. Johnson makes 2-pt shot from 1 ft
10:18.0,A. Morrow misses 2-pt shot from 15 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by A. Horford
10:12.0,Personal foul by D. Sabonis (drawn by I. Thomas),,2-2,,
10:04.0,,,2-2,,I. Thomas misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by A. Roberson,,2-2,,
9:53.0,R. Westbrook misses 2-pt shot from 17 ft,,2-2,,
9:52.0,,,2-2,,Defensive rebound by A. Bradley
9:35.0,,,2-4,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Crowder)
9:16.0,D. Sabonis makes 2-pt shot from 18 ft (assist by A. Roberson),2,4-4,,
8:48.0,,,4-7,3,A. Johnson makes 3-pt shot from 23 ft (assist by A. Horford)
8:35.0,R. Westbrook misses 2-pt shot from 1 ft,,4-7,,
8:34.0,,,4-7,,Defensive rebound by A. Johnson
8:29.0,,,4-9,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson)
8:11.0,A. Morrow misses 3-pt shot from 25 ft,,4-9,,
8:10.0,Offensive rebound by R. Westbrook,,4-9,,
8:01.0,D. Sabonis makes 2-pt shot at rim (assist by R. Westbrook),2,6-9,,
7:54.0,,,6-11,2,A. Horford makes 2-pt shot from 2 ft (assist by I. Thomas)
7:37.0,E. Kanter enters the game for D. Sabonis,,6-11,,
