time,Boston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Jokic (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. N. Jokic (I. Thomas gains possession)
11:43.0,A. Bradley misses 2-pt shot from 16 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by N. Jokic
11:32.0,,,0-0,,W. Chandler misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by A. Bradley,,0-0,,
11:29.0,Turnover by A. Bradley (lost ball; steal by N. Jokic),,0-0,,
11:24.0,,,0-2,2,N. Jokic makes 2-pt shot at rim
11:13.0,J. Crowder misses 3-pt shot from 27 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by N. Jokic
11:03.0,,,0-2,,Denver full timeout
10:52.0,,,0-2,,D. Gallinari misses 2-pt shot from 12 ft
10:51.0,,,0-2,,Offensive rebound by Team
10:51.0,,,0-2,,Turnover by Team (shot clock)
10:39.0,A. Horford misses 2-pt shot from 20 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by N. Jokic
10:27.0,,,0-2,,G. Harris misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by A. Horford,,0-2,,
10:24.0,Turnover by A. Horford (bad pass; steal by G. Harris),,0-2,,
10:15.0,,,0-5,3,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Chandler)
9:59.0,Turnover by J. Crowder (bad pass; steal by N. Jokic),,0-5,,
9:51.0,,,0-5,,D. Gallinari misses 2-pt shot from 1 ft (block by A. Johnson)
9:48.0,Defensive rebound by A. Horford,,0-5,,
9:37.0,I. Thomas makes 2-pt shot from 18 ft,2,2-5,,
9:21.0,,,2-5,,Shooting foul by J. Crowder (drawn by D. Gallinari)
9:21.0,,,2-6,1,D. Gallinari makes free throw 1 of 2
9:21.0,,,2-7,1,D. Gallinari makes free throw 2 of 2
9:01.0,A. Johnson misses 2-pt shot from 7 ft,,2-7,,
9:01.0,,,2-7,,Defensive rebound by Team
9:01.0,Personal foul by J. Crowder (drawn by J. Nelson),,2-7,,
8:49.0,,,2-7,,W. Chandler misses 3-pt shot from 26 ft
8:48.0,,,2-7,,Offensive rebound by G. Harris
8:45.0,,,2-9,2,W. Chandler makes 2-pt shot at rim (assist by N. Jokic)
8:45.0,Boston full timeout,,2-9,,
8:28.0,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas),3,5-9,,
8:14.0,,,5-9,,J. Nelson misses 2-pt shot from 1 ft
8:13.0,Defensive rebound by J. Crowder,,5-9,,
7:54.0,A. Horford misses 2-pt shot from 19 ft,,5-9,,
7:53.0,,,5-9,,Defensive rebound by D. Gallinari
7:34.0,,,5-9,,W. Chandler misses 2-pt shot from 2 ft (block by A. Johnson)
7:32.0,Defensive rebound by I. Thomas,,5-9,,
7:23.0,A. Horford makes 2-pt shot from 9 ft (assist by J. Crowder),2,7-9,,
7:09.0,,,7-9,,Shooting foul by A. Johnson (drawn by N. Jokic)
7:09.0,,,7-10,1,D. Gallinari makes free throw 1 of 2
7:09.0,,,7-11,1,D. Gallinari makes free throw 2 of 2
6:55.0,A. Bradley makes 2-pt shot from 20 ft (assist by J. Crowder),2,9-11,,
6:41.0,,,9-13,2,W. Chandler makes 2-pt shot at rim (assist by N. Jokic)
6:23.0,A. Bradley misses 2-pt shot from 22 ft,,9-13,,
6:23.0,,,9-13,,Defensive rebound by N. Jokic
6:21.0,,,9-13,,Turnover by N. Jokic (bad pass)
6:11.0,,,9-13,,Personal foul by N. Jokic (drawn by A. Horford)
6:01.0,Turnover by A. Horford (lost ball; steal by D. Gallinari),,9-13,,
5:56.0,,,9-13,,G. Harris misses 2-pt shot from 3 ft
5:55.0,Defensive rebound by A. Johnson,,9-13,,
5:46.0,A. Bradley makes 2-pt shot from 16 ft,2,11-13,,
5:36.0,,,11-15,2,N. Jokic makes 2-pt shot from 5 ft
5:22.0,I. Thomas misses 3-pt shot from 25 ft,,11-15,,
5:21.0,,,11-15,,Defensive rebound by G. Harris
5:12.0,,,11-18,3,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris)
4:56.0,J. Crowder misses 3-pt shot from 26 ft,,11-18,,
4:55.0,,,11-18,,Defensive rebound by J. Nelson
4:49.0,,,11-18,,Turnover by G. Harris (lost ball; steal by I. Thomas)
