time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Turner (J. Wall gains possession),,,,Jump ball: M. Gortat vs. M. Turner (J. Wall gains possession)
11:36.0,,,0-0,,J. Wall misses 2-pt shot from 19 ft
11:35.0,,,0-0,,Offensive rebound by M. Gortat
11:34.0,,,0-2,2,M. Gortat makes 2-pt shot from 1 ft
11:21.0,Offensive foul by M. Turner,,0-2,,
11:21.0,Turnover by M. Turner (offensive foul),,0-2,,
11:12.0,,,0-2,,Turnover by J. Wall (lost ball)
11:02.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,2-2,,
10:47.0,,,2-2,,M. Morris misses 2-pt shot from 16 ft
10:47.0,Defensive rebound by L. Allen,,2-2,,
10:37.0,C. Miles misses 3-pt shot from 27 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by Team
10:18.0,,,2-4,2,M. Morris makes 2-pt shot from 11 ft
10:00.0,C. Miles misses 2-pt shot from 1 ft,,2-4,,
9:59.0,,,2-4,,Defensive rebound by M. Gortat
9:52.0,,,2-7,3,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal)
9:37.0,P. George makes 2-pt shot from 17 ft,2,4-7,,
9:21.0,,,4-9,2,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall)
9:02.0,Turnover by P. George (lost ball; steal by M. Morris),,4-9,,
8:58.0,,,4-9,,Turnover by J. Wall (bad pass)
8:50.0,P. George misses 3-pt shot from 27 ft,,4-9,,
8:49.0,,,4-9,,Defensive rebound by M. Morris
8:31.0,,,4-9,,M. Morris misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by P. George,,4-9,,
8:19.0,J. Teague makes 3-pt shot from 26 ft (assist by P. George),3,7-9,,
8:05.0,,,7-12,3,J. Wall makes 3-pt shot from 26 ft (assist by O. Porter)
7:49.0,M. Turner makes 2-pt shot from 5 ft (assist by J. Teague),2,9-12,,
7:37.0,,,9-14,2,M. Morris makes 2-pt shot from 8 ft (assist by J. Wall)
7:27.0,Shooting foul by J. Wall (drawn by J. Teague),,9-14,,
7:27.0,J. Teague makes free throw 1 of 2,1,10-14,,
7:27.0,J. Teague makes free throw 2 of 2,1,11-14,,
7:24.0,Personal foul by J. Teague (drawn by J. Wall),,11-14,,
7:14.0,,,11-14,,B. Beal misses 3-pt shot from 26 ft
7:13.0,,,11-14,,Offensive rebound by M. Gortat
7:12.0,,,11-14,,M. Gortat misses 2-pt shot from 5 ft
7:11.0,Defensive rebound by M. Turner,,11-14,,
7:05.0,Shooting foul by O. Porter (drawn by J. Teague),,11-14,,
7:05.0,J. Teague makes free throw 1 of 2,1,12-14,,
7:05.0,J. Teague makes free throw 2 of 2,1,13-14,,
6:52.0,,,13-14,,O. Porter misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by J. Teague,,13-14,,
6:45.0,J. Teague misses 2-pt shot from 16 ft,,13-14,,
6:44.0,,,13-14,,Defensive rebound by M. Morris
6:33.0,,,13-16,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
6:20.0,M. Turner misses 2-pt shot from 16 ft,,13-16,,
6:19.0,,,13-16,,Defensive rebound by M. Morris
6:06.0,,,13-16,,B. Beal misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by C. Miles,,13-16,,
5:50.0,C. Miles misses 3-pt shot from 23 ft,,13-16,,
5:49.0,,,13-16,,Defensive rebound by M. Gortat
5:40.0,,,13-16,,Turnover by B. Beal (bad pass; steal by L. Allen)
5:31.0,Turnover by L. Allen (bad pass; steal by O. Porter),,13-16,,
5:25.0,,,13-18,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:16.0,Indiana full timeout,,13-18,,
5:16.0,K. Seraphin enters the game for L. Allen,,13-18,,
5:16.0,M. Ellis enters the game for C. Miles,,13-18,,
5:16.0,,,13-18,,J. Smith enters the game for M. Morris
5:01.0,M. Turner makes 2-pt shot from 11 ft (assist by M. Ellis),2,15-18,,
4:42.0,,,15-20,2,O. Porter makes 2-pt shot from 6 ft (assist by J. Wall)
4:29.0,P. George makes 2-pt shot from 18 ft (assist by M. Turner),2,17-20,,
4:11.0,,,17-20,,M. Gortat misses 2-pt shot from 5 ft
