time,Boston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:31.0,,,0-0,,A. Roberson misses 3-pt shot from 24 ft
12:00.0,Jump ball: S. Adams vs. A. Johnson (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Johnson (R. Westbrook gains possession)
11:31.0,Defensive rebound by M. Smart,,0-0,,
11:10.0,M. Smart misses 3-pt shot from 25 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by V. Oladipo
11:00.0,,,0-0,,Turnover by A. Roberson (bad pass; steal by J. Crowder)
10:48.0,A. Bradley misses 2-pt shot from 2 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by D. Sabonis
10:39.0,,,0-0,,Turnover by V. Oladipo (bad pass; steal by A. Bradley)
10:21.0,J. Crowder makes 2-pt shot from 8 ft,2,2-0,,
10:09.0,Personal foul by A. Johnson (drawn by S. Adams),,2-0,,
10:01.0,,,2-0,,Turnover by V. Oladipo (bad pass; steal by A. Johnson)
9:58.0,Turnover by J. Crowder (bad pass),,2-0,,
9:58.0,,,2-0,,Oklahoma City full timeout
9:45.0,,,2-0,,D. Sabonis misses 3-pt shot from 25 ft (block by A. Horford)
9:45.0,,,2-0,,Offensive rebound by Team
9:37.0,,,2-2,2,R. Westbrook makes 2-pt shot from 16 ft (assist by S. Adams)
9:19.0,A. Bradley misses 2-pt shot from 8 ft (block by D. Sabonis),,2-2,,
9:18.0,Offensive rebound by A. Johnson,,2-2,,
9:17.0,A. Johnson misses 2-pt shot from 3 ft,,2-2,,
9:16.0,Offensive rebound by Team,,2-2,,
9:13.0,A. Bradley misses 2-pt shot from 7 ft,,2-2,,
9:12.0,,,2-2,,Defensive rebound by V. Oladipo
8:52.0,,,2-2,,D. Sabonis misses 2-pt shot from 2 ft
8:52.0,Defensive rebound by J. Crowder,,2-2,,
8:38.0,A. Horford misses 2-pt shot from 3 ft,,2-2,,
8:38.0,,,2-2,,Defensive rebound by R. Westbrook
8:18.0,,,2-2,,D. Sabonis misses 3-pt shot from 23 ft
8:18.0,,,2-2,,Offensive rebound by Team
8:17.0,,,2-2,,E. Kanter enters the game for D. Sabonis
8:14.0,,,2-2,,E. Kanter misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by A. Bradley,,2-2,,
7:51.0,A. Horford misses 3-pt shot from 25 ft,,2-2,,
7:51.0,,,2-2,,Defensive rebound by R. Westbrook
7:47.0,,,2-4,2,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:31.0,J. Crowder makes 3-pt shot from 23 ft (assist by A. Johnson),3,5-4,,
7:13.0,,,5-4,,V. Oladipo misses 2-pt shot from 15 ft
7:12.0,Defensive rebound by M. Smart,,5-4,,
7:02.0,A. Johnson misses 3-pt shot from 24 ft,,5-4,,
7:02.0,,,5-4,,Defensive rebound by R. Westbrook
6:58.0,,,5-4,,Turnover by R. Westbrook (bad pass; steal by M. Smart)
6:52.0,J. Crowder makes 2-pt shot from 2 ft (assist by M. Smart),2,7-4,,
6:37.0,,,7-6,2,R. Westbrook makes 2-pt shot from 3 ft
6:19.0,J. Crowder makes 2-pt shot from 1 ft (assist by A. Johnson),2,9-6,,
5:55.0,,,9-6,,Turnover by R. Westbrook (bad pass; steal by A. Bradley)
5:49.0,A. Bradley makes 2-pt shot from 1 ft,2,11-6,,
5:33.0,,,11-8,2,R. Westbrook makes 2-pt shot from 15 ft
5:28.0,Boston full timeout,,11-8,,
5:28.0,,,11-8,,A. Morrow enters the game for V. Oladipo
5:28.0,T. Rozier enters the game for M. Smart,,11-8,,
5:04.0,T. Rozier misses 2-pt shot from 14 ft,,11-8,,
5:04.0,,,11-8,,Defensive rebound by R. Westbrook
4:43.0,,,11-8,,R. Westbrook misses 2-pt shot from 19 ft
4:42.0,Defensive rebound by A. Johnson,,11-8,,
4:37.0,Turnover by A. Bradley (bad pass; steal by R. Westbrook),,11-8,,
4:33.0,Personal foul by A. Bradley (drawn by R. Westbrook),,11-8,,
4:33.0,K. Olynyk enters the game for A. Johnson,,11-8,,
4:33.0,,,11-8,,J. Lauvergne enters the game for S. Adams
4:23.0,,,11-10,2,E. Kanter makes 2-pt shot from 2 ft (assist by A. Morrow)
4:06.0,Turnover by J. Crowder (bad pass; steal by A. Morrow),,11-10,,
3:59.0,,,11-10,,Shooting foul by T. Rozier (drawn by J. Lauvergne)
3:59.0,,,11-10,,J. Lauvergne misses free throw 1 of 2
3:59.0,,,11-10,,Offensive rebound by Team
3:59.0,,,11-11,1,J. Lauvergne makes free throw 2 of 2
3:39.0,K. Olynyk misses 3-pt shot from 25 ft,,11-11,,
3:38.0,,,11-11,,Defensive rebound by A. Roberson
3:31.0,,,11-13,2,R. Westbrook makes 2-pt shot from 15 ft
3:23.0,,,11-13,,Personal foul by A. Roberson (drawn by A. Bradley)
3:23.0,,,11-13,,V. Oladipo enters the game for A. Roberson
3:23.0,,,11-13,,S. Christon enters the game for R. Westbrook
3:10.0,A. Horford makes 3-pt shot from 25 ft (assist by T. Rozier),3,14-13,,
2:51.0,,,14-15,2,E. Kanter makes 2-pt shot from 2 ft (assist by S. Christon)
2:28.0,A. Horford makes 2-pt shot at rim (assist by K. Olynyk),2,16-15,,
2:15.0,,,16-17,2,A. Morrow makes 2-pt shot from 23 ft (assist by J. Lauvergne)
1:59.0,K. Olynyk misses 3-pt shot from 24 ft,,16-17,,
1:58.0,,,16-17,,Defensive rebound by V. Oladipo
1:43.0,,,16-19,2,A. Morrow makes 2-pt shot from 6 ft
1:29.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Crowder),2,18-19,,
1:18.0,Personal foul by J. Crowder (drawn by A. Morrow),,18-19,,
1:18.0,J. Jerebko enters the game for J. Crowder,,18-19,,
1:18.0,J. Brown enters the game for A. Horford,,18-19,,
1:18.0,M. Smart enters the game for A. Bradley,,18-19,,
1:13.0,,,18-19,,V. Oladipo misses 2-pt shot from 1 ft
1:12.0,Defensive rebound by M. Smart,,18-19,,
1:06.0,T. Rozier makes 2-pt shot from 1 ft (assist by M. Smart),2,20-19,,
0:51.0,,,20-21,2,E. Kanter makes 2-pt shot from 4 ft (assist by S. Christon)
0:39.0,T. Rozier makes 2-pt shot from 13 ft,2,22-21,,
0:28.0,,,22-21,,J. Lauvergne misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by T. Rozier,,22-21,,
0:05.0,,,22-21,,Personal foul by V. Oladipo (drawn by J. Jerebko)
0:05.0,,,22-21,,Oklahoma City full timeout
0:05.0,,,22-21,,A. Roberson enters the game for V. Oladipo
0:03.0,M. Smart makes 2-pt shot from 1 ft (assist by K. Olynyk),2,24-21,,
0:03.0,Shooting foul by A. Roberson (drawn by M. Smart),,24-21,,
0:03.0,M. Smart misses free throw 1 of 1,,24-21,,
0:03.0,,,24-21,,Defensive rebound by J. Lauvergne
0:00.0,,,24-21,,J. Lauvergne misses 3-pt shot from 81 ft
0:00.0,,,24-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Brown misses 2-pt shot from 1 ft,,24-21,,
11:46.0,,,24-21,,Defensive rebound by J. Lauvergne
11:36.0,,,24-21,,Turnover by J. Lauvergne (bad pass; steal by K. Olynyk)
11:17.0,M. Smart misses 2-pt shot from 2 ft,,24-21,,
11:17.0,,,24-21,,Defensive rebound by E. Kanter
10:59.0,,,24-23,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by A. Morrow)
10:44.0,K. Olynyk misses 3-pt shot from 24 ft,,24-23,,
10:43.0,,,24-23,,Defensive rebound by J. Lauvergne
10:36.0,Personal foul by K. Olynyk (drawn by E. Kanter),,24-23,,
10:36.0,,,24-23,,D. Sabonis enters the game for E. Kanter
10:20.0,,,24-23,,D. Sabonis misses 2-pt shot from 4 ft
10:19.0,Defensive rebound by K. Olynyk,,24-23,,
10:04.0,T. Rozier misses 2-pt shot from 8 ft,,24-23,,
10:03.0,,,24-23,,Defensive rebound by D. Sabonis
9:48.0,,,24-23,,J. Lauvergne misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by K. Olynyk,,24-23,,
9:41.0,M. Smart makes 3-pt shot from 23 ft (assist by J. Brown),3,27-23,,
9:16.0,,,27-23,,A. Roberson misses 3-pt shot from 23 ft
9:16.0,,,27-23,,Offensive rebound by A. Morrow
9:10.0,,,27-23,,A. Morrow misses 2-pt shot from 12 ft
9:09.0,,,27-23,,Offensive rebound by J. Lauvergne
9:09.0,,,27-23,,J. Lauvergne misses 2-pt shot from 2 ft
9:08.0,,,27-23,,Offensive rebound by D. Sabonis
9:03.0,,,27-23,,A. Morrow misses 3-pt shot from 22 ft
9:02.0,Defensive rebound by K. Olynyk,,27-23,,
8:48.0,M. Smart misses 3-pt shot from 25 ft,,27-23,,
8:47.0,,,27-23,,Defensive rebound by Team
8:47.0,Official timeout,,27-23,,
8:47.0,,,27-23,,R. Westbrook enters the game for S. Christon
8:47.0,,,27-23,,J. Grant enters the game for A. Roberson
8:47.0,A. Johnson enters the game for K. Olynyk,,27-23,,
8:26.0,,,27-23,,Shooting foul by M. Smart (drawn by J. Lauvergne)
8:26.0,,,27-23,,J. Lauvergne misses free throw 1 of 2
8:26.0,,,27-23,,Offensive rebound by Team
8:26.0,,,27-23,,J. Lauvergne misses free throw 2 of 2
8:25.0,Defensive rebound by J. Brown,,27-23,,
8:06.0,J. Jerebko misses 3-pt shot from 24 ft,,27-23,,
8:06.0,,,27-23,,Defensive rebound by J. Lauvergne
7:53.0,,,27-23,,A. Morrow misses 3-pt shot from 22 ft
7:52.0,Defensive rebound by A. Johnson,,27-23,,
7:33.0,M. Smart makes 2-pt shot from 1 ft,2,29-23,,
7:20.0,,,29-23,,R. Westbrook misses 2-pt shot from 1 ft
7:19.0,,,29-23,,Offensive rebound by J. Lauvergne
7:19.0,,,29-23,,J. Lauvergne misses 2-pt shot from 2 ft
7:18.0,,,29-23,,Offensive rebound by R. Westbrook
7:18.0,,,29-25,2,R. Westbrook makes 2-pt shot from 1 ft
7:08.0,T. Rozier misses 2-pt shot from 20 ft,,29-25,,
7:08.0,,,29-25,,Defensive rebound by D. Sabonis
7:00.0,,,29-25,,R. Westbrook misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by J. Jerebko,,29-25,,
6:47.0,Turnover by J. Brown (traveling),,29-25,,
6:47.0,A. Bradley enters the game for M. Smart,,29-25,,
6:47.0,,,29-25,,S. Adams enters the game for J. Lauvergne
6:47.0,,,29-25,,A. Roberson enters the game for A. Morrow
6:32.0,,,29-27,2,D. Sabonis makes 2-pt shot from 7 ft
6:04.0,A. Bradley misses 2-pt shot from 2 ft (block by A. Roberson),,29-27,,
6:04.0,Offensive rebound by Team,,29-27,,
6:04.0,Turnover by Team (shot clock),,29-27,,
6:04.0,A. Horford enters the game for J. Jerebko,,29-27,,
6:04.0,J. Crowder enters the game for J. Brown,,29-27,,
5:49.0,,,29-29,2,D. Sabonis makes 2-pt shot from 5 ft
5:25.0,A. Horford makes 2-pt shot from 21 ft (assist by J. Crowder),2,31-29,,
5:15.0,,,31-29,,Offensive charge foul by R. Westbrook
5:15.0,,,31-29,,Turnover by R. Westbrook (offensive foul)
5:15.0,,,31-29,,Oklahoma City full timeout
5:02.0,A. Horford misses 3-pt shot from 24 ft,,31-29,,
4:59.0,Offensive rebound by T. Rozier,,31-29,,
4:59.0,T. Rozier misses 2-pt shot from 2 ft,,31-29,,
4:58.0,Offensive rebound by A. Johnson,,31-29,,
4:58.0,A. Johnson makes 2-pt shot from 2 ft,2,33-29,,
4:47.0,Personal foul by J. Crowder (drawn by R. Westbrook),,33-29,,
4:47.0,M. Smart enters the game for T. Rozier,,33-29,,
4:36.0,,,33-29,,Turnover by D. Sabonis (bad pass)
4:15.0,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart),3,36-29,,
4:05.0,,,36-29,,Oklahoma City full timeout
4:05.0,,,36-29,,E. Kanter enters the game for D. Sabonis
4:05.0,,,36-29,,A. Morrow enters the game for J. Grant
3:59.0,,,36-29,,A. Morrow misses 3-pt shot from 23 ft
3:58.0,,,36-29,,Offensive rebound by E. Kanter
3:57.0,,,36-29,,E. Kanter misses 2-pt shot from 1 ft (block by A. Johnson)
3:54.0,,,36-29,,Offensive rebound by S. Adams
3:48.0,,,36-29,,A. Morrow misses 2-pt shot from 5 ft
3:48.0,,,36-29,,Offensive rebound by E. Kanter
3:45.0,,,36-31,2,E. Kanter makes 2-pt shot from 1 ft
3:30.0,A. Bradley makes 2-pt shot at rim (assist by M. Smart),2,38-31,,
3:16.0,,,38-31,,E. Kanter misses 3-pt shot from 25 ft
3:14.0,,,38-31,,Offensive rebound by R. Westbrook
2:56.0,,,38-33,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
2:39.0,Turnover by A. Bradley (bad pass; steal by R. Westbrook),,38-33,,
2:38.0,,,38-35,2,R. Westbrook makes 2-pt shot at rim
2:38.0,Boston full timeout,,38-35,,
2:38.0,K. Olynyk enters the game for A. Johnson,,38-35,,
