time,Charlotte,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. C. Zeller (K. Middleton gains possession),,,,Jump ball: T. Maker vs. C. Zeller (K. Middleton gains possession)
11:45.0,Violation by C. Zeller (kicked ball),,0-0,,
11:33.0,,,0-0,,Turnover by K. Middleton (bad pass; steal by N. Batum)
11:24.0,Shooting foul by T. Maker (drawn by C. Zeller),,0-0,,
11:24.0,C. Zeller makes free throw 1 of 2,1,1-0,,
11:24.0,C. Zeller makes free throw 2 of 2,1,2-0,,
11:07.0,,,2-0,,M. Brogdon misses 3-pt shot from 26 ft
11:05.0,,,2-0,,Offensive rebound by T. Maker
11:03.0,,,2-0,,T. Maker misses 2-pt shot from 1 ft (block by C. Zeller)
11:00.0,Defensive rebound by M. Kidd-Gilchrist,,2-0,,
10:53.0,Offensive charge foul by M. Williams,,2-0,,
10:53.0,Turnover by M. Williams (offensive foul),,2-0,,
10:41.0,,,2-0,,G. Antetokounmpo misses 2-pt shot at rim
10:38.0,Defensive rebound by M. Williams,,2-0,,
10:22.0,C. Zeller misses 2-pt shot from 18 ft,,2-0,,
10:21.0,,,2-0,,Defensive rebound by K. Middleton
10:08.0,,,2-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell)
9:47.0,N. Batum makes 2-pt shot from 17 ft,2,4-2,,
9:32.0,,,4-2,,M. Brogdon misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
9:29.0,Defensive rebound by B. Roberts,,4-2,,
9:20.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,4-2,,
9:18.0,,,4-2,,Defensive rebound by G. Antetokounmpo
9:13.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot from 1 ft
8:54.0,B. Roberts misses 3-pt shot from 27 ft,,4-4,,
8:53.0,,,4-4,,Defensive rebound by G. Antetokounmpo
8:44.0,,,4-7,3,T. Snell makes 3-pt shot from 27 ft (assist by T. Maker)
8:28.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by B. Roberts),2,6-7,,
8:14.0,,,6-7,,Turnover by T. Snell (illegal screen)
8:02.0,N. Batum misses 3-pt shot from 26 ft,,6-7,,
8:00.0,,,6-7,,Defensive rebound by K. Middleton
7:53.0,,,6-9,2,T. Maker makes 2-pt shot at rim (assist by K. Middleton)
7:38.0,Turnover by B. Roberts (bad pass),,6-9,,
7:24.0,,,6-12,3,M. Brogdon makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
7:03.0,M. Williams makes 2-pt shot from 6 ft (assist by N. Batum),2,8-12,,
6:49.0,,,8-15,3,K. Middleton makes 3-pt shot from 23 ft (assist by T. Snell)
6:44.0,Charlotte full timeout,,8-15,,
6:31.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,8-15,,
6:30.0,,,8-15,,Defensive rebound by G. Antetokounmpo
6:15.0,,,8-15,,G. Antetokounmpo misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by C. Zeller,,8-15,,
6:02.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,8-15,,
6:01.0,,,8-15,,Defensive rebound by G. Antetokounmpo
5:55.0,,,8-15,,Turnover by G. Antetokounmpo (bad pass; steal by B. Roberts)
5:51.0,B. Roberts misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,8-15,,
5:51.0,Offensive rebound by Team,,8-15,,
5:51.0,,,8-15,,G. Monroe enters the game for T. Maker
