time,Dallas,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. D. Nowitzki (D. Saric gains possession),,,,Jump ball: R. Holmes vs. D. Nowitzki (D. Saric gains possession)
11:46.0,,,0-0,,D. Saric misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by Y. Ferrell,,0-0,,
11:38.0,,,0-0,,Personal foul by T. Luwawu-Cabarrot (drawn by H. Barnes)
11:30.0,H. Barnes misses 2-pt shot from 16 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by R. Covington
11:21.0,,,0-2,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
11:03.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by W. Matthews),2,2-2,,
10:42.0,,,2-4,2,T. McConnell makes 2-pt shot from 10 ft (assist by D. Saric)
10:30.0,Turnover by Y. Ferrell (bad pass; steal by D. Saric),,2-4,,
10:29.0,Personal foul by D. Nowitzki (drawn by D. Saric),,2-4,,
10:06.0,,,2-6,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
9:53.0,D. Nowitzki misses 2-pt shot from 20 ft,,2-6,,
9:51.0,,,2-6,,Defensive rebound by D. Saric
9:41.0,,,2-8,2,R. Holmes makes 2-pt shot from 6 ft (assist by T. Luwawu-Cabarrot)
9:18.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by S. Curry),2,4-8,,
9:05.0,,,4-8,,T. McConnell misses 2-pt shot at rim
9:04.0,Defensive rebound by H. Barnes,,4-8,,
8:57.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,7-8,,
8:48.0,,,7-8,,T. Luwawu-Cabarrot misses 2-pt shot from 6 ft
8:45.0,Defensive rebound by W. Matthews,,7-8,,
8:37.0,,,7-8,,Personal foul by R. Covington (drawn by D. Nowitzki)
8:23.0,Y. Ferrell makes 2-pt shot from 14 ft,2,9-8,,
8:10.0,,,9-8,,D. Saric misses 2-pt shot from 17 ft
8:09.0,Defensive rebound by H. Barnes,,9-8,,
7:57.0,W. Matthews misses 3-pt shot from 25 ft,,9-8,,
7:55.0,,,9-8,,Defensive rebound by D. Saric
7:43.0,,,9-10,2,T. McConnell makes 2-pt shot at rim (assist by R. Covington)
7:19.0,Turnover by D. Nowitzki (lost ball; steal by T. Luwawu-Cabarrot),,9-10,,
7:15.0,,,9-12,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft
7:14.0,Dallas full timeout,,9-12,,
7:14.0,,,9-12,,J. Anderson enters the game for D. Saric
6:51.0,W. Matthews misses 2-pt shot from 2 ft,,9-12,,
6:50.0,,,9-12,,Defensive rebound by R. Covington
6:45.0,,,9-12,,Turnover by R. Covington (traveling)
6:45.0,N. Noel enters the game for D. Nowitzki,,9-12,,
6:45.0,J. Barea enters the game for Y. Ferrell,,9-12,,
6:30.0,J. Barea misses 2-pt shot from 14 ft,,9-12,,
6:28.0,,,9-12,,Defensive rebound by T. Luwawu-Cabarrot
6:22.0,,,9-15,3,J. Anderson makes 3-pt shot from 26 ft (assist by T. McConnell)
6:05.0,W. Matthews makes 2-pt shot from 14 ft,2,11-15,,
5:55.0,,,11-17,2,T. McConnell makes 2-pt shot from 16 ft (assist by R. Covington)
5:45.0,Turnover by J. Barea (lost ball; steal by R. Holmes),,11-17,,
5:38.0,,,11-17,,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft
5:37.0,,,11-17,,Offensive rebound by R. Holmes
5:36.0,,,11-19,2,R. Holmes makes 2-pt shot from 1 ft
5:17.0,H. Barnes misses 3-pt shot from 24 ft,,11-19,,
5:16.0,,,11-19,,Defensive rebound by R. Holmes
5:06.0,,,11-21,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
5:05.0,Dallas full timeout,,11-21,,
5:05.0,,,11-21,,J. Okafor enters the game for R. Holmes
5:05.0,,,11-21,,G. Henderson enters the game for T. Luwawu-Cabarrot
4:53.0,S. Curry misses 2-pt shot from 21 ft,,11-21,,
4:52.0,,,11-21,,Defensive rebound by T. McConnell
4:45.0,,,11-21,,J. Okafor misses 2-pt shot from 13 ft
4:43.0,Defensive rebound by H. Barnes,,11-21,,
4:24.0,Turnover by N. Noel (lost ball; steal by J. Anderson),,11-21,,
4:16.0,Personal foul by W. Matthews (drawn by J. Anderson),,11-21,,
4:16.0,D. Harris enters the game for S. Curry,,11-21,,
4:16.0,,,11-21,,S. Rodriguez enters the game for T. McConnell
4:01.0,,,11-21,,R. Covington misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by H. Barnes,,11-21,,
3:52.0,D. Harris misses 2-pt shot from 17 ft,,11-21,,
3:51.0,Offensive rebound by N. Noel,,11-21,,
3:48.0,H. Barnes makes 2-pt shot at rim (assist by N. Noel),2,13-21,,
3:40.0,,,13-21,,G. Henderson misses 3-pt shot from 25 ft
3:39.0,,,13-21,,Offensive rebound by S. Rodriguez
3:31.0,,,13-21,,G. Henderson misses 2-pt shot from 9 ft
3:29.0,Defensive rebound by W. Matthews,,13-21,,
3:10.0,N. Noel makes 2-pt shot from 16 ft (assist by J. Barea),2,15-21,,
2:47.0,,,15-21,,Turnover by J. Okafor (lost ball; steal by H. Barnes)
2:33.0,J. Barea makes 2-pt shot from 3 ft,2,17-21,,
2:18.0,,,17-21,,R. Covington misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by N. Noel,,17-21,,
2:04.0,N. Noel makes 2-pt shot from 5 ft (assist by J. Barea),2,19-21,,
2:04.0,,,19-21,,Philadelphia full timeout
2:04.0,,,19-21,,D. Saric enters the game for R. Covington
2:04.0,D. Finney-Smith enters the game for W. Matthews,,19-21,,
1:55.0,,,19-21,,Turnover by J. Okafor (back court)
1:55.0,D. Nowitzki enters the game for H. Barnes,,19-21,,
1:47.0,,,19-21,,Personal foul by J. Okafor (drawn by N. Noel)
1:29.0,J. Barea makes 3-pt shot from 29 ft (assist by N. Noel),3,22-21,,
1:09.0,,,22-21,,J. Anderson misses 2-pt shot from 8 ft (block by N. Noel)
1:07.0,Defensive rebound by D. Nowitzki,,22-21,,
1:02.0,N. Noel misses 2-pt shot from 1 ft,,22-21,,
1:00.0,,,22-21,,Defensive rebound by J. Okafor
0:51.0,Personal foul by D. Finney-Smith (drawn by D. Saric),,22-21,,
0:40.0,,,22-21,,G. Henderson misses 2-pt shot from 13 ft (block by D. Harris)
0:38.0,Defensive rebound by D. Harris,,22-21,,
0:32.0,,,22-21,,Personal foul by S. Rodriguez
0:32.0,J. Barea makes free throw 1 of 2,1,23-21,,
0:32.0,J. Barea misses free throw 2 of 2,,23-21,,
0:30.0,,,23-21,,Defensive rebound by D. Saric
0:21.0,,,23-21,,D. Saric misses 2-pt shot from 3 ft (block by D. Nowitzki)
0:19.0,Defensive rebound by D. Harris,,23-21,,
0:04.0,J. Barea misses 2-pt shot from 12 ft,,23-21,,
0:03.0,,,23-21,,Defensive rebound by S. Rodriguez
0:00.0,,,23-21,,J. Anderson misses 3-pt shot from 38 ft
0:00.0,,,23-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,S. Mejri makes 2-pt shot from 3 ft (assist by D. Harris),2,25-21,,
11:24.0,,,25-21,,Offensive charge foul by J. Okafor
11:24.0,,,25-21,,Turnover by J. Okafor (offensive foul)
11:02.0,D. Nowitzki makes 2-pt shot from 19 ft,2,27-21,,
10:41.0,,,27-24,3,S. Rodriguez makes 3-pt shot from 25 ft (assist by J. Okafor)
10:24.0,D. Nowitzki makes 2-pt shot from 18 ft,2,29-24,,
10:08.0,,,29-24,,Turnover by G. Henderson (bad pass; steal by Y. Ferrell)
10:01.0,D. Finney-Smith misses 2-pt shot from 8 ft,,29-24,,
9:59.0,,,29-24,,Defensive rebound by G. Henderson
9:56.0,,,29-24,,Shooting foul by D. Finney-Smith (drawn by J. Okafor)
9:56.0,,,29-25,1,J. Okafor makes free throw 1 of 2
9:56.0,,,29-26,1,J. Okafor makes free throw 2 of 2
9:56.0,,,29-25,,T. Luwawu-Cabarrot enters the game for G. Henderson
9:45.0,D. Nowitzki misses 2-pt shot from 18 ft,,29-26,,
9:43.0,,,29-26,,Defensive rebound by N. Stauskas
9:32.0,,,29-29,3,N. Stauskas makes 3-pt shot from 26 ft (assist by S. Rodriguez)
9:13.0,D. Harris misses 2-pt shot from 3 ft,,29-29,,
9:12.0,Offensive rebound by Team,,29-29,,
9:12.0,,,29-29,,Loose ball foul by D. Saric (drawn by D. Harris)
9:12.0,,,29-29,,R. Holmes enters the game for J. Okafor
9:12.0,S. Curry enters the game for D. Harris,,29-29,,
9:09.0,Offensive foul by S. Curry,,29-29,,
9:09.0,Turnover by S. Curry (offensive foul),,29-29,,
8:58.0,,,29-29,,D. Saric misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by S. Mejri,,29-29,,
8:45.0,Official timeout,,29-29,,
8:45.0,Turnover by Team (5 sec inbounds),,29-29,,
8:35.0,Personal foul by S. Mejri (drawn by S. Rodriguez),,29-29,,
8:32.0,,,29-29,,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by Y. Ferrell,,29-29,,
8:22.0,Y. Ferrell misses 2-pt shot from 18 ft,,29-29,,
8:21.0,,,29-29,,Defensive rebound by R. Holmes
8:06.0,,,29-29,,R. Covington enters the game for D. Saric
8:06.0,J. Barea enters the game for D. Nowitzki,,29-29,,
8:06.0,W. Matthews enters the game for Y. Ferrell,,29-29,,
8:06.0,H. Barnes enters the game for D. Finney-Smith,,29-29,,
8:06.0,N. Noel enters the game for S. Mejri,,29-29,,
8:03.0,,,29-31,2,R. Holmes makes 2-pt shot from 6 ft (assist by S. Rodriguez)
7:47.0,S. Curry makes 2-pt shot from 4 ft (assist by J. Barea),2,31-31,,
7:35.0,,,31-34,3,N. Stauskas makes 3-pt shot from 26 ft (assist by R. Holmes)
7:09.0,J. Barea misses 3-pt shot from 24 ft,,31-34,,
7:08.0,Offensive rebound by J. Barea,,31-34,,
7:03.0,N. Noel makes 2-pt shot at rim (assist by J. Barea),2,33-34,,
6:30.0,,,33-34,,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft
6:29.0,,,33-34,,Offensive rebound by R. Holmes
6:29.0,,,33-36,2,R. Holmes makes 2-pt shot at rim
6:15.0,,,33-36,,Personal foul by S. Rodriguez
6:05.0,J. Barea misses 2-pt shot from 2 ft,,33-36,,
6:03.0,,,33-36,,Defensive rebound by R. Covington
5:55.0,,,33-36,,Shooting foul by J. Barea (drawn by R. Covington)
5:55.0,,,33-36,,Philadelphia full timeout
5:55.0,,,33-36,,R. Covington misses free throw 1 of 3
5:55.0,,,33-36,,Offensive rebound by Team
5:55.0,,,33-37,1,R. Covington makes free throw 2 of 3
5:55.0,,,33-38,1,R. Covington makes free throw 3 of 3
5:55.0,,,33-36,,T. McConnell enters the game for S. Rodriguez
5:34.0,W. Matthews misses 3-pt shot from 24 ft,,33-38,,
5:33.0,,,33-38,,Defensive rebound by N. Stauskas
5:26.0,,,33-38,,Turnover by N. Stauskas (bad pass)
5:09.0,H. Barnes makes 2-pt shot from 5 ft,2,35-38,,
4:45.0,,,35-38,,Turnover by R. Holmes (traveling)
4:26.0,J. Barea makes 2-pt shot from 4 ft (assist by N. Noel),2,37-38,,
4:20.0,,,37-38,,Shooting foul by H. Barnes (drawn by R. Covington)
4:20.0,,,37-39,1,R. Covington makes free throw 1 of 2
4:20.0,,,37-40,1,R. Covington makes free throw 2 of 2
4:11.0,Shooting foul by T. Luwawu-Cabarrot (drawn by W. Matthews),,37-40,,
4:11.0,W. Matthews misses free throw 1 of 2,,37-40,,
4:11.0,Offensive rebound by Team,,37-40,,
