time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Len (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. A. Len (B. Griffin gains possession)
11:39.0,Turnover by J. Redick (lost ball; steal by D. Booker),,0-0,,
11:30.0,,,0-2,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
11:17.0,,,0-2,,Personal foul by D. Booker
11:09.0,B. Griffin makes 2-pt shot from 20 ft,2,2-2,,
10:55.0,,,2-2,,Offensive foul by A. Len
10:55.0,,,2-2,,Turnover by A. Len (offensive foul)
10:41.0,B. Griffin misses 2-pt shot from 20 ft,,2-2,,
10:40.0,Offensive rebound by D. Jordan,,2-2,,
10:37.0,Turnover by L. Mbah a Moute (traveling),,2-2,,
10:18.0,,,2-2,,D. Booker misses 2-pt shot from 18 ft
10:16.0,Defensive rebound by C. Paul,,2-2,,
10:14.0,Shooting foul by M. Chriss (drawn by B. Griffin),,2-2,,
10:14.0,B. Griffin makes free throw 1 of 2,1,3-2,,
10:14.0,B. Griffin makes free throw 2 of 2,1,4-2,,
10:05.0,,,4-2,,Shooting foul by B. Griffin (drawn by A. Len)
10:05.0,,,4-3,1,A. Len makes free throw 1 of 2
10:05.0,,,4-4,1,A. Len makes free throw 2 of 2
9:58.0,Turnover by J. Redick (bad pass; steal by T. Ulis),,4-4,,
9:53.0,,,4-6,2,T. Warren makes 2-pt shot from 3 ft (assist by T. Ulis)
9:45.0,C. Paul makes 2-pt shot from 8 ft,2,6-6,,
9:35.0,,,6-6,,T. Ulis misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by C. Paul,,6-6,,
9:24.0,Turnover by L. Mbah a Moute (step out of bounds),,6-6,,
9:11.0,,,6-8,2,A. Len makes 2-pt shot from 1 ft (assist by D. Booker)
8:56.0,C. Paul misses 2-pt shot from 7 ft (block by A. Len),,6-8,,
8:55.0,,,6-8,,Defensive rebound by D. Booker
8:52.0,,,6-10,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
8:38.0,J. Redick misses 2-pt shot from 20 ft,,6-10,,
8:37.0,Offensive rebound by D. Jordan,,6-10,,
