time,Portland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession)
11:42.0,,,0-2,2,B. Beal makes 2-pt shot from 1 ft
11:23.0,D. Lillard misses 2-pt shot from 14 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by M. Gortat
11:14.0,,,0-4,2,J. Wall makes 2-pt shot from 15 ft
10:58.0,Turnover by C. McCollum (lost ball; steal by B. Beal),,0-4,,
10:43.0,,,0-4,,M. Gortat misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by A. Aminu,,0-4,,
10:34.0,M. Plumlee misses 2-pt shot from 4 ft,,0-4,,
10:30.0,Offensive rebound by M. Plumlee,,0-4,,
10:28.0,M. Plumlee misses 2-pt shot from 2 ft,,0-4,,
10:28.0,,,0-4,,Defensive rebound by M. Morris
10:21.0,,,0-7,3,M. Morris makes 3-pt shot from 27 ft (assist by J. Wall)
9:54.0,Turnover by A. Aminu (lost ball; steal by M. Morris),,0-7,,
9:41.0,,,0-10,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
9:41.0,Portland full timeout,,0-10,,
9:28.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Plumlee),3,3-10,,
9:06.0,,,3-10,,J. Wall misses 2-pt shot from 16 ft (block by D. Lillard)
9:05.0,,,3-10,,Offensive rebound by J. Wall
9:05.0,,,3-10,,Turnover by J. Wall (traveling)
8:54.0,C. McCollum misses 2-pt shot from 19 ft,,3-10,,
8:53.0,,,3-10,,Defensive rebound by M. Morris
8:45.0,,,3-10,,M. Gortat misses 2-pt shot from 6 ft (block by M. Harkless)
8:43.0,Defensive rebound by M. Harkless,,3-10,,
8:39.0,A. Aminu makes 2-pt shot from 1 ft (assist by M. Harkless),2,5-10,,
8:21.0,,,5-10,,J. Wall misses 2-pt shot from 2 ft (block by M. Plumlee)
8:19.0,Defensive rebound by D. Lillard,,5-10,,
8:07.0,M. Harkless misses 3-pt shot from 27 ft,,5-10,,
8:06.0,Offensive rebound by M. Plumlee,,5-10,,
8:01.0,Turnover by A. Aminu (lost ball; steal by J. Wall),,5-10,,
7:57.0,,,5-12,2,J. Wall makes 2-pt shot from 3 ft
7:34.0,M. Plumlee misses 2-pt shot from 16 ft,,5-12,,
7:33.0,,,5-12,,Defensive rebound by M. Morris
7:27.0,,,5-12,,O. Porter misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by D. Lillard,,5-12,,
7:19.0,C. McCollum misses 3-pt shot from 27 ft,,5-12,,
7:18.0,,,5-12,,Defensive rebound by M. Morris
7:08.0,,,5-15,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
6:54.0,D. Lillard misses 3-pt shot from 27 ft,,5-15,,
6:52.0,,,5-15,,Defensive rebound by M. Morris
6:44.0,,,5-15,,Shooting foul by M. Harkless (drawn by O. Porter)
6:44.0,,,5-15,,O. Porter misses free throw 1 of 3
6:44.0,,,5-15,,Offensive rebound by Team
6:44.0,,,5-15,,O. Porter misses free throw 2 of 3
6:44.0,,,5-15,,Offensive rebound by Team
6:44.0,,,5-16,1,O. Porter makes free throw 3 of 3
6:29.0,D. Lillard makes 3-pt shot from 27 ft (assist by A. Aminu),3,8-16,,
6:13.0,,,8-16,,Turnover by J. Wall (lost ball; steal by C. McCollum)
5:56.0,C. McCollum misses 2-pt shot from 7 ft (block by M. Gortat),,8-16,,
5:55.0,,,8-16,,Defensive rebound by J. Wall
5:50.0,,,8-18,2,J. Wall makes 2-pt shot from 1 ft
5:28.0,C. McCollum makes 2-pt shot from 21 ft (assist by M. Plumlee),2,10-18,,
5:17.0,,,10-21,3,B. Beal makes 3-pt shot from 23 ft
5:05.0,D. Lillard misses 2-pt shot from 10 ft,,10-21,,
5:04.0,Offensive rebound by D. Lillard,,10-21,,
5:03.0,D. Lillard misses 2-pt shot from 1 ft,,10-21,,
5:02.0,Offensive rebound by D. Lillard,,10-21,,
4:56.0,Turnover by D. Lillard (lost ball; steal by O. Porter),,10-21,,
4:52.0,Personal foul by C. McCollum,,10-21,,
4:52.0,,,10-21,,K. Oubre enters the game for M. Morris
4:52.0,E. Turner enters the game for M. Harkless,,10-21,,
4:52.0,A. Crabbe enters the game for C. McCollum,,10-21,,
4:44.0,Personal foul by M. Plumlee,,10-21,,
4:37.0,,,10-21,,O. Porter misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by A. Crabbe,,10-21,,
4:20.0,D. Lillard makes 3-pt shot from 25 ft (assist by A. Crabbe),3,13-21,,
4:00.0,,,13-21,,J. Wall misses 2-pt shot from 19 ft
3:59.0,Defensive rebound by M. Plumlee,,13-21,,
3:47.0,A. Aminu makes 2-pt shot from 1 ft (assist by A. Crabbe),2,15-21,,
3:45.0,,,15-21,,Washington full timeout
3:45.0,E. Davis enters the game for M. Plumlee,,15-21,,
3:45.0,,,15-21,,J. Smith enters the game for M. Gortat
3:33.0,,,15-21,,B. Beal misses 2-pt shot from 20 ft
3:32.0,Defensive rebound by Team,,15-21,,
3:17.0,Shooting foul by O. Porter (drawn by E. Davis),,15-21,,
3:17.0,E. Davis makes free throw 1 of 2,1,16-21,,
3:17.0,E. Davis makes free throw 2 of 2,1,17-21,,
3:07.0,,,17-21,,Shooting foul by E. Turner (drawn by J. Smith)
3:07.0,,,17-22,1,J. Smith makes free throw 1 of 2
3:07.0,,,17-22,,T. Satoransky enters the game for B. Beal
3:07.0,,,17-23,1,J. Smith makes free throw 2 of 2
2:55.0,Shooting foul by J. Smith (drawn by A. Aminu),,17-23,,
2:55.0,A. Aminu makes free throw 1 of 2,1,18-23,,
2:55.0,A. Aminu makes free throw 2 of 2,1,19-23,,
2:42.0,,,19-23,,J. Wall misses 2-pt shot from 19 ft
2:41.0,Defensive rebound by D. Lillard,,19-23,,
2:32.0,D. Lillard misses 2-pt shot at rim,,19-23,,
2:31.0,,,19-23,,Defensive rebound by T. Satoransky
2:25.0,,,19-23,,O. Porter misses 2-pt shot from 1 ft
2:24.0,,,19-23,,Offensive rebound by K. Oubre
2:22.0,,,19-25,2,J. Wall makes 2-pt shot from 3 ft (assist by K. Oubre)
2:17.0,Turnover by A. Crabbe (step out of bounds),,19-25,,
2:06.0,,,19-25,,K. Oubre misses 2-pt shot from 13 ft
2:05.0,,,19-25,,Offensive rebound by K. Oubre
2:04.0,,,19-25,,Shooting foul by E. Davis (drawn by K. Oubre)
2:04.0,,,19-26,1,K. Oubre makes free throw 1 of 2
2:04.0,,,19-26,,T. Burke enters the game for J. Wall
2:04.0,M. Harkless enters the game for D. Lillard,,19-26,,
2:04.0,C. McCollum enters the game for A. Aminu,,19-26,,
2:04.0,,,19-27,1,K. Oubre makes free throw 2 of 2
1:55.0,E. Turner misses 2-pt shot from 6 ft (block by K. Oubre),,19-27,,
1:53.0,Offensive rebound by E. Turner,,19-27,,
1:53.0,Shooting foul by K. Oubre (drawn by E. Turner),,19-27,,
1:53.0,E. Turner makes free throw 1 of 2,1,20-27,,
1:53.0,E. Turner makes free throw 2 of 2,1,21-27,,
1:32.0,,,21-30,3,K. Oubre makes 3-pt shot from 25 ft (assist by T. Satoransky)
1:19.0,Offensive charge foul by M. Harkless,,21-30,,
1:19.0,Turnover by M. Harkless (offensive foul),,21-30,,
0:59.0,,,21-32,2,T. Satoransky makes 2-pt shot from 11 ft
0:43.0,Turnover by E. Davis (lost ball; steal by T. Satoransky),,21-32,,
0:39.0,,,21-32,,Shooting foul by A. Crabbe (drawn by K. Oubre)
0:39.0,,,21-33,1,K. Oubre makes free throw 1 of 2
0:39.0,,,21-34,1,K. Oubre makes free throw 2 of 2
0:33.0,Turnover by C. McCollum (lost ball),,21-34,,
0:10.0,,,21-37,3,K. Oubre makes 3-pt shot from 26 ft (assist by T. Burke)
0:01.0,C. McCollum misses 2-pt shot from 16 ft,,21-37,,
0:00.0,Offensive rebound by Team,,21-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Harkless misses 3-pt shot from 26 ft,,21-37,,
