time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. B. Lopez (K. Bazemore gains possession),,,,Jump ball: D. Howard vs. B. Lopez (K. Bazemore gains possession)
11:42.0,,,0-0,,K. Bazemore misses 2-pt shot from 3 ft
11:39.0,Defensive rebound by R. Foye,,0-0,,
11:29.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by R. Foye),2,2-0,,
11:12.0,,,2-2,2,T. Sefolosha makes 2-pt shot from 15 ft (assist by D. Howard)
10:54.0,J. Lin makes 2-pt shot from 16 ft (assist by R. Hollis-Jefferson),2,4-2,,
10:36.0,,,4-4,2,D. Schroder makes 2-pt shot from 19 ft
10:23.0,Turnover by B. Lopez (bad pass; steal by T. Sefolosha),,4-4,,
10:18.0,,,4-4,,T. Sefolosha misses 2-pt shot from 2 ft (block by B. Lopez)
10:16.0,,,4-4,,Offensive rebound by K. Bazemore
10:13.0,,,4-4,,D. Howard misses 2-pt shot from 3 ft (block by B. Lopez)
10:10.0,Defensive rebound by C. LeVert,,4-4,,
10:06.0,R. Foye makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,7-4,,
9:52.0,,,7-4,,P. Millsap misses 2-pt shot from 15 ft
9:49.0,Defensive rebound by B. Lopez,,7-4,,
9:42.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by K. Bazemore),,7-4,,
9:42.0,,,7-4,,Defensive rebound by T. Sefolosha
9:29.0,,,7-4,,Turnover by D. Schroder (bad pass; steal by C. LeVert)
9:22.0,,,7-4,,Personal foul by P. Millsap (drawn by J. Lin)
9:19.0,B. Lopez misses 2-pt shot from 18 ft,,7-4,,
9:18.0,,,7-4,,Defensive rebound by T. Sefolosha
9:11.0,,,7-4,,Turnover by D. Schroder (bad pass; steal by B. Lopez)
8:54.0,J. Lin makes 2-pt shot at rim (assist by B. Lopez),2,9-4,,
8:41.0,,,9-4,,Shooting foul by R. Hollis-Jefferson (drawn by P. Millsap)
8:41.0,,,9-4,,P. Millsap misses free throw 1 of 2
8:41.0,,,9-4,,Offensive rebound by Team
8:41.0,,,9-5,1,P. Millsap makes free throw 2 of 2
8:33.0,J. Lin misses 2-pt shot from 18 ft,,9-5,,
8:31.0,,,9-5,,Defensive rebound by D. Howard
8:17.0,,,9-7,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
8:00.0,J. Lin misses 2-pt shot from 1 ft,,9-7,,
7:59.0,,,9-7,,Defensive rebound by D. Howard
7:55.0,,,9-9,2,T. Sefolosha makes 2-pt shot from 1 ft
7:45.0,B. Lopez misses 3-pt shot from 25 ft,,9-9,,
7:45.0,,,9-9,,Defensive rebound by Team
7:37.0,,,9-9,,D. Schroder misses 2-pt shot from 18 ft
7:35.0,Defensive rebound by R. Hollis-Jefferson,,9-9,,
7:31.0,C. LeVert makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,11-9,,
7:18.0,,,11-9,,Shooting foul by B. Lopez (drawn by D. Howard)
7:18.0,,,11-9,,D. Howard misses free throw 1 of 2
7:18.0,,,11-9,,Offensive rebound by Team
7:18.0,,,11-9,,D. Howard misses free throw 2 of 2
7:17.0,Defensive rebound by B. Lopez,,11-9,,
7:05.0,B. Lopez misses 2-pt shot from 2 ft,,11-9,,
7:04.0,Offensive rebound by B. Lopez,,11-9,,
7:01.0,C. LeVert misses 3-pt shot from 27 ft,,11-9,,
7:00.0,,,11-9,,Defensive rebound by D. Howard
6:45.0,,,11-11,2,K. Bazemore makes 2-pt shot from 1 ft
6:32.0,B. Lopez makes 3-pt shot from 23 ft (assist by J. Lin),3,14-11,,
6:23.0,,,14-11,,Turnover by D. Howard (traveling)
6:11.0,B. Lopez makes 2-pt shot from 11 ft (assist by J. Lin),2,16-11,,
6:11.0,,,16-11,,Atlanta full timeout
6:11.0,S. Dinwiddie enters the game for C. LeVert,,16-11,,
6:11.0,S. Kilpatrick enters the game for J. Lin,,16-11,,
6:00.0,,,16-11,,P. Millsap misses 2-pt shot from 14 ft
5:58.0,Defensive rebound by B. Lopez,,16-11,,
5:52.0,,,16-11,,Violation by D. Howard (kicked ball)
5:47.0,Turnover by B. Lopez (bad pass),,16-11,,
5:25.0,,,16-13,2,P. Millsap makes 2-pt shot from 2 ft (assist by K. Bazemore)
5:16.0,Shooting foul by D. Schroder (drawn by R. Hollis-Jefferson),,16-13,,
5:16.0,R. Hollis-Jefferson makes free throw 1 of 2,1,17-13,,
5:16.0,R. Hollis-Jefferson makes free throw 2 of 2,1,18-13,,
5:16.0,,,17-13,,T. Hardaway enters the game for K. Bazemore
5:16.0,I. Whitehead enters the game for R. Foye,,17-13,,
5:02.0,,,18-15,2,D. Howard makes 2-pt shot from 3 ft (assist by T. Sefolosha)
4:47.0,B. Lopez makes 2-pt shot from 6 ft (assist by I. Whitehead),2,20-15,,
4:37.0,,,20-17,2,D. Schroder makes 2-pt shot from 2 ft
4:16.0,B. Lopez makes 2-pt shot from 19 ft,2,22-17,,
4:02.0,,,22-17,,Turnover by D. Howard (bad pass; steal by R. Hollis-Jefferson)
3:58.0,Turnover by S. Kilpatrick (lost ball; steal by T. Sefolosha),,22-17,,
3:50.0,,,22-19,2,D. Schroder makes 2-pt shot from 2 ft
3:29.0,B. Lopez misses 3-pt shot from 25 ft,,22-19,,
3:28.0,,,22-19,,Defensive rebound by T. Sefolosha
3:28.0,Personal foul by R. Hollis-Jefferson (drawn by T. Sefolosha),,22-19,,
3:28.0,,,22-19,,E. Ilyasova enters the game for T. Sefolosha
3:28.0,,,22-19,,T. Waller-Prince enters the game for D. Howard
3:28.0,T. Booker enters the game for R. Hollis-Jefferson,,22-19,,
3:28.0,Q. Acy enters the game for B. Lopez,,22-19,,
3:12.0,,,22-21,2,D. Schroder makes 2-pt shot from 1 ft
2:55.0,Q. Acy misses 2-pt shot from 2 ft,,22-21,,
2:53.0,,,22-21,,Defensive rebound by E. Ilyasova
2:48.0,,,22-21,,T. Hardaway misses 2-pt shot from 1 ft
2:47.0,Defensive rebound by T. Booker,,22-21,,
2:39.0,Turnover by Q. Acy (bad pass; steal by T. Hardaway),,22-21,,
2:32.0,,,22-21,,D. Schroder misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by Q. Acy,,22-21,,
2:22.0,I. Whitehead misses 3-pt shot from 25 ft,,22-21,,
2:22.0,,,22-21,,Defensive rebound by Team
2:22.0,Brooklyn full timeout,,22-21,,
2:22.0,,,22-21,,J. Calderon enters the game for D. Schroder
2:04.0,Jump ball: Q. Acy vs. P. Millsap,,,,Jump ball: Q. Acy vs. P. Millsap
1:56.0,,,22-21,,J. Calderon misses 3-pt shot from 25 ft
1:56.0,,,22-21,,Offensive rebound by Team
1:38.0,,,22-21,,P. Millsap misses 2-pt shot from 7 ft
1:35.0,,,22-21,,Offensive rebound by P. Millsap
1:35.0,,,22-23,2,P. Millsap makes 2-pt shot from 2 ft
1:18.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,25-23,,
1:00.0,,,25-23,,E. Ilyasova misses 2-pt shot from 21 ft
0:57.0,Defensive rebound by T. Booker,,25-23,,
0:49.0,Shooting foul by E. Ilyasova (drawn by Q. Acy),,25-23,,
0:49.0,Q. Acy makes free throw 1 of 2,1,26-23,,
0:49.0,Q. Acy makes free throw 2 of 2,1,27-23,,
0:31.0,,,27-23,,P. Millsap misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by S. Dinwiddie,,27-23,,
0:24.0,Turnover by S. Dinwiddie (bad pass),,27-23,,
0:02.0,,,27-23,,T. Waller-Prince misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by Q. Acy,,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Turnover by S. Dinwiddie (bad pass; steal by T. Waller-Prince),,27-23,,
11:30.0,,,27-23,,T. Hardaway misses 2-pt shot from 9 ft (block by K. McDaniels)
11:28.0,Defensive rebound by Q. Acy,,27-23,,
11:13.0,Q. Acy makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,30-23,,
10:57.0,,,30-23,,Turnover by E. Ilyasova (bad pass; steal by Q. Acy)
10:50.0,K. McDaniels makes 2-pt shot from 6 ft,2,32-23,,
10:35.0,,,32-26,3,T. Hardaway makes 3-pt shot from 24 ft
10:23.0,K. McDaniels misses 3-pt shot from 25 ft,,32-26,,
10:21.0,,,32-26,,Defensive rebound by D. Howard
10:09.0,,,32-26,,T. Waller-Prince misses 2-pt shot from 1 ft
10:08.0,,,32-26,,Offensive rebound by T. Waller-Prince
10:08.0,,,32-28,2,T. Waller-Prince makes 2-pt shot from 2 ft
9:54.0,Q. Acy misses 3-pt shot from 25 ft,,32-28,,
9:53.0,Offensive rebound by K. McDaniels,,32-28,,
9:51.0,K. McDaniels misses 2-pt shot from 1 ft (block by D. Howard),,32-28,,
9:49.0,,,32-28,,Defensive rebound by T. Hardaway
9:39.0,,,32-28,,D. Howard misses 2-pt shot from 19 ft
9:38.0,Defensive rebound by I. Whitehead,,32-28,,
9:28.0,T. Booker makes 2-pt shot from 1 ft (assist by I. Whitehead),2,34-28,,
9:15.0,,,34-28,,E. Ilyasova misses 2-pt shot from 23 ft
9:13.0,Defensive rebound by Q. Acy,,34-28,,
8:57.0,Q. Acy misses 3-pt shot from 24 ft,,34-28,,
8:56.0,,,34-28,,Defensive rebound by E. Ilyasova
8:38.0,,,34-28,,Turnover by E. Ilyasova (bad pass; steal by T. Booker)
8:27.0,Offensive foul by T. Booker,,34-28,,
8:27.0,Turnover by T. Booker (offensive foul),,34-28,,
8:27.0,Official timeout,,34-28,,
8:27.0,,,34-28,,K. Bazemore enters the game for E. Ilyasova
8:27.0,,,34-28,,D. Schroder enters the game for J. Calderon
8:18.0,,,34-28,,D. Schroder misses 2-pt shot from 20 ft
8:17.0,Defensive rebound by Q. Acy,,34-28,,
