time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (D. DeRozan gains possession)
11:38.0,,,0-0,,D. Carroll misses 3-pt shot from 25 ft
11:37.0,,,0-0,,Offensive rebound by J. Valanciunas
11:37.0,,,0-0,,J. Valanciunas misses 2-pt shot from 3 ft
11:35.0,Defensive rebound by Team,,0-0,,
11:23.0,K. Love makes 2-pt shot from 14 ft (assist by L. James),2,2-0,,
11:04.0,,,2-0,,J. Valanciunas misses 2-pt shot from 13 ft
11:04.0,Defensive rebound by L. James,,2-0,,
10:55.0,L. James misses 2-pt shot from 5 ft,,2-0,,
10:55.0,Offensive rebound by Team,,2-0,,
10:50.0,K. Irving makes 2-pt shot from 5 ft,2,4-0,,
10:36.0,,,4-0,,Turnover by K. Lowry (bad pass; steal by J. Smith)
10:31.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,6-0,,
10:23.0,,,6-3,3,K. Lowry makes 3-pt shot from 27 ft
10:21.0,Cleveland full timeout,,6-3,,
10:04.0,T. Thompson makes 2-pt shot from 8 ft,2,8-3,,
9:44.0,,,8-5,2,P. Siakam makes 2-pt shot from 17 ft (assist by D. Carroll)
9:33.0,L. James misses 2-pt shot from 20 ft,,8-5,,
9:32.0,,,8-5,,Defensive rebound by P. Siakam
9:21.0,,,8-7,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
9:05.0,K. Irving makes 3-pt shot from 25 ft,3,11-7,,
8:54.0,,,11-7,,D. DeRozan misses 2-pt shot from 19 ft
8:54.0,Defensive rebound by K. Love,,11-7,,
8:44.0,Turnover by J. Smith (lost ball; steal by K. Lowry),,11-7,,
8:38.0,,,11-9,2,K. Lowry makes 2-pt shot from 1 ft
8:23.0,K. Love misses 3-pt shot from 24 ft,,11-9,,
8:22.0,,,11-9,,Defensive rebound by J. Valanciunas
8:09.0,,,11-11,2,P. Siakam makes 2-pt shot from 17 ft (assist by D. DeRozan)
7:48.0,K. Love makes 2-pt shot from 19 ft (assist by T. Thompson),2,13-11,,
7:23.0,,,13-14,3,K. Lowry makes 3-pt shot from 30 ft (assist by D. Carroll)
7:09.0,J. Smith misses 3-pt shot from 26 ft,,13-14,,
7:08.0,,,13-14,,Defensive rebound by K. Lowry
6:57.0,,,13-14,,P. Siakam misses 2-pt shot from 3 ft (block by T. Thompson)
6:56.0,Defensive rebound by K. Love,,13-14,,
6:55.0,,,13-14,,Personal foul by D. DeRozan (drawn by L. James)
6:46.0,Turnover by K. Irving (bad pass; steal by D. DeRozan),,13-14,,
6:42.0,,,13-16,2,D. DeRozan makes 2-pt shot at rim
6:27.0,Turnover by K. Irving (bad pass; steal by P. Siakam),,13-16,,
6:24.0,Personal block foul by K. Irving (drawn by K. Lowry),,13-16,,
6:17.0,,,13-16,,Turnover by D. Carroll (lost ball; steal by L. James)
6:02.0,L. James makes 2-pt shot from 11 ft,2,15-16,,
5:43.0,,,15-16,,J. Valanciunas misses 2-pt shot from 16 ft
5:43.0,Defensive rebound by L. James,,15-16,,
5:33.0,K. Love makes 3-pt shot from 27 ft (assist by K. Irving),3,18-16,,
5:22.0,,,18-16,,Toronto full timeout
5:22.0,,,18-16,,C. Joseph enters the game for K. Lowry
5:06.0,,,18-16,,D. Carroll misses 2-pt shot from 6 ft
5:05.0,Defensive rebound by T. Thompson,,18-16,,
4:53.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,21-16,,
4:36.0,,,21-18,2,C. Joseph makes 2-pt shot from 13 ft
4:21.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,24-18,,
4:01.0,,,24-18,,D. Carroll misses 3-pt shot from 24 ft
4:00.0,,,24-18,,Offensive rebound by Team
4:00.0,Loose ball foul by K. Love (drawn by J. Valanciunas),,24-18,,
4:00.0,,,24-18,,P. Patterson enters the game for P. Siakam
3:54.0,,,24-20,2,D. DeRozan makes 2-pt shot from 19 ft (assist by C. Joseph)
3:28.0,K. Love misses 2-pt shot from 9 ft,,24-20,,
3:27.0,Offensive rebound by T. Thompson,,24-20,,
3:26.0,T. Thompson makes 2-pt shot at rim,2,26-20,,
3:10.0,,,26-20,,D. Carroll misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by K. Love,,26-20,,
3:00.0,,,26-20,,Personal foul by C. Joseph (drawn by K. Love)
3:00.0,R. Jefferson enters the game for L. James,,26-20,,
3:00.0,I. Shumpert enters the game for K. Irving,,26-20,,
3:00.0,,,26-20,,T. Ross enters the game for D. Carroll
2:52.0,,,26-20,,Personal foul by C. Joseph (drawn by I. Shumpert)
2:42.0,K. Love misses 2-pt shot from 17 ft,,26-20,,
2:41.0,,,26-20,,Defensive rebound by J. Valanciunas
2:31.0,,,26-20,,J. Valanciunas misses 2-pt shot from 2 ft (block by R. Jefferson)
2:31.0,,,26-20,,Offensive rebound by Team
2:19.0,,,26-23,3,C. Joseph makes 3-pt shot from 25 ft (assist by T. Ross)
