time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (J. Lin gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (J. Lin gains possession)
11:42.0,B. Lopez misses 2-pt shot from 9 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Horford
11:25.0,,,0-3,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
11:07.0,C. LeVert makes 2-pt shot from 20 ft (assist by B. Lopez),2,2-3,,
10:52.0,,,2-3,,Turnover by I. Thomas (bad pass; steal by R. Foye)
10:41.0,B. Lopez misses 3-pt shot from 25 ft,,2-3,,
10:40.0,,,2-3,,Defensive rebound by A. Horford
10:26.0,,,2-3,,A. Horford misses 2-pt shot from 15 ft
10:25.0,Defensive rebound by J. Lin,,2-3,,
10:16.0,B. Lopez misses 2-pt shot from 8 ft,,2-3,,
10:15.0,,,2-3,,Defensive rebound by A. Johnson
10:07.0,,,2-3,,I. Thomas misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by J. Lin,,2-3,,
9:41.0,B. Lopez misses 2-pt shot from 19 ft,,2-3,,
9:40.0,,,2-3,,Defensive rebound by A. Bradley
9:27.0,,,2-5,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
9:12.0,C. LeVert misses 2-pt shot from 10 ft,,2-5,,
9:11.0,,,2-5,,Defensive rebound by J. Crowder
9:03.0,,,2-7,2,A. Bradley makes 2-pt shot from 2 ft (assist by J. Crowder)
8:55.0,Shooting foul by A. Bradley (drawn by J. Lin),,2-7,,
8:55.0,J. Lin makes free throw 1 of 2,1,3-7,,
8:55.0,J. Lin makes free throw 2 of 2,1,4-7,,
8:44.0,,,4-7,,I. Thomas misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by C. LeVert,,4-7,,
8:31.0,R. Hollis-Jefferson makes 3-pt shot from 25 ft (assist by C. LeVert),3,7-7,,
