time,Golden State,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: T. Mozgov vs. Z. Pachulia (D. Green gains possession)
11:42.0,D. Green misses 3-pt shot from 24 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by Team
11:25.0,,,0-3,3,D. Russell makes 3-pt shot from 26 ft (assist by N. Young)
11:11.0,S. Curry misses 3-pt shot from 26 ft,,0-3,,
11:10.0,Offensive rebound by D. Green,,0-3,,
11:04.0,S. Curry misses 3-pt shot from 26 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by J. Randle
10:59.0,,,0-3,,Shooting foul by S. Curry (drawn by D. Russell)
10:59.0,,,0-4,1,D. Russell makes free throw 1 of 3
10:59.0,,,0-5,1,D. Russell makes free throw 2 of 3
10:59.0,,,0-6,1,D. Russell makes free throw 3 of 3
10:49.0,Turnover by K. Durant (bad pass),,0-6,,
10:38.0,,,0-6,,L. Deng misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by K. Durant,,0-6,,
10:26.0,K. Thompson misses 2-pt shot from 1 ft,,0-6,,
10:25.0,,,0-6,,Defensive rebound by T. Mozgov
10:17.0,,,0-8,2,N. Young makes 2-pt shot from 21 ft (assist by J. Randle)
10:02.0,K. Thompson misses 3-pt shot from 25 ft,,0-8,,
10:00.0,,,0-8,,Defensive rebound by N. Young
9:52.0,,,0-8,,J. Randle misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by S. Curry,,0-8,,
9:44.0,S. Curry makes 2-pt shot at rim,2,2-8,,
9:33.0,,,2-8,,Turnover by T. Mozgov (lost ball; steal by D. Green)
9:26.0,K. Thompson misses 3-pt shot from 25 ft,,2-8,,
9:22.0,,,2-8,,Defensive rebound by D. Russell
9:06.0,,,2-8,,L. Deng misses 2-pt shot from 3 ft (block by K. Durant)
9:04.0,Defensive rebound by K. Thompson,,2-8,,
9:00.0,S. Curry misses 3-pt shot from 23 ft,,2-8,,
8:57.0,Offensive rebound by D. Green,,2-8,,
8:51.0,K. Durant misses 3-pt shot from 26 ft,,2-8,,
8:49.0,,,2-8,,Defensive rebound by T. Mozgov
8:44.0,,,2-8,,D. Russell misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by K. Durant,,2-8,,
8:38.0,K. Thompson makes 2-pt shot from 1 ft,2,4-8,,
8:17.0,,,4-8,,N. Young misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by D. Green,,4-8,,
8:04.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,6-8,,
8:01.0,,,6-8,,LA Lakers full timeout
7:48.0,,,6-8,,J. Randle misses 2-pt shot from 5 ft
7:47.0,,,6-8,,Offensive rebound by T. Mozgov
7:42.0,,,6-8,,N. Young misses 3-pt shot from 25 ft
7:39.0,,,6-8,,Offensive rebound by T. Mozgov
7:34.0,,,6-8,,J. Randle misses 2-pt shot from 8 ft
7:32.0,Defensive rebound by D. Green,,6-8,,
7:20.0,,,6-8,,Def 3 sec tech foul by T. Mozgov
7:20.0,S. Curry makes technical free throw,1,7-8,,
7:07.0,K. Durant misses 2-pt shot from 19 ft,,7-8,,
7:03.0,,,7-8,,Defensive rebound by J. Randle
6:44.0,,,7-10,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. Deng)
6:40.0,Turnover by K. Thompson (lost ball),,7-10,,
6:26.0,,,7-12,2,N. Young makes 2-pt shot from 19 ft
6:19.0,Offensive foul by Z. Pachulia,,7-12,,
6:19.0,Turnover by Z. Pachulia (offensive foul),,7-12,,
6:05.0,,,7-14,2,J. Randle makes 2-pt shot at rim (assist by L. Deng)
5:56.0,K. Durant makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,9-14,,
5:56.0,Shooting foul by J. Randle (drawn by K. Durant),,9-14,,
5:56.0,K. Durant makes free throw 1 of 1,1,10-14,,
5:48.0,,,10-14,,Offensive foul by J. Randle
5:48.0,,,10-14,,Turnover by J. Randle (offensive foul)
5:48.0,A. Iguodala enters the game for K. Durant,,10-14,,
5:37.0,K. Thompson misses 2-pt shot from 18 ft,,10-14,,
5:36.0,,,10-14,,Defensive rebound by L. Deng
5:29.0,,,10-14,,N. Young misses 2-pt shot from 10 ft
5:27.0,,,10-14,,Offensive rebound by J. Randle
5:24.0,,,10-14,,J. Randle misses 2-pt shot from 2 ft (block by K. Thompson)
5:22.0,,,10-14,,Offensive rebound by T. Mozgov
5:18.0,,,10-14,,D. Russell misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by D. Green,,10-14,,
5:12.0,S. Curry misses 2-pt shot from 21 ft,,10-14,,
5:08.0,,,10-14,,Defensive rebound by D. Russell
4:56.0,,,10-16,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Deng)
4:56.0,Golden State full timeout,,10-16,,
4:56.0,,,10-16,,L. Nance enters the game for J. Randle
4:56.0,,,10-16,,J. Clarkson enters the game for N. Young
4:44.0,S. Curry makes 2-pt shot from 21 ft,2,12-16,,
4:30.0,,,12-16,,LA Lakers full timeout
4:30.0,I. Clark enters the game for K. Thompson,,12-16,,
4:16.0,,,12-16,,L. Deng misses 3-pt shot from 23 ft
4:15.0,Defensive rebound by I. Clark,,12-16,,
4:14.0,Turnover by I. Clark (lost ball; steal by J. Clarkson),,12-16,,
4:08.0,Personal foul by S. Curry (drawn by L. Nance),,12-16,,
4:08.0,K. Durant enters the game for S. Curry,,12-16,,
3:51.0,,,12-16,,D. Russell misses 2-pt shot from 22 ft
3:51.0,,,12-16,,Offensive rebound by L. Deng
3:51.0,Personal foul by I. Clark (drawn by L. Deng),,12-16,,
3:51.0,,,12-16,,B. Ingram enters the game for L. Deng
3:41.0,,,12-16,,B. Ingram misses 2-pt shot from 15 ft
3:38.0,Defensive rebound by I. Clark,,12-16,,
3:34.0,,,12-16,,L. Williams enters the game for D. Russell
3:20.0,Turnover by A. Iguodala (bad pass),,12-16,,
3:04.0,,,12-16,,B. Ingram misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by A. Iguodala,,12-16,,
2:53.0,Turnover by K. Durant (bad pass; steal by B. Ingram),,12-16,,
2:49.0,,,12-18,2,J. Clarkson makes 2-pt shot at rim (assist by B. Ingram)
2:49.0,Golden State full timeout,,12-18,,
2:49.0,,,12-18,,T. Black enters the game for T. Mozgov
2:36.0,K. Durant misses 2-pt shot from 17 ft,,12-18,,
2:35.0,,,12-18,,Defensive rebound by L. Nance
2:26.0,,,12-18,,J. Clarkson misses 2-pt shot from 1 ft
2:23.0,Defensive rebound by D. Green,,12-18,,
2:22.0,Turnover by D. Green (bad pass),,12-18,,
2:22.0,D. West enters the game for Z. Pachulia,,12-18,,
2:13.0,,,12-18,,Shooting foul by D. West (drawn by B. Ingram)
2:13.0,,,12-18,,B. Ingram misses free throw 1 of 2
2:13.0,,,12-18,,Offensive rebound by Team
2:13.0,,,12-19,1,B. Ingram makes free throw 2 of 2
2:13.0,K. Thompson enters the game for D. Green,,12-18,,
2:10.0,Turnover by I. Clark (bad pass),,12-19,,
1:58.0,,,12-19,,L. Williams misses 3-pt shot from 26 ft
1:56.0,Defensive rebound by K. Durant,,12-19,,
1:48.0,K. Durant misses 2-pt shot from 18 ft,,12-19,,
1:45.0,,,12-19,,Defensive rebound by L. Nance
1:28.0,,,12-19,,L. Williams misses 2-pt shot from 15 ft
1:27.0,,,12-19,,Offensive rebound by L. Nance
1:27.0,,,12-21,2,L. Nance makes 2-pt shot from 1 ft
1:05.0,I. Clark misses 2-pt shot from 8 ft,,12-21,,
1:03.0,,,12-21,,Defensive rebound by T. Black
0:45.0,Def 3 sec tech foul by D. West,,12-21,,
0:45.0,,,12-22,1,L. Williams makes technical free throw
0:41.0,,,12-24,2,T. Black makes 2-pt shot at rim (assist by L. Williams)
0:27.0,K. Thompson misses 2-pt shot from 17 ft,,12-24,,
0:26.0,,,12-24,,Defensive rebound by T. Black
0:07.0,,,12-24,,J. Clarkson misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by A. Iguodala,,12-24,,
0:02.0,A. Iguodala makes 3-pt shot from 25 ft,3,15-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,15-26,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
11:26.0,,,15-26,,Personal foul by B. Ingram (drawn by K. Durant)
11:18.0,D. West misses 2-pt shot from 18 ft,,15-26,,
11:17.0,,,15-26,,Defensive rebound by L. Nance
11:08.0,,,15-26,,J. Clarkson misses 2-pt shot from 7 ft
11:05.0,Defensive rebound by K. Thompson,,15-26,,
10:59.0,Turnover by A. Iguodala (lost ball),,15-26,,
10:42.0,,,15-28,2,L. Nance makes 2-pt shot from 7 ft (assist by B. Ingram)
10:27.0,D. West makes 2-pt shot from 20 ft (assist by K. Durant),2,17-28,,
10:13.0,,,17-28,,J. Clarkson misses 2-pt shot from 5 ft
10:11.0,,,17-28,,Offensive rebound by T. Black
10:11.0,,,17-30,2,T. Black makes 2-pt shot from 1 ft
9:59.0,S. Livingston makes 2-pt shot from 11 ft (assist by D. West),2,19-30,,
9:49.0,,,19-32,2,J. Clarkson makes 2-pt shot from 12 ft (assist by L. Williams)
9:49.0,Golden State full timeout,,19-32,,
9:49.0,S. Curry enters the game for A. Iguodala,,19-32,,
9:36.0,D. West misses 2-pt shot from 2 ft,,19-32,,
9:34.0,Offensive rebound by D. West,,19-32,,
9:32.0,D. West makes 2-pt shot from 1 ft,2,21-32,,
9:19.0,,,21-34,2,T. Black makes 2-pt shot from 1 ft (assist by B. Ingram)
9:08.0,K. Thompson misses 3-pt shot from 26 ft,,21-34,,
9:06.0,,,21-34,,Defensive rebound by T. Black
8:58.0,,,21-36,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
8:42.0,S. Curry misses 3-pt shot from 25 ft (block by L. Williams),,21-36,,
8:40.0,,,21-36,,Defensive rebound by J. Clarkson
8:35.0,,,21-36,,Shooting foul by S. Livingston (drawn by B. Ingram)
8:35.0,,,21-37,1,B. Ingram makes free throw 1 of 3
8:35.0,,,21-38,1,B. Ingram makes free throw 2 of 3
8:35.0,,,21-39,1,B. Ingram makes free throw 3 of 3
8:35.0,D. Green enters the game for D. West,,21-38,,
8:25.0,K. Thompson misses 3-pt shot from 25 ft,,21-39,,
8:25.0,,,21-39,,Defensive rebound by Team
8:16.0,,,21-39,,Turnover by L. Williams (bad pass; steal by K. Durant)
8:06.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,23-39,,
7:50.0,,,23-39,,T. Black misses 2-pt shot from 18 ft
7:48.0,Defensive rebound by D. Green,,23-39,,
7:44.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,25-39,,
7:44.0,,,25-39,,LA Lakers full timeout
7:44.0,,,25-39,,N. Young enters the game for B. Ingram
7:44.0,,,25-39,,J. Randle enters the game for T. Black
7:31.0,,,25-41,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
7:16.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Livingston),2,27-41,,
6:55.0,,,27-41,,L. Williams misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by D. Green,,27-41,,
6:46.0,K. Thompson misses 3-pt shot from 25 ft,,27-41,,
6:44.0,,,27-41,,Defensive rebound by J. Randle
6:41.0,Personal foul by K. Thompson (drawn by N. Young),,27-41,,
6:41.0,K. Looney enters the game for K. Durant,,27-41,,
6:32.0,,,27-44,3,J. Clarkson makes 3-pt shot from 27 ft (assist by N. Young)
6:23.0,S. Curry misses 3-pt shot from 25 ft,,27-44,,
6:22.0,,,27-44,,Defensive rebound by L. Nance
6:11.0,,,27-46,2,J. Clarkson makes 2-pt shot from 7 ft
6:10.0,Golden State full timeout,,27-46,,
5:54.0,D. Green makes 2-pt shot from 7 ft,2,29-46,,
5:40.0,,,29-48,2,L. Williams makes 2-pt shot from 18 ft (assist by J. Clarkson)
5:22.0,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson),2,31-48,,
5:11.0,,,31-48,,Turnover by J. Randle (bad pass; steal by K. Thompson)
5:01.0,K. Thompson misses 3-pt shot from 24 ft,,31-48,,
5:00.0,Offensive rebound by S. Livingston,,31-48,,
4:55.0,K. Looney makes 2-pt shot at rim (assist by S. Curry),2,33-48,,
4:43.0,,,33-50,2,J. Randle makes 2-pt shot from 1 ft (assist by L. Nance)
4:25.0,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry),2,35-50,,
4:13.0,,,35-50,,L. Williams misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by S. Curry,,35-50,,
4:08.0,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry),2,37-50,,
3:52.0,,,37-52,2,J. Randle makes 2-pt shot from 7 ft (assist by L. Nance)
3:28.0,K. Thompson makes 2-pt shot from 13 ft,2,39-52,,
3:15.0,,,39-52,,J. Clarkson misses 2-pt shot from 21 ft
3:12.0,Defensive rebound by K. Looney,,39-52,,
3:09.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,41-52,,
3:09.0,,,41-52,,LA Lakers full timeout
3:09.0,,,41-52,,B. Ingram enters the game for L. Nance
3:09.0,,,41-52,,D. Russell enters the game for J. Clarkson
3:09.0,,,41-52,,L. Deng enters the game for L. Williams
2:49.0,,,41-52,,Turnover by L. Deng (lost ball; steal by D. Green)
2:33.0,S. Curry misses 3-pt shot from 26 ft,,41-52,,
2:32.0,,,41-52,,Defensive rebound by B. Ingram
2:24.0,Personal foul by S. Curry (drawn by N. Young),,41-52,,
2:24.0,,,41-53,1,N. Young makes free throw 1 of 3
2:24.0,,,41-54,1,N. Young makes free throw 2 of 3
2:24.0,,,41-55,1,N. Young makes free throw 3 of 3
