time,Charlotte,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee,,,,Jump ball: R. Hibbert vs. M. Plumlee
11:41.0,,,0-0,,Turnover by J. Parker (bad pass; steal by N. Batum)
11:31.0,M. Kidd-Gilchrist makes 2-pt shot from 5 ft,2,2-0,,
11:13.0,,,2-2,2,M. Dellavedova makes 2-pt shot from 5 ft
10:59.0,K. Walker makes 2-pt shot from 6 ft,2,4-2,,
10:46.0,,,4-2,,J. Parker misses 2-pt shot from 1 ft (block by R. Hibbert)
10:43.0,Defensive rebound by M. Williams,,4-2,,
10:28.0,K. Walker misses 2-pt shot from 18 ft,,4-2,,
10:27.0,,,4-2,,Defensive rebound by G. Antetokounmpo
10:24.0,,,4-2,,Shooting foul by M. Williams (drawn by G. Antetokounmpo)
10:24.0,,,4-3,1,G. Antetokounmpo makes free throw 1 of 2
10:24.0,,,4-4,1,G. Antetokounmpo makes free throw 2 of 2
10:12.0,,,4-4,,Def 3 sec tech foul by J. Parker
10:12.0,N. Batum makes technical free throw,1,5-4,,
10:00.0,R. Hibbert misses 2-pt shot from 5 ft (block by M. Plumlee),,5-4,,
9:58.0,Offensive rebound by M. Kidd-Gilchrist,,5-4,,
9:55.0,K. Walker misses 3-pt shot from 26 ft,,5-4,,
9:54.0,,,5-4,,Defensive rebound by J. Parker
9:51.0,,,5-4,,Turnover by J. Parker (bad pass)
9:35.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by R. Hibbert),2,7-4,,
9:18.0,,,7-4,,Turnover by M. Teletovic (bad pass; steal by M. Kidd-Gilchrist)
9:16.0,,,7-4,,Personal foul by M. Dellavedova (drawn by M. Kidd-Gilchrist)
9:05.0,M. Williams makes 2-pt shot from 13 ft (assist by K. Walker),2,9-4,,
8:50.0,,,9-4,,G. Antetokounmpo misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by N. Batum,,9-4,,
8:44.0,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum),2,11-4,,
8:43.0,,,11-4,,Milwaukee full timeout
8:27.0,,,11-4,,M. Plumlee misses 2-pt shot from 1 ft (block by R. Hibbert)
8:24.0,Defensive rebound by R. Hibbert,,11-4,,
