time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (K. Lowry gains possession)
11:46.0,Turnover by D. DeRozan (bad pass),,0-0,,
11:33.0,,,0-0,,K. Love misses 2-pt shot from 16 ft
11:32.0,Defensive rebound by D. Carroll,,0-0,,
11:12.0,J. Valanciunas misses 2-pt shot from 8 ft (block by K. Love),,0-0,,
11:11.0,,,0-0,,Defensive rebound by L. James
11:01.0,,,0-0,,K. Irving misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by J. Valanciunas,,0-0,,
10:53.0,K. Lowry makes 3-pt shot from 26 ft,3,3-0,,
10:30.0,,,3-3,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
10:16.0,S. Ibaka misses 2-pt shot from 14 ft,,3-3,,
10:15.0,,,3-3,,Defensive rebound by K. Love
10:10.0,,,3-5,2,L. James makes 2-pt shot at rim
9:49.0,S. Ibaka misses 2-pt shot from 17 ft,,3-5,,
9:49.0,,,3-5,,Defensive rebound by L. James
9:33.0,,,3-8,3,K. Irving makes 3-pt shot from 24 ft (assist by T. Thompson)
9:16.0,Turnover by K. Lowry (bad pass; steal by L. James),,3-8,,
9:12.0,,,3-10,2,L. James makes 2-pt shot at rim (assist by K. Irving)
9:12.0,Toronto full timeout,,3-10,,
8:57.0,S. Ibaka makes 2-pt shot at rim (assist by D. DeRozan),2,5-10,,
8:34.0,,,5-12,2,K. Irving makes 2-pt shot from 5 ft
8:23.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,7-12,,
8:13.0,,,7-12,,T. Thompson misses 2-pt shot from 4 ft
8:12.0,Defensive rebound by J. Valanciunas,,7-12,,
8:07.0,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry),3,10-12,,
7:44.0,,,10-12,,K. Love misses 2-pt shot from 18 ft
7:43.0,Defensive rebound by D. DeRozan,,10-12,,
7:30.0,Shooting foul by J. Smith (drawn by D. DeRozan),,10-12,,
7:30.0,D. DeRozan makes free throw 1 of 2,1,11-12,,
7:30.0,D. DeRozan makes free throw 2 of 2,1,12-12,,
7:16.0,,,12-14,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:50.0,K. Lowry misses 2-pt shot from 17 ft,,12-14,,
6:50.0,,,12-14,,Defensive rebound by K. Love
6:48.0,Personal foul by K. Lowry (drawn by L. James),,12-14,,
6:30.0,,,12-16,2,K. Irving makes 2-pt shot from 5 ft (assist by L. James)
6:12.0,J. Valanciunas misses 2-pt shot from 11 ft,,12-16,,
6:11.0,,,12-16,,Defensive rebound by J. Smith
6:03.0,,,12-16,,K. Irving misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by S. Ibaka,,12-16,,
5:52.0,D. DeRozan misses 2-pt shot from 18 ft,,12-16,,
5:51.0,,,12-16,,Defensive rebound by K. Love
5:41.0,,,12-18,2,K. Love makes 2-pt shot from 21 ft (assist by J. Smith)
5:41.0,,,12-18,,Shooting foul by S. Ibaka (drawn by K. Love)
5:41.0,,,12-19,1,K. Love makes free throw 1 of 1
5:41.0,P. Tucker enters the game for D. Carroll,,12-18,,
5:41.0,P. Patterson enters the game for S. Ibaka,,12-18,,
5:25.0,Turnover by P. Patterson (traveling),,12-19,,
5:10.0,,,12-22,3,J. Smith makes 3-pt shot from 31 ft (assist by K. Irving)
4:55.0,P. Tucker misses 3-pt shot from 24 ft,,12-22,,
4:54.0,,,12-22,,Defensive rebound by K. Irving
4:54.0,,,12-22,,L. James misses 2-pt shot from 1 ft
4:53.0,Defensive rebound by D. DeRozan,,12-22,,
4:46.0,D. DeRozan makes 2-pt shot from 1 ft,2,14-22,,
4:38.0,,,14-22,,Cleveland full timeout
4:30.0,Personal foul by P. Tucker,,14-22,,
4:22.0,,,14-22,,Turnover by K. Irving (bad pass)
3:58.0,K. Lowry makes 2-pt shot at rim (assist by P. Patterson),2,16-22,,
3:41.0,,,16-22,,T. Thompson misses 2-pt shot from 6 ft
