time,Detroit,pts.away,score,pts.home,New Orleans
1:35.0,,,16-25,1,A. Davis makes free throw 1 of 2
1:35.0,,,16-26,1,A. Davis makes free throw 2 of 2
1:35.0,S. Johnson enters the game for M. Morris,,16-25,,
1:21.0,T. Harris misses 2-pt shot from 18 ft,,16-26,,
1:19.0,,,16-26,,Defensive rebound by T. Frazier
1:09.0,,,16-26,,A. Ajinca misses 2-pt shot from 19 ft
1:07.0,Defensive rebound by A. Drummond,,16-26,,
1:02.0,T. Harris makes 2-pt shot from 2 ft (assist by I. Smith),2,18-26,,
1:02.0,Shooting foul by T. Frazier (drawn by T. Harris),,18-26,,
1:02.0,T. Harris misses free throw 1 of 1,,18-26,,
1:02.0,,,18-26,,D. Cunningham enters the game for A. Davis
1:00.0,,,18-26,,Defensive rebound by A. Ajinca
0:49.0,,,18-28,2,A. Ajinca makes 2-pt shot from 3 ft (assist by D. Cunningham)
0:37.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,18-28,,
0:35.0,Offensive rebound by A. Drummond,,18-28,,
0:35.0,,,18-28,,Loose ball foul by T. Frazier (drawn by A. Drummond)
0:35.0,A. Drummond misses free throw 1 of 2,,18-28,,
0:35.0,Offensive rebound by Team,,18-28,,
0:35.0,A. Drummond misses free throw 2 of 2,,18-28,,
0:35.0,,,18-28,,Defensive rebound by D. Cunningham
0:35.0,,,18-28,,D. Motiejunas enters the game for A. Ajinca
0:18.0,,,18-31,3,D. Cunningham makes 3-pt shot from 24 ft (assist by T. Frazier)
0:05.0,I. Smith misses 3-pt shot from 28 ft,,18-31,,
0:03.0,,,18-31,,Defensive rebound by D. Motiejunas
0:00.0,,,18-31,,S. Hill misses 3-pt shot from 30 ft
0:00.0,,,18-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,T. Harris misses 3-pt shot from 25 ft,,18-31,,
11:33.0,,,18-31,,Defensive rebound by T. Frazier
