time,Detroit,pts.away,score,pts.home,New Orleans
3:42.0,,,82-99,1,E. Moore makes free throw 1 of 1
3:28.0,J. Leuer makes 2-pt shot from 7 ft (assist by K. Caldwell-Pope),2,84-99,,
3:11.0,,,84-99,,Shooting foul by J. Leuer (drawn by D. Cunningham)
3:11.0,,,84-100,1,D. Cunningham makes free throw 1 of 2
3:11.0,,,84-101,1,D. Cunningham makes free throw 2 of 2
2:59.0,T. Harris misses 2-pt shot from 9 ft,,84-101,,
2:58.0,,,84-101,,Defensive rebound by D. Cunningham
2:39.0,,,84-101,,J. Holiday misses 2-pt shot from 5 ft
2:39.0,,,84-101,,Offensive rebound by A. Davis
2:39.0,,,84-101,,New Orleans full timeout
2:39.0,S. Johnson enters the game for M. Morris,,84-101,,
2:39.0,R. Bullock enters the game for K. Caldwell-Pope,,84-101,,
2:39.0,Jump ball: A. Davis vs. T. Harris (D. Cunningham gains possession),,,,Jump ball: A. Davis vs. T. Harris (D. Cunningham gains possession)
2:23.0,,,84-103,2,A. Davis makes 2-pt shot at rim
2:05.0,Turnover by R. Bullock (bad pass; steal by H. Thompson),,84-103,,
1:49.0,,,84-105,2,A. Davis makes 2-pt shot from 6 ft
1:49.0,,,84-105,,Shooting foul by J. Leuer (drawn by A. Davis)
1:49.0,,,84-106,1,A. Davis makes free throw 1 of 1
1:48.0,,,84-106,,C. Diallo enters the game for A. Davis
1:48.0,,,84-106,,Personal take foul by J. Holiday (drawn by R. Jackson)
1:48.0,,,84-106,,J. Jack enters the game for J. Holiday
1:39.0,R. Jackson misses 3-pt shot from 26 ft,,84-106,,
1:37.0,,,84-106,,Defensive rebound by H. Thompson
1:24.0,,,84-109,3,H. Thompson makes 3-pt shot from 26 ft (assist by E. Moore)
1:14.0,J. Leuer makes 2-pt shot at rim (assist by R. Jackson),2,86-109,,
0:58.0,,,86-109,,E. Moore misses 2-pt shot from 12 ft
0:55.0,,,86-109,,Offensive rebound by C. Diallo
0:40.0,,,86-109,,C. Diallo misses 2-pt shot from 10 ft
0:38.0,Defensive rebound by T. Harris,,86-109,,
0:32.0,S. Johnson misses 2-pt shot from 15 ft,,86-109,,
0:29.0,,,86-109,,Defensive rebound by H. Thompson
0:12.0,,,86-109,,H. Thompson misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by R. Jackson,,86-109,,
0:02.0,Turnover by R. Jackson (lost ball; steal by J. Jack),,86-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
