time,Orlando,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. N. Vucevic (D. Carroll gains possession),,,,Jump ball: J. Valanciunas vs. N. Vucevic (D. Carroll gains possession)
11:35.0,,,0-0,,J. Valanciunas misses 2-pt shot from 2 ft
11:35.0,,,0-0,,Offensive rebound by P. Patterson
11:32.0,,,0-0,,P. Patterson misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by E. Payton,,0-0,,
11:27.0,E. Payton makes 2-pt shot from 2 ft,2,2-0,,
11:16.0,Personal foul by N. Vucevic (drawn by J. Valanciunas),,2-0,,
11:10.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 16 ft
10:55.0,A. Gordon misses 2-pt shot from 4 ft,,2-2,,
10:50.0,Offensive rebound by A. Gordon,,2-2,,
10:50.0,A. Gordon makes 2-pt shot from 1 ft,2,4-2,,
10:45.0,,,4-4,2,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry)
10:39.0,E. Payton misses 2-pt shot from 1 ft,,4-4,,
10:39.0,,,4-4,,Defensive rebound by P. Patterson
10:32.0,,,4-6,2,K. Lowry makes 2-pt shot at rim
10:13.0,N. Vucevic makes 2-pt shot from 14 ft,2,6-6,,
9:54.0,,,6-8,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
9:41.0,N. Vucevic makes 2-pt shot from 19 ft,2,8-8,,
9:33.0,,,8-8,,Turnover by K. Lowry (bad pass; steal by C. Watson)
9:26.0,C. Watson makes 2-pt shot from 21 ft (assist by E. Payton),2,10-8,,
9:07.0,,,10-8,,Shooting foul by A. Gordon (drawn by D. DeRozan)
9:07.0,,,10-9,1,D. DeRozan makes free throw 1 of 2
9:07.0,,,10-9,,D. DeRozan misses free throw 2 of 2
9:07.0,Defensive rebound by N. Vucevic,,10-9,,
8:58.0,S. Ibaka misses 3-pt shot from 25 ft,,10-9,,
8:58.0,,,10-9,,Defensive rebound by J. Valanciunas
8:48.0,,,10-9,,D. Carroll misses 3-pt shot from 23 ft
8:47.0,,,10-9,,Offensive rebound by P. Patterson
8:33.0,,,10-11,2,D. Carroll makes 2-pt shot from 3 ft (assist by D. DeRozan)
8:33.0,Orlando full timeout,,10-11,,
8:13.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,12-11,,
7:48.0,,,12-13,2,J. Valanciunas makes 2-pt shot from 11 ft
7:28.0,E. Payton misses 2-pt shot from 12 ft,,12-13,,
7:28.0,Offensive rebound by N. Vucevic,,12-13,,
7:25.0,N. Vucevic misses 2-pt shot from 4 ft,,12-13,,
7:25.0,Offensive rebound by S. Ibaka,,12-13,,
7:22.0,S. Ibaka makes 2-pt shot from 2 ft,2,14-13,,
7:12.0,,,14-15,2,K. Lowry makes 2-pt shot from 15 ft
6:56.0,N. Vucevic makes 2-pt shot from 15 ft (assist by C. Watson),2,16-15,,
6:37.0,,,16-18,3,P. Patterson makes 3-pt shot from 24 ft (assist by J. Valanciunas)
