time,Utah,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Noah (D. Favors gains possession),,,,Jump ball: R. Gobert vs. J. Noah (D. Favors gains possession)
11:43.0,R. Gobert misses 2-pt shot from 3 ft (block by K. Porzingis),,0-0,,
11:41.0,,,0-0,,Defensive rebound by C. Lee
11:19.0,,,0-0,,K. Porzingis misses 3-pt shot from 29 ft
11:17.0,,,0-0,,Offensive rebound by Team
11:17.0,,,0-0,,Turnover by Team (shot clock)
11:02.0,R. Hood makes 2-pt shot from 16 ft,2,2-0,,
10:50.0,Personal foul by G. Hayward (drawn by K. Porzingis),,2-0,,
10:42.0,,,2-2,2,C. Anthony makes 2-pt shot from 9 ft (assist by J. Noah)
10:27.0,G. Hayward misses 2-pt shot from 13 ft,,2-2,,
10:26.0,Offensive rebound by R. Gobert,,2-2,,
10:21.0,G. Hayward misses 2-pt shot from 3 ft,,2-2,,
10:20.0,,,2-2,,Defensive rebound by K. Porzingis
10:16.0,,,2-4,2,K. Porzingis makes 2-pt shot from 1 ft (assist by D. Rose)
10:16.0,,,2-4,,Shooting foul by R. Gobert (drawn by K. Porzingis)
10:16.0,,,2-5,1,K. Porzingis makes free throw 1 of 1
10:05.0,D. Favors misses 2-pt shot from 20 ft (block by J. Noah),,2-5,,
10:04.0,,,2-5,,Defensive rebound by C. Lee
9:51.0,,,2-8,3,K. Porzingis makes 3-pt shot from 26 ft (assist by D. Rose)
9:23.0,D. Favors makes 2-pt shot from 9 ft (assist by G. Hill),2,4-8,,
9:11.0,,,4-8,,D. Rose misses 2-pt shot from 2 ft (block by R. Gobert)
9:10.0,Defensive rebound by R. Gobert,,4-8,,
9:04.0,G. Hill misses 3-pt shot from 25 ft,,4-8,,
9:03.0,Offensive rebound by Team,,4-8,,
9:03.0,,,4-8,,Loose ball foul by J. Noah (drawn by R. Gobert)
8:54.0,G. Hill makes 2-pt shot from 13 ft,2,6-8,,
8:40.0,,,6-8,,Turnover by K. Porzingis (3 sec)
8:26.0,R. Hood misses 3-pt shot from 25 ft,,6-8,,
8:25.0,,,6-8,,Defensive rebound by C. Anthony
8:16.0,,,6-8,,C. Anthony misses 3-pt shot from 27 ft
8:15.0,Defensive rebound by R. Hood,,6-8,,
8:10.0,G. Hayward makes 2-pt shot from 15 ft (assist by R. Hood),2,8-8,,
8:09.0,,,8-8,,New York full timeout
7:50.0,,,8-8,,Turnover by J. Noah (3 sec)
7:38.0,G. Hayward misses 3-pt shot from 26 ft,,8-8,,
7:37.0,,,8-8,,Defensive rebound by D. Rose
7:30.0,,,8-8,,D. Rose misses 2-pt shot from 9 ft
7:29.0,Defensive rebound by R. Gobert,,8-8,,
7:19.0,R. Hood misses 2-pt shot from 15 ft,,8-8,,
7:18.0,,,8-8,,Defensive rebound by C. Anthony
7:03.0,,,8-10,2,C. Anthony makes 2-pt shot from 22 ft
6:41.0,Jump ball: D. Favors vs. J. Noah (C. Lee gains possession),,,,Jump ball: D. Favors vs. J. Noah (C. Lee gains possession)
6:41.0,Turnover by D. Favors (lost ball; steal by J. Noah),,8-10,,
6:24.0,,,8-12,2,K. Porzingis makes 2-pt shot from 21 ft (assist by J. Noah)
6:11.0,G. Hayward misses 3-pt shot from 26 ft,,8-12,,
6:10.0,,,8-12,,Defensive rebound by C. Anthony
6:02.0,,,8-14,2,C. Lee makes 2-pt shot from 10 ft
5:48.0,Shooting foul by D. Rose (drawn by G. Hill),,8-14,,
5:48.0,G. Hill makes free throw 1 of 3,1,9-14,,
5:48.0,G. Hill makes free throw 2 of 3,1,10-14,,
5:48.0,G. Hill makes free throw 3 of 3,1,11-14,,
5:48.0,D. Exum enters the game for R. Hood,,10-14,,
5:48.0,T. Lyles enters the game for D. Favors,,10-14,,
5:27.0,,,11-14,,D. Rose misses 2-pt shot from 3 ft
5:26.0,Defensive rebound by T. Lyles,,11-14,,
5:11.0,G. Hill makes 3-pt shot from 26 ft,3,14-14,,
5:02.0,,,14-17,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
4:39.0,G. Hill misses 2-pt shot from 21 ft,,14-17,,
4:38.0,,,14-17,,Defensive rebound by Team
4:38.0,,,14-17,,L. Thomas enters the game for J. Noah
4:21.0,,,14-20,3,K. Porzingis makes 3-pt shot from 27 ft (assist by D. Rose)
3:59.0,Shooting foul by C. Lee (drawn by G. Hayward),,14-20,,
3:59.0,G. Hayward makes free throw 1 of 2,1,15-20,,
3:59.0,G. Hayward makes free throw 2 of 2,1,16-20,,
3:59.0,D. Favors enters the game for R. Gobert,,15-20,,
3:42.0,,,16-22,2,C. Anthony makes 2-pt shot from 9 ft
3:26.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hill),2,18-22,,
3:26.0,Shooting foul by K. Porzingis (drawn by D. Favors),,18-22,,
3:26.0,D. Favors misses free throw 1 of 1,,18-22,,
3:26.0,J. Johnson enters the game for G. Hayward,,18-22,,
3:25.0,,,18-22,,Defensive rebound by K. Porzingis
3:16.0,,,18-22,,Turnover by K. Porzingis (offensive foul)
3:16.0,,,18-22,,Offensive foul by K. Porzingis
3:16.0,,,18-22,,K. O'Quinn enters the game for K. Porzingis
2:57.0,T. Lyles misses 3-pt shot from 27 ft,,18-22,,
2:56.0,,,18-22,,Defensive rebound by L. Thomas
2:48.0,,,18-22,,C. Lee misses 2-pt shot from 6 ft
2:47.0,Defensive rebound by D. Favors,,18-22,,
2:37.0,D. Favors misses 2-pt shot from 18 ft,,18-22,,
2:36.0,,,18-22,,Defensive rebound by C. Anthony
2:13.0,,,18-24,2,C. Anthony makes 2-pt shot from 21 ft
1:52.0,D. Exum misses 3-pt shot from 26 ft,,18-24,,
1:51.0,,,18-24,,Defensive rebound by C. Lee
1:38.0,,,18-26,2,C. Anthony makes 2-pt shot from 15 ft
1:37.0,Utah full timeout,,18-26,,
1:37.0,S. Mack enters the game for G. Hill,,18-26,,
1:37.0,,,18-26,,B. Jennings enters the game for D. Rose
1:15.0,T. Lyles misses 2-pt shot from 19 ft,,18-26,,
1:14.0,,,18-26,,Defensive rebound by C. Lee
0:57.0,,,18-28,2,L. Thomas makes 2-pt shot from 2 ft
0:46.0,D. Favors misses 2-pt shot from 1 ft (block by K. O'Quinn),,18-28,,
0:45.0,Offensive rebound by Team,,18-28,,
0:45.0,,,18-28,,J. Holiday enters the game for C. Lee
0:45.0,,,18-28,,M. Kuzminskas enters the game for C. Anthony
0:45.0,Jump ball: D. Favors vs. K. O'Quinn (S. Mack gains possession),,,,Jump ball: D. Favors vs. K. O'Quinn (S. Mack gains possession)
0:36.0,S. Mack makes 2-pt shot from 13 ft,2,20-28,,
0:28.0,,,20-30,2,J. Holiday makes 2-pt shot from 19 ft (assist by B. Jennings)
0:08.0,Turnover by S. Mack (bad pass; steal by B. Jennings),,20-30,,
0:03.0,,,20-30,,J. Holiday misses 2-pt shot from 2 ft
0:02.0,,,20-30,,Offensive rebound by M. Kuzminskas
0:02.0,,,20-30,,M. Kuzminskas misses 2-pt shot from 2 ft
0:01.0,,,20-30,,Offensive rebound by M. Kuzminskas
0:01.0,,,20-30,,M. Kuzminskas misses 2-pt shot from 2 ft
0:00.0,,,20-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
