time,Oklahoma City,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Nurkic (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. J. Nurkic (V. Oladipo gains possession)
11:43.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook),2,2-0,,
11:26.0,,,2-0,,J. Nurkic misses 2-pt shot from 5 ft
11:25.0,Defensive rebound by D. Sabonis,,2-0,,
11:19.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,4-0,,
10:57.0,,,4-0,,E. Mudiay misses 2-pt shot from 5 ft
10:56.0,Defensive rebound by R. Westbrook,,4-0,,
10:45.0,V. Oladipo makes 2-pt shot from 19 ft (assist by R. Westbrook),2,6-0,,
10:33.0,,,6-2,2,J. Nelson makes 2-pt shot from 2 ft (assist by J. Nurkic)
10:14.0,S. Adams makes 2-pt shot from 6 ft (assist by D. Sabonis),2,8-2,,
9:58.0,,,8-4,2,W. Chandler makes 2-pt shot from 2 ft (assist by J. Nurkic)
9:36.0,S. Adams misses 2-pt shot from 4 ft (block by W. Chandler),,8-4,,
9:34.0,,,8-4,,Defensive rebound by J. Nurkic
9:32.0,,,8-6,2,J. Nelson makes 2-pt shot from 2 ft
9:32.0,Oklahoma City full timeout,,8-6,,
9:20.0,V. Oladipo misses 3-pt shot from 26 ft,,8-6,,
9:19.0,Offensive rebound by V. Oladipo,,8-6,,
9:08.0,V. Oladipo makes 3-pt shot from 26 ft (assist by R. Westbrook),3,11-6,,
8:42.0,,,11-6,,W. Chandler misses 2-pt shot from 14 ft
8:41.0,Defensive rebound by R. Westbrook,,11-6,,
8:37.0,Turnover by R. Westbrook (bad pass; steal by K. Faried),,11-6,,
8:23.0,,,11-6,,Shooting foul by D. Sabonis (drawn by E. Mudiay)
8:23.0,,,11-7,1,E. Mudiay makes free throw 1 of 2
8:23.0,,,11-8,1,E. Mudiay makes free throw 2 of 2
8:03.0,D. Sabonis makes 3-pt shot from 25 ft (assist by V. Oladipo),3,14-8,,
7:39.0,,,14-10,2,W. Chandler makes 2-pt shot from 10 ft
7:16.0,R. Westbrook misses 2-pt shot from 17 ft,,14-10,,
7:15.0,,,14-10,,Defensive rebound by E. Mudiay
7:11.0,Violation by R. Westbrook (kicked ball),,14-10,,
7:05.0,,,14-10,,W. Chandler misses 2-pt shot from 1 ft
7:04.0,,,14-10,,Offensive rebound by K. Faried
7:03.0,,,14-12,2,K. Faried makes 2-pt shot at rim
6:46.0,S. Adams misses 2-pt shot from 13 ft,,14-12,,
6:45.0,,,14-12,,Defensive rebound by K. Faried
6:40.0,,,14-12,,J. Nelson misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by V. Oladipo,,14-12,,
6:30.0,R. Westbrook misses 2-pt shot from 15 ft,,14-12,,
6:29.0,,,14-12,,Defensive rebound by W. Chandler
6:21.0,,,14-14,2,J. Nelson makes 2-pt shot from 3 ft
6:03.0,A. Roberson misses 3-pt shot from 25 ft,,14-14,,
6:02.0,,,14-14,,Defensive rebound by J. Nurkic
5:53.0,,,14-14,,K. Faried misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by D. Sabonis,,14-14,,
5:46.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,16-14,,
5:27.0,,,16-14,,E. Mudiay misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by Team,,16-14,,
5:26.0,,,16-14,,J. Murray enters the game for J. Nurkic
5:26.0,,,16-14,,N. Jokic enters the game for E. Mudiay
5:23.0,J. Grant enters the game for V. Oladipo,,16-14,,
5:23.0,A. Morrow enters the game for A. Roberson,,16-14,,
5:04.0,S. Adams misses 2-pt shot from 10 ft,,16-14,,
5:04.0,,,16-14,,Defensive rebound by Team
4:56.0,Personal foul by S. Adams (drawn by N. Jokic),,16-14,,
4:56.0,E. Kanter enters the game for S. Adams,,16-14,,
4:44.0,,,16-14,,N. Jokic misses 2-pt shot from 3 ft
4:43.0,Defensive rebound by J. Grant,,16-14,,
4:33.0,E. Kanter misses 2-pt shot from 2 ft,,16-14,,
4:32.0,,,16-14,,Defensive rebound by K. Faried
4:22.0,,,16-16,2,W. Chandler makes 2-pt shot from 1 ft (assist by J. Nelson)
4:13.0,Turnover by D. Sabonis (bad pass),,16-16,,
3:58.0,,,16-18,2,K. Faried makes 2-pt shot at rim (assist by W. Chandler)
3:40.0,R. Westbrook misses 2-pt shot at rim,,16-18,,
3:40.0,,,16-18,,Defensive rebound by N. Jokic
3:35.0,,,16-18,,W. Chandler misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by Team,,16-18,,
3:21.0,,,16-18,,Personal foul by J. Nelson (drawn by A. Morrow)
3:12.0,R. Westbrook makes 2-pt shot from 17 ft (assist by E. Kanter),2,18-18,,
3:02.0,,,18-18,,Turnover by J. Murray (lost ball; steal by J. Grant)
2:52.0,J. Grant misses 2-pt shot from 1 ft,,18-18,,
2:51.0,Offensive rebound by E. Kanter,,18-18,,
2:47.0,E. Kanter makes 2-pt shot from 1 ft,2,20-18,,
2:42.0,,,20-18,,Offensive foul by N. Jokic
2:42.0,,,20-18,,Turnover by N. Jokic (offensive foul)
2:42.0,,,20-18,,Denver full timeout
2:42.0,V. Oladipo enters the game for D. Sabonis,,20-18,,
2:42.0,J. Lauvergne enters the game for R. Westbrook,,20-18,,
2:40.0,,,20-18,,D. Arthur enters the game for K. Faried
2:23.0,A. Morrow makes 2-pt shot from 3 ft,2,22-18,,
2:09.0,,,22-20,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nelson)
1:52.0,Shooting foul by W. Chandler (drawn by J. Grant),,22-20,,
1:52.0,J. Grant makes free throw 1 of 2,1,23-20,,
1:52.0,J. Grant misses free throw 2 of 2,,23-20,,
1:52.0,,,23-20,,E. Mudiay enters the game for J. Nelson
1:52.0,,,23-20,,A. Gee enters the game for W. Chandler
1:50.0,,,23-20,,Defensive rebound by J. Murray
1:40.0,,,23-20,,Shooting foul by J. Lauvergne (drawn by A. Gee)
1:40.0,,,23-20,,A. Gee misses free throw 1 of 2
1:40.0,,,23-20,,Offensive rebound by Team
1:40.0,,,23-21,1,A. Gee makes free throw 2 of 2
1:22.0,A. Morrow makes 2-pt shot from 14 ft,2,25-21,,
1:10.0,,,25-24,3,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic)
0:56.0,J. Lauvergne makes 2-pt shot from 18 ft,2,27-24,,
0:51.0,,,27-26,2,A. Gee makes 2-pt shot from 3 ft
0:51.0,,,27-26,,Shooting foul by J. Lauvergne (drawn by A. Gee)
0:51.0,,,27-27,1,A. Gee makes free throw 1 of 1
0:35.0,J. Lauvergne makes 2-pt shot from 11 ft (assist by A. Morrow),2,29-27,,
0:27.0,,,29-27,,J. Murray misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by J. Grant,,29-27,,
0:19.0,V. Oladipo makes 2-pt shot from 17 ft,2,31-27,,
0:05.0,,,31-30,3,D. Arthur makes 3-pt shot from 24 ft (assist by A. Gee)
0:01.0,E. Kanter misses 3-pt shot from 26 ft,,31-30,,
0:00.0,Offensive rebound by Team,,31-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,31-30,,Turnover by J. Murray (bad pass)
11:34.0,V. Oladipo misses 3-pt shot from 23 ft,,31-30,,
11:32.0,,,31-30,,Defensive rebound by A. Gee
11:23.0,,,31-33,3,E. Mudiay makes 3-pt shot from 25 ft (assist by A. Gee)
11:10.0,Loose ball foul by J. Grant (drawn by A. Gee),,31-33,,
11:10.0,Turnover by J. Grant (offensive foul),,31-33,,
11:10.0,D. Sabonis enters the game for E. Kanter,,31-33,,
10:57.0,,,31-33,,J. Murray misses 2-pt shot from 2 ft
10:56.0,,,31-33,,Offensive rebound by A. Gee
10:53.0,,,31-33,,A. Gee misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by Team,,31-33,,
10:52.0,,,31-33,,J. Nurkic enters the game for N. Jokic
10:49.0,Jump ball: A. Gee vs. D. Sabonis (V. Oladipo gains possession),,,,Jump ball: A. Gee vs. D. Sabonis (V. Oladipo gains possession)
10:41.0,V. Oladipo makes 2-pt shot from 3 ft,2,33-33,,
10:34.0,,,33-33,,Turnover by E. Mudiay (lost ball; steal by D. Sabonis)
10:29.0,Turnover by D. Sabonis (bad pass; steal by D. Arthur),,33-33,,
10:15.0,,,33-33,,Shooting foul by J. Grant (drawn by E. Mudiay)
10:15.0,,,33-34,1,E. Mudiay makes free throw 1 of 2
10:15.0,,,33-35,1,E. Mudiay makes free throw 2 of 2
10:15.0,A. Roberson enters the game for A. Morrow,,33-34,,
10:03.0,J. Lauvergne makes 3-pt shot from 25 ft (assist by V. Oladipo),3,36-35,,
9:52.0,,,36-35,,Turnover by D. Arthur (bad pass; steal by J. Lauvergne)
9:41.0,J. Grant misses 3-pt shot from 24 ft,,36-35,,
9:40.0,,,36-35,,Defensive rebound by J. Nurkic
