time,Utah,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Lopez (B. Bogdanovic gains possession),,,,Jump ball: R. Gobert vs. B. Lopez (B. Bogdanovic gains possession)
11:47.0,,,0-0,,B. Lopez misses 2-pt shot from 10 ft
11:46.0,Defensive rebound by R. Gobert,,0-0,,
11:24.0,S. Mack misses 2-pt shot from 20 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by T. Booker
11:04.0,,,0-3,3,T. Booker makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
10:41.0,R. Hood misses 2-pt shot from 3 ft,,0-3,,
10:40.0,Offensive rebound by R. Gobert,,0-3,,
10:39.0,R. Gobert misses 2-pt shot from 2 ft (block by B. Lopez),,0-3,,
10:37.0,,,0-3,,Defensive rebound by S. Kilpatrick
10:32.0,,,0-3,,T. Booker misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by R. Gobert,,0-3,,
10:18.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,2-3,,
10:04.0,,,2-3,,S. Kilpatrick misses 2-pt shot from 15 ft
10:03.0,Defensive rebound by R. Gobert,,2-3,,
9:53.0,R. Hood makes 2-pt shot from 9 ft,2,4-3,,
9:40.0,,,4-5,2,B. Lopez makes 2-pt shot from 15 ft
9:34.0,Utah full timeout,,4-5,,
9:08.0,D. Favors misses 2-pt shot from 19 ft,,4-5,,
9:07.0,,,4-5,,Defensive rebound by S. Kilpatrick
8:51.0,,,4-8,3,B. Lopez makes 3-pt shot from 24 ft (assist by T. Booker)
8:33.0,S. Mack makes 2-pt shot from 20 ft,2,6-8,,
8:27.0,,,6-8,,Turnover by I. Whitehead (traveling)
8:11.0,D. Favors misses 2-pt shot from 17 ft,,6-8,,
8:10.0,Offensive rebound by S. Mack,,6-8,,
8:07.0,R. Hood misses 3-pt shot from 24 ft,,6-8,,
8:06.0,,,6-8,,Defensive rebound by T. Booker
7:44.0,,,6-8,,B. Lopez misses 2-pt shot from 11 ft
7:43.0,,,6-8,,Offensive rebound by T. Booker
7:39.0,,,6-8,,T. Booker misses 2-pt shot from 3 ft
7:38.0,,,6-8,,Offensive rebound by T. Booker
7:36.0,,,6-8,,Shooting foul by R. Gobert (drawn by T. Booker)
7:36.0,,,6-9,1,T. Booker makes free throw 1 of 2
7:36.0,,,6-10,1,T. Booker makes free throw 2 of 2
7:21.0,,,6-10,,Personal foul by I. Whitehead (drawn by R. Gobert)
7:15.0,G. Hayward makes 3-pt shot from 26 ft,3,9-10,,
7:00.0,,,9-10,,B. Lopez misses 3-pt shot from 26 ft
6:59.0,,,9-10,,Offensive rebound by T. Booker
6:57.0,,,9-12,2,T. Booker makes 2-pt shot from 2 ft
6:46.0,Shooting foul by B. Bogdanovic (drawn by G. Hayward),,9-12,,
6:46.0,G. Hayward makes free throw 1 of 2,1,10-12,,
6:46.0,G. Hayward makes free throw 2 of 2,1,11-12,,
6:46.0,B. Diaw enters the game for D. Favors,,10-12,,
6:46.0,J. Ingles enters the game for R. Hood,,10-12,,
6:30.0,,,11-12,,T. Booker misses 2-pt shot from 20 ft
6:29.0,Defensive rebound by J. Ingles,,11-12,,
6:17.0,G. Hayward makes 2-pt shot from 15 ft,2,13-12,,
