time,Houston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. J. Valanciunas (N. Powell gains possession),,,,Jump ball: N. Hilario vs. J. Valanciunas (N. Powell gains possession)
11:42.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 4 ft
11:17.0,N. Hilario makes 2-pt shot from 6 ft (assist by J. Harden),2,2-2,,
10:52.0,,,2-2,,D. DeRozan misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by J. Harden,,2-2,,
10:41.0,P. Beverley misses 3-pt shot from 22 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by D. DeRozan
10:29.0,,,2-2,,N. Powell misses 2-pt shot from 3 ft
10:28.0,Defensive rebound by N. Hilario,,2-2,,
10:20.0,J. Harden makes 2-pt shot from 2 ft,2,4-2,,
10:14.0,,,4-2,,Turnover by N. Powell (bad pass; steal by T. Ariza)
10:08.0,R. Anderson misses 3-pt shot from 24 ft,,4-2,,
10:07.0,,,4-2,,Defensive rebound by J. Valanciunas
10:03.0,,,4-2,,Shooting foul by N. Hilario (drawn by K. Lowry)
10:03.0,,,4-3,1,K. Lowry makes free throw 1 of 2
10:03.0,,,4-3,,K. Lowry misses free throw 2 of 2
10:02.0,Defensive rebound by T. Ariza,,4-3,,
9:48.0,N. Hilario makes 2-pt shot from 15 ft (assist by T. Ariza),2,6-3,,
9:27.0,,,6-5,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by N. Powell)
9:13.0,Turnover by J. Harden (lost ball; steal by K. Lowry),,6-5,,
8:58.0,,,6-5,,D. Carroll misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by T. Ariza,,6-5,,
8:42.0,R. Anderson makes 2-pt shot from 3 ft,2,8-5,,
8:35.0,,,8-5,,Offensive foul by N. Powell
8:35.0,,,8-5,,Turnover by N. Powell (offensive foul)
8:18.0,J. Harden misses 2-pt shot from 18 ft (block by D. DeRozan),,8-5,,
8:17.0,Offensive rebound by J. Harden,,8-5,,
8:14.0,Turnover by J. Harden (bad pass; steal by K. Lowry),,8-5,,
7:59.0,,,8-5,,Shooting foul by R. Anderson (drawn by D. DeRozan)
7:59.0,,,8-6,1,D. DeRozan makes free throw 1 of 2
7:59.0,,,8-7,1,D. DeRozan makes free throw 2 of 2
7:46.0,J. Harden misses 2-pt shot from 11 ft,,8-7,,
7:46.0,,,8-7,,Defensive rebound by D. Carroll
7:38.0,,,8-10,3,N. Powell makes 3-pt shot from 24 ft (assist by K. Lowry)
7:26.0,J. Harden misses 3-pt shot from 24 ft,,8-10,,
7:25.0,,,8-10,,Defensive rebound by J. Valanciunas
7:12.0,,,8-10,,Turnover by D. DeRozan (bad pass; steal by J. Harden)
7:07.0,T. Ariza misses 3-pt shot from 25 ft,,8-10,,
7:06.0,Offensive rebound by R. Anderson,,8-10,,
7:06.0,Shooting foul by K. Lowry (drawn by R. Anderson),,8-10,,
7:06.0,R. Anderson makes free throw 1 of 2,1,9-10,,
7:06.0,R. Anderson makes free throw 2 of 2,1,10-10,,
6:52.0,,,10-12,2,D. DeRozan makes 2-pt shot from 16 ft
6:42.0,N. Hilario makes 2-pt shot at rim (assist by T. Ariza),2,12-12,,
6:18.0,,,12-15,3,D. Carroll makes 3-pt shot from 24 ft (assist by N. Powell)
6:08.0,,,12-15,,Personal foul by N. Powell (drawn by R. Anderson)
6:08.0,E. Gordon enters the game for P. Beverley,,12-15,,
6:08.0,,,12-15,,P. Patterson enters the game for N. Powell
6:00.0,J. Harden makes 2-pt shot from 2 ft (assist by N. Hilario),2,14-15,,
5:48.0,,,14-18,3,D. Carroll makes 3-pt shot from 24 ft (assist by P. Patterson)
5:33.0,Turnover by N. Hilario (bad pass),,14-18,,
5:33.0,,,14-18,,Toronto full timeout
5:16.0,,,14-18,,Turnover by K. Lowry (bad pass; steal by T. Ariza)
5:03.0,J. Harden misses 2-pt shot from 18 ft,,14-18,,
5:03.0,,,14-18,,Defensive rebound by K. Lowry
4:56.0,,,14-18,,K. Lowry misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by J. Harden,,14-18,,
4:49.0,T. Ariza misses 3-pt shot from 24 ft,,14-18,,
4:48.0,,,14-18,,Defensive rebound by D. Carroll
4:34.0,,,14-20,2,D. DeRozan makes 2-pt shot from 17 ft
4:25.0,R. Anderson misses 3-pt shot from 25 ft,,14-20,,
4:24.0,,,14-20,,Defensive rebound by K. Lowry
4:15.0,,,14-22,2,D. DeRozan makes 2-pt shot from 12 ft (assist by K. Lowry)
3:59.0,Shooting foul by D. Carroll (drawn by J. Harden),,14-22,,
3:59.0,J. Harden makes free throw 1 of 3,1,15-22,,
3:59.0,J. Harden makes free throw 2 of 3,1,16-22,,
3:59.0,J. Harden makes free throw 3 of 3,1,17-22,,
3:59.0,S. Dekker enters the game for R. Anderson,,16-22,,
3:59.0,M. Harrell enters the game for N. Hilario,,16-22,,
3:59.0,,,16-22,,C. Joseph enters the game for K. Lowry
3:59.0,,,16-22,,T. Ross enters the game for D. Carroll
3:46.0,,,17-22,,Turnover by D. DeRozan (step out of bounds)
3:28.0,J. Harden makes 2-pt shot from 3 ft,2,19-22,,
3:28.0,Shooting foul by T. Ross (drawn by J. Harden),,19-22,,
3:28.0,J. Harden makes free throw 1 of 1,1,20-22,,
3:09.0,,,20-22,,T. Ross misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by E. Gordon,,20-22,,
3:04.0,E. Gordon makes 2-pt shot from 4 ft,2,22-22,,
3:04.0,Shooting foul by T. Ross (drawn by E. Gordon),,22-22,,
