time,San Antonio,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,L. Aldridge misses 2-pt shot from 18 ft,,0-0,,
12:00.0,Jump ball: P. Gasol vs. R. Hibbert (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. R. Hibbert (L. Aldridge gains possession)
11:46.0,,,0-0,,Defensive rebound by M. Williams
11:26.0,,,0-0,,K. Walker misses 2-pt shot from 3 ft (block by D. Green)
11:24.0,,,0-0,,Offensive rebound by K. Walker
11:18.0,,,0-0,,R. Hibbert misses 2-pt shot from 14 ft
11:17.0,Defensive rebound by K. Leonard,,0-0,,
11:01.0,D. Green makes 2-pt shot at rim (assist by P. Gasol),2,2-0,,
10:48.0,,,2-0,,Turnover by N. Batum (bad pass; steal by P. Gasol)
10:41.0,T. Parker makes 2-pt shot from 6 ft,2,4-0,,
10:19.0,,,4-0,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
10:18.0,Defensive rebound by K. Leonard,,4-0,,
9:57.0,D. Green misses 2-pt shot from 8 ft (block by M. Williams),,4-0,,
9:55.0,Offensive rebound by D. Green,,4-0,,
9:53.0,D. Green misses 2-pt shot from 1 ft,,4-0,,
9:52.0,,,4-0,,Defensive rebound by N. Batum
9:43.0,,,4-2,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by M. Williams)
9:30.0,K. Leonard misses 3-pt shot from 27 ft,,4-2,,
9:29.0,,,4-2,,Defensive rebound by K. Walker
9:20.0,,,4-4,2,R. Hibbert makes 2-pt shot at rim (assist by K. Walker)
9:03.0,T. Parker misses 2-pt shot from 1 ft,,4-4,,
9:02.0,,,4-4,,Defensive rebound by K. Walker
8:56.0,,,4-6,2,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by K. Walker)
8:38.0,K. Leonard makes 2-pt shot from 2 ft,2,6-6,,
8:19.0,,,6-9,3,N. Batum makes 3-pt shot from 26 ft (assist by R. Hibbert)
8:00.0,D. Green misses 3-pt shot from 27 ft,,6-9,,
7:59.0,Offensive rebound by P. Gasol,,6-9,,
7:48.0,P. Gasol makes 3-pt shot from 27 ft (assist by T. Parker),3,9-9,,
7:26.0,,,9-9,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
7:24.0,,,9-9,,Offensive rebound by M. Williams
7:17.0,,,9-9,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
7:15.0,Defensive rebound by P. Gasol,,9-9,,
7:01.0,L. Aldridge makes 2-pt shot from 8 ft (assist by P. Gasol),2,11-9,,
6:51.0,,,11-9,,K. Walker misses 2-pt shot from 11 ft
6:49.0,,,11-9,,Offensive rebound by K. Walker
6:44.0,,,11-12,3,K. Walker makes 3-pt shot from 23 ft
6:32.0,,,11-12,,Personal foul by M. Kidd-Gilchrist (drawn by K. Leonard)
6:23.0,K. Leonard misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist),,11-12,,
6:20.0,,,11-12,,Defensive rebound by M. Kidd-Gilchrist
6:09.0,,,11-12,,N. Batum misses 2-pt shot from 12 ft
6:08.0,Defensive rebound by P. Gasol,,11-12,,
5:51.0,Shooting foul by R. Hibbert (drawn by L. Aldridge),,11-12,,
5:51.0,,,11-12,,Charlotte full timeout
5:51.0,L. Aldridge makes free throw 1 of 2,1,12-12,,
5:51.0,L. Aldridge makes free throw 2 of 2,1,13-12,,
5:51.0,M. Ginobili enters the game for D. Green,,11-12,,
5:51.0,P. Mills enters the game for T. Parker,,11-12,,
