time,Cleveland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. K. Towns (G. Dieng gains possession),,,,Jump ball: T. Thompson vs. K. Towns (G. Dieng gains possession)
11:43.0,,,0-3,3,B. Rush makes 3-pt shot from 24 ft (assist by K. Towns)
11:26.0,K. Irving misses 2-pt shot from 20 ft,,0-3,,
11:24.0,Offensive rebound by T. Thompson,,0-3,,
11:24.0,T. Thompson makes 2-pt shot from 1 ft,2,2-3,,
11:05.0,,,2-3,,R. Rubio misses 2-pt shot from 21 ft
11:04.0,Defensive rebound by T. Thompson,,2-3,,
10:53.0,L. James misses 2-pt shot from 14 ft,,2-3,,
10:52.0,,,2-3,,Defensive rebound by K. Towns
10:43.0,,,2-3,,A. Wiggins misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by C. Frye,,2-3,,
10:29.0,K. Irving misses 3-pt shot from 24 ft,,2-3,,
10:29.0,,,2-3,,Defensive rebound by B. Rush
10:18.0,,,2-5,2,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio)
9:55.0,I. Shumpert misses 2-pt shot from 17 ft,,2-5,,
9:53.0,,,2-5,,Defensive rebound by R. Rubio
9:42.0,,,2-7,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
9:24.0,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Irving),3,5-7,,
9:02.0,,,5-9,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
8:53.0,,,5-9,,Shooting block foul by K. Towns (drawn by L. James)
8:53.0,L. James makes free throw 1 of 2,1,6-9,,
8:53.0,L. James misses free throw 2 of 2,,6-9,,
8:53.0,,,6-9,,Defensive rebound by G. Dieng
8:34.0,,,6-11,2,K. Towns makes 2-pt shot from 1 ft
8:17.0,K. Irving misses 2-pt shot from 3 ft,,6-11,,
8:15.0,Offensive rebound by T. Thompson,,6-11,,
8:14.0,Turnover by T. Thompson (lost ball),,6-11,,
8:03.0,,,6-11,,Shooting foul by K. Irving (drawn by G. Dieng)
8:03.0,,,6-12,1,G. Dieng makes free throw 1 of 2
8:03.0,,,6-13,1,G. Dieng makes free throw 2 of 2
7:50.0,T. Thompson misses 2-pt shot from 2 ft,,6-13,,
7:49.0,,,6-13,,Defensive rebound by K. Towns
7:34.0,,,6-15,2,K. Towns makes 2-pt shot from 2 ft
7:27.0,Cleveland full timeout,,6-15,,
7:20.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,9-15,,
7:07.0,,,9-15,,R. Rubio misses 2-pt shot from 21 ft
7:06.0,Defensive rebound by C. Frye,,9-15,,
6:59.0,Offensive charge foul by L. James,,9-15,,
6:59.0,Turnover by L. James (offensive foul),,9-15,,
6:45.0,,,9-15,,A. Wiggins misses 2-pt shot from 5 ft
6:44.0,,,9-15,,Offensive rebound by G. Dieng
6:35.0,,,9-17,2,A. Wiggins makes 2-pt shot from 13 ft
6:18.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,12-17,,
5:59.0,,,12-17,,A. Wiggins misses 2-pt shot from 7 ft (block by C. Frye)
5:58.0,,,12-17,,Offensive rebound by A. Wiggins
5:57.0,,,12-17,,R. Rubio misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by C. Frye,,12-17,,
5:48.0,K. Irving makes 2-pt shot from 12 ft,2,14-17,,
5:36.0,Personal foul by I. Shumpert (drawn by R. Rubio),,14-17,,
5:23.0,,,14-17,,R. Rubio misses 2-pt shot from 3 ft
5:22.0,Defensive rebound by T. Thompson,,14-17,,
5:06.0,L. James misses 3-pt shot from 26 ft,,14-17,,
5:04.0,Offensive rebound by C. Frye,,14-17,,
4:59.0,I. Shumpert misses 3-pt shot from 23 ft,,14-17,,
4:58.0,,,14-17,,Defensive rebound by R. Rubio
4:52.0,,,14-17,,G. Dieng misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by C. Frye,,14-17,,
4:44.0,C. Frye makes 3-pt shot from 24 ft (assist by I. Shumpert),3,17-17,,
4:23.0,,,17-17,,G. Dieng misses 2-pt shot from 21 ft
4:22.0,Defensive rebound by C. Frye,,17-17,,
4:14.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,19-17,,
4:03.0,,,19-17,,Minnesota full timeout
4:03.0,J. Jones enters the game for C. Frye,,19-17,,
3:46.0,,,19-17,,Turnover by Team (shot clock)
