time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 3 ft
12:00.0,Jump ball: M. Gortat vs. B. Lopez (R. Hollis-Jefferson gains possession),,,,Jump ball: M. Gortat vs. B. Lopez (R. Hollis-Jefferson gains possession)
11:45.0,Defensive rebound by M. Gortat,,0-0,,
11:35.0,O. Porter misses 2-pt shot from 16 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by R. Hollis-Jefferson
11:19.0,,,0-0,,B. Lopez misses 2-pt shot from 8 ft
11:18.0,Defensive rebound by M. Gortat,,0-0,,
11:13.0,B. Beal misses 2-pt shot from 3 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by B. Lopez
11:06.0,,,0-0,,S. Dinwiddie misses 2-pt shot from 3 ft
11:04.0,,,0-0,,Offensive rebound by B. Bogdanovic
10:49.0,,,0-2,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft
10:33.0,M. Gortat misses 2-pt shot from 7 ft,,0-2,,
10:31.0,,,0-2,,Defensive rebound by R. Hollis-Jefferson
10:22.0,,,0-2,,Shooting foul by O. Porter (drawn by B. Bogdanovic)
10:22.0,,,0-3,1,B. Bogdanovic makes free throw 1 of 2
10:22.0,,,0-4,1,B. Bogdanovic makes free throw 2 of 2
10:11.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,2-4,,
10:01.0,,,2-4,,R. Foye misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by M. Gortat,,2-4,,
9:53.0,J. Wall makes 2-pt shot from 19 ft,2,4-4,,
9:26.0,,,4-4,,B. Lopez misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by M. Gortat,,4-4,,
9:15.0,M. Gortat misses 2-pt shot from 2 ft,,4-4,,
9:13.0,,,4-4,,Defensive rebound by B. Lopez
9:01.0,,,4-7,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
8:46.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,6-7,,
8:30.0,,,6-7,,B. Bogdanovic misses 2-pt shot from 15 ft
8:29.0,,,6-7,,Offensive rebound by R. Hollis-Jefferson
8:18.0,,,6-10,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by R. Foye)
7:59.0,Washington full timeout,,6-10,,
7:50.0,K. Oubre misses 3-pt shot from 24 ft,,6-10,,
7:49.0,,,6-10,,Defensive rebound by R. Foye
7:42.0,,,6-10,,B. Lopez misses 2-pt shot from 7 ft
7:40.0,Defensive rebound by M. Gortat,,6-10,,
7:34.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,9-10,,
7:13.0,Personal foul by K. Oubre (drawn by B. Bogdanovic),,9-10,,
7:08.0,,,9-10,,Turnover by B. Lopez (lost ball; steal by J. Wall)
7:02.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,12-10,,
6:36.0,,,12-12,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft
6:30.0,J. Wall misses 2-pt shot from 2 ft,,12-12,,
6:29.0,,,12-12,,Defensive rebound by B. Lopez
6:25.0,,,12-12,,B. Bogdanovic misses 3-pt shot from 24 ft
6:24.0,,,12-12,,Offensive rebound by R. Hollis-Jefferson
6:15.0,,,12-12,,S. Dinwiddie misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by M. Gortat,,12-12,,
6:01.0,B. Beal makes 2-pt shot from 7 ft,2,14-12,,
5:36.0,,,14-14,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
5:21.0,J. Wall misses 2-pt shot from 19 ft,,14-14,,
5:20.0,,,14-14,,Defensive rebound by R. Hollis-Jefferson
5:13.0,,,14-14,,Shooting foul by M. Gortat (drawn by R. Hollis-Jefferson)
5:13.0,,,14-15,1,R. Hollis-Jefferson makes free throw 1 of 2
5:13.0,,,14-16,1,R. Hollis-Jefferson makes free throw 2 of 2
5:13.0,,,14-15,,J. Harris enters the game for S. Dinwiddie
5:13.0,,,14-15,,I. Whitehead enters the game for B. Bogdanovic
5:13.0,J. Smith enters the game for K. Oubre,,14-15,,
5:03.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,16-16,,
4:51.0,,,16-16,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by B. Beal,,16-16,,
4:43.0,B. Beal misses 3-pt shot from 24 ft,,16-16,,
4:42.0,Offensive rebound by M. Gortat,,16-16,,
4:34.0,O. Porter misses 3-pt shot from 25 ft,,16-16,,
4:33.0,,,16-16,,Defensive rebound by B. Lopez
4:22.0,,,16-18,2,B. Lopez makes 2-pt shot from 10 ft (assist by I. Whitehead)
4:06.0,J. Wall makes 2-pt shot at rim,2,18-18,,
3:45.0,,,18-18,,B. Lopez misses 2-pt shot from 10 ft
3:44.0,Defensive rebound by J. Smith,,18-18,,
3:23.0,B. Beal makes 3-pt shot from 25 ft,3,21-18,,
3:22.0,,,21-18,,Brooklyn full timeout
3:22.0,I. Mahinmi enters the game for M. Gortat,,21-18,,
3:22.0,,,21-18,,T. Booker enters the game for R. Hollis-Jefferson
3:22.0,,,21-18,,J. Hamilton enters the game for B. Lopez
3:22.0,,,21-18,,S. Kilpatrick enters the game for R. Foye
3:03.0,,,21-18,,Shooting foul by I. Mahinmi (drawn by J. Hamilton)
3:03.0,,,21-18,,J. Hamilton misses free throw 1 of 2
3:03.0,,,21-18,,Offensive rebound by Team
3:03.0,,,21-18,,J. Hamilton misses free throw 2 of 2
3:02.0,Defensive rebound by O. Porter,,21-18,,
2:42.0,B. Beal makes 2-pt shot from 10 ft,2,23-18,,
2:22.0,,,23-18,,S. Kilpatrick misses 2-pt shot from 15 ft
2:21.0,Defensive rebound by J. Smith,,23-18,,
2:09.0,J. Smith makes 2-pt shot from 4 ft (assist by J. Wall),2,25-18,,
1:55.0,,,25-18,,Turnover by J. Harris (bad pass; steal by B. Beal)
1:49.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,28-18,,
1:35.0,,,28-18,,I. Whitehead misses 2-pt shot from 2 ft
1:34.0,,,28-18,,Offensive rebound by T. Booker
1:32.0,,,28-18,,Shooting foul by J. Smith (drawn by T. Booker)
1:32.0,,,28-20,2,T. Booker makes 2-pt shot from 3 ft
1:32.0,,,28-20,,T. Booker misses free throw 1 of 1
1:32.0,T. Satoransky enters the game for B. Beal,,28-20,,
1:31.0,Defensive rebound by O. Porter,,28-20,,
1:18.0,J. Smith misses 2-pt shot at rim (block by J. Hamilton),,28-20,,
1:17.0,Offensive rebound by J. Smith,,28-20,,
1:16.0,Shooting foul by J. Hamilton (drawn by J. Smith),,28-20,,
1:16.0,J. Smith makes free throw 1 of 2,1,29-20,,
1:16.0,J. Smith misses free throw 2 of 2,,29-20,,
1:16.0,T. Burke enters the game for O. Porter,,29-20,,
1:15.0,Offensive rebound by I. Mahinmi,,29-20,,
1:08.0,J. Wall misses 3-pt shot from 26 ft,,29-20,,
1:07.0,,,29-20,,Defensive rebound by S. Kilpatrick
0:59.0,,,29-20,,S. Kilpatrick misses 2-pt shot from 2 ft (block by T. Satoransky)
0:58.0,Defensive rebound by J. Smith,,29-20,,
0:56.0,Turnover by T. Satoransky (lost ball),,29-20,,
0:44.0,,,29-20,,Shooting foul by I. Mahinmi (drawn by T. Booker)
0:44.0,,,29-20,,T. Booker misses free throw 1 of 2
0:44.0,,,29-20,,Offensive rebound by Team
0:44.0,,,29-20,,T. Booker misses free throw 2 of 2
0:42.0,Defensive rebound by I. Mahinmi,,29-20,,
0:25.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by J. Wall),2,31-20,,
0:04.0,,,31-22,2,I. Whitehead makes 2-pt shot from 2 ft
0:00.0,J. Wall misses 2-pt shot from 21 ft,,31-22,,
0:00.0,Offensive rebound by Team,,31-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Smith makes 2-pt shot from 18 ft (assist by T. Satoransky),2,33-22,,
11:26.0,,,33-22,,J. Hamilton misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by K. Oubre,,33-22,,
