time,Golden State,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: J. Nurkic vs. Z. Pachulia (S. Curry gains possession)
11:43.0,K. Durant misses 2-pt shot from 20 ft,,0-0,,
11:42.0,Offensive rebound by K. Durant,,0-0,,
11:37.0,D. Green makes 3-pt shot from 25 ft (assist by K. Durant),3,3-0,,
11:24.0,,,3-0,,Turnover by E. Mudiay (bad pass; steal by Z. Pachulia)
11:01.0,K. Thompson misses 2-pt shot from 20 ft,,3-0,,
11:01.0,,,3-0,,Defensive rebound by Team
10:47.0,Shooting block foul by Z. Pachulia (drawn by D. Gallinari),,3-0,,
10:47.0,,,3-1,1,D. Gallinari makes free throw 1 of 2
10:47.0,,,3-2,1,D. Gallinari makes free throw 2 of 2
10:35.0,Turnover by K. Thompson (bad pass; steal by E. Mudiay),,3-2,,
10:28.0,,,3-4,2,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay)
10:22.0,K. Thompson misses 2-pt shot from 20 ft,,3-4,,
10:20.0,,,3-4,,Defensive rebound by N. Jokic
10:07.0,,,3-4,,E. Mudiay misses 2-pt shot from 16 ft
10:05.0,Defensive rebound by Z. Pachulia,,3-4,,
10:01.0,Turnover by S. Curry (lost ball),,3-4,,
9:43.0,,,3-6,2,J. Nurkic makes 2-pt shot from 3 ft
9:27.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,5-6,,
9:08.0,,,5-6,,Turnover by J. Nurkic (lost ball; steal by Z. Pachulia)
8:58.0,K. Thompson makes 2-pt shot from 19 ft (assist by K. Durant),2,7-6,,
8:45.0,,,7-6,,G. Harris misses 2-pt shot from 7 ft
8:44.0,Defensive rebound by Z. Pachulia,,7-6,,
8:36.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,9-6,,
8:36.0,,,9-6,,Denver full timeout
8:10.0,,,9-8,2,E. Mudiay makes 2-pt shot from 2 ft (assist by G. Harris)
7:59.0,Turnover by S. Curry (bad pass),,9-8,,
7:42.0,,,9-8,,D. Gallinari misses 2-pt shot from 16 ft
7:42.0,,,9-8,,Offensive rebound by Team
7:42.0,Personal foul by Z. Pachulia (drawn by J. Nurkic),,9-8,,
7:42.0,J. McGee enters the game for Z. Pachulia,,9-8,,
7:31.0,,,9-8,,N. Jokic misses 3-pt shot from 27 ft
7:30.0,,,9-8,,Offensive rebound by J. Nurkic
7:27.0,,,9-8,,J. Nurkic misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by K. Durant,,9-8,,
7:17.0,K. Durant makes 2-pt shot from 13 ft,2,11-8,,
7:08.0,,,11-8,,Turnover by G. Harris (bad pass; steal by D. Green)
6:48.0,S. Curry makes 2-pt shot from 3 ft,2,13-8,,
6:40.0,,,13-8,,Turnover by E. Mudiay (bad pass; steal by D. Green)
6:32.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,16-8,,
6:13.0,,,16-8,,E. Mudiay misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by K. Durant,,16-8,,
6:09.0,Shooting foul by E. Mudiay (drawn by D. Green),,16-8,,
6:09.0,D. Green makes free throw 1 of 2,1,17-8,,
6:09.0,D. Green makes free throw 2 of 2,1,18-8,,
5:57.0,,,18-8,,N. Jokic misses 3-pt shot from 25 ft
5:56.0,,,18-8,,Offensive rebound by G. Harris
5:48.0,,,18-8,,D. Gallinari misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by S. Curry,,18-8,,
5:41.0,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry),2,20-8,,
5:41.0,,,20-8,,Denver full timeout
5:41.0,A. Iguodala enters the game for K. Durant,,20-8,,
5:41.0,,,20-8,,J. Nelson enters the game for J. Nurkic
5:41.0,,,20-8,,K. Faried enters the game for G. Harris
5:30.0,,,20-8,,Shooting foul by A. Iguodala (drawn by D. Gallinari)
5:30.0,,,20-9,1,D. Gallinari makes free throw 1 of 2
5:30.0,,,20-9,,D. Gallinari misses free throw 2 of 2
5:28.0,Defensive rebound by D. Green,,20-9,,
5:21.0,S. Curry misses 3-pt shot from 27 ft,,20-9,,
5:20.0,Offensive rebound by J. McGee,,20-9,,
5:19.0,Turnover by S. Curry (lost ball),,20-9,,
5:04.0,,,20-9,,E. Mudiay misses 2-pt shot from 12 ft
5:03.0,Defensive rebound by D. Green,,20-9,,
5:00.0,,,20-9,,Personal foul by J. Nelson (drawn by J. McGee)
4:57.0,D. Green misses 3-pt shot from 26 ft,,20-9,,
4:56.0,,,20-9,,Defensive rebound by K. Faried
4:49.0,,,20-9,,Shooting foul by D. Green (drawn by N. Jokic)
4:49.0,,,20-10,1,N. Jokic makes free throw 1 of 2
4:49.0,,,20-11,1,N. Jokic makes free throw 2 of 2
4:49.0,,,20-10,,J. Murray enters the game for E. Mudiay
4:37.0,Turnover by K. Thompson (bad pass; steal by N. Jokic),,20-11,,
4:27.0,,,20-11,,N. Jokic misses 3-pt shot from 25 ft
4:27.0,,,20-11,,Offensive rebound by K. Faried
4:25.0,,,20-13,2,K. Faried makes 2-pt shot from 1 ft
4:25.0,Golden State full timeout,,20-13,,
4:11.0,J. McGee makes 2-pt shot at rim (assist by K. Thompson),2,22-13,,
3:50.0,,,22-13,,J. Nelson misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by A. Iguodala,,22-13,,
3:42.0,Shooting foul by N. Jokic (drawn by J. McGee),,22-13,,
3:42.0,J. McGee makes free throw 1 of 2,1,23-13,,
3:42.0,J. McGee makes free throw 2 of 2,1,24-13,,
3:42.0,P. McCaw enters the game for K. Thompson,,23-13,,
3:42.0,,,23-13,,J. Nurkic enters the game for N. Jokic
3:22.0,,,24-15,2,J. Murray makes 2-pt shot from 15 ft (assist by K. Faried)
3:06.0,D. Green makes 3-pt shot from 25 ft (assist by P. McCaw),3,27-15,,
2:52.0,,,27-17,2,J. Nurkic makes 2-pt shot from 1 ft
2:41.0,P. McCaw misses 2-pt shot from 19 ft,,27-17,,
2:41.0,,,27-17,,Defensive rebound by K. Faried
2:29.0,,,27-17,,Turnover by J. Nurkic (bad pass; steal by D. Green)
2:22.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,30-17,,
2:09.0,,,30-17,,J. Murray misses 2-pt shot from 18 ft
2:05.0,,,30-17,,Offensive rebound by K. Faried
2:05.0,,,30-19,2,K. Faried makes 2-pt shot from 3 ft
1:58.0,Golden State full timeout,,30-19,,
1:58.0,K. Durant enters the game for J. McGee,,30-19,,
1:58.0,,,30-19,,J. Hernangomez enters the game for D. Gallinari
1:52.0,D. Green misses 2-pt shot from 2 ft (block by J. Nurkic),,30-19,,
1:51.0,Offensive rebound by Team,,30-19,,
1:47.0,Shooting foul by J. Murray (drawn by S. Curry),,30-19,,
