time,Milwaukee,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. N. Jokic (M. Dellavedova gains possession),,,,Jump ball: J. Henson vs. N. Jokic (M. Dellavedova gains possession)
11:44.0,J. Henson makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,2-0,,
11:26.0,,,2-0,,Turnover by K. Faried (bad pass; steal by T. Snell)
11:20.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by W. Chandler),,2-0,,
11:19.0,,,2-0,,Defensive rebound by J. Nelson
10:54.0,,,2-0,,G. Harris misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by J. Henson,,2-0,,
10:42.0,J. Henson makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,4-0,,
10:27.0,,,4-2,2,J. Nelson makes 2-pt shot from 2 ft (assist by G. Harris)
10:12.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,6-2,,
9:48.0,,,6-4,2,N. Jokic makes 2-pt shot from 16 ft (assist by J. Nelson)
9:32.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,8-4,,
9:19.0,,,8-4,,Turnover by G. Harris (bad pass; steal by J. Parker)
9:11.0,T. Snell misses 3-pt shot from 26 ft,,8-4,,
9:08.0,,,8-4,,Defensive rebound by W. Chandler
8:58.0,,,8-4,,K. Faried misses 2-pt shot from 6 ft
8:56.0,,,8-4,,Offensive rebound by N. Jokic
8:56.0,,,8-6,2,N. Jokic makes 2-pt shot from 1 ft
8:51.0,Offensive charge foul by J. Parker,,8-6,,
8:51.0,Turnover by J. Parker (offensive foul),,8-6,,
8:39.0,,,8-8,2,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson)
8:25.0,J. Parker makes 2-pt shot from 19 ft (assist by M. Dellavedova),2,10-8,,
8:08.0,,,10-8,,J. Nelson misses 2-pt shot from 2 ft
8:08.0,,,10-8,,Offensive rebound by K. Faried
8:03.0,,,10-8,,W. Chandler misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by G. Antetokounmpo,,10-8,,
7:55.0,Turnover by G. Antetokounmpo (lost ball; steal by G. Harris),,10-8,,
7:49.0,,,10-10,2,W. Chandler makes 2-pt shot at rim (assist by G. Harris)
7:35.0,M. Dellavedova makes 2-pt shot from 11 ft,2,12-10,,
7:17.0,,,12-10,,W. Chandler misses 3-pt shot from 26 ft
7:16.0,,,12-10,,Offensive rebound by K. Faried
7:13.0,,,12-12,2,K. Faried makes 2-pt shot from 3 ft
7:00.0,J. Parker misses 3-pt shot from 25 ft,,12-12,,
6:59.0,,,12-12,,Defensive rebound by N. Jokic
6:57.0,,,12-12,,Turnover by N. Jokic (bad pass)
6:57.0,M. Teletovic enters the game for G. Antetokounmpo,,12-12,,
6:46.0,Turnover by M. Dellavedova (bad pass),,12-12,,
6:30.0,,,12-12,,J. Nelson misses 2-pt shot from 2 ft (block by J. Henson)
6:28.0,Defensive rebound by J. Henson,,12-12,,
6:24.0,M. Teletovic makes 3-pt shot from 26 ft,3,15-12,,
6:12.0,G. Monroe enters the game for J. Henson,,15-12,,
6:12.0,J. Terry enters the game for T. Snell,,15-12,,
6:06.0,,,15-12,,W. Chandler misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by G. Monroe,,15-12,,
5:53.0,M. Teletovic makes 2-pt shot from 15 ft (assist by G. Monroe),2,17-12,,
5:46.0,,,17-12,,Shooting foul by M. Teletovic (drawn by W. Chandler)
5:46.0,,,17-12,,Denver full timeout
5:46.0,,,17-13,1,W. Chandler makes free throw 1 of 2
5:46.0,,,17-14,1,W. Chandler makes free throw 2 of 2
5:46.0,,,17-12,,W. Barton enters the game for K. Faried
5:27.0,J. Parker misses 2-pt shot from 12 ft (block by W. Chandler),,17-14,,
5:25.0,,,17-14,,Defensive rebound by N. Jokic
5:15.0,,,17-14,,G. Harris misses 3-pt shot from 24 ft
