time,New York,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Noah (D. Rose gains possession),,,,Jump ball: A. Davis vs. J. Noah (D. Rose gains possession)
11:35.0,S. Vujacic misses 3-pt shot from 24 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by A. Davis
11:15.0,,,0-0,,J. Holiday misses 2-pt shot from 8 ft
11:14.0,Defensive rebound by C. Anthony,,0-0,,
11:04.0,Turnover by D. Rose (offensive goaltending),,0-0,,
10:46.0,,,0-0,,D. Cunningham misses 2-pt shot from 3 ft (block by J. Noah)
10:44.0,Defensive rebound by K. Porzingis,,0-0,,
10:36.0,C. Anthony misses 2-pt shot from 16 ft,,0-0,,
10:35.0,,,0-0,,Defensive rebound by A. Davis
10:26.0,,,0-3,3,B. Hield makes 3-pt shot from 25 ft
10:05.0,D. Rose makes 3-pt shot from 25 ft (assist by C. Anthony),3,3-3,,
9:47.0,,,3-3,,B. Hield misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by J. Noah,,3-3,,
9:43.0,Turnover by J. Noah (bad pass),,3-3,,
9:34.0,,,3-3,,Turnover by B. Hield (bad pass; steal by D. Rose)
9:31.0,D. Rose misses 2-pt shot from 2 ft (block by D. Cunningham),,3-3,,
9:31.0,Offensive rebound by Team,,3-3,,
9:28.0,J. Noah misses 2-pt shot from 1 ft,,3-3,,
9:28.0,,,3-3,,Defensive rebound by A. Davis
9:28.0,Loose ball foul by J. Noah (drawn by A. Davis),,3-3,,
9:13.0,,,3-5,2,A. Davis makes 2-pt shot from 4 ft
9:00.0,Turnover by C. Anthony (bad pass; steal by A. Davis),,3-5,,
8:52.0,,,3-7,2,D. Cunningham makes 2-pt shot from 3 ft (assist by A. Davis)
8:39.0,K. Porzingis makes 2-pt shot at rim (assist by J. Noah),2,5-7,,
8:25.0,,,5-7,,J. Holiday misses 2-pt shot from 5 ft
8:24.0,Defensive rebound by K. Porzingis,,5-7,,
8:18.0,K. Porzingis misses 3-pt shot from 29 ft,,5-7,,
8:17.0,,,5-7,,Defensive rebound by A. Davis
8:10.0,,,5-7,,D. Cunningham misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by C. Anthony,,5-7,,
8:05.0,Turnover by C. Anthony (bad pass; steal by J. Holiday),,5-7,,
8:01.0,,,5-9,2,J. Holiday makes 2-pt shot from 2 ft
7:40.0,D. Rose makes 2-pt shot from 11 ft,2,7-9,,
7:25.0,,,7-9,,B. Hield misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by J. Noah,,7-9,,
7:09.0,K. Porzingis makes 2-pt shot from 14 ft,2,9-9,,
