time,Houston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Nurkic (K. Faried gains possession),,,,Jump ball: C. Capela vs. J. Nurkic (K. Faried gains possession)
11:45.0,,,0-0,,Turnover by D. Gallinari (bad pass; steal by T. Ariza)
11:40.0,C. Capela makes 2-pt shot at rim (assist by T. Ariza),2,2-0,,
11:22.0,,,2-0,,J. Nurkic misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by R. Anderson,,2-0,,
11:03.0,J. Harden misses 2-pt shot from 6 ft (block by J. Nurkic),,2-0,,
11:01.0,,,2-0,,Defensive rebound by W. Barton
10:56.0,,,2-2,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
10:44.0,T. Ariza makes 3-pt shot from 23 ft (assist by R. Anderson),3,5-2,,
10:34.0,,,5-2,,D. Gallinari misses 3-pt shot from 26 ft
10:33.0,Defensive rebound by C. Capela,,5-2,,
10:24.0,Turnover by J. Harden (bad pass; steal by J. Nurkic),,5-2,,
10:18.0,,,5-4,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
10:07.0,R. Anderson makes 3-pt shot from 28 ft (assist by P. Beverley),3,8-4,,
9:48.0,,,8-4,,Shooting foul by C. Capela (drawn by D. Gallinari)
9:48.0,,,8-5,1,D. Gallinari makes free throw 1 of 2
9:48.0,,,8-6,1,D. Gallinari makes free throw 2 of 2
9:38.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,11-6,,
9:38.0,,,11-6,,Denver full timeout
9:14.0,,,11-8,2,J. Nurkic makes 2-pt shot at rim (assist by D. Gallinari)
8:54.0,R. Anderson makes 3-pt shot from 27 ft (assist by P. Beverley),3,14-8,,
8:43.0,,,14-8,,J. Nurkic misses 2-pt shot from 3 ft (block by J. Harden)
8:41.0,,,14-8,,Offensive rebound by J. Nurkic
8:40.0,,,14-8,,Turnover by J. Nurkic (lost ball; steal by T. Ariza)
8:35.0,R. Anderson misses 3-pt shot from 26 ft,,14-8,,
8:35.0,,,14-8,,Defensive rebound by Team
8:32.0,,,14-8,,W. Chandler enters the game for K. Faried
8:11.0,,,14-8,,W. Chandler misses 2-pt shot from 14 ft
8:11.0,,,14-8,,Offensive rebound by W. Barton
8:06.0,,,14-10,2,J. Nurkic makes 2-pt shot from 6 ft
7:55.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,17-10,,
7:47.0,,,17-10,,J. Nurkic misses 2-pt shot from 20 ft
7:46.0,Defensive rebound by J. Harden,,17-10,,
7:32.0,Shooting foul by J. Nurkic (drawn by R. Anderson),,17-10,,
7:32.0,R. Anderson makes free throw 1 of 2,1,18-10,,
7:32.0,R. Anderson makes free throw 2 of 2,1,19-10,,
7:15.0,,,19-10,,D. Gallinari misses 2-pt shot from 4 ft
7:14.0,Defensive rebound by C. Capela,,19-10,,
6:56.0,T. Ariza misses 3-pt shot from 25 ft,,19-10,,
6:55.0,,,19-10,,Defensive rebound by J. Nurkic
6:44.0,,,19-12,2,D. Gallinari makes 2-pt shot from 20 ft
6:28.0,R. Anderson misses 3-pt shot from 25 ft,,19-12,,
6:27.0,Offensive rebound by C. Capela,,19-12,,
6:26.0,C. Capela misses 2-pt shot from 2 ft,,19-12,,
6:25.0,Offensive rebound by C. Capela,,19-12,,
6:24.0,C. Capela makes 2-pt shot from 1 ft,2,21-12,,
6:24.0,Shooting foul by W. Barton (drawn by C. Capela),,21-12,,
6:24.0,C. Capela makes free throw 1 of 1,1,22-12,,
6:02.0,,,22-14,2,W. Chandler makes 2-pt shot from 12 ft
5:57.0,P. Beverley misses 2-pt shot from 20 ft,,22-14,,
5:57.0,Offensive rebound by P. Beverley,,22-14,,
5:52.0,R. Anderson makes 3-pt shot from 27 ft (assist by P. Beverley),3,25-14,,
5:52.0,,,25-14,,Denver full timeout
5:52.0,M. Harrell enters the game for C. Capela,,25-14,,
5:52.0,E. Gordon enters the game for P. Beverley,,25-14,,
5:52.0,,,25-14,,D. Arthur enters the game for J. Nurkic
5:35.0,,,25-16,2,D. Gallinari makes 2-pt shot from 23 ft (assist by E. Mudiay)
5:01.0,J. Harden makes 2-pt shot from 2 ft,2,27-16,,
4:55.0,,,27-16,,W. Chandler misses 3-pt shot from 25 ft
4:55.0,,,27-16,,Offensive rebound by E. Mudiay
4:50.0,,,27-16,,E. Mudiay misses 2-pt shot from 22 ft
4:50.0,Defensive rebound by T. Ariza,,27-16,,
4:34.0,J. Harden misses 2-pt shot from 6 ft,,27-16,,
4:34.0,Offensive rebound by J. Harden,,27-16,,
4:34.0,,,27-16,,Personal foul by D. Arthur (drawn by J. Harden)
4:34.0,J. Harden makes free throw 1 of 2,1,28-16,,
4:34.0,J. Harden makes free throw 2 of 2,1,29-16,,
4:34.0,,,28-16,,J. Nelson enters the game for W. Barton
4:21.0,,,29-16,,Turnover by W. Chandler (bad pass)
4:21.0,S. Dekker enters the game for R. Anderson,,29-16,,
4:10.0,J. Harden misses 2-pt shot from 2 ft (block by D. Arthur),,29-16,,
4:10.0,Offensive rebound by Team,,29-16,,
4:03.0,S. Dekker misses 3-pt shot from 25 ft,,29-16,,
4:01.0,,,29-16,,Defensive rebound by D. Gallinari
3:51.0,,,29-18,2,D. Arthur makes 2-pt shot from 18 ft (assist by E. Mudiay)
3:38.0,M. Harrell makes 2-pt shot at rim (assist by E. Gordon),2,31-18,,
3:22.0,,,31-18,,E. Mudiay misses 2-pt shot from 19 ft
3:21.0,Defensive rebound by T. Ariza,,31-18,,
3:13.0,J. Harden misses 3-pt shot from 25 ft,,31-18,,
3:12.0,,,31-18,,Defensive rebound by D. Arthur
3:10.0,,,31-18,,Turnover by D. Arthur (bad pass; steal by T. Ariza)
3:06.0,T. Ariza makes 2-pt shot from 2 ft,2,33-18,,
2:50.0,,,33-18,,J. Nelson misses 3-pt shot from 24 ft
2:49.0,,,33-18,,Offensive rebound by D. Arthur
2:44.0,,,33-21,3,W. Chandler makes 3-pt shot from 26 ft (assist by D. Arthur)
2:28.0,E. Gordon misses 3-pt shot from 26 ft,,33-21,,
2:27.0,,,33-21,,Defensive rebound by E. Mudiay
2:25.0,,,33-23,2,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay)
2:25.0,Houston full timeout,,33-23,,
2:25.0,C. Brewer enters the game for T. Ariza,,33-23,,
2:25.0,,,33-23,,J. Murray enters the game for E. Mudiay
2:25.0,,,33-23,,A. Gee enters the game for D. Gallinari
2:25.0,P. Beverley enters the game for J. Harden,,33-23,,
2:06.0,P. Beverley misses 3-pt shot from 24 ft,,33-23,,
2:05.0,Offensive rebound by S. Dekker,,33-23,,
1:57.0,S. Dekker misses 2-pt shot at rim,,33-23,,
1:50.0,Offensive rebound by S. Dekker,,33-23,,
1:43.0,E. Gordon makes 3-pt shot from 26 ft,3,36-23,,
1:17.0,,,36-23,,J. Murray misses 2-pt shot from 19 ft
1:16.0,,,36-23,,Offensive rebound by D. Arthur
1:15.0,,,36-25,2,D. Arthur makes 2-pt shot from 3 ft
1:10.0,,,36-25,,Personal foul by D. Arthur (drawn by S. Dekker)
1:10.0,S. Dekker makes free throw 1 of 2,1,37-25,,
1:10.0,S. Dekker makes free throw 2 of 2,1,38-25,,
1:10.0,,,37-25,,K. Faried enters the game for D. Arthur
0:48.0,,,38-28,3,J. Nelson makes 3-pt shot from 26 ft (assist by A. Gee)
0:40.0,E. Gordon makes 2-pt shot from 2 ft,2,40-28,,
0:32.0,,,40-31,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson)
0:13.0,C. Brewer makes 2-pt shot from 7 ft,2,42-31,,
0:01.0,,,42-33,2,J. Nelson makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,S. Dekker misses 2-pt shot from 3 ft,,42-33,,
11:46.0,,,42-33,,Defensive rebound by K. Faried
11:36.0,,,42-33,,K. Faried misses 2-pt shot from 6 ft
11:34.0,Defensive rebound by C. Capela,,42-33,,
11:31.0,Turnover by C. Brewer (bad pass; steal by W. Barton),,42-33,,
11:25.0,,,42-33,,Loose ball foul by K. Faried (drawn by C. Brewer)
11:25.0,,,42-33,,Turnover by K. Faried (offensive foul)
11:16.0,Turnover by C. Capela (3 sec),,42-33,,
11:03.0,Personal foul by C. Brewer (drawn by J. Murray),,42-33,,
10:57.0,,,42-33,,Turnover by J. Nelson (bad pass; steal by S. Dekker)
10:55.0,,,42-33,,Personal foul by J. Nelson (drawn by S. Dekker)
10:55.0,S. Dekker makes free throw 1 of 2,1,43-33,,
10:55.0,S. Dekker makes free throw 2 of 2,1,44-33,,
10:43.0,,,44-33,,Turnover by J. Murray (lost ball; steal by C. Brewer)
10:29.0,E. Gordon misses 3-pt shot from 27 ft,,44-33,,
10:29.0,,,44-33,,Defensive rebound by J. Nelson
10:23.0,,,44-35,2,W. Barton makes 2-pt shot at rim (assist by K. Faried)
10:08.0,P. Beverley makes 2-pt shot from 5 ft,2,46-35,,
9:54.0,,,46-35,,Turnover by W. Barton (lost ball; steal by P. Beverley)
9:49.0,S. Dekker makes 2-pt shot at rim (assist by C. Brewer),2,48-35,,
9:35.0,,,48-35,,Shooting foul by P. Beverley (drawn by W. Chandler)
9:35.0,,,48-35,,W. Chandler misses free throw 1 of 2
9:35.0,,,48-35,,Offensive rebound by Team
9:35.0,,,48-36,1,W. Chandler makes free throw 2 of 2
9:22.0,Offensive foul by C. Capela,,48-36,,
9:22.0,Turnover by C. Capela (offensive foul),,48-36,,
9:02.0,,,48-38,2,W. Chandler makes 2-pt shot from 9 ft
9:02.0,,,48-38,,Shooting foul by P. Beverley (drawn by W. Chandler)
