time,Atlanta,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. J. Noah (C. Anthony gains possession),,,,Jump ball: P. Millsap vs. J. Noah (C. Anthony gains possession)
11:40.0,,,0-0,,R. Baker misses 2-pt shot from 21 ft
11:39.0,,,0-0,,Offensive rebound by J. Noah
11:25.0,,,0-0,,R. Baker misses 2-pt shot from 2 ft
11:24.0,,,0-0,,Offensive rebound by R. Baker
11:19.0,,,0-0,,R. Baker misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by K. Bazemore,,0-0,,
11:05.0,P. Millsap misses 2-pt shot from 18 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by D. Rose
10:58.0,Violation by D. Schroder (kicked ball),,0-0,,
10:51.0,,,0-2,2,C. Anthony makes 2-pt shot from 19 ft (assist by D. Rose)
10:28.0,K. Bazemore misses 3-pt shot from 24 ft,,0-2,,
10:27.0,,,0-2,,Defensive rebound by M. Kuzminskas
10:18.0,,,0-2,,M. Kuzminskas misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by P. Millsap,,0-2,,
10:08.0,D. Schroder makes 2-pt shot from 18 ft,2,2-2,,
9:53.0,,,2-2,,D. Rose misses 2-pt shot from 12 ft
9:52.0,Defensive rebound by Team,,2-2,,
9:41.0,K. Bazemore misses 2-pt shot from 17 ft,,2-2,,
9:40.0,,,2-2,,Defensive rebound by C. Anthony
9:27.0,,,2-5,3,R. Baker makes 3-pt shot from 24 ft (assist by C. Anthony)
9:16.0,P. Millsap misses 2-pt shot from 2 ft (block by J. Noah),,2-5,,
9:15.0,Offensive rebound by Team,,2-5,,
9:12.0,D. Schroder makes 2-pt shot from 19 ft (assist by T. Hardaway),2,4-5,,
8:57.0,,,4-7,2,D. Rose makes 2-pt shot from 2 ft
8:30.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by D. Schroder),3,7-7,,
8:21.0,,,7-9,2,C. Anthony makes 2-pt shot from 21 ft
8:06.0,T. Sefolosha misses 2-pt shot from 16 ft,,7-9,,
8:05.0,,,7-9,,Defensive rebound by J. Noah
7:56.0,,,7-9,,C. Anthony misses 2-pt shot from 12 ft
7:55.0,Defensive rebound by T. Hardaway,,7-9,,
7:52.0,Turnover by T. Hardaway (bad pass),,7-9,,
7:43.0,,,7-9,,Turnover by R. Baker (lost ball; steal by T. Sefolosha)
7:33.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,10-9,,
7:12.0,,,10-12,3,M. Kuzminskas makes 3-pt shot from 26 ft (assist by J. Noah)
6:57.0,D. Schroder misses 3-pt shot from 26 ft,,10-12,,
6:56.0,,,10-12,,Defensive rebound by J. Noah
6:52.0,,,10-12,,Shooting foul by P. Millsap (drawn by D. Rose)
6:52.0,,,10-13,1,D. Rose makes free throw 1 of 2
6:52.0,,,10-14,1,D. Rose makes free throw 2 of 2
6:39.0,P. Millsap misses 2-pt shot from 11 ft,,10-14,,
6:38.0,,,10-14,,Defensive rebound by J. Noah
6:29.0,,,10-16,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by D. Rose)
6:16.0,K. Bazemore makes 3-pt shot from 24 ft (assist by T. Hardaway),3,13-16,,
6:08.0,,,13-16,,Offensive charge foul by D. Rose
6:08.0,,,13-16,,Turnover by D. Rose (offensive foul)
5:57.0,K. Bazemore misses 3-pt shot from 25 ft,,13-16,,
5:56.0,,,13-16,,Defensive rebound by C. Anthony
5:45.0,,,13-16,,Offensive foul by C. Anthony
5:45.0,,,13-16,,Turnover by C. Anthony (offensive foul)
5:45.0,,,13-16,,New York full timeout
5:33.0,T. Hardaway makes 2-pt shot from 20 ft (assist by P. Millsap),2,15-16,,
5:14.0,,,15-16,,C. Anthony misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by P. Millsap,,15-16,,
5:06.0,Shooting foul by J. Noah (drawn by P. Millsap),,15-16,,
5:06.0,P. Millsap makes free throw 1 of 2,1,16-16,,
5:06.0,K. Humphries enters the game for K. Bazemore,,16-16,,
5:06.0,,,16-16,,K. O'Quinn enters the game for M. Kuzminskas
5:06.0,P. Millsap makes free throw 2 of 2,1,17-16,,
4:52.0,,,17-18,2,D. Rose makes 2-pt shot from 2 ft
4:40.0,T. Hardaway misses 2-pt shot from 3 ft,,17-18,,
4:39.0,,,17-18,,Defensive rebound by K. O'Quinn
4:27.0,,,17-20,2,K. O'Quinn makes 2-pt shot from 3 ft (assist by D. Rose)
4:16.0,D. Schroder misses 2-pt shot from 18 ft,,17-20,,
4:15.0,,,17-20,,Defensive rebound by K. O'Quinn
4:03.0,,,17-20,,Turnover by D. Rose (lost ball; steal by T. Hardaway)
4:00.0,D. Schroder makes 2-pt shot from 1 ft (assist by T. Hardaway),2,19-20,,
3:36.0,,,19-20,,K. O'Quinn misses 2-pt shot from 8 ft
3:35.0,,,19-20,,Offensive rebound by J. Noah
3:31.0,,,19-23,3,R. Baker makes 3-pt shot from 25 ft (assist by J. Noah)
3:23.0,,,19-23,,Personal foul by R. Baker
3:23.0,,,19-23,,C. Lee enters the game for R. Baker
3:23.0,,,19-23,,B. Jennings enters the game for D. Rose
3:23.0,T. Waller-Prince enters the game for T. Sefolosha,,19-23,,
3:23.0,M. Delaney enters the game for D. Schroder,,19-23,,
3:18.0,Shooting foul by J. Noah (drawn by K. Humphries),,19-23,,
3:18.0,K. Humphries makes free throw 1 of 2,1,20-23,,
3:18.0,M. Scott enters the game for P. Millsap,,20-23,,
3:18.0,,,20-23,,J. Holiday enters the game for J. Noah
3:18.0,K. Humphries makes free throw 2 of 2,1,21-23,,
2:54.0,,,21-23,,Turnover by C. Anthony (lost ball; steal by K. Humphries)
2:46.0,M. Delaney makes 3-pt shot from 24 ft (assist by M. Scott),3,24-23,,
2:30.0,,,24-23,,Shooting foul by T. Hardaway (drawn by C. Anthony)
2:30.0,Atlanta full timeout,,24-23,,
2:30.0,M. Dunleavy enters the game for T. Hardaway,,24-23,,
2:30.0,,,24-24,1,C. Anthony makes free throw 1 of 2
2:30.0,,,24-25,1,C. Anthony makes free throw 2 of 2
2:12.0,M. Scott misses 3-pt shot from 26 ft,,24-25,,
2:11.0,,,24-25,,Defensive rebound by J. Holiday
1:53.0,,,24-25,,Turnover by B. Jennings (traveling)
1:37.0,K. Humphries misses 2-pt shot from 2 ft,,24-25,,
1:37.0,,,24-25,,Defensive rebound by C. Anthony
1:21.0,,,24-25,,C. Lee misses 2-pt shot from 10 ft
1:19.0,Defensive rebound by M. Delaney,,24-25,,
1:11.0,M. Dunleavy misses 3-pt shot from 26 ft,,24-25,,
1:10.0,,,24-25,,Defensive rebound by C. Anthony
1:01.0,,,24-25,,J. Holiday misses 2-pt shot from 10 ft
1:00.0,,,24-25,,Offensive rebound by Team
1:00.0,Loose ball foul by T. Waller-Prince,,24-25,,
1:00.0,,,24-25,,M. Kuzminskas enters the game for C. Anthony
0:52.0,,,24-25,,Turnover by B. Jennings (lost ball; steal by M. Delaney)
0:49.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by M. Delaney),2,26-25,,
0:35.0,,,26-27,2,B. Jennings makes 2-pt shot from 2 ft (assist by M. Kuzminskas)
0:26.0,M. Delaney misses 2-pt shot from 18 ft,,26-27,,
0:25.0,,,26-27,,Defensive rebound by B. Jennings
0:02.0,,,26-27,,K. O'Quinn misses 2-pt shot from 12 ft
0:00.0,Defensive rebound by M. Dunleavy,,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Dunleavy misses 2-pt shot from 1 ft,,26-27,,
11:42.0,,,26-27,,Defensive rebound by K. O'Quinn
11:31.0,,,26-29,2,C. Lee makes 2-pt shot at rim (assist by K. O'Quinn)
11:10.0,P. Millsap misses 2-pt shot from 4 ft,,26-29,,
11:09.0,,,26-29,,Defensive rebound by B. Jennings
10:47.0,,,26-29,,C. Lee misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by Team,,26-29,,
10:34.0,M. Scott misses 2-pt shot from 21 ft,,26-29,,
10:33.0,,,26-29,,Defensive rebound by K. O'Quinn
10:17.0,,,26-29,,B. Jennings misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by M. Dunleavy,,26-29,,
9:50.0,M. Scott misses 2-pt shot from 16 ft,,26-29,,
9:49.0,Offensive rebound by M. Scott,,26-29,,
9:48.0,M. Scott misses 2-pt shot from 4 ft,,26-29,,
9:47.0,Offensive rebound by Team,,26-29,,
9:34.0,M. Scott makes 3-pt shot from 26 ft (assist by P. Millsap),3,29-29,,
9:13.0,,,29-29,,Turnover by K. O'Quinn (3 sec)
8:51.0,M. Delaney makes 2-pt shot from 22 ft,2,31-29,,
8:50.0,,,31-29,,New York full timeout
8:50.0,K. Bazemore enters the game for T. Waller-Prince,,31-29,,
8:35.0,,,31-29,,Turnover by C. Lee (lost ball; steal by M. Delaney)
8:30.0,Turnover by M. Delaney (lost ball; steal by M. Kuzminskas),,31-29,,
8:17.0,,,31-31,2,C. Lee makes 2-pt shot from 1 ft (assist by K. O'Quinn)
8:02.0,M. Dunleavy misses 2-pt shot from 1 ft,,31-31,,
8:01.0,,,31-31,,Defensive rebound by K. O'Quinn
7:54.0,,,31-33,2,J. Holiday makes 2-pt shot from 1 ft
7:36.0,P. Millsap misses 3-pt shot from 25 ft,,31-33,,
7:36.0,,,31-33,,Defensive rebound by C. Lee
7:21.0,,,31-33,,K. O'Quinn misses 2-pt shot from 1 ft
7:20.0,,,31-33,,Offensive rebound by K. O'Quinn
7:20.0,,,31-33,,K. O'Quinn misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by P. Millsap,,31-33,,
7:07.0,P. Millsap makes 2-pt shot from 7 ft (assist by K. Bazemore),2,33-33,,
6:46.0,,,33-33,,J. Holiday misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by M. Scott,,33-33,,
6:32.0,K. Bazemore makes 2-pt shot from 4 ft,2,35-33,,
6:17.0,,,35-33,,K. O'Quinn misses 2-pt shot from 21 ft
6:16.0,Defensive rebound by K. Bazemore,,35-33,,
6:07.0,P. Millsap makes 2-pt shot from 8 ft (assist by K. Bazemore),2,37-33,,
5:51.0,,,37-35,2,K. O'Quinn makes 2-pt shot from 20 ft (assist by C. Lee)
5:45.0,Atlanta full timeout,,37-35,,
5:45.0,,,37-35,,D. Rose enters the game for K. O'Quinn
5:45.0,,,37-35,,J. Noah enters the game for B. Jennings
5:45.0,,,37-35,,C. Anthony enters the game for J. Holiday
5:45.0,D. Schroder enters the game for M. Scott,,37-35,,
5:39.0,M. Dunleavy misses 2-pt shot from 5 ft,,37-35,,
5:39.0,,,37-35,,Defensive rebound by C. Anthony
5:23.0,,,37-37,2,J. Noah makes 2-pt shot from 2 ft (assist by D. Rose)
5:07.0,,,37-37,,Personal foul by M. Kuzminskas
5:07.0,T. Sefolosha enters the game for M. Dunleavy,,37-37,,
5:07.0,K. Humphries enters the game for P. Millsap,,37-37,,
5:07.0,T. Hardaway enters the game for M. Delaney,,37-37,,
5:02.0,D. Schroder misses 2-pt shot from 17 ft (block by D. Rose),,37-37,,
5:01.0,,,37-37,,Defensive rebound by Team
5:01.0,Loose ball foul by K. Humphries,,37-37,,
4:47.0,,,37-37,,D. Rose misses 2-pt shot from 6 ft
4:46.0,Defensive rebound by K. Humphries,,37-37,,
4:39.0,K. Humphries makes 3-pt shot from 25 ft (assist by D. Schroder),3,40-37,,
4:21.0,,,40-39,2,C. Anthony makes 2-pt shot from 20 ft
4:08.0,Turnover by D. Schroder (lost ball; steal by D. Rose),,40-39,,
4:02.0,,,40-42,3,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose)
3:46.0,K. Bazemore makes 2-pt shot from 2 ft,2,42-42,,
3:38.0,,,42-42,,M. Kuzminskas misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by K. Humphries,,42-42,,
3:28.0,K. Bazemore misses 3-pt shot from 25 ft,,42-42,,
3:27.0,,,42-42,,Defensive rebound by J. Noah
3:18.0,Violation by K. Humphries (def goaltending),,42-42,,
3:18.0,,,42-44,2,D. Rose makes 2-pt shot from 2 ft
3:03.0,T. Hardaway misses 3-pt shot from 26 ft,,42-44,,
3:02.0,,,42-44,,Defensive rebound by J. Noah
2:56.0,,,42-44,,Shooting foul by T. Sefolosha (drawn by C. Anthony)
2:56.0,Official timeout,,42-44,,
2:56.0,,,42-44,,R. Baker enters the game for M. Kuzminskas
2:56.0,,,42-45,1,C. Anthony makes free throw 1 of 2
2:56.0,,,42-46,1,C. Anthony makes free throw 2 of 2
2:41.0,,,42-46,,Personal foul by R. Baker
2:40.0,T. Hardaway makes 2-pt shot at rim (assist by K. Bazemore),2,44-46,,
2:24.0,,,44-46,,Shooting foul by T. Sefolosha (drawn by C. Anthony)
2:24.0,,,44-47,1,C. Anthony makes free throw 1 of 3
2:24.0,,,44-47,,C. Anthony misses free throw 2 of 3
2:24.0,,,44-47,,Offensive rebound by Team
2:24.0,P. Millsap enters the game for T. Sefolosha,,44-47,,
2:24.0,,,44-48,1,C. Anthony makes free throw 3 of 3
2:10.0,D. Schroder makes 2-pt shot from 14 ft (assist by T. Hardaway),2,46-48,,
1:55.0,,,46-48,,C. Anthony misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by K. Bazemore,,46-48,,
1:37.0,Shooting foul by R. Baker (drawn by K. Bazemore),,46-48,,
1:37.0,K. Bazemore makes free throw 1 of 2,1,47-48,,
1:37.0,,,47-48,,J. Holiday enters the game for R. Baker
1:37.0,K. Bazemore makes free throw 2 of 2,1,48-48,,
1:24.0,,,48-48,,Turnover by D. Rose (lost ball; steal by P. Millsap)
1:16.0,T. Hardaway misses 3-pt shot from 25 ft,,48-48,,
1:15.0,Offensive rebound by Team,,48-48,,
1:15.0,,,48-48,,Loose ball foul by D. Rose
1:15.0,K. Humphries makes free throw 1 of 2,1,49-48,,
1:15.0,K. Humphries misses free throw 2 of 2,,49-48,,
1:14.0,,,49-48,,Defensive rebound by J. Noah
0:57.0,,,49-50,2,C. Anthony makes 2-pt shot from 16 ft
0:48.0,D. Schroder makes 2-pt shot from 1 ft,2,51-50,,
0:38.0,,,51-50,,Turnover by D. Rose (lost ball; steal by P. Millsap)
0:34.0,K. Bazemore misses 3-pt shot from 25 ft,,51-50,,
0:33.0,Offensive rebound by K. Humphries,,51-50,,
0:31.0,Turnover by K. Humphries (traveling),,51-50,,
0:31.0,Violation by Team (jump ball),,51-50,,
0:18.0,,,51-50,,J. Holiday misses 3-pt shot from 25 ft
0:17.0,,,51-50,,Offensive rebound by J. Noah
0:15.0,,,51-50,,Shooting foul by K. Humphries (drawn by J. Holiday)
0:15.0,,,51-50,,J. Holiday misses free throw 1 of 2
0:15.0,,,51-50,,Offensive rebound by Team
0:15.0,M. Dunleavy enters the game for K. Humphries,,51-50,,
0:15.0,M. Delaney enters the game for K. Bazemore,,51-50,,
0:15.0,,,51-50,,M. Kuzminskas enters the game for D. Rose
0:15.0,,,51-51,1,J. Holiday makes free throw 2 of 2
0:04.0,D. Schroder makes 2-pt shot from 2 ft,2,53-51,,
0:04.0,,,53-51,,New York full timeout
0:04.0,T. Waller-Prince enters the game for P. Millsap,,53-51,,
0:04.0,K. Humphries enters the game for M. Dunleavy,,53-51,,
0:04.0,,,53-51,,D. Rose enters the game for J. Noah
0:00.0,,,53-54,3,C. Anthony makes 3-pt shot from 26 ft (assist by M. Kuzminskas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,K. Bazemore misses 2-pt shot from 7 ft,,53-54,,
11:49.0,Offensive rebound by K. Bazemore,,53-54,,
11:49.0,K. Bazemore makes 2-pt shot from 7 ft,2,55-54,,
11:36.0,Shooting block foul by T. Hardaway (drawn by D. Rose),,55-54,,
11:36.0,,,55-54,,D. Rose misses free throw 1 of 2
11:36.0,,,55-54,,Offensive rebound by Team
11:36.0,,,55-54,,D. Rose misses free throw 2 of 2
11:35.0,Defensive rebound by K. Bazemore,,55-54,,
11:19.0,Turnover by P. Millsap (lost ball; steal by J. Noah),,55-54,,
11:13.0,,,55-54,,Turnover by J. Noah (lost ball)
11:03.0,,,55-54,,Personal foul by D. Rose
10:55.0,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore),3,58-54,,
10:38.0,,,58-54,,D. Rose misses 2-pt shot from 2 ft
10:37.0,,,58-54,,Offensive rebound by D. Rose
10:37.0,,,58-54,,D. Rose misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by T. Sefolosha,,58-54,,
10:21.0,T. Sefolosha misses 3-pt shot from 26 ft,,58-54,,
10:20.0,,,58-54,,Defensive rebound by R. Baker
10:15.0,,,58-54,,D. Rose misses 2-pt shot from 2 ft (block by P. Millsap)
10:13.0,Defensive rebound by T. Sefolosha,,58-54,,
10:07.0,T. Sefolosha misses 2-pt shot from 7 ft,,58-54,,
10:07.0,,,58-54,,Defensive rebound by J. Noah
9:59.0,,,58-54,,C. Lee enters the game for M. Kuzminskas
9:45.0,,,58-54,,Turnover by D. Rose (bad pass; steal by T. Sefolosha)
9:33.0,P. Millsap misses 3-pt shot from 25 ft,,58-54,,
9:32.0,,,58-54,,Defensive rebound by J. Noah
9:21.0,,,58-54,,C. Lee misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by T. Hardaway,,58-54,,
9:05.0,D. Schroder makes 2-pt shot from 2 ft,2,60-54,,
9:05.0,Shooting foul by C. Anthony (drawn by D. Schroder),,60-54,,
9:05.0,D. Schroder makes free throw 1 of 1,1,61-54,,
8:45.0,,,61-54,,Shooting foul by P. Millsap (drawn by C. Anthony)
8:45.0,,,61-55,1,C. Anthony makes free throw 1 of 2
8:45.0,,,61-56,1,C. Anthony makes free throw 2 of 2
8:31.0,T. Hardaway makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,64-56,,
8:10.0,,,64-58,2,J. Noah makes 2-pt shot from 2 ft (assist by R. Baker)
8:10.0,,,64-58,,Shooting foul by T. Sefolosha (drawn by J. Noah)
