time,San Antonio,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Lopez (R. Rondo gains possession),,,,Jump ball: P. Gasol vs. R. Lopez (R. Rondo gains possession)
11:42.0,,,0-2,2,R. Lopez makes 2-pt shot from 10 ft (assist by R. Rondo)
11:22.0,L. Aldridge misses 2-pt shot from 13 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by R. Lopez
11:03.0,,,0-2,,T. Gibson misses 2-pt shot from 10 ft
11:01.0,Defensive rebound by P. Gasol,,0-2,,
10:43.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,2-2,,
10:21.0,,,2-2,,J. Butler misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by P. Gasol,,2-2,,
10:07.0,P. Gasol misses 2-pt shot from 21 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by T. Gibson
9:55.0,,,2-4,2,T. Gibson makes 2-pt shot from 19 ft (assist by D. Wade)
9:36.0,K. Leonard makes 2-pt shot from 1 ft,2,4-4,,
9:23.0,,,4-4,,Turnover by J. Butler (bad pass; steal by D. Green)
9:16.0,D. Green misses 3-pt shot from 25 ft,,4-4,,
9:15.0,,,4-4,,Defensive rebound by D. Wade
9:01.0,,,4-6,2,R. Lopez makes 2-pt shot from 7 ft (assist by R. Rondo)
8:46.0,K. Leonard misses 2-pt shot from 1 ft,,4-6,,
8:45.0,,,4-6,,Defensive rebound by T. Gibson
8:37.0,,,4-8,2,T. Gibson makes 2-pt shot from 16 ft (assist by D. Wade)
8:14.0,T. Parker makes 2-pt shot from 2 ft,2,6-8,,
7:54.0,,,6-8,,T. Gibson misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by P. Gasol,,6-8,,
7:40.0,L. Aldridge misses 2-pt shot from 9 ft,,6-8,,
7:38.0,,,6-8,,Defensive rebound by R. Rondo
7:34.0,,,6-8,,R. Rondo misses 2-pt shot from 4 ft (block by L. Aldridge)
7:33.0,Defensive rebound by L. Aldridge,,6-8,,
7:23.0,T. Parker misses 2-pt shot from 13 ft,,6-8,,
7:22.0,,,6-8,,Defensive rebound by T. Gibson
7:16.0,,,6-8,,R. Rondo misses 2-pt shot from 17 ft
7:15.0,Defensive rebound by P. Gasol,,6-8,,
6:52.0,Turnover by Team (shot clock),,6-8,,
6:43.0,,,6-8,,T. Gibson misses 2-pt shot from 7 ft (block by L. Aldridge)
6:43.0,,,6-8,,Offensive rebound by Team
6:31.0,,,6-8,,D. Wade misses 2-pt shot from 13 ft
6:30.0,Defensive rebound by P. Gasol,,6-8,,
6:14.0,P. Gasol makes 2-pt shot from 1 ft (assist by T. Parker),2,8-8,,
5:51.0,Violation by L. Aldridge (kicked ball),,8-8,,
5:51.0,,,8-8,,Chicago full timeout
5:51.0,M. Ginobili enters the game for D. Green,,8-8,,
5:51.0,,,8-8,,D. McDermott enters the game for D. Wade
5:37.0,,,8-8,,R. Lopez misses 2-pt shot from 5 ft (block by P. Gasol)
5:35.0,Defensive rebound by L. Aldridge,,8-8,,
5:20.0,K. Leonard misses 2-pt shot from 14 ft (block by J. Butler),,8-8,,
5:16.0,Jump ball: L. Aldridge vs. R. Lopez (D. McDermott gains possession),,,,Jump ball: L. Aldridge vs. R. Lopez (D. McDermott gains possession)
5:16.0,,,8-8,,Offensive rebound by Team
5:08.0,,,8-10,2,T. Gibson makes 2-pt shot from 11 ft (assist by R. Rondo)
4:53.0,L. Aldridge misses 2-pt shot from 2 ft (block by T. Gibson),,8-10,,
4:52.0,,,8-10,,Defensive rebound by R. Lopez
4:47.0,,,8-12,2,R. Rondo makes 2-pt shot from 3 ft (assist by T. Gibson)
4:21.0,M. Ginobili misses 3-pt shot from 50 ft,,8-12,,
4:21.0,Offensive rebound by Team,,8-12,,
4:21.0,Turnover by Team (shot clock),,8-12,,
4:21.0,P. Mills enters the game for L. Aldridge,,8-12,,
4:21.0,D. Lee enters the game for T. Parker,,8-12,,
4:21.0,,,8-12,,N. Mirotic enters the game for R. Lopez
4:13.0,,,8-12,,J. Butler misses 3-pt shot from 25 ft
