time,Oklahoma City,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Len (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Len (R. Westbrook gains possession)
11:41.0,S. Adams makes 2-pt shot from 1 ft,2,2-0,,
11:15.0,,,2-0,,D. Booker misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by R. Westbrook,,2-0,,
11:02.0,D. Sabonis makes 2-pt shot from 2 ft (assist by R. Westbrook),2,4-0,,
10:43.0,,,4-0,,Shooting foul by D. Sabonis (drawn by E. Bledsoe)
10:43.0,,,4-1,1,E. Bledsoe makes free throw 1 of 2
10:43.0,,,4-2,1,E. Bledsoe makes free throw 2 of 2
10:21.0,D. Sabonis misses 2-pt shot from 6 ft,,4-2,,
10:16.0,,,4-2,,Defensive rebound by D. Booker
10:16.0,,,4-2,,Turnover by D. Booker (bad pass; steal by D. Sabonis)
10:10.0,A. Abrines misses 3-pt shot from 24 ft,,4-2,,
10:08.0,,,4-2,,Defensive rebound by A. Len
9:54.0,,,4-2,,A. Len misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by Team,,4-2,,
9:37.0,R. Westbrook makes 2-pt shot from 13 ft,2,6-2,,
9:23.0,,,6-2,,Turnover by E. Bledsoe (bad pass; steal by A. Roberson)
9:09.0,A. Abrines makes 2-pt shot from 15 ft,2,8-2,,
9:06.0,,,8-2,,Phoenix full timeout
8:55.0,,,8-2,,D. Booker misses 2-pt shot from 13 ft (block by A. Roberson)
8:53.0,,,8-2,,Offensive rebound by Team
8:48.0,,,8-2,,E. Bledsoe misses 2-pt shot from 17 ft
8:46.0,Defensive rebound by S. Adams,,8-2,,
8:33.0,D. Sabonis makes 3-pt shot from 23 ft (assist by R. Westbrook),3,11-2,,
8:15.0,,,11-2,,M. Chriss misses 3-pt shot from 25 ft
8:13.0,,,11-2,,Offensive rebound by A. Len
8:11.0,,,11-4,2,A. Len makes 2-pt shot from 1 ft
7:57.0,,,11-4,,Personal foul by A. Len (drawn by S. Adams)
7:45.0,Turnover by R. Westbrook (bad pass; steal by E. Bledsoe),,11-4,,
7:39.0,,,11-4,,D. Booker misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by D. Sabonis,,11-4,,
7:28.0,R. Westbrook misses 2-pt shot from 9 ft,,11-4,,
7:28.0,,,11-4,,Defensive rebound by D. Booker
7:22.0,,,11-4,,Turnover by D. Booker (bad pass)
7:07.0,Turnover by A. Abrines (bad pass; steal by E. Bledsoe),,11-4,,
7:02.0,,,11-4,,E. Bledsoe misses 2-pt shot from 2 ft
6:59.0,Defensive rebound by A. Roberson,,11-4,,
6:56.0,A. Abrines misses 2-pt shot from 1 ft (block by D. Booker),,11-4,,
6:52.0,,,11-4,,Defensive rebound by T. Warren
6:45.0,,,11-6,2,T. Warren makes 2-pt shot from 17 ft (assist by E. Bledsoe)
6:25.0,D. Sabonis makes 2-pt shot from 18 ft,2,13-6,,
6:09.0,,,13-9,3,D. Booker makes 3-pt shot from 25 ft (assist by A. Len)
5:55.0,R. Westbrook makes 2-pt shot from 18 ft,2,15-9,,
5:41.0,,,15-9,,Shooting foul by D. Sabonis (drawn by E. Bledsoe)
5:41.0,,,15-9,,E. Bledsoe misses free throw 1 of 2
5:41.0,,,15-9,,Offensive rebound by Team
5:41.0,,,15-10,1,E. Bledsoe makes free throw 2 of 2
5:41.0,,,15-9,,A. Williams enters the game for A. Len
5:41.0,E. Kanter enters the game for S. Adams,,15-9,,
5:41.0,D. McDermott enters the game for A. Abrines,,15-9,,
5:29.0,R. Westbrook misses 2-pt shot from 2 ft,,15-10,,
5:29.0,,,15-10,,Defensive rebound by A. Williams
5:29.0,,,15-10,,Turnover by A. Williams (lost ball; steal by R. Westbrook)
5:24.0,R. Westbrook misses 2-pt shot from 18 ft,,15-10,,
5:22.0,,,15-10,,Defensive rebound by A. Williams
5:17.0,,,15-10,,E. Bledsoe misses 2-pt shot from 9 ft
5:17.0,Defensive rebound by R. Westbrook,,15-10,,
5:11.0,D. McDermott misses 2-pt shot at rim,,15-10,,
5:08.0,,,15-10,,Defensive rebound by D. Booker
4:51.0,,,15-10,,D. Booker misses 3-pt shot from 31 ft
4:49.0,Defensive rebound by D. Sabonis,,15-10,,
4:46.0,Shooting foul by D. Booker (drawn by R. Westbrook),,15-10,,
4:46.0,R. Westbrook makes free throw 1 of 2,1,16-10,,
4:46.0,R. Westbrook makes free throw 2 of 2,1,17-10,,
4:46.0,T. Gibson enters the game for D. Sabonis,,16-10,,
4:35.0,,,17-10,,Shooting foul by E. Kanter
4:35.0,,,17-11,1,T. Warren makes free throw 1 of 2
4:35.0,,,17-12,1,T. Warren makes free throw 2 of 2
4:15.0,E. Kanter makes 2-pt shot from 4 ft,2,19-12,,
3:58.0,,,19-12,,T. Warren misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by E. Kanter,,19-12,,
3:45.0,T. Gibson misses 2-pt shot from 17 ft,,19-12,,
3:43.0,,,19-12,,Defensive rebound by T. Warren
3:37.0,,,19-12,,E. Bledsoe misses 2-pt shot from 6 ft
3:35.0,Defensive rebound by T. Gibson,,19-12,,
3:35.0,Turnover by T. Gibson (step out of bounds),,19-12,,
3:30.0,,,19-12,,T. Warren misses 2-pt shot from 2 ft
3:27.0,,,19-12,,Offensive rebound by A. Williams
3:26.0,,,19-12,,A. Williams misses 2-pt shot at rim (block by T. Gibson)
3:24.0,Defensive rebound by R. Westbrook,,19-12,,
3:21.0,R. Westbrook makes 2-pt shot from 1 ft,2,21-12,,
3:12.0,,,21-12,,E. Bledsoe misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by D. McDermott,,21-12,,
2:53.0,E. Kanter makes 2-pt shot from 1 ft,2,23-12,,
