time,Boston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: A. Johnson vs. D. Jordan (B. Griffin gains possession)
11:41.0,,,0-3,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
11:27.0,Shooting foul by B. Griffin (drawn by A. Johnson),,0-3,,
11:27.0,A. Johnson makes free throw 1 of 2,1,1-3,,
11:27.0,A. Johnson misses free throw 2 of 2,,1-3,,
11:26.0,,,1-3,,Defensive rebound by Team
11:09.0,,,1-5,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
10:50.0,A. Bradley misses 3-pt shot from 27 ft,,1-5,,
10:49.0,,,1-5,,Defensive rebound by D. Jordan
10:40.0,,,1-7,2,C. Paul makes 2-pt shot from 18 ft
10:24.0,I. Thomas makes 3-pt shot from 25 ft,3,4-7,,
10:21.0,Personal foul by I. Thomas (drawn by L. Mbah a Moute),,4-7,,
10:05.0,,,4-7,,L. Mbah a Moute misses 2-pt shot from 4 ft
10:05.0,,,4-7,,Offensive rebound by D. Jordan
10:05.0,,,4-7,,Shooting foul by A. Johnson (drawn by D. Jordan)
10:05.0,,,4-7,,D. Jordan misses free throw 1 of 2
10:05.0,,,4-7,,Offensive rebound by Team
10:05.0,,,4-7,,D. Jordan misses free throw 2 of 2
10:02.0,Defensive rebound by J. Brown,,4-7,,
9:39.0,J. Brown misses 3-pt shot from 25 ft,,4-7,,
9:35.0,,,4-7,,Defensive rebound by B. Griffin
9:21.0,,,4-7,,C. Paul misses 2-pt shot from 17 ft
9:19.0,,,4-7,,Offensive rebound by Team
9:17.0,,,4-7,,Shooting foul by I. Thomas (drawn by C. Paul)
9:17.0,,,4-8,1,C. Paul makes free throw 1 of 3
9:17.0,,,4-8,,C. Paul misses free throw 2 of 3
9:17.0,,,4-8,,Offensive rebound by Team
9:17.0,,,4-8,,C. Paul misses free throw 3 of 3
9:16.0,Defensive rebound by J. Brown,,4-8,,
8:58.0,I. Thomas misses 2-pt shot from 16 ft,,4-8,,
8:56.0,,,4-8,,Defensive rebound by B. Griffin
8:50.0,,,4-8,,Turnover by C. Paul (lost ball; steal by A. Johnson)
8:49.0,,,4-8,,Personal foul by C. Paul (drawn by J. Brown)
8:32.0,Shooting foul by J. Redick (drawn by J. Crowder),,4-8,,
8:32.0,J. Crowder makes free throw 1 of 2,1,5-8,,
8:32.0,J. Crowder makes free throw 2 of 2,1,6-8,,
8:20.0,,,6-8,,J. Redick misses 2-pt shot from 18 ft
8:19.0,Defensive rebound by A. Bradley,,6-8,,
7:57.0,J. Crowder misses 3-pt shot from 26 ft,,6-8,,
7:56.0,,,6-8,,Defensive rebound by D. Jordan
7:37.0,,,6-8,,B. Griffin misses 2-pt shot from 3 ft
7:35.0,Defensive rebound by J. Crowder,,6-8,,
7:32.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,8-8,,
7:29.0,,,8-8,,Turnover by C. Paul (bad pass)
7:20.0,I. Thomas misses 2-pt shot from 19 ft,,8-8,,
7:16.0,,,8-8,,Defensive rebound by J. Redick
7:01.0,,,8-10,2,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by B. Griffin)
6:49.0,A. Johnson makes 2-pt shot from 2 ft (assist by J. Brown),2,10-10,,
6:49.0,,,10-10,,Offensive foul by J. Redick
6:49.0,,,10-10,,Turnover by J. Redick (offensive foul)
6:24.0,A. Bradley makes 3-pt shot from 26 ft (assist by J. Brown),3,13-10,,
6:10.0,,,13-12,2,B. Griffin makes 2-pt shot from 19 ft (assist by L. Mbah a Moute)
5:54.0,J. Brown misses 2-pt shot from 3 ft,,13-12,,
5:49.0,,,13-12,,Defensive rebound by L. Mbah a Moute
5:39.0,,,13-14,2,B. Griffin makes 2-pt shot from 7 ft
5:16.0,Turnover by I. Thomas (bad pass),,13-14,,
5:16.0,,,13-14,,LA Clippers full timeout
5:16.0,M. Smart enters the game for J. Brown,,13-14,,
5:16.0,K. Olynyk enters the game for A. Bradley,,13-14,,
5:16.0,,,13-14,,A. Rivers enters the game for J. Redick
5:00.0,,,13-14,,Turnover by B. Griffin (lost ball; steal by A. Johnson)
4:56.0,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart),2,15-14,,
4:29.0,,,15-14,,B. Griffin misses 3-pt shot from 25 ft
