time,LA Lakers,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. J. Henson (D. Russell gains possession),,,,Jump ball: T. Black vs. J. Henson (D. Russell gains possession)
11:38.0,T. Black makes 2-pt shot from 1 ft (assist by N. Young),2,2-0,,
11:18.0,,,2-2,2,J. Henson makes 2-pt shot from 17 ft (assist by T. Snell)
11:02.0,N. Young makes 2-pt shot from 4 ft (assist by J. Randle),2,4-2,,
10:46.0,,,4-5,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:32.0,J. Randle makes 2-pt shot at rim,2,6-5,,
10:32.0,Shooting foul by T. Maker (drawn by J. Randle),,6-5,,
10:32.0,J. Randle misses free throw 1 of 1,,6-5,,
10:31.0,,,6-5,,Defensive rebound by J. Henson
10:23.0,,,6-5,,Shooting foul by B. Ingram (drawn by G. Antetokounmpo)
10:23.0,,,6-6,1,G. Antetokounmpo makes free throw 1 of 2
10:23.0,,,6-7,1,G. Antetokounmpo makes free throw 2 of 2
9:59.0,B. Ingram misses 2-pt shot from 16 ft,,6-7,,
9:58.0,,,6-7,,Defensive rebound by T. Maker
9:49.0,,,6-7,,T. Maker misses 3-pt shot from 29 ft
9:48.0,Defensive rebound by D. Russell,,6-7,,
9:39.0,Shooting foul by T. Snell (drawn by N. Young),,6-7,,
9:39.0,N. Young makes 3-pt shot from 24 ft (assist by J. Randle),3,9-7,,
9:39.0,N. Young makes free throw 1 of 1,1,10-7,,
9:22.0,,,10-7,,G. Antetokounmpo misses 2-pt shot from 20 ft
9:21.0,Defensive rebound by T. Black,,10-7,,
9:15.0,Shooting foul by J. Henson (drawn by J. Randle),,10-7,,
9:15.0,J. Randle makes free throw 1 of 2,1,11-7,,
9:15.0,J. Randle makes free throw 2 of 2,1,12-7,,
9:04.0,,,12-7,,Turnover by G. Antetokounmpo (bad pass)
8:45.0,D. Russell makes 3-pt shot from 26 ft (assist by N. Young),3,15-7,,
8:29.0,,,15-7,,M. Dellavedova misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by B. Ingram,,15-7,,
8:17.0,B. Ingram makes 2-pt shot at rim (assist by T. Black),2,17-7,,
8:16.0,,,17-7,,Milwaukee full timeout
8:16.0,,,17-7,,K. Middleton enters the game for T. Maker
7:58.0,,,17-9,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
7:35.0,B. Ingram misses 3-pt shot from 25 ft,,17-9,,
7:34.0,,,17-9,,Defensive rebound by T. Snell
7:32.0,,,17-11,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
7:32.0,,,17-11,,Shooting foul by D. Russell (drawn by G. Antetokounmpo)
7:32.0,,,17-12,1,G. Antetokounmpo makes free throw 1 of 1
7:14.0,N. Young makes 3-pt shot from 24 ft (assist by D. Russell),3,20-12,,
6:57.0,,,20-12,,G. Antetokounmpo misses 3-pt shot from 27 ft
6:56.0,Defensive rebound by J. Randle,,20-12,,
6:42.0,T. Black makes 2-pt shot at rim (assist by D. Russell),2,22-12,,
6:30.0,,,22-14,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
6:14.0,Turnover by D. Russell (bad pass; steal by J. Henson),,22-14,,
6:08.0,,,22-14,,G. Antetokounmpo misses 2-pt shot at rim (block by T. Black)
6:06.0,Defensive rebound by D. Russell,,22-14,,
6:00.0,J. Randle makes 2-pt shot from 6 ft (assist by N. Young),2,24-14,,
5:48.0,,,24-14,,Turnover by M. Dellavedova (bad pass; steal by D. Russell)
5:43.0,N. Young makes 2-pt shot at rim,2,26-14,,
5:27.0,,,26-14,,T. Snell misses 2-pt shot from 22 ft
5:25.0,Defensive rebound by T. Black,,26-14,,
5:13.0,D. Russell makes 3-pt shot from 28 ft (assist by N. Young),3,29-14,,
5:13.0,,,29-14,,Milwaukee full timeout
5:13.0,,,29-14,,M. Brogdon enters the game for J. Henson
5:13.0,,,29-14,,G. Monroe enters the game for M. Dellavedova
5:13.0,L. Deng enters the game for B. Ingram,,29-14,,
4:57.0,,,29-14,,G. Monroe misses 2-pt shot from 6 ft
4:56.0,Defensive rebound by T. Black,,29-14,,
4:44.0,Turnover by J. Randle (traveling),,29-14,,
4:34.0,,,29-16,2,M. Brogdon makes 2-pt shot from 18 ft (assist by G. Monroe)
4:22.0,T. Black misses 2-pt shot from 15 ft,,29-16,,
4:21.0,,,29-16,,Defensive rebound by T. Snell
4:07.0,,,29-18,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
3:55.0,Turnover by J. Randle (bad pass; steal by T. Snell),,29-18,,
3:54.0,,,29-20,2,T. Snell makes 2-pt shot from 1 ft
3:54.0,,,29-20,,Shooting foul by N. Young (drawn by T. Snell)
3:54.0,LA Lakers full timeout,,29-20,,
3:54.0,,,29-21,1,T. Snell makes free throw 1 of 1
3:54.0,,,29-20,,J. Terry enters the game for M. Brogdon
3:54.0,,,29-20,,M. Brogdon enters the game for J. Terry
3:54.0,L. Deng enters the game for J. Randle,,29-20,,
3:54.0,L. Nance enters the game for T. Black,,29-20,,
3:54.0,I. Zubac enters the game for N. Young,,29-20,,
3:54.0,L. Williams enters the game for D. Russell,,29-20,,
3:54.0,J. Clarkson enters the game for L. Deng,,29-20,,
3:35.0,I. Zubac makes 2-pt shot at rim (assist by J. Clarkson),2,31-21,,
3:35.0,Shooting foul by M. Brogdon (drawn by I. Zubac),,31-21,,
3:35.0,I. Zubac makes free throw 1 of 1,1,32-21,,
3:35.0,,,31-21,,J. Terry enters the game for T. Snell
3:20.0,,,32-21,,Turnover by M. Brogdon (bad pass; steal by J. Clarkson)
3:09.0,I. Zubac makes 2-pt shot from 4 ft (assist by J. Clarkson),2,34-21,,
2:53.0,,,34-24,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Terry)
2:42.0,I. Zubac makes 2-pt shot from 4 ft (assist by L. Williams),2,36-24,,
2:29.0,,,36-26,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
2:02.0,J. Clarkson makes 3-pt shot from 26 ft (assist by I. Zubac),3,39-26,,
1:49.0,,,39-26,,Turnover by J. Terry (bad pass)
1:33.0,J. Clarkson makes 2-pt shot from 13 ft,2,41-26,,
1:19.0,,,41-26,,K. Middleton misses 2-pt shot from 1 ft
1:17.0,Defensive rebound by I. Zubac,,41-26,,
1:13.0,Shooting foul by G. Monroe,,41-26,,
1:13.0,L. Williams misses free throw 1 of 2,,41-26,,
1:13.0,Offensive rebound by Team,,41-26,,
1:13.0,L. Williams makes free throw 2 of 2,1,42-26,,
1:00.0,,,42-26,,K. Middleton misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by L. Deng,,42-26,,
0:54.0,L. Williams misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,42-26,,
0:54.0,Offensive rebound by L. Nance,,42-26,,
0:51.0,L. Nance makes 2-pt shot at rim,2,44-26,,
0:38.0,,,44-28,2,G. Antetokounmpo makes 2-pt shot from 19 ft
0:31.0,L. Williams makes 3-pt shot from 28 ft,3,47-28,,
0:07.0,,,47-30,2,M. Brogdon makes 2-pt shot from 19 ft (assist by K. Middleton)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,47-32,2,M. Beasley makes 2-pt shot from 7 ft (assist by G. Monroe)
11:27.0,,,47-32,,Personal foul by J. Terry
11:16.0,L. Deng misses 2-pt shot from 2 ft (block by J. Terry),,47-32,,
11:16.0,Offensive rebound by Team,,47-32,,
11:13.0,J. Clarkson misses 2-pt shot from 13 ft,,47-32,,
11:11.0,,,47-32,,Defensive rebound by M. Beasley
10:59.0,,,47-34,2,G. Monroe makes 2-pt shot from 4 ft
10:43.0,Shooting foul by J. Terry (drawn by L. Nance),,47-34,,
10:43.0,L. Nance makes free throw 1 of 2,1,48-34,,
10:43.0,L. Nance makes free throw 2 of 2,1,49-34,,
10:22.0,,,49-36,2,M. Beasley makes 2-pt shot from 14 ft (assist by M. Brogdon)
10:11.0,Shooting foul by G. Monroe (drawn by L. Nance),,49-36,,
10:11.0,L. Nance makes free throw 1 of 2,1,50-36,,
10:11.0,L. Nance makes free throw 2 of 2,1,51-36,,
9:49.0,,,51-36,,Shooting foul by L. Nance (drawn by M. Beasley)
9:49.0,,,51-37,1,M. Beasley makes free throw 1 of 2
9:49.0,,,51-37,,M. Beasley misses free throw 2 of 2
9:48.0,Defensive rebound by I. Zubac,,51-37,,
9:40.0,L. Williams makes 2-pt shot at rim (assist by J. Clarkson),2,53-37,,
9:27.0,,,53-39,2,M. Brogdon makes 2-pt shot from 3 ft
9:15.0,I. Zubac makes 2-pt shot from 1 ft (assist by L. Williams),2,55-39,,
9:00.0,,,55-41,2,M. Brogdon makes 2-pt shot from 19 ft (assist by G. Monroe)
8:50.0,,,55-41,,Personal foul by M. Teletovic (drawn by I. Zubac)
8:50.0,Official timeout,,55-41,,
8:50.0,,,55-41,,J. Henson enters the game for G. Monroe
8:42.0,L. Williams misses 3-pt shot from 27 ft,,55-41,,
8:41.0,,,55-41,,Defensive rebound by M. Brogdon
8:36.0,,,55-41,,Turnover by M. Teletovic (lost ball)
8:21.0,,,55-41,,Personal foul by J. Terry (drawn by L. Nance)
8:21.0,L. Nance makes free throw 1 of 2,1,56-41,,
8:21.0,L. Nance makes free throw 2 of 2,1,57-41,,
8:21.0,,,56-41,,M. Dellavedova enters the game for J. Terry
8:11.0,,,57-41,,Turnover by M. Brogdon (bad pass; steal by L. Williams)
8:04.0,J. Clarkson misses 3-pt shot from 27 ft,,57-41,,
8:03.0,,,57-41,,Defensive rebound by M. Dellavedova
8:00.0,,,57-43,2,M. Beasley makes 2-pt shot from 11 ft (assist by M. Dellavedova)
8:00.0,,,57-43,,Shooting foul by J. Clarkson (drawn by M. Beasley)
8:00.0,,,57-44,1,M. Beasley makes free throw 1 of 1
7:45.0,Turnover by I. Zubac (bad pass; steal by M. Teletovic),,57-44,,
7:34.0,,,57-44,,M. Teletovic misses 3-pt shot from 28 ft
7:33.0,Defensive rebound by I. Zubac,,57-44,,
7:22.0,I. Zubac makes 2-pt shot from 1 ft (assist by L. Nance),2,59-44,,
7:10.0,Personal foul by I. Zubac (drawn by J. Henson),,59-44,,
7:03.0,,,59-44,,M. Teletovic misses 3-pt shot from 30 ft
7:02.0,,,59-44,,Offensive rebound by Team
7:02.0,Loose ball foul by I. Zubac (drawn by J. Henson),,59-44,,
6:57.0,Violation by I. Zubac (def goaltending),,59-44,,
6:57.0,,,59-46,2,M. Dellavedova makes 2-pt shot from 5 ft
