time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Noah (D. Rose gains possession),,,,Jump ball: B. Biyombo vs. J. Noah (D. Rose gains possession)
11:38.0,,,0-0,,Shooting foul by A. Gordon (drawn by C. Anthony)
11:38.0,,,0-1,1,C. Anthony makes free throw 1 of 2
11:38.0,,,0-2,1,C. Anthony makes free throw 2 of 2
11:15.0,S. Ibaka misses 3-pt shot from 25 ft,,0-2,,
11:14.0,Offensive rebound by B. Biyombo,,0-2,,
11:12.0,B. Biyombo misses 2-pt shot from 5 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by Team
10:49.0,,,0-2,,Turnover by J. Noah (lost ball; steal by B. Biyombo)
10:43.0,A. Gordon makes 2-pt shot at rim (assist by D. Augustin),2,2-2,,
10:31.0,,,2-2,,Shooting foul by S. Ibaka (drawn by J. Noah)
10:31.0,,,2-3,1,J. Noah makes free throw 1 of 2
10:31.0,,,2-4,1,J. Noah makes free throw 2 of 2
10:23.0,Turnover by S. Ibaka (traveling),,2-4,,
10:12.0,,,2-6,2,C. Anthony makes 2-pt shot from 15 ft (assist by D. Rose)
9:58.0,S. Ibaka makes 2-pt shot from 15 ft,2,4-6,,
9:47.0,,,4-8,2,D. Rose makes 2-pt shot from 7 ft
9:34.0,E. Fournier makes 2-pt shot from 16 ft,2,6-8,,
9:21.0,,,6-8,,C. Anthony misses 2-pt shot from 19 ft
9:20.0,Defensive rebound by S. Ibaka,,6-8,,
9:12.0,A. Gordon misses 3-pt shot from 24 ft,,6-8,,
9:11.0,,,6-8,,Defensive rebound by J. Noah
9:00.0,,,6-8,,C. Lee misses 2-pt shot from 16 ft
8:59.0,Defensive rebound by S. Ibaka,,6-8,,
8:47.0,D. Augustin misses 2-pt shot from 2 ft (block by K. Porzingis),,6-8,,
8:46.0,,,6-8,,Defensive rebound by K. Porzingis
8:37.0,,,6-11,3,D. Rose makes 3-pt shot from 23 ft (assist by C. Anthony)
8:17.0,E. Fournier makes 2-pt shot from 2 ft,2,8-11,,
8:09.0,,,8-11,,Turnover by J. Noah (bad pass)
7:55.0,S. Ibaka misses 3-pt shot from 24 ft,,8-11,,
7:54.0,,,8-11,,Defensive rebound by C. Lee
7:37.0,,,8-11,,C. Anthony misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by S. Ibaka,,8-11,,
7:22.0,A. Gordon makes 2-pt shot at rim (assist by D. Augustin),2,10-11,,
7:00.0,,,10-11,,D. Rose misses 2-pt shot from 2 ft (block by B. Biyombo)
6:59.0,Defensive rebound by S. Ibaka,,10-11,,
6:53.0,D. Augustin misses 3-pt shot from 24 ft,,10-11,,
6:52.0,Offensive rebound by Team,,10-11,,
6:52.0,,,10-11,,Loose ball foul by K. Porzingis (drawn by B. Biyombo)
6:42.0,S. Ibaka misses 3-pt shot from 24 ft,,10-11,,
6:41.0,,,10-11,,Defensive rebound by D. Rose
6:35.0,,,10-11,,D. Rose misses 2-pt shot from 9 ft (block by B. Biyombo)
6:34.0,Defensive rebound by Team,,10-11,,
6:34.0,,,10-11,,Loose ball foul by D. Rose (drawn by S. Ibaka)
6:13.0,D. Augustin makes 2-pt shot from 10 ft,2,12-11,,
6:07.0,,,12-11,,New York full timeout
5:55.0,,,12-11,,C. Anthony misses 2-pt shot from 11 ft
5:54.0,,,12-11,,Offensive rebound by C. Anthony
5:54.0,,,12-13,2,C. Anthony makes 2-pt shot from 2 ft
5:31.0,A. Gordon misses 2-pt shot from 17 ft,,12-13,,
5:30.0,,,12-13,,Defensive rebound by C. Anthony
5:26.0,,,12-15,2,J. Noah makes 2-pt shot from 1 ft (assist by C. Anthony)
5:23.0,Turnover by S. Ibaka (bad pass; steal by C. Lee),,12-15,,
5:21.0,,,12-17,2,C. Lee makes 2-pt shot from 7 ft
5:20.0,Orlando full timeout,,12-17,,
5:03.0,S. Ibaka misses 2-pt shot from 19 ft,,12-17,,
5:02.0,,,12-17,,Defensive rebound by J. Noah
4:44.0,,,12-17,,C. Anthony misses 3-pt shot from 24 ft
4:43.0,,,12-17,,Offensive rebound by J. Noah
4:34.0,,,12-17,,D. Rose misses 2-pt shot from 1 ft (block by B. Biyombo)
4:33.0,Defensive rebound by D. Augustin,,12-17,,
4:29.0,E. Fournier misses 3-pt shot from 24 ft,,12-17,,
4:28.0,,,12-17,,Defensive rebound by Team
4:28.0,,,12-17,,K. O'Quinn enters the game for J. Noah
4:28.0,E. Payton enters the game for B. Biyombo,,12-17,,
4:28.0,N. Vucevic enters the game for D. Augustin,,12-17,,
4:13.0,,,12-17,,Turnover by C. Lee (traveling)
4:13.0,,,12-17,,W. Hernangomez enters the game for K. Porzingis
4:04.0,Turnover by A. Gordon (lost ball),,12-17,,
3:54.0,,,12-17,,Turnover by C. Anthony (bad pass; steal by N. Vucevic)
3:50.0,Shooting foul by D. Rose (drawn by E. Fournier),,12-17,,
3:50.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,14-17,,
3:50.0,E. Fournier makes free throw 1 of 1,1,15-17,,
3:50.0,,,14-17,,B. Jennings enters the game for D. Rose
3:32.0,,,15-17,,C. Anthony misses 2-pt shot from 17 ft
3:31.0,,,15-17,,Offensive rebound by K. O'Quinn
3:23.0,,,15-20,3,C. Lee makes 3-pt shot from 24 ft (assist by B. Jennings)
3:18.0,Turnover by E. Payton (lost ball),,15-20,,
3:18.0,J. Green enters the game for A. Gordon,,15-20,,
3:01.0,,,15-20,,K. O'Quinn misses 2-pt shot from 21 ft
3:00.0,,,15-20,,Offensive rebound by W. Hernangomez
2:58.0,,,15-20,,W. Hernangomez misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by S. Ibaka,,15-20,,
2:53.0,Turnover by E. Payton (lost ball; steal by B. Jennings),,15-20,,
2:49.0,,,15-20,,C. Anthony misses 2-pt shot from 2 ft (block by E. Fournier)
2:48.0,Defensive rebound by Team,,15-20,,
2:30.0,S. Ibaka misses 2-pt shot from 18 ft,,15-20,,
