time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (B. Diaw gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (B. Diaw gains possession)
11:44.0,,,0-2,2,S. Mack makes 2-pt shot from 2 ft
11:25.0,D. Green misses 3-pt shot from 25 ft,,0-2,,
11:24.0,Offensive rebound by K. Thompson,,0-2,,
11:18.0,K. Thompson misses 3-pt shot from 24 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by R. Gobert
11:03.0,,,0-4,2,J. Johnson makes 2-pt shot from 7 ft
10:49.0,Turnover by Z. Pachulia (bad pass),,0-4,,
10:34.0,,,0-4,,J. Johnson misses 3-pt shot from 22 ft
10:33.0,Defensive rebound by S. Curry,,0-4,,
10:16.0,K. Durant misses 2-pt shot from 14 ft,,0-4,,
10:15.0,Offensive rebound by Team,,0-4,,
10:15.0,,,0-4,,Loose ball foul by R. Gobert (drawn by Z. Pachulia)
10:12.0,K. Thompson makes 2-pt shot from 16 ft (assist by K. Durant),2,2-4,,
9:46.0,,,2-4,,J. Johnson misses 2-pt shot from 9 ft
9:46.0,Defensive rebound by Z. Pachulia,,2-4,,
9:37.0,D. Green misses 2-pt shot from 3 ft,,2-4,,
9:36.0,Offensive rebound by D. Green,,2-4,,
9:34.0,D. Green misses 2-pt shot from 3 ft,,2-4,,
9:33.0,Offensive rebound by D. Green,,2-4,,
9:30.0,K. Thompson misses 3-pt shot from 23 ft,,2-4,,
9:29.0,Offensive rebound by Z. Pachulia,,2-4,,
9:25.0,S. Curry makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,5-4,,
9:09.0,,,5-4,,Turnover by B. Diaw (lost ball; steal by D. Green)
9:02.0,K. Durant makes 2-pt shot from 12 ft,2,7-4,,
8:36.0,,,7-4,,D. Exum misses 2-pt shot from 2 ft
8:36.0,Defensive rebound by D. Green,,7-4,,
8:27.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Durant),3,10-4,,
8:08.0,,,10-4,,S. Mack misses 2-pt shot from 3 ft (block by K. Durant)
8:07.0,Defensive rebound by D. Green,,10-4,,
8:03.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,12-4,,
8:03.0,,,12-4,,Utah full timeout
7:47.0,,,12-4,,Turnover by D. Exum (bad pass; steal by S. Curry)
7:45.0,,,12-4,,Personal foul by J. Johnson (drawn by S. Curry)
7:33.0,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green),2,14-4,,
7:15.0,,,14-4,,D. Exum misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by K. Durant,,14-4,,
6:53.0,Z. Pachulia misses 2-pt shot from 3 ft (block by R. Gobert),,14-4,,
6:53.0,Offensive rebound by K. Thompson,,14-4,,
6:49.0,K. Thompson misses 3-pt shot from 26 ft,,14-4,,
6:48.0,,,14-4,,Defensive rebound by R. Gobert
6:38.0,,,14-4,,B. Diaw misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by D. Green,,14-4,,
6:29.0,S. Curry makes 2-pt shot from 23 ft (assist by D. Green),2,16-4,,
6:29.0,Shooting foul by D. Exum (drawn by S. Curry),,16-4,,
6:29.0,S. Curry makes free throw 1 of 1,1,17-4,,
6:29.0,,,16-4,,J. Ingles enters the game for D. Exum
6:12.0,,,17-4,,Shooting foul by Z. Pachulia (drawn by J. Johnson)
6:12.0,,,17-5,1,J. Johnson makes free throw 1 of 2
6:12.0,,,17-5,,J. Johnson misses free throw 2 of 2
6:12.0,J. McGee enters the game for Z. Pachulia,,17-5,,
6:11.0,Defensive rebound by D. Green,,17-5,,
6:02.0,J. McGee misses 2-pt shot at rim,,17-5,,
6:01.0,Offensive rebound by J. McGee,,17-5,,
5:59.0,J. McGee makes 2-pt shot from 3 ft,2,19-5,,
5:39.0,,,19-5,,J. Johnson misses 2-pt shot from 22 ft
5:39.0,Defensive rebound by K. Durant,,19-5,,
5:32.0,D. Green makes 3-pt shot from 24 ft (assist by K. Durant),3,22-5,,
5:14.0,,,22-5,,Turnover by B. Diaw (lost ball; steal by D. Green)
5:07.0,K. Thompson makes 2-pt shot from 2 ft,2,24-5,,
5:03.0,,,24-5,,Utah full timeout
5:03.0,,,24-5,,T. Lyles enters the game for B. Diaw
4:54.0,,,24-5,,T. Lyles misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by J. McGee,,24-5,,
4:38.0,Turnover by K. Durant (bad pass; steal by T. Lyles),,24-5,,
4:33.0,,,24-5,,S. Mack misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by K. Thompson,,24-5,,
4:23.0,J. McGee makes 2-pt shot from 2 ft (assist by K. Thompson),2,26-5,,
4:04.0,,,26-5,,Turnover by S. Mack (lost ball; steal by S. Curry)
3:55.0,S. Curry makes 2-pt shot from 21 ft,2,28-5,,
3:55.0,Shooting foul by S. Mack (drawn by S. Curry),,28-5,,
3:55.0,S. Curry makes free throw 1 of 1,1,29-5,,
3:55.0,,,28-5,,R. Neto enters the game for S. Mack
3:55.0,A. Iguodala enters the game for K. Durant,,28-5,,
3:47.0,Personal foul by D. Green (drawn by T. Lyles),,29-5,,
3:42.0,,,29-5,,Shooting foul by J. McGee (drawn by R. Gobert)
3:42.0,,,29-5,,R. Gobert misses free throw 1 of 2
3:42.0,,,29-5,,Offensive rebound by Team
3:42.0,,,29-5,,R. Gobert misses free throw 2 of 2
3:41.0,Defensive rebound by D. Green,,29-5,,
3:26.0,K. Thompson misses 3-pt shot from 23 ft,,29-5,,
3:25.0,,,29-5,,Defensive rebound by J. Ingles
3:15.0,,,29-7,2,J. Ingles makes 2-pt shot from 2 ft
3:02.0,Turnover by K. Thompson (bad pass; steal by J. Ingles),,29-7,,
2:56.0,,,29-9,2,T. Lyles makes 2-pt shot from 2 ft (assist by J. Ingles)
2:54.0,Golden State full timeout,,29-9,,
2:54.0,I. Clark enters the game for K. Thompson,,29-9,,
2:39.0,S. Curry misses 3-pt shot from 24 ft,,29-9,,
2:38.0,,,29-9,,Defensive rebound by R. Gobert
2:22.0,,,29-9,,T. Lyles misses 3-pt shot from 25 ft
2:22.0,,,29-9,,Offensive rebound by Team
2:22.0,Loose ball foul by J. McGee (drawn by R. Gobert),,29-9,,
2:16.0,,,29-9,,Turnover by R. Neto (bad pass; steal by J. McGee)
2:14.0,,,29-9,,Personal foul by J. Ingles (drawn by S. Curry)
2:14.0,S. Curry makes free throw 1 of 2,1,30-9,,
2:14.0,S. Curry makes free throw 2 of 2,1,31-9,,
2:14.0,,,30-9,,J. Withey enters the game for R. Gobert
2:14.0,,,30-9,,D. Exum enters the game for J. Johnson
2:14.0,D. West enters the game for J. McGee,,30-9,,
2:05.0,,,31-12,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Neto)
1:54.0,S. Curry misses 3-pt shot from 25 ft,,31-12,,
1:53.0,,,31-12,,Defensive rebound by J. Withey
1:44.0,,,31-15,3,J. Ingles makes 3-pt shot from 25 ft
1:30.0,I. Clark misses 3-pt shot from 25 ft,,31-15,,
1:30.0,,,31-15,,Defensive rebound by R. Neto
1:24.0,,,31-15,,Offensive foul by R. Neto
1:24.0,,,31-15,,Turnover by R. Neto (offensive foul)
1:24.0,K. Looney enters the game for D. Green,,31-15,,
1:24.0,K. Durant enters the game for S. Curry,,31-15,,
1:08.0,K. Looney makes 2-pt shot from 2 ft (assist by D. West),2,33-15,,
1:02.0,,,33-15,,J. Ingles misses 3-pt shot from 24 ft
1:01.0,,,33-15,,Offensive rebound by J. Withey
1:00.0,,,33-15,,J. Withey misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by K. Durant,,33-15,,
0:54.0,K. Durant misses 3-pt shot from 24 ft,,33-15,,
0:53.0,,,33-15,,Defensive rebound by D. Exum
0:40.0,,,33-15,,J. Ingles misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by K. Durant,,33-15,,
0:18.0,D. West makes 2-pt shot from 20 ft (assist by A. Iguodala),2,35-15,,
0:02.0,,,35-15,,D. Exum misses 2-pt shot from 3 ft
0:02.0,,,35-15,,Offensive rebound by J. Withey
0:02.0,,,35-17,2,J. Withey makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. West makes 2-pt shot from 17 ft (assist by I. Clark),2,37-17,,
11:24.0,Personal foul by P. McCaw (drawn by J. Ingles),,37-17,,
11:17.0,,,37-20,3,R. Neto makes 3-pt shot from 25 ft (assist by D. Exum)
11:04.0,P. McCaw makes 2-pt shot from 3 ft (assist by D. West),2,39-20,,
10:41.0,,,39-20,,J. Withey misses 2-pt shot from 3 ft
10:40.0,Defensive rebound by D. West,,39-20,,
10:33.0,Turnover by P. McCaw (step out of bounds),,39-20,,
10:14.0,,,39-20,,D. Exum misses 2-pt shot from 1 ft (block by K. Durant)
10:13.0,Defensive rebound by K. Durant,,39-20,,
10:08.0,K. Durant misses 2-pt shot from 1 ft,,39-20,,
10:07.0,,,39-20,,Defensive rebound by T. Lyles
9:56.0,,,39-20,,R. Neto misses 2-pt shot from 1 ft (block by D. West)
9:56.0,,,39-20,,Offensive rebound by Team
9:56.0,,,39-20,,S. Mack enters the game for R. Neto
9:47.0,,,39-20,,T. Lyles misses 2-pt shot from 4 ft
9:46.0,,,39-20,,Offensive rebound by J. Withey
9:43.0,,,39-20,,J. Withey misses 2-pt shot from 2 ft
9:42.0,Defensive rebound by A. Iguodala,,39-20,,
9:26.0,K. Durant makes 2-pt shot from 1 ft (assist by D. West),2,41-20,,
9:11.0,Personal foul by D. West (drawn by D. Exum),,41-20,,
9:11.0,,,41-20,,B. Diaw enters the game for T. Lyles
9:04.0,Violation by D. West (kicked ball),,41-20,,
8:58.0,,,41-20,,S. Mack misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by D. West,,41-20,,
8:43.0,K. Durant misses 2-pt shot from 15 ft,,41-20,,
8:43.0,Offensive rebound by A. Iguodala,,41-20,,
8:41.0,A. Iguodala makes 2-pt shot at rim,2,43-20,,
8:36.0,,,43-20,,Utah full timeout
8:36.0,,,43-20,,J. Johnson enters the game for J. Withey
8:28.0,,,43-22,2,S. Mack makes 2-pt shot from 3 ft
8:06.0,A. Iguodala misses 2-pt shot from 1 ft (block by J. Ingles),,43-22,,
8:05.0,,,43-22,,Defensive rebound by S. Mack
7:58.0,,,43-22,,D. Exum misses 3-pt shot from 23 ft
7:58.0,,,43-22,,Offensive rebound by B. Diaw
7:54.0,,,43-24,2,B. Diaw makes 2-pt shot from 2 ft
7:33.0,D. West misses 2-pt shot from 20 ft,,43-24,,
7:32.0,,,43-24,,Defensive rebound by J. Johnson
7:21.0,,,43-26,2,J. Ingles makes 2-pt shot from 20 ft (assist by S. Mack)
7:02.0,Turnover by K. Durant (bad pass; steal by S. Mack),,43-26,,
6:54.0,,,43-28,2,S. Mack makes 2-pt shot from 16 ft (assist by D. Exum)
6:54.0,Golden State full timeout,,43-28,,
6:54.0,S. Curry enters the game for K. Durant,,43-28,,
6:54.0,D. Green enters the game for I. Clark,,43-28,,
6:54.0,K. Thompson enters the game for D. West,,43-28,,
6:40.0,D. Green makes 3-pt shot from 24 ft (assist by K. Thompson),3,46-28,,
6:20.0,Personal foul by P. McCaw (drawn by J. Ingles),,46-28,,
6:05.0,,,46-31,3,J. Johnson makes 3-pt shot from 26 ft (assist by D. Exum)
5:54.0,K. Thompson misses 2-pt shot from 17 ft,,46-31,,
5:54.0,,,46-31,,Defensive rebound by J. Ingles
5:47.0,,,46-31,,Turnover by J. Ingles (lost ball; steal by P. McCaw)
5:42.0,P. McCaw makes 2-pt shot from 2 ft,2,48-31,,
5:31.0,,,48-33,2,B. Diaw makes 2-pt shot from 3 ft
5:16.0,P. McCaw makes 3-pt shot from 25 ft (assist by A. Iguodala),3,51-33,,
4:59.0,,,51-35,2,D. Exum makes 2-pt shot from 2 ft (assist by B. Diaw)
4:33.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,54-35,,
4:10.0,,,54-35,,Turnover by J. Johnson (bad pass)
4:10.0,,,54-35,,R. Gobert enters the game for J. Ingles
4:10.0,Z. Pachulia enters the game for A. Iguodala,,54-35,,
3:55.0,Shooting foul by D. Exum (drawn by S. Curry),,54-35,,
3:55.0,S. Curry makes free throw 1 of 3,1,55-35,,
3:55.0,S. Curry makes free throw 2 of 3,1,56-35,,
3:55.0,S. Curry makes free throw 3 of 3,1,57-35,,
3:44.0,Personal foul by D. Green (drawn by B. Diaw),,57-35,,
3:44.0,,,57-35,,R. Neto enters the game for D. Exum
