time,Orlando,pts.away,score,pts.home,San Antonio
2:26.0,D. Augustin misses 3-pt shot from 26 ft,,89-74,,
2:25.0,,,89-74,,Defensive rebound by D. Murray
2:18.0,,,89-74,,Turnover by D. Murray (bad pass; steal by E. Fournier)
2:01.0,E. Fournier misses 2-pt shot from 18 ft,,89-74,,
2:00.0,,,89-74,,Defensive rebound by M. Ginobili
2:00.0,Personal foul by B. Biyombo (drawn by M. Ginobili),,89-74,,
2:00.0,,,89-75,1,M. Ginobili makes free throw 1 of 2
2:00.0,,,89-76,1,M. Ginobili makes free throw 2 of 2
1:51.0,,,89-76,,Personal foul by M. Ginobili (drawn by D. Augustin)
1:43.0,E. Fournier makes 2-pt shot from 10 ft,2,91-76,,
1:36.0,,,91-76,,Turnover by M. Ginobili (lost ball; steal by S. Ibaka)
1:36.0,,,91-76,,Personal foul by M. Ginobili (drawn by S. Ibaka)
1:36.0,S. Ibaka makes free throw 1 of 2,1,92-76,,
1:36.0,S. Ibaka makes free throw 2 of 2,1,93-76,,
1:36.0,A. Onuaku enters the game for B. Biyombo,,92-76,,
1:36.0,C. Wilcox enters the game for E. Fournier,,92-76,,
1:36.0,D. Rudez enters the game for J. Green,,92-76,,
1:27.0,,,93-76,,Shooting foul by A. Onuaku (drawn by D. Murray)
1:27.0,,,93-77,1,D. Murray makes free throw 1 of 2
1:27.0,,,93-78,1,D. Murray makes free throw 2 of 2
1:27.0,M. Hezonja enters the game for S. Ibaka,,93-77,,
1:01.0,Turnover by C. Wilcox (bad pass; steal by D. Dedmon),,93-78,,
0:51.0,,,93-81,3,M. Ginobili makes 3-pt shot from 24 ft (assist by D. Murray)
0:41.0,A. Onuaku makes 2-pt shot from 6 ft (assist by C. Wilcox),2,95-81,,
0:32.0,,,95-81,,J. Simmons misses 3-pt shot from 26 ft
0:31.0,,,95-81,,Offensive rebound by M. Ginobili
0:28.0,,,95-81,,D. Murray misses 3-pt shot from 25 ft
0:27.0,,,95-81,,Offensive rebound by M. Ginobili
0:27.0,,,95-83,2,M. Ginobili makes 2-pt shot from 2 ft
0:04.0,D. Rudez misses 3-pt shot from 26 ft,,95-83,,
0:03.0,,,95-83,,Defensive rebound by K. Anderson
0:00.0,End of 4th quarter,,,,End of 4th quarter
