time,Orlando,pts.away,score,pts.home,San Antonio
0:03.0,N. Vucevic misses 2-pt shot at rim,,16-20,,
0:02.0,,,16-20,,Defensive rebound by D. Dedmon
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,16-20,,J. Simmons misses 2-pt shot from 17 ft
11:36.0,Defensive rebound by N. Vucevic,,16-20,,
11:12.0,E. Payton makes 2-pt shot from 19 ft,2,18-20,,
10:49.0,,,18-20,,D. Lee misses 2-pt shot from 8 ft (block by N. Vucevic)
10:48.0,Defensive rebound by J. Green,,18-20,,
10:36.0,J. Green misses 2-pt shot from 16 ft,,18-20,,
10:33.0,Offensive rebound by N. Vucevic,,18-20,,
10:32.0,N. Vucevic misses 2-pt shot from 8 ft,,18-20,,
10:31.0,,,18-20,,Defensive rebound by D. Lee
10:23.0,Personal foul by E. Payton (drawn by D. Lee),,18-20,,
10:13.0,,,18-22,2,J. Simmons makes 2-pt shot from 1 ft
9:51.0,J. Green misses 2-pt shot from 16 ft,,18-22,,
9:49.0,,,18-22,,Defensive rebound by J. Simmons
9:40.0,,,18-22,,D. Lee misses 2-pt shot from 15 ft
9:39.0,,,18-22,,Offensive rebound by M. Ginobili
9:39.0,,,18-22,,Turnover by M. Ginobili (lost ball; steal by E. Payton)
9:39.0,,,18-22,,Personal foul by M. Ginobili (drawn by E. Payton)
9:39.0,,,18-22,,P. Gasol enters the game for D. Lee
9:39.0,,,18-22,,D. Green enters the game for P. Mills
9:39.0,,,18-22,,T. Parker enters the game for M. Ginobili
9:27.0,N. Vucevic misses 2-pt shot from 19 ft,,18-22,,
9:25.0,,,18-22,,Defensive rebound by D. Green
9:05.0,,,18-22,,Turnover by T. Parker (bad pass)
8:45.0,B. Biyombo misses 2-pt shot from 8 ft (block by D. Dedmon),,18-22,,
8:43.0,,,18-22,,Defensive rebound by D. Dedmon
8:26.0,,,18-24,2,D. Dedmon makes 2-pt shot from 1 ft (assist by P. Gasol)
8:06.0,Turnover by B. Biyombo (bad pass; steal by J. Simmons),,18-24,,
7:59.0,Violation by N. Vucevic (kicked ball),,18-24,,
7:59.0,Official timeout,,18-24,,
7:59.0,,,18-24,,K. Leonard enters the game for J. Simmons
7:59.0,,,18-24,,L. Aldridge enters the game for D. Dedmon
7:44.0,,,18-24,,K. Leonard misses 2-pt shot from 15 ft
7:43.0,Defensive rebound by B. Biyombo,,18-24,,
7:25.0,J. Green misses 2-pt shot from 12 ft,,18-24,,
7:23.0,Offensive rebound by J. Green,,18-24,,
7:17.0,C. Watson makes 3-pt shot from 24 ft (assist by J. Green),3,21-24,,
7:03.0,,,21-24,,T. Parker misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by B. Biyombo,,21-24,,
6:47.0,N. Vucevic misses 2-pt shot from 6 ft,,21-24,,
6:46.0,,,21-24,,Defensive rebound by K. Leonard
6:43.0,,,21-24,,Offensive charge foul by T. Parker
6:43.0,,,21-24,,Turnover by T. Parker (offensive foul)
6:43.0,A. Gordon enters the game for J. Green,,21-24,,
6:24.0,Shooting foul by T. Parker (drawn by B. Biyombo),,21-24,,
6:24.0,B. Biyombo makes free throw 1 of 2,1,22-24,,
6:24.0,B. Biyombo makes free throw 2 of 2,1,23-24,,
6:12.0,Personal foul by N. Vucevic (drawn by P. Gasol),,23-24,,
6:12.0,S. Ibaka enters the game for N. Vucevic,,23-24,,
5:59.0,,,23-24,,Turnover by D. Green (lost ball; steal by E. Payton)
5:53.0,A. Gordon makes 2-pt shot at rim (assist by C. Watson),2,25-24,,
5:37.0,,,25-24,,D. Green misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by A. Gordon,,25-24,,
5:24.0,S. Ibaka makes 2-pt shot from 17 ft (assist by E. Payton),2,27-24,,
5:22.0,,,27-24,,San Antonio full timeout
5:22.0,,,27-24,,M. Ginobili enters the game for D. Green
4:55.0,,,27-26,2,P. Gasol makes 2-pt shot from 7 ft
4:36.0,E. Payton makes 2-pt shot from 2 ft,2,29-26,,
4:21.0,,,29-28,2,K. Leonard makes 2-pt shot from 1 ft
4:09.0,E. Payton makes 2-pt shot from 18 ft,2,31-28,,
3:57.0,,,31-28,,M. Ginobili misses 2-pt shot from 3 ft
3:57.0,,,31-28,,Offensive rebound by Team
3:57.0,Loose ball foul by A. Gordon (drawn by P. Gasol),,31-28,,
3:57.0,E. Fournier enters the game for A. Gordon,,31-28,,
3:47.0,,,31-28,,L. Aldridge misses 2-pt shot from 18 ft
3:46.0,Defensive rebound by S. Ibaka,,31-28,,
3:37.0,E. Payton makes 2-pt shot from 9 ft,2,33-28,,
3:28.0,,,33-28,,P. Gasol misses 2-pt shot from 2 ft
3:27.0,Defensive rebound by E. Fournier,,33-28,,
3:16.0,B. Biyombo makes 2-pt shot at rim (assist by C. Watson),2,35-28,,
3:02.0,,,35-30,2,K. Leonard makes 2-pt shot from 11 ft (assist by L. Aldridge)
2:47.0,B. Biyombo misses 2-pt shot from 8 ft,,35-30,,
2:45.0,,,35-30,,Defensive rebound by M. Ginobili
2:34.0,,,35-32,2,P. Gasol makes 2-pt shot from 1 ft (assist by M. Ginobili)
2:34.0,Orlando full timeout,,35-32,,
2:34.0,,,35-32,,P. Mills enters the game for T. Parker
2:34.0,,,35-32,,D. Lee enters the game for P. Gasol
2:34.0,N. Vucevic enters the game for B. Biyombo,,35-32,,
2:22.0,Turnover by E. Fournier (bad pass; steal by K. Leonard),,35-32,,
2:16.0,,,35-32,,Shooting foul by E. Fournier (drawn by K. Leonard)
2:16.0,,,35-32,,K. Leonard misses free throw 1 of 2
2:16.0,,,35-32,,Offensive rebound by Team
2:16.0,,,35-33,1,K. Leonard makes free throw 2 of 2
2:02.0,C. Watson makes 2-pt shot from 16 ft (assist by E. Payton),2,37-33,,
